time,used_memory_rss(bytes)
0.00,34020904960
0.29,33993052160
0.59,33970933760
0.88,33952501760
1.18,33933660160
1.47,33914818560
1.76,33895976960
2.05,33877135360
2.33,33859522560
2.62,33840680960
2.92,33821839360
3.21,33802588160
3.51,33782927360
3.80,33771458560
4.10,33752207360
4.39,33733365760
4.68,33714933760
4.98,33696501760
5.27,33678888960
5.56,33659228160
5.86,33641205760
6.15,33623592960
6.44,33608847360
6.73,33591644160
7.02,33583042560
7.31,33566658560
7.60,33548226560
7.89,33530204160
8.19,33513410560
8.48,33496616960
8.77,33478184960
9.06,33459752960
9.36,33441730560
9.64,33424117760
9.94,33406095360
10.23,33388892160
10.52,33370869760
10.82,33353256960
11.12,33343016960
11.40,33327861760
11.70,33309429760
11.99,33289359360
12.29,33270927360
12.58,33252495360
12.87,33243484160
13.15,33230376960
13.44,33212764160
13.74,33198837760
14.03,33182863360
14.32,33170984960
14.61,33155010560
14.90,33136168960
15.20,33118146560
15.49,33099304960
15.78,33083740160
16.07,33066946560
16.36,33049743360
16.65,33032130560
16.94,33013698560
17.24,32994856960
17.52,32993218560
17.82,32978063360
18.12,32959631360
18.41,32940789760
18.70,32922357760
19.00,32903516160
19.30,32884264960
19.59,32865832960
19.89,32850268160
20.18,32832245760
20.47,32816680960
20.76,32799068160
21.06,32780226560
21.35,32762613760
21.64,32745410560
21.93,32724930560
22.23,32707317760
22.52,32688476160
22.80,32670044160
23.09,32652431360
23.39,32636456960
23.68,32627855360
23.97,32610242560
24.27,32592220160
24.55,32574197760
24.84,32555356160
25.14,32536104960
25.43,32517263360
25.72,32498012160
26.01,32479580160
26.30,32461148160
26.59,32441896960
26.89,32422645760
27.18,32403394560
27.48,32384962560
27.77,32366530560
28.06,32356700160
28.36,32338268160
28.65,32325980160
28.94,32307957760
29.23,32289525760
29.52,32271912960
29.81,32257576960
30.10,32239554560
30.39,32219484160
30.69,32200642560
30.99,32182210560
31.28,32162549760
31.58,32144527360
31.87,32126095360
32.16,32106024960
32.45,32090869760
32.74,32072437760
33.03,32054005760
33.32,32036392960
33.61,32023285760
33.90,32006492160
34.19,31991746560
34.48,31973314560
34.77,31954882560
35.07,31936450560
35.36,31918018560
35.65,31898767360
35.94,31880335360
36.23,31861084160
36.53,31846748160
36.82,31831592960
37.11,31814799360
37.40,31795548160
37.68,31777116160
37.98,31757864960
38.27,31739023360
38.57,31719362560
38.85,31700111360
39.15,31681269760
39.44,31662428160
39.74,31643996160
40.02,31625564160
40.31,31607132160
40.60,31593205760
40.90,31576412160
41.18,31557980160
41.47,31539548160
41.77,31534632960
42.05,31523573760
42.34,31507189760
42.63,31494901760
42.92,31478108160
43.21,31459676160
43.49,31442882560
43.78,31426498560
44.06,31409704960
44.36,31391682560
44.65,31373660160
44.93,31355228160
45.22,31337615360
45.51,31320412160
45.80,31301570560
46.09,31282319360
46.38,31263068160
46.67,31243407360
46.97,31224565760
47.26,31204495360
47.55,31186472960
47.84,31167221760
48.13,31148789760
48.42,31129948160
48.71,31110696960
49.01,31093903360
49.30,31080796160
49.60,31061135360
49.89,31047208960
50.18,31029186560
50.46,31011164160
50.76,30993141760
51.04,30976348160
51.34,30959144960
51.63,30940303360
51.92,30921461760
52.21,30900162560
52.51,30881730560
52.80,30862888960
53.09,30843637760
53.39,30824796160
53.68,30806773760
53.96,30789160960
54.25,30770728960
54.54,30752296960
54.84,30734684160
55.13,30719938560
55.42,30700687360
55.71,30682664960
56.00,30667919360
56.29,30649487360
56.58,30631055360
56.87,30612623360
57.16,30593372160
57.45,30574530560
57.74,30555279360
58.03,30536437760
58.32,30516776960
58.61,30499164160
58.90,30479503360
59.19,30460661760
59.47,30441410560
59.77,30423388160
60.06,30411509760
60.35,30402498560
60.64,30385295360
60.93,30366863360
61.22,30348021760
61.51,30328770560
61.80,30309519360
62.10,30288220160
62.39,30271836160
62.68,30262415360
62.97,30243164160
63.27,30224322560
63.56,30205480960
63.85,30186639360
64.14,30167797760
64.44,30150184960
64.73,30130933760
65.02,30117007360
65.31,30097756160
65.60,30079324160
65.90,30060482560
66.18,30040821760
66.48,30021570560
66.77,30003138560
67.06,29984296960
67.35,29965864960
67.65,29946613760
67.94,29927772160
68.23,29926543360
68.52,29910159360
68.82,29895823360
69.11,29886402560
69.40,29870837760
69.70,29851586560
69.99,29832744960
70.28,29814722560
70.57,29795880960
70.86,29781544960
71.15,29762293760
71.45,29754511360
71.74,19169222656
72.04,19173728256
72.33,19181510656
72.62,19188883456
72.91,19196256256
73.20,19203219456
73.50,19211001856
73.79,19217965056
74.08,19224928256
74.37,19232710656
74.66,19239673856
74.95,19246637056
75.24,19254009856
75.53,19260973056
75.82,19267936256
76.11,19274899456
76.40,19281862656
76.69,19288416256
76.99,19295379456
77.29,19302752256
77.58,19309715456
77.87,19316678656
78.16,19323641856
78.46,19331014656
78.75,19337977856
79.04,19345350656
79.33,19352723456
79.62,19360096256
79.91,19366649856
80.20,19373613056
80.50,19380985856
80.79,19387949056
81.09,19394502656
81.38,19401875456
81.68,19408838656
81.97,19415801856
82.25,19420717056
82.55,19427680256
82.84,19434643456
83.12,19441606656
83.41,19448160256
83.71,19455123456
84.00,19462086656
84.29,19469459456
84.58,19476422656
84.88,19483795456
85.17,19491168256
85.46,19498541056
85.75,19505504256
86.04,19513286656
86.33,19519840256
86.62,19526803456
86.91,19533766656
87.20,19541139456
87.49,19547693056
87.78,19554656256
88.07,19562029056
88.36,19569811456
88.65,19576774656
88.94,19583737856
89.23,19591110656
89.53,19598483456
89.83,19605446656
90.12,19612409856
90.41,19619782656
90.70,19627565056
91.00,19634937856
91.29,19642310656
91.59,19649273856
91.88,19655827456
92.17,19659104256
92.46,19665657856
92.74,19672211456
93.03,19679174656
93.33,19686547456
93.61,19693920256
93.91,19700883456
94.20,19708256256
94.49,19714809856
94.78,19721773056
95.06,19728736256
95.35,19735289856
95.64,19742253056
95.93,19749625856
96.23,19756589056
96.52,19763961856
96.82,19771334656
97.11,19778707456
97.40,19785670656
97.69,19792633856
97.98,19799597056
98.27,19806150656
98.56,19812704256
98.85,19819667456
99.14,19826221056
99.44,19832365056
99.72,19838918656
100.01,19845881856
100.30,19852025856
100.59,19857760256
100.88,19864313856
101.17,19870867456
101.46,19877830656
101.75,19883974656
102.04,19886841856
102.34,19893805056
102.63,19899949056
102.92,19906912256
103.22,19913465856
103.52,19920019456
103.81,19926573056
104.10,19932717056
104.39,19938451456
104.68,19944595456
104.97,19951149056
105.27,19956883456
105.56,19963437056
105.86,19969990656
106.15,19976134656
106.44,19982278656
106.73,19988422656
107.02,19994976256
107.31,20001529856
107.60,20008083456
107.90,20015046656
108.20,20022009856
108.49,20028973056
108.78,20035936256
109.08,20042489856
109.36,20049453056
109.66,20056416256
109.95,20062969856
110.24,20069523456
110.53,20076486656
110.82,20083040256
111.11,20089184256
111.40,20095737856
111.70,20102291456
111.99,20107206656
112.28,20113350656
112.57,20120313856
112.86,20126867456
113.15,20133011456
113.44,20139565056
113.73,20145709056
114.02,20152262656
114.31,20159225856
114.59,20165369856
114.88,20171923456
115.17,20178477056
115.46,20185030656
115.75,20191584256
116.04,20198137856
116.32,20203872256
116.61,20210016256
116.90,20216569856
117.19,20222713856
117.48,20228857856
117.78,20235001856
118.06,20241145856
118.36,20247289856
118.65,20253433856
118.94,20259577856
119.23,20265721856
119.52,20272275456
119.81,20278419456
120.10,20284563456
120.39,20290707456
120.67,20296441856
120.97,20302995456
121.25,20309139456
121.55,20314873856
121.84,20321017856
122.12,20324294656
122.41,20330438656
122.70,20336582656
123.00,20342726656
123.28,20349280256
123.58,20355014656
123.87,20361158656
124.16,20367302656
124.45,20373037056
124.74,20378771456
125.03,20384505856
125.32,20390649856
125.61,20396384256
125.89,20402528256
126.18,20408672256
126.47,20414816256
126.77,20421369856
127.06,20427923456
127.35,20434477056
127.64,20440621056
127.92,20446765056
128.21,20453728256
128.50,20460281856
128.79,20466425856
129.08,20472569856
129.37,20478304256
129.66,20484038656
129.95,20490592256
130.24,20497145856
130.53,20503289856
130.81,20509843456
131.11,20516806656
131.40,20522541056
131.69,20528275456
131.99,20534009856
132.28,20538105856
132.57,20543840256
132.87,20550393856
133.16,20556128256
133.46,20561862656
133.75,20567187456
134.04,20572921856
134.33,20578656256
134.62,20584390656
134.91,20589715456
135.21,20595040256
135.50,20601184256
135.79,20606918656
136.08,20612653056
136.37,20618387456
136.67,20624121856
