time,used_memory_rss(bytes)
0.00,17647804416
0.32,17647804416
0.62,17651081216
0.92,17658044416
1.22,17664188416
1.52,17670332416
1.82,17676476416
2.10,17682620416
2.40,17688764416
2.70,17694498816
2.99,17701052416
3.29,17707606016
3.57,17714159616
3.87,17720713216
4.17,17726857216
4.47,17733001216
4.76,17737097216
5.10,17743650816
5.39,17750204416
5.69,17756758016
5.99,17763721216
6.29,17770274816
6.59,17776828416
6.89,17783791616
7.18,17790345216
7.48,17796898816
7.78,17803452416
8.08,17809186816
8.38,17815330816
8.68,17822294016
8.98,17828438016
9.27,17835401216
9.57,17841954816
9.88,17848098816
10.17,17854242816
10.47,17859977216
10.77,17866940416
11.07,17873494016
11.36,17880457216
11.65,17887010816
11.95,17893564416
12.25,17900527616
12.56,17907490816
12.86,17914044416
13.16,17920598016
13.46,17927970816
13.77,17934934016
14.06,17941487616
14.36,17948041216
14.66,17952956416
14.96,17959510016
15.26,17965654016
15.55,17972207616
15.85,17978351616
16.15,17985314816
16.44,17991458816
16.75,17997193216
17.05,18003337216
17.34,18009481216
17.64,18015625216
17.93,18022178816
18.23,18029142016
18.53,18036105216
18.84,18042658816
19.13,18049212416
19.42,18056175616
19.71,18062729216
20.01,18068873216
20.30,18075426816
20.60,18081980416
20.90,18087714816
21.19,18093858816
21.48,18100822016
21.78,18107375616
22.07,18113929216
22.37,18120482816
22.67,18126626816
22.96,18133180416
23.26,18140143616
23.56,18147106816
23.86,18153660416
24.15,18160214016
24.44,18166358016
24.73,18170454016
25.03,18175778816
25.32,18181922816
25.62,18188476416
25.92,18194620416
26.22,18201174016
26.51,18207318016
26.81,18213462016
27.10,18219606016
27.39,18225750016
27.69,18232303616
27.99,18238857216
28.29,18245410816
28.59,18251964416
28.89,18258518016
29.19,18264662016
29.48,18271215616
29.78,18277769216
30.07,18284322816
30.37,18290057216
30.67,18296610816
30.97,18302754816
31.26,18309308416
31.56,18315452416
31.85,18321596416
32.15,18327740416
32.43,18334294016
32.73,18340847616
33.02,18347401216
33.32,18353954816
33.62,18360098816
33.91,18366652416
34.21,18372796416
34.51,18379350016
34.80,18383446016
35.10,18389590016
35.39,18396143616
35.69,18402287616
35.99,18408841216
36.28,18414985216
36.57,18420719616
36.87,18426863616
37.16,18433007616
37.45,18439151616
37.75,18444886016
38.04,18451030016
38.34,18457583616
38.63,18464546816
38.93,18470690816
39.23,18476015616
39.51,18482569216
39.81,18488713216
40.10,18494857216
40.41,18500182016
40.70,18505916416
41.01,18511650816
41.30,18517385216
41.60,18522710016
41.89,18528444416
42.19,18534178816
42.49,18539503616
42.79,18545647616
43.08,18551382016
43.37,18557116416
43.67,18562850816
43.97,18568994816
44.27,18574729216
44.57,18577186816
44.87,18583330816
45.17,18589065216
45.47,18595209216
45.77,18600943616
46.07,18607497216
46.37,18613641216
46.66,18619375616
46.96,18625110016
47.26,18630844416
47.55,18636578816
47.84,18641903616
48.13,18647638016
48.42,18653372416
48.70,18659106816
49.00,18664841216
49.29,18670575616
49.59,18676310016
49.88,18682044416
50.17,18687778816
50.47,18693922816
50.76,18699657216
51.05,18706210816
51.35,18711945216
51.65,18718089216
51.94,18724233216
52.23,18729967616
52.53,18735292416
52.83,18741026816
53.13,18746761216
53.43,18752086016
53.73,18757820416
54.02,18763554816
54.31,18769289216
54.61,18773385216
54.90,18778710016
55.20,18784444416
55.49,18790178816
55.79,18795913216
56.09,18801238016
56.39,18807382016
56.69,18813116416
56.98,18819260416
57.28,18825404416
57.57,18830729216
57.86,18836463616
58.16,18841788416
58.45,18847113216
58.74,18852847616
59.04,18858991616
59.33,18864726016
59.63,18870460416
59.93,18875785216
60.24,18881519616
60.54,18887254016
60.84,18892988416
61.14,18898313216
61.43,18904457216
61.73,18909782016
62.03,18915516416
62.33,18920841216
62.62,18926166016
62.92,18931490816
63.22,18936815616
63.51,18941730816
63.80,18947465216
64.09,18952790016
64.39,18958114816
64.69,18961391616
64.98,18966716416
65.27,18972041216
65.57,18977366016
65.87,18982690816
66.16,18988015616
66.45,18993340416
66.75,18998665216
67.05,19003580416
67.35,19009314816
67.65,19014639616
67.94,19019964416
68.24,19024879616
68.54,19030614016
68.83,19035529216
69.12,19040854016
69.42,19045769216
69.72,19051094016
70.02,19056828416
70.31,19062562816
70.61,19067887616
70.91,19073212416
71.21,19078946816
71.51,19084271616
71.80,19090415616
72.10,19096150016
72.40,19101474816
72.70,19106390016
72.99,19111714816
73.28,19116630016
73.57,19121545216
73.87,19126870016
74.17,19132194816
74.46,19137929216
74.76,19140796416
75.05,19146121216
75.34,19151855616
75.64,19157180416
75.94,19162505216
76.24,19168649216
76.54,19173564416
76.83,19178889216
77.13,19184623616
77.42,19189948416
77.72,19195273216
78.02,19200598016
78.31,19205922816
78.61,19211657216
78.90,19216982016
79.20,19222716416
79.49,19228041216
79.78,19232956416
80.08,19237871616
80.37,19242786816
80.66,19247702016
80.96,19253436416
81.25,19258761216
81.55,19263676416
81.84,19269001216
82.14,19273916416
82.44,19279650816
82.72,19284975616
83.02,19290300416
83.31,19295625216
83.61,19300950016
83.90,19306684416
84.19,19312009216
84.49,19317743616
84.79,19321430016
85.09,19326754816
85.38,19331670016
85.67,19336994816
85.96,19342319616
86.26,19347234816
86.56,19352969216
86.85,19357884416
87.15,19363618816
87.44,19368943616
87.74,19374268416
88.03,19379183616
88.33,19384508416
88.63,19389833216
88.93,19394748416
89.23,19399663616
