time,used_memory_rss(bytes)
0.00,28419764224
0.30,28392321024
0.58,28368564224
0.87,28350541824
1.16,28333748224
1.45,28314497024
1.74,28301799424
2.03,28284186624
2.33,28271489024
2.62,17687789568
2.91,17693933568
3.21,35385249792
3.49,35390984192
3.78,35382382592
4.07,35365179392
4.36,35347156992
4.65,35329544192
4.94,35313979392
5.24,35295956992
5.53,35283668992
5.82,35266465792
6.11,35248443392
6.40,35234926592
6.69,35216494592
6.99,35196424192
7.28,35183726592
7.58,35164065792
7.86,35145633792
8.15,35127201792
8.44,35111636992
8.74,35099758592
9.03,35081736192
9.32,35065761792
9.61,35047329792
9.90,35032174592
10.19,35021524992
10.48,35003502592
10.78,34985070592
11.07,34967457792
11.36,34950254592
11.65,34931003392
11.94,34917076992
12.23,34899873792
12.52,34881032192
12.82,34866286592
13.10,34852769792
13.39,34839662592
13.69,34823688192
13.98,34804436992
14.27,34787643392
14.56,34775764992
14.85,34756513792
15.14,34738491392
15.44,34720059392
15.73,34702446592
16.02,34684833792
16.32,34665992192
16.61,34647969792
16.90,34634862592
17.19,34618068992
17.48,34600456192
17.77,34582024192
18.07,34565230592
18.36,34551304192
18.65,34540244992
18.94,34524680192
19.23,34505838592
19.53,34487816192
19.83,34469384192
20.13,34449723392
20.42,34430881792
20.72,34410811392
21.01,34392379392
21.30,34379681792
21.59,34363707392
21.88,34344865792
22.18,34326024192
22.48,34307592192
22.77,34288750592
23.06,34273595392
23.35,34255163392
23.64,34235092992
23.94,34216251392
24.23,34197000192
24.52,34178158592
24.82,34158497792
25.11,34140065792
25.40,34120814592
25.70,34101153792
26.00,34082721792
26.29,34063470592
26.58,34052001792
26.87,34036846592
27.16,34024148992
27.45,34004897792
27.74,33986465792
28.04,33969672192
28.33,33958612992
28.62,33940180992
28.91,33922568192
29.20,33904545792
29.49,33886113792
29.79,33867681792
30.08,33848840192
30.38,33830408192
30.67,33809108992
30.95,33790676992
31.24,33772654592
31.54,33754222592
31.83,33735380992
32.12,33716948992
32.41,33698926592
32.71,33680494592
32.99,33662881792
33.29,33644449792
33.58,33626017792
33.87,33607176192
34.16,33588744192
34.45,33574408192
34.74,33555566592
35.03,33537544192
35.32,33519931392
35.61,33502318592
35.90,33483886592
36.19,33464635392
36.49,33446203392
36.78,33427771392
37.07,33408929792
37.36,33390088192
37.65,33375752192
37.94,33359368192
38.23,33345032192
38.52,33329467392
38.81,33322913792
39.10,33318408192
39.39,33300795392
39.68,33280724992
39.98,33263521792
40.26,33245908992
40.55,33226248192
40.84,33210683392
41.13,33190203392
41.42,33170952192
41.71,33152110592
42.00,33133268992
42.29,33113608192
42.59,33095585792
42.88,33076334592
43.17,33057902592
43.46,33038241792
43.75,33018990592
44.04,33000148992
44.33,32980488192
44.62,32961646592
44.91,32944443392
45.21,32928059392
45.50,32908808192
45.79,32890376192
46.08,32871534592
46.37,32852283392
46.67,32833032192
46.95,32814600192
47.24,32795348992
47.53,32775278592
47.82,32756027392
48.11,32737595392
48.40,32718753792
48.70,32700321792
48.99,32685576192
49.28,32666324992
49.58,32646664192
49.87,32628232192
50.16,32608980992
50.45,32589320192
50.75,32567611392
51.05,32548360192
51.34,32529108992
51.63,32510267392
51.92,32490606592
52.21,32471355392
52.50,32452104192
52.79,32432443392
53.09,32416468992
53.38,32398856192
53.66,32379195392
53.96,32359124992
54.25,32340283392
54.54,32319803392
54.83,32300142592
55.12,32282529792
55.41,32262868992
55.70,32244027392
55.99,32224366592
56.29,32204296192
56.57,32185864192
56.86,32165793792
57.15,32146132992
57.44,32127291392
57.73,32107630592
58.03,32087969792
58.32,32068308992
58.61,32050696192
58.89,32037179392
59.18,32017518592
59.47,32001953792
59.76,31982292992
60.05,31963451392
60.35,31949115392
60.64,31927816192
60.93,31908564992
61.22,31888494592
61.51,31868833792
61.81,31848353792
62.10,31828283392
62.40,31809441792
62.69,31788961792
62.98,31768481792
63.27,31758241792
63.56,31738990592
63.85,31719329792
64.14,31698849792
64.43,31679188992
64.72,31666491392
65.02,31647240192
65.31,31627169792
65.61,31606280192
65.90,31587028992
66.19,31567777792
66.49,31547707392
66.78,31532961792
67.07,31513300992
67.37,31493640192
67.66,31473569792
67.96,31453089792
68.25,31432609792
68.54,31414177792
68.83,31396974592
69.12,31376494592
