timestamp_ms,instantaneous_rps
0.00,0.0
0.25,11208.0
0.50,11753.0
0.75,11744.0
1.00,11502.0
1.25,11196.0
1.50,10972.1
1.75,11124.0
2.00,12160.0
2.25,12812.8
2.51,5442.2
2.76,3179.3
3.01,10724.0
3.26,10308.0
3.51,10036.0
3.76,9832.7
4.01,10160.0
4.26,10120.0
4.51,9709.2
4.76,9904.4
5.01,10232.0
5.26,10262.9
5.51,10496.0
5.76,10472.0
6.01,9952.0
6.26,10298.8
6.51,10412.0
6.76,10848.0
7.01,10259.0
7.26,10195.2
7.51,10312.0
7.76,10576.0
8.02,11075.7
8.27,11262.9
8.52,11360.0
8.77,11736.0
9.02,10689.2
9.27,10908.4
9.52,11704.0
9.77,11944.2
10.02,11656.0
10.27,11159.4
10.52,11139.4
10.77,10992.0
11.02,10620.0
11.27,10565.7
11.52,10848.0
11.77,10374.5
12.02,10464.0
12.27,10362.6
12.53,10996.0
12.78,10928.0
13.03,10609.6
13.28,10544.0
13.53,10517.9
13.78,10548.0
14.03,10928.3
14.28,11227.1
14.53,10972.0
14.78,10804.0
15.03,10920.3
15.28,10741.0
15.53,11035.9
15.78,10840.0
16.03,11076.0
16.28,11180.0
16.53,11358.6
16.78,10880.0
17.03,11063.7
17.29,10904.4
17.54,10800.0
17.79,11251.0
18.04,11356.0
18.29,11466.1
18.54,11180.0
18.79,11302.8
19.04,11360.0
19.29,11280.0
19.54,11322.7
19.79,10420.0
20.04,10928.0
20.29,11000.0
20.54,10832.7
20.79,11060.0
21.04,11100.0
21.29,10613.5
21.54,10936.0
21.79,10752.0
22.04,11088.0
22.29,10872.5
22.54,11310.8
22.79,11048.0
23.05,11000.0
23.30,11136.0
23.55,11398.4
23.80,10860.0
24.05,10876.0
24.30,11040.0
24.55,10952.0
24.80,10780.9
25.05,11028.0
25.30,10868.5
25.55,10916.3
25.80,11328.0
26.05,11344.0
26.30,11039.8
26.55,11384.0
26.80,11051.8
27.05,11064.0
27.30,11322.7
27.55,11460.0
27.80,11792.0
28.05,11139.4
28.30,11340.0
28.55,11326.7
28.80,11023.9
29.05,11472.0
29.31,11358.6
29.56,11824.0
29.81,11673.3
30.06,11697.2
30.31,11904.0
30.56,12208.0
30.81,12266.9
31.06,11800.8
31.31,12195.2
31.56,12096.0
31.81,12023.9
32.06,12316.0
32.31,12512.0
32.56,11916.3
32.81,12052.0
33.06,12008.0
33.31,11728.0
33.56,12015.9
33.82,12015.9
34.07,11657.4
34.32,11620.0
34.57,11597.6
34.82,11944.2
35.07,11502.0
35.32,11732.0
35.57,11568.0
35.82,11432.0
36.07,11768.9
36.32,12160.0
36.57,11720.0
36.82,11579.4
37.07,11496.0
37.32,11541.8
37.57,12324.0
37.82,12616.0
38.08,11561.8
38.33,12600.0
38.58,12334.7
38.83,11744.0
39.08,11492.0
39.33,11621.5
39.58,11498.0
39.83,11632.0
40.08,11127.5
40.33,11172.0
40.58,10264.0
40.83,10520.0
41.08,11152.0
41.33,11008.0
41.58,11262.9
41.83,11096.0
42.08,11256.0
42.33,10932.0
42.58,10812.0
42.83,10828.7
43.08,10592.0
43.33,11180.0
43.58,11644.0
43.83,11067.7
44.08,11660.0
44.33,11876.5
44.58,11888.0
44.83,11816.7
45.08,11744.0
45.33,11636.0
45.58,11424.0
45.84,11470.1
46.09,11608.0
46.34,11944.0
46.59,11672.0
46.84,11585.7
47.09,11680.0
47.34,11624.0
47.59,11613.5
47.84,11549.8
48.09,11548.0
48.34,11756.0
48.59,11701.2
48.84,11440.0
49.09,11692.0
49.34,11601.6
49.59,11400.0
49.84,11440.0
50.09,11529.9
50.34,12378.5
50.59,12340.0
50.84,12589.6
51.09,12376.0
51.34,12601.6
51.59,12286.9
51.84,11684.0
52.10,11298.8
52.35,11184.0
52.60,11346.6
52.85,11092.0
53.10,10928.0
53.35,10992.0
53.60,11008.0
53.85,10916.0
54.10,11476.0
54.35,11904.4
54.60,11752.0
54.85,11348.0
55.10,11510.0
55.35,11685.3
55.60,10876.5
55.85,11172.0
56.10,11079.7
56.35,10768.0
56.60,10852.6
56.85,11140.0
57.10,11282.9
57.35,11008.0
57.61,11143.4
