time,used_memory_rss(bytes)
0.00,34761457664
0.31,34721091584
0.60,34703478784
0.90,34712080384
1.19,34701664256
1.48,34698387456
1.77,34694701056
2.06,34692071424
2.35,34689204224
2.64,34686746624
2.93,34695495680
3.23,34681176064
3.52,34682814464
3.81,34684452864
4.10,34682580992
4.40,34685038592
4.69,34675961856
4.98,34715553792
5.27,34682732544
5.55,34683961344
5.84,34684780544
6.14,34682773504
6.43,34684002304
6.73,34675290112
7.03,34705993728
7.32,34678050816
7.62,34673954816
7.92,34682728448
8.22,34666405888
8.51,34652786688
8.80,34651148288
9.10,34657726464
9.39,34656907264
9.69,34656088064
9.98,34673016832
10.27,34653282304
10.56,34644303872
10.86,34643484672
11.15,34647961600
11.44,34643046400
11.73,34638540800
12.03,34656260096
12.33,34630393856
12.62,34615898112
12.91,34629005312
13.21,34612871168
13.50,34607955968
13.79,34603859968
14.10,34599145472
14.41,34594226176
14.71,34589720576
15.01,34608328704
15.29,34579054592
15.59,34579464192
15.89,34579464192
16.18,34578046976
16.47,34568232960
16.76,34565365760
17.06,34594369536
17.35,34562031616
17.64,34557935616
17.94,34565935104
18.23,34548928512
18.52,34543194112
18.82,34538278912
19.11,34536198144
19.41,34530873344
19.70,34526367744
19.99,34544693248
20.28,34514288640
20.57,34510192640
20.87,34504458240
21.17,34499702784
21.46,34495197184
21.75,34490691584
22.04,34510282752
22.33,34474524672
22.62,34468790272
22.92,34473910272
23.21,34462912512
23.50,34462912512
23.79,34476838912
24.08,34462560256
24.37,34462150656
24.67,34461331456
24.96,34510127104
25.26,34468843520
25.56,34468024320
25.85,34465976320
26.14,34458841088
26.43,34455564288
26.73,34450239488
27.02,34442522624
27.30,34435969024
27.60,34429825024
27.92,34435657728
28.22,34419601408
28.51,34414276608
28.81,34408132608
29.10,34393194496
29.40,34387869696
29.70,34382544896
29.99,34407329792
30.28,34382495744
30.58,34379218944
30.87,34372354048
31.21,34373148672
31.51,34370691072
31.81,34367823872
32.10,34392289280
32.40,34362839040
32.70,34361200640
33.00,34373398528
33.29,34350440448
33.58,34349621248
33.88,34347573248
34.17,34343280640
34.46,34342051840
34.74,34336722944
35.03,34354049024
35.32,34329944064
35.61,34322980864
35.90,34316017664
36.20,34311696384
36.49,34303504384
36.79,34287362048
37.08,34311954432
37.37,34280747008
37.66,34272964608
37.96,34275770368
38.25,34258034688
38.54,34242605056
38.83,34240147456
39.12,34269339648
39.41,34238087168
39.70,34235629568
39.99,34248536064
40.30,34223788032
40.60,34205466624
40.89,34198503424
41.19,34200600576
41.48,34193637376
41.78,34186264576
42.07,34205483008
42.35,34175053824
42.64,34158555136
42.94,34167566336
43.23,34150817792
43.53,34143444992
43.82,34135662592
44.10,34148982784
44.39,34115452928
44.69,34106851328
44.98,34134286336
45.30,34093228032
45.60,34084216832
45.91,34077663232
46.20,34070642688
46.49,34057502720
46.80,34049310720
47.09,34069860352
47.39,34036953088
47.68,34029170688
47.98,34036019200
48.27,34001248256
48.56,33991827456
48.85,33996333056
49.15,34003271680
