time,used_memory_rss(bytes)
0.00,20486832128
0.28,20478164992
0.56,20481966080
0.84,20501495808
1.12,20549722112
1.39,20545474560
1.67,20567625728
1.95,20590301184
2.23,20643328000
2.52,20622422016
2.79,20644179968
3.07,20674719744
3.35,20678438912
3.63,20700852224
3.91,20723396608
4.19,20759130112
4.47,20750848000
4.75,20773261312
5.03,20795936768
5.30,20815728640
5.58,20838404096
5.87,20860948480
6.15,20907134976
6.43,20893814784
6.71,20916097024
6.99,20936806400
7.27,20954808320
7.55,20975779840
7.83,20996489216
8.12,21042823168
8.40,21028040704
8.68,21049405440
8.96,21070245888
9.24,21123678208
9.52,21103816704
9.81,21116076032
10.09,21154869248
10.37,21156102144
10.65,21177860096
10.93,21199093760
11.21,21239922688
11.49,21230505984
11.77,21241626624
12.06,21270593536
12.34,21282516992
12.62,21302177792
12.90,21322756096
13.19,21362462720
13.46,21356269568
13.75,21375791104
14.03,21399252992
14.32,21413359616
14.61,21440491520
14.89,21468278784
15.17,21509754880
15.45,21504475136
15.73,21520646144
16.01,21548957696
16.29,21650362368
16.58,21594087424
16.86,21616238592
17.14,21667098624
17.42,21646737408
17.70,21653872640
17.98,21671960576
18.26,21691518976
18.54,21706067968
18.82,21725466624
19.10,21758025728
19.38,21755977728
19.66,21773803520
19.94,21793726464
20.22,21839724544
20.50,21826408448
20.77,21843972096
21.05,21863501824
21.33,21874941952
21.62,21883871232
21.90,21907726336
22.18,21957197824
22.46,21950255104
22.74,21975158784
23.01,21994426368
23.29,22073352192
23.57,22081708032
23.84,22108315648
24.12,22140149760
24.41,22136729600
24.69,22153637888
24.97,22170546176
25.25,22179528704
25.53,22196043776
25.81,22213607424
26.09,22242955264
26.38,22241861632
26.67,22257721344
26.95,22275022848
27.23,22303539200
27.51,22293868544
27.79,22312349696
28.07,22349836288
28.35,22343090176
28.63,22361964544
28.91,22378741760
29.20,22407532544
29.48,22395887616
29.76,22411878400
30.04,22428786688
30.32,22452264960
30.60,22470483968
30.88,22492504064
31.16,22526500864
31.44,22517977088
31.72,22534230016
32.00,22556250112
32.28,22567182336
32.56,22586449920
32.84,22608732160
33.13,22653063168
33.41,22638800896
33.70,22660820992
33.98,22680481792
34.25,22729515008
34.53,22704115712
34.82,22720892928
35.09,22755131392
35.38,22752059392
35.66,22773424128
35.95,22790594560
36.23,22825938944
36.51,22807478272
36.79,22825041920
37.07,22858727424
37.35,22858735616
37.63,22875774976
37.91,22894252032
38.19,22933757952
38.48,22928232448
38.76,22948548608
39.05,22968602624
39.33,22974967808
39.61,22993842176
39.89,23003975680
40.17,23066083328
40.45,23037427712
40.73,23053680640
41.01,23070457856
41.29,23079702528
41.58,23099625472
41.85,23110524928
42.13,23149785088
42.41,23141830656
42.70,23160180736
42.98,23145635840
43.26,23197237248
43.53,23174639616
43.81,23183872000
44.10,23224930304
44.38,23219302400
44.66,23238438912
44.94,23259672576
45.22,23327494144
45.50,23283810304
45.79,23294582784
46.07,23338622976
46.35,23328428032
46.63,23344943104
46.91,23365390336
47.19,23422787584
47.47,23391150080
47.76,23398895616
48.03,23418294272
48.32,23433306112
48.60,23451918336
48.88,23466205184
49.16,23500419072
49.44,23485411328
49.72,23490473984
50.00,23507513344
50.29,23522922496
50.57,23537340416
50.85,23552020480
51.13,23588421632
51.41,23574355968
51.70,23579414528
51.98,23593439232
52.26,23637917696
