time,used_memory_rss(bytes)
0.00,29996630016
0.28,29996630016
0.56,30019694592
0.85,30038687744
1.12,30080630784
1.41,30109335552
1.69,30178639872
1.97,30159597568
2.25,30198525952
2.53,30234963968
2.80,30249304064
3.08,30288756736
3.36,30329257984
3.64,30379954176
3.93,30382309376
4.22,30422548480
4.50,30459379712
4.79,30505369600
5.07,30508023808
5.35,30542102528
5.63,30588096512
5.90,30587523072
6.18,30624747520
6.46,30662889472
6.75,30738575360
7.03,30710976512
7.31,30749511680
7.60,30793879552
7.88,30796107776
8.16,30829268992
8.44,30863478784
8.72,30914101248
9.00,30908551168
9.28,30942236672
9.56,30991929344
9.84,30982762496
10.12,31015530496
10.40,31048167424
10.69,31096270848
10.96,31083384832
11.25,31114842112
11.53,31156916224
11.81,31159066624
12.08,31188160512
12.37,31217127424
12.65,31263780864
12.93,31258808320
13.22,31291314176
13.51,31324475392
13.79,31334858752
14.07,31364218880
14.36,31391088640
14.64,31433867264
14.92,31429865472
15.19,31459225600
15.48,31487668224
15.76,31541383168
16.05,31525654528
16.33,31546626048
16.61,31581765632
16.90,31579750400
17.17,31607537664
17.45,31633752064
17.73,31695515648
18.01,31660503040
18.30,31679901696
18.58,31718666240
18.86,31707521024
19.15,31725084672
19.43,31741075456
19.72,31749771264
20.00,31768252416
20.29,31787257856
20.56,31834816512
20.85,31822512128
21.13,31848726528
21.41,31872450560
21.69,31917211648
21.97,31894634496
22.25,31913377792
22.53,31942213632
22.81,31943041024
23.09,31962963968
23.38,31982231552
23.65,32022200320
23.94,32000335872
24.21,32017375232
24.49,32035725312
24.77,32058023936
25.05,32077291520
25.34,32094593024
25.63,32126566400
25.91,32119713792
26.20,32137539584
26.48,32153530368
26.77,32163676160
27.05,32181764096
27.33,32200376320
27.62,32231481344
27.90,32225542144
28.18,32243757056
28.46,32263417856
28.74,32315588608
29.02,32284344320
29.30,32299548672
29.59,32338882560
29.86,32321687552
30.15,32329768960
30.43,32345890816
30.72,32400916480
30.99,32375775232
31.28,32391503872
31.56,32422268928
31.85,32406937600
32.13,32420700160
32.41,32434724864
32.70,32474259456
32.98,32465809408
33.26,32479309824
33.54,32501723136
33.82,32493486080
34.09,32504627200
34.37,32518520832
34.65,32548691968
34.94,32540659712
35.22,32552849408
35.49,32567398400
35.77,32574124032
36.05,32588804096
36.33,32603090944
36.61,32633745408
36.89,32623951872
37.18,32637845504
37.45,32651476992
37.73,32715358208
38.01,32663678976
38.29,32677048320
38.58,32719060992
38.85,32711524352
39.13,32723582976
39.42,32733806592
39.69,32768184320
39.97,32754012160
40.26,32766988288
40.54,32785469440
40.82,32785227776
41.10,32798072832
41.38,32811704320
41.66,32820686848
41.94,32823422976
42.22,32836530176
42.49,32848982016
42.77,32862216192
43.05,32874668032
43.34,32887382016
43.61,32916209664
43.89,32899878912
44.18,32911937536
44.46,32924520448
44.74,32931643392
45.02,32943964160
45.30,32958382080
45.57,32991801344
45.84,32968146944
46.13,32982302720
46.40,32996065280
46.68,33067749376
46.96,33020014592
47.23,33032073216
47.51,33044000768
47.79,33049563136
48.06,33060966400
48.34,33072107520
48.62,33100369920
48.90,33088458752
49.19,33099862016
49.47,33110872064
49.75,33149997056
50.03,33126924288
50.30,33137672192
50.59,33162780672
50.86,33153794048
51.14,33164804096
51.42,33175814144
51.70,33234571264
51.98,33180286976
52.26,33190772736
52.54,33232322560
52.83,33212280832
53.10,33222504448
53.39,33232990208
53.67,33265250304
53.95,33247711232
54.23,33257541632
54.51,33267372032
54.79,33272184832
55.07,33283457024
55.35,33294860288
55.62,33324933120
55.91,33309065216
56.19,33318502400
56.47,33328201728
56.76,33332637696
57.03,33343516672
57.31,33354788864
57.59,33382858752
57.87,33369407488
58.15,33379631104
58.43,33378861056
58.70,33418842112
58.98,33394003968
59.26,33404358656
59.54,33449709568
59.82,33434218496
60.10,33443786752
60.38,33451782144
60.66,33481199616
60.94,33461018624
61.22,33469145088
61.49,33478975488
61.77,33482649600
62.06,33491955712
62.34,33501261824
62.62,33527955456
62.90,33513390080
63.18,33522565120
63.46,33531346944
63.74,33572818944
64.03,33543835648
64.31,33552486400
64.58,33587159040
64.86,33555386368
65.14,33564037120
65.42,33573081088
65.70,33608245248
65.98,33591554048
66.25,33600335872
66.53,33619734528
66.81,33604820992
67.09,33612554240
67.37,33620942848
67.65,33649483776
67.93,33630445568
68.21,33637261312
68.48,33645125632
68.76,33683980288
69.04,33656184832
69.32,33663655936
69.60,33688915968
69.88,33672753152
70.16,33680224256
70.44,33687564288
70.72,33726107648
71.01,33697558528
71.29,33705160704
71.57,33733234688
71.85,33714651136
72.13,33712775168
72.41,33719853056
72.69,33731010560
72.98,33737302016
73.26,33736757248
73.54,33763909632
73.82,33752584192
74.10,33759268864
74.39,33767002112
74.67,33800867840
74.94,33776840704
75.23,33782738944
75.51,33789423616
75.80,33792294912
76.08,33798979584
76.36,33804484608
76.64,33842569216
76.92,33811881984
77.19,33817387008
77.48,33824071680
77.76,33905033216
78.05,33832591360
78.33,33838227456
78.61,33879166976
78.89,33846464512
79.16,33852624896
79.45,33858260992
79.73,33906036736
80.01,33865670656
80.29,33871831040
80.57,33900044288
80.85,33879343104
81.13,33884848128
81.41,33891270656
81.69,33936240640
81.97,33898471424
82.25,33902796800
82.53,33919705088
82.81,33909411840
83.09,33914261504
83.36,33909714944
83.64,33990455296
83.93,33915154432
84.21,33915154432
84.49,67827486720
84.76,67830370304
85.04,67826307072
85.32,67799830528
85.60,67804045312
85.88,67772960768
86.16,67748188160
86.44,67722366976
86.72,67702980608
86.99,67676897280
87.27,67650945024
87.56,67634036736
87.84,67605848064
88.12,67579502592
88.40,67553812480
88.68,67556020224
88.96,67500367872
89.24,67474677760
89.52,67448594432
89.80,67431063552
90.08,67404718080
90.36,67379814400
90.64,67398062080
90.92,67335036928
91.19,67309477888
91.48,67283394560
91.76,67265028096
92.04,67239469056
92.31,67213123584
92.60,67212750848
92.87,67169746944
93.15,67144581120
93.42,67119546368
93.69,67155705856
93.98,67083227136
94.26,67056881664
94.54,67034337280
94.82,67007496192
95.10,66981675008
95.38,66955984896
95.66,66972086272
95.93,66911363072
96.22,66886066176
96.49,66861555712
96.76,66835550208
97.05,66808156160
97.33,66782334976
97.61,66790559744
97.89,66737098752
98.17,66711670784
98.45,66686242816
98.72,66697355264
99.00,66642972672
99.28,66617020416
99.56,66621345792
99.84,66591342592
100.12,66563686400
100.40,66537078784
100.68,66548547584
100.97,66491564032
101.25,66464432128
101.52,66438086656
101.80,66422083584
102.08,66395869184
102.36,66370310144
102.64,66371043328
102.92,66327400448
103.19,66300530688
103.48,66274971648
103.75,66287501312
104.03,66231463936
104.30,66205118464
104.58,66200215552
104.85,66160115712
105.13,66123804672
105.41,66097590272
105.68,66116595712
105.96,66050662400
106.24,66023923712
106.52,65997578240
106.80,66016493568
107.08,65955487744
107.36,65929142272
107.64,65929080832
107.91,65884610560
108.19,65858134016
108.47,65831133184
108.76,65842966528
109.03,65787326464
109.31,65760718848
109.58,65750757376
109.87,65713348608
110.15,65686609920
110.43,65660002304
110.71,65663942656
110.98,65607774208
111.26,65580904448
111.54,65562423296
111.81,65537073152
112.09,65510203392
112.37,65483333632
112.65,65502277632
112.93,65448046592
113.21,65421045760
113.49,65394176000
113.77,65376620544
114.05,65349488640
114.33,65323405312
114.61,65322569728
114.89,65287389184
115.17,65260519424
115.44,65225428992
115.72,65261322240
116.00,65186152448
116.28,65159020544
116.56,65148272640
116.84,65120530432
117.13,65094184960
117.41,65068232704
117.69,65083764736
117.97,65031376896
118.25,65005424640
118.54,64994021376
118.82,64960585728
119.10,64924737536
119.38,64898654208
119.67,64921067520
119.94,64856805376
120.23,64833081344
120.52,64808570880
120.80,64833388544
121.08,64765083648
121.36,64737296384
121.64,64743325696
121.93,64689381376
122.21,64661987328
122.49,64634462208
122.77,64621805568
123.04,64586510336
123.32,64558723072
123.60,64554921984
123.88,64510222336
124.17,64482435072
124.45,64453730304
124.73,64441593856
125.02,64405446656
125.31,64376610816
125.59,64368746496
125.86,64329719808
126.14,64301539328
126.43,64273358848
126.71,64282071040
126.99,64228085760
127.27,64199512064
127.55,64184569856
127.83,64150024192
128.11,64122368000
128.38,64093794304
128.66,64095907840
128.95,64045125632
129.22,64016683008
129.50,63988371456
129.78,63968116736
130.07,63940460544
130.34,63912148992
130.63,63899267072
130.91,63867645952
131.19,63843004416
131.47,63814692864
131.75,63796064256
132.03,63766704128
132.32,63737212928
132.60,63731707904
132.88,63690555392
133.16,63661981696
133.44,63633670144
133.73,63629991936
134.01,63601025024
134.29,63572189184
134.57,63556665344
134.85,63524229120
135.12,63495131136
135.40,63466164224
135.68,63470608384
135.95,63418732544
136.23,63391207424
136.50,63361585152
136.79,63341637632
137.07,63305879552
137.35,63304962048
137.63,63334191104
137.91,63275528192
138.19,63247740928
138.48,63219691520
138.76,63240298496
139.04,63177285632
139.33,63149629440
139.61,63153037312
139.89,63106404352
140.17,63079010304
140.46,63051747328
140.73,63079505920
141.01,63008219136
141.29,62979776512
141.57,62969028608
141.84,62935384064
142.12,62906679296
142.40,62878760960
142.68,62897504256
142.96,62833057792
143.24,62804746240
143.52,62779580416
143.80,62756384768
144.07,62727548928
144.36,62700023808
144.64,62709854208
144.93,62652620800
145.21,62624309248
145.49,62595866624
145.76,62576939008
146.05,62548234240
146.33,62520446976
146.61,62522544128
146.90,62472073216
147.18,62444023808
147.46,62416236544
147.73,62395817984
148.01,62367244288
148.30,62338932736
148.58,62339719168
148.86,62293622784
149.13,62268981248
149.41,62244601856
149.69,62252650496
149.97,62195642368
150.25,62167986176
150.53,62148325376
150.81,62168498176
151.10,62098976768
151.37,62071058432
151.65,62101590016
151.94,62028386304
152.21,62000992256
152.49,61973467136
152.76,61997764608
153.04,61939228672
153.31,61911441408
153.59,61904080896
153.86,61868838912
154.13,61840527360
154.42,61813002240
154.69,61846228992
154.97,61772152832
155.25,61743579136
155.53,61724704768
155.81,61702815744
156.09,61674635264
156.37,61647765504
156.65,61656420352
156.92,61597069312
157.20,61568626688
157.49,61540184064
157.76,61593767936
158.04,61501833216
158.33,61472866304
158.61,61479833600
158.90,61438967808
159.18,61409869824
159.46,61381165056
159.74,61399154688
160.01,61336813568
160.30,61307584512
160.58,61297455104
160.86,61262487552
161.14,61234438144
161.42,61205733376
161.71,61221797888
161.99,61168717824
162.26,61141323776
162.54,61127430144
162.83,61097484288
163.10,61069434880
163.38,61041647616
163.66,61047578624
163.94,60998205440
164.22,60962566144
164.50,60935172096
164.78,60975452160
165.06,60896636928
165.35,60868980736
165.62,60877570048
165.90,60827643904
166.18,60798808064
166.47,60770627584
166.74,60818915328
167.02,60728406016
167.31,60699963392
167.59,60692840448
167.89,60655583232
168.17,60626747392
168.45,60598566912
168.73,60617281536
169.01,60557852672
169.29,60530851840
169.57,60530077696
169.85,60491231232
170.13,60463968256
170.40,60428759040
170.69,60456058880
170.97,60393086976
171.25,60365430784
171.53,60345376768
171.80,60319969280
172.08,60291395584
172.36,60263346176
172.64,60292640768
172.92,60216492032
173.21,60186738688
173.49,60157378560
173.77,60140044288
174.04,60110422016
174.33,60081586176
174.61,60076810240
174.88,60034142208
175.16,60004782080
175.44,59975421952
175.72,60012425216
176.00,59926142976
176.28,59896520704
176.57,59893317632
176.84,59856867328
177.12,59829735424
177.40,59801030656
177.68,59827642368
177.96,59755741184
178.24,59727036416
178.53,59706458112
178.81,59733659648
179.08,59683684352
179.37,59655241728
179.65,59690852352
179.93,59620515840
180.21,59592204288
180.48,59555504128
180.76,59617632256
181.04,59511111680
181.32,59482537984
181.61,59494858752
181.89,59441418240
182.17,59413106688
182.45,59385188352
182.73,59447185408
183.01,59345510400
183.28,59316805632
183.57,59309727744
183.84,59374870528
184.13,59246280704
184.41,59212464128
184.69,59259256832
184.97,59175931904
185.25,59146833920
185.53,59129008128
185.81,59208044544
186.10,59078615040
186.38,59049910272
186.66,59062673408
186.95,59007709184
187.23,58979266560
187.51,58955018240
187.79,58936213504
188.07,58907115520
188.35,58879983616
188.63,58901577728
188.91,58837397504
189.19,58809348096
189.47,58780512256
189.75,58858369024
190.03,58747510784
190.31,58718543872
190.59,58722738176
190.88,58678501376
191.16,58649403392
191.44,58620960768
191.72,58674569216
192.00,58580172800
192.28,58551992320
192.56,58542948352
192.84,58613334016
193.11,58483605504
193.40,58455293952
193.67,58491863040
193.95,58414284800
194.23,58380902400
194.50,58353377280
194.78,58430578688
195.05,58312622080
195.34,58284048384
195.61,58298466304
195.89,58362429440
196.16,58232565760
196.44,58232827904
196.72,58301640704
197.01,58467315712
197.29,58457903104
197.57,58576932864
197.85,58677608448
198.12,58666778624
198.40,58205847552
198.69,58240217088
198.97,58161184768
199.25,58144931840
199.52,58115829760
199.80,58087649280
200.08,58059862016
200.36,58086404096
200.63,58017591296
200.92,57989148672
201.19,57960968192
201.47,58028347392
201.75,57917853696
202.03,57888755712
202.31,57887223808
202.59,57847062528
202.88,57818882048
203.16,57790570496
203.43,57810018304
203.72,57747308544
204.00,57719259136
204.27,57709473792
204.55,57677303808
204.83,57648599040
205.11,57620418560
205.39,57661009920
205.67,57577422848
205.95,57548587008
206.23,57526566912
206.51,57559285760
206.79,57678356480
207.07,57654616064
207.35,57686384640
207.63,57731960832
207.91,57773633536
208.19,57810391040
208.48,57547104256
208.75,57565675520
209.04,57602101248
209.32,57659813888
209.60,57707909120
209.88,57761624064
210.16,57821605888
210.44,57796673536
210.73,57535696896
211.01,57619419136
211.29,57643470848
211.57,57810870272
211.86,57717526528
212.14,57755508736
212.42,57790914560
212.70,57846882304
212.97,57846882304
213.25,57846882304
213.52,57846882304
213.80,57846882304
214.09,57846882304
214.36,57846751232
214.64,57846751232
214.92,57523920896
215.20,57558523904
215.47,57604763648
215.76,57667829760
216.04,57777360896
216.32,57880719360
216.61,57932959744
216.89,57833168896
217.18,57547730944
217.45,57586085888
217.73,57630355456
218.01,57756577792
218.29,57874649088
218.57,57972678656
218.86,58042253312
219.14,57835524096
219.42,57537798144
219.70,57572212736
219.98,57638825984
220.26,57734512640
220.54,57884696576
220.83,57977835520
221.11,58006306816
221.39,57818488832
221.67,57549783040
221.95,57597968384
222.24,57730035712
222.52,57776304128
222.80,57806393344
223.08,57758400512
223.36,57774768128
223.64,57785999360
223.92,57534824448
224.20,57578590208
224.48,57597767680
224.76,57646923776
225.05,57687404544
225.34,57723023360
225.61,57752203264
225.89,57999667200
226.18,57779027968
226.46,57779027968
226.74,57779027968
227.03,57779027968
227.31,57779027968
227.60,57779027968
227.88,57779027968
228.16,57779027968
228.44,57779027968
228.71,57779027968
228.99,57779027968
229.28,57779027968
229.55,57779027968
229.83,57779027968
230.11,57779027968
230.39,57779027968
230.67,57523904512
230.96,57556054016
231.23,57596612608
231.52,57655066624
231.79,57700741120
232.07,57744842752
232.35,57780469760
232.63,57808871424
232.90,57530253312
233.18,57567772672
233.45,57618190336
233.73,57671888896
234.01,57776787456
234.29,57866850304
234.58,57929949184
234.85,57818251264
235.14,57544519680
235.41,57581797376
235.69,57624981504
235.97,57704808448
236.25,57857470464
236.53,57968730112
236.81,57772556288
237.10,57819348992
237.38,57548496896
237.67,57591668736
237.95,57611395072
238.23,57667493888
238.51,57790124032
238.79,57895440384
239.07,57896054784
239.35,57510785024
239.63,57544425472
239.91,57591361536
240.19,57656954880
240.47,57796235264
240.75,57707769856
241.03,57946189824
241.32,57974472704
241.60,57773592576
241.88,57773592576
242.16,57773592576
242.44,57773592576
242.73,57773592576
243.01,57773592576
243.29,57773592576
243.58,57773592576
243.86,57773592576
244.14,57773592576
244.43,57769832448
244.71,57769832448
245.00,57769832448
245.28,57769832448
245.56,57769832448
245.84,57769832448
246.13,57769832448
246.41,57769832448
246.69,57769832448
246.97,57769832448
247.26,57769832448
247.54,57768652800
247.82,57527558144
248.11,57552171008
248.39,57608835072
248.67,57667317760
248.95,57783173120
249.23,57811599360
249.51,57850200064
249.78,57802440704
250.06,57533616128
250.34,57560551424
250.62,57629392896
250.90,57665953792
251.18,57714126848
251.46,57742352384
251.74,57768247296
252.02,57771454464
252.30,57559195648
252.58,57565360128
252.86,57617694720
253.14,57662992384
