time,used_memory_rss(bytes)
0.00,20487442432
0.28,20483629056
0.57,20487430144
0.84,20514824192
1.12,20541169664
1.40,20586565632
1.68,20574625792
1.96,20597301248
2.23,20628234240
2.52,20647243776
2.80,20664807424
3.08,20691808256
3.36,20752596992
3.64,20738117632
3.92,20770099200
4.21,20799197184
4.48,20853616640
4.76,20836528128
5.04,20865626112
5.31,20908990464
5.60,20906336256
5.89,20935041024
6.17,20963221504
6.45,21051748352
6.74,20994088960
7.02,21023973376
7.30,21070544896
7.58,21069578240
7.86,21098414080
8.14,21125410816
8.43,21168287744
8.70,21162422272
8.98,21190864896
9.27,21238444032
9.54,21229694976
9.82,21257482240
10.10,21278179328
10.38,21353095168
10.66,21324029952
10.95,21351686144
11.23,21382225920
11.51,21435109376
11.80,21421699072
12.08,21439336448
12.36,21486731264
12.64,21477359616
12.92,21500690432
13.20,21528739840
13.49,21609611264
13.77,21564170240
14.06,21581680640
14.33,21628710912
14.62,21626925056
14.90,21648814080
15.19,21677125632
15.47,21734301696
15.75,21718474752
16.03,21734645760
16.31,21780234240
16.59,21772304384
16.87,21796814848
17.15,21815427072
17.43,21862408192
17.71,21852536832
17.99,21869150208
18.28,21919289344
18.56,21908336640
18.84,21933895680
19.13,21961551872
19.41,22029881344
19.70,21996179456
19.98,22042189824
20.26,22095667200
20.54,22102585344
20.82,22127226880
21.10,22151868416
21.38,22205816832
21.66,22183899136
21.94,22198845440
22.22,22223224832
22.50,22325501952
22.78,22263590912
23.05,22286266368
23.34,22322130944
23.62,22308651008
23.90,22332243968
24.18,22351642624
24.47,22397710336
24.75,22384234496
25.03,22400487424
25.31,22430023680
25.58,22416863232
25.86,22434295808
26.15,22451466240
26.44,22499155968
26.72,22484914176
27.00,22501691392
27.28,22528876544
27.57,22517977088
27.84,22534361088
28.13,22550614016
28.42,22595727360
28.70,22583058432
28.97,22599573504
29.26,22624608256
29.54,22616342528
29.82,22631809024
30.11,22648061952
30.39,22694797312
30.67,22674866176
30.95,22690725888
31.23,22705930240
31.52,22713434112
31.80,22729555968
32.08,22745153536
32.36,22797717504
32.64,22769733632
32.92,22785855488
33.20,22800797696
33.48,22828380160
33.76,22812422144
34.04,22827495424
34.32,22872788992
34.60,22865162240
34.88,22878269440
35.16,22894260224
35.44,22953242624
35.72,22918131712
36.00,22933991424
36.28,22961053696
36.56,22960771072
36.84,22976368640
37.12,22991441920
37.39,23028178944
37.67,23015014400
37.96,23030743040
38.24,23035891712
38.52,23044276224
38.80,23060004864
39.09,23075602432
39.37,23131574272
39.65,23107055616
39.93,23122259968
40.22,23128662016
40.50,23142719488
40.77,23127404544
41.06,23148113920
41.34,23184400384
41.62,23174365184
41.90,23194943488
42.19,23206039552
42.48,23266238464
42.77,23238180864
43.05,23257972736
43.33,23290847232
43.61,23284047872
43.89,23303839744
44.17,23315558400
44.46,23393083392
44.74,23346647040
45.02,23359229952
45.30,23386165248
45.58,23381471232
45.87,23389564928
46.16,23409356800
46.44,23477948416
46.73,23444230144
47.01,23461400576
47.30,23494635520
47.57,23485460480
47.86,23491256320
48.14,23508688896
48.41,23564689408
48.70,23541223424
48.98,23556034560
49.27,23587090432
49.55,23577792512
49.84,23581732864
50.12,23596150784
50.40,23640772608
50.69,23626747904
50.97,23640772608
51.25,23662661632
51.54,23662870528
51.82,23668113408
52.10,23682400256
52.39,23721660416
52.67,23710490624
52.95,23725039616
53.23,23738540032
53.51,23746228224
53.80,23758934016
54.08,23773220864
54.36,23806013440
54.64,23793065984
54.92,23806697472
55.21,23820591104
55.49,23826817024
55.77,23839395840
56.05,23852896256
56.33,23879041024
56.62,23873646592
56.89,23886622720
57.18,23899729920
57.46,23933071360
57.74,23912574976
58.03,23925944320
58.31,23952154624
58.59,23945142272
58.88,23957987328
59.16,23971487744
59.44,23996772352
59.72,23981719552
60.00,23994040320
60.29,24036503552
60.57,24028536832
60.85,24037842944
61.13,24050950144
61.42,24107044864
61.70,24070168576
61.98,24082620416
62.26,24110276608
62.55,24101924864
62.83,24114769920
63.11,24128008192
63.40,24182386688
63.68,24146739200
63.96,24159322112
64.24,24172036096
64.53,24171479040
64.81,24183930880
65.09,24195203072
65.37,24241639424
