time,used_memory_rss(bytes)
0.00,27742957568
0.28,27742760960
0.56,27742760960
0.84,27742760960
1.12,27742760960
1.40,55483117568
1.68,55484035072
1.96,55484035072
2.24,55484035072
2.53,55484035072
2.81,55484035072
3.10,55484035072
3.38,55485083648
3.67,55485214720
3.94,55485214720
4.22,55483248640
4.50,55460311040
4.79,55436718080
5.07,55411552256
5.36,55389138944
5.64,55364890624
5.92,55346016256
6.20,55323078656
6.49,55299092480
6.78,55274844160
7.06,55252037632
7.34,55235915776
7.62,55215992832
7.90,55194365952
8.19,55174574080
8.48,55149801472
8.76,55125553152
9.04,55101042688
9.33,55076794368
9.61,55052546048
9.89,55029215232
10.18,55005097984
10.46,54979239936
10.75,54958268416
11.04,54937296896
11.32,54912524288
11.61,54888669184
11.89,54865469440
12.17,54844760064
12.45,54826278912
12.73,54803341312
13.01,54778830848
13.30,54755368960
13.57,54731513856
13.86,54707134464
14.14,54682492928
14.42,54657064960
14.71,54632816640
15.00,54607781888
15.29,54590480384
15.58,54567280640
15.87,54545260544
16.15,54530449408
16.43,54506987520
16.71,54488375296
16.99,54465306624
17.27,54441713664
17.55,54417989632
17.84,54394265600
18.11,54379061248
18.40,54364512256
18.68,54347603968
18.97,54322438144
19.25,54298451968
19.54,54274334720
19.81,54249431040
20.10,54231343104
20.38,54210691072
20.66,54190374912
20.95,54167568384
21.23,54148038656
21.51,54129688576
21.79,54107275264
22.06,54083813376
22.34,54061662208
22.63,54040952832
22.91,54018408448
23.19,53995339776
23.46,53972402176
23.74,53949333504
24.02,53925609472
24.31,53903458304
24.59,53881569280
24.86,53858762752
25.14,53835300864
25.43,53812494336
25.71,53789425664
25.98,53765832704
26.26,53744074752
26.55,53719957504
26.83,53697937408
27.11,53679980544
27.39,53679325184
27.67,53679325184
27.96,53676441600
28.24,53653110784
28.53,53631221760
28.81,53608415232
29.09,53585477632
29.36,53562671104
29.65,53539864576
29.93,53516140544
30.21,53492543488
30.50,53469343744
30.78,53452828672
31.06,53430939648
31.34,53408264192
31.62,53386244096
31.90,53363437568
32.17,53340499968
32.45,53317824512
32.73,53294886912
33.02,53271687168
33.30,53248618496
33.58,53225943040
33.85,53202350080
34.13,53180854272
34.41,53161848832
34.70,53141270528
34.98,53122265088
35.26,53098803200
35.54,53074554880
35.82,53050437632
36.10,53026844672
36.38,53004431360
36.67,52982280192
36.95,52959866880
37.22,52937715712
37.50,52915040256
37.79,52892889088
38.07,52871786496
38.35,52849111040
38.63,52826959872
38.91,52803760128
39.19,52780298240
39.48,52756312064
39.76,52737437696
40.04,52715548672
40.32,52691755008
40.61,52669079552
40.89,52645224448
41.18,52621500416
41.46,52597121024
41.74,52573265920
42.02,52549279744
42.31,52526473216
42.59,52503011328
42.87,52479680512
43.16,52455563264
43.45,52431577088
43.73,52410867712
44.01,52388716544
44.29,52364468224
44.57,52341661696
44.85,52317675520
45.14,52294082560
45.42,52272324608
45.69,52249518080
45.98,52226056192
46.25,52202070016
46.53,52177690624
46.81,52160126976
47.09,52136009728
47.38,52112154624
47.66,52089610240
47.94,52066934784
48.22,52043866112
48.49,52020142080
48.78,51996418048
49.06,51974397952
49.34,51957358592
49.62,51933896704
49.91,51910565888
50.19,51886903296
50.48,51862917120
50.76,51843256320
51.05,51820711936
51.33,51800788992
51.61,51776802816
51.89,51752423424
52.18,51728568320
52.46,51705368576
52.75,51681644544
53.03,51657003008
53.32,51632754688
53.60,51608899584
53.88,51584389120
54.16,51560927232
54.45,51541266432
54.73,51521605632
55.01,51498274816
55.29,51477303296
55.58,51453579264
55.86,51429855232
56.14,51407441920
56.43,51384504320
56.71,51361304576
56.99,51343347712
57.27,51318575104
57.56,51295244288
57.84,51271258112
58.12,51248451584
58.40,51224858624
58.68,51201134592
58.97,51178721280
59.25,51157618688
59.53,51134287872
59.82,51112136704
60.10,51089068032
60.39,51066191872
60.67,51043254272
60.96,51020054528
61.24,50997379072
61.52,50975490048
61.80,50954125312
62.08,50931318784
62.37,50910085120
62.65,50886623232
62.93,50863685632
63.22,50843631616
63.50,50829082624
63.78,50806145024
64.06,50783207424
64.35,50761973760
64.63,50746376192
64.91,50722783232
65.19,50700632064
65.47,50677039104
65.75,50653315072
66.03,50632474624
66.31,50613993472
66.60,50593415168
66.88,50577031168
67.16,50554355712
67.44,50532073472
67.72,50509529088
68.00,50495242240
68.28,50480693248
68.56,50456707072
68.85,50438619136
69.13,50422497280
69.41,50402312192
69.70,50384224256
69.98,50361417728
70.27,50338156544
70.56,50314825728
70.84,50298310656
71.12,50279043072
71.40,50255319040
71.68,50232250368
71.95,50216390656
72.24,50201841664
72.52,50178904064
72.81,50156097536
73.08,50136174592
73.36,50112450560
73.65,50088464384
73.93,50064871424
74.21,50040885248
74.50,50017947648
74.78,49996189696
75.06,49972989952
75.33,49950445568
75.61,49931440128
75.89,49907978240
76.18,49884647424
76.45,49860005888
76.74,49836806144
77.02,49814261760
77.31,49791324160
77.58,49768124416
77.86,49744400384
78.15,49722118144
78.42,49698263040
78.71,49674014720
78.99,49650552832
79.28,49631023104
79.56,49616211968
79.84,49593012224
80.12,49569812480
80.41,49547747328
80.68,49524547584
80.97,49502265344
81.24,49479983104
81.52,49457438720
81.80,49434894336
82.08,49411170304
82.36,49388363776
82.65,49365557248
82.93,49342750720
83.21,49320861696
83.49,49296875520
83.77,49273675776
84.05,49249951744
84.34,49226096640
84.62,49201979392
84.90,49197785088
85.18,49197785088
85.47,49181925376
85.75,49158987776
86.03,49134739456
86.32,49117962240
86.60,49103020032
86.88,49080606720
87.16,49063043072
87.44,49040760832
87.73,49017167872
88.01,48993705984
88.29,48970768384
88.57,48946782208
88.85,48927252480
89.13,48905232384
89.41,48881770496
89.69,48857653248
89.98,48833667072
90.26,48809889792
90.54,48785641472
90.82,48763228160
91.11,48738979840
91.39,48715255808
91.68,48697692160
91.96,48674361344
92.24,48652603392
92.51,48632549376
92.79,48609480704
93.07,48585756672
93.36,48561377280
93.64,48537653248
93.92,48514453504
94.21,48490991616
94.49,48467922944
94.77,48445509632
95.06,48429912064
95.34,48406843392
95.62,48382595072
95.90,48360181760
96.19,48342618112
96.47,48319025152
96.75,48295563264
97.04,48272232448
97.32,48248639488
97.60,48225964032
97.88,48204468224
98.16,48186773504
98.44,48168030208
98.73,48145616896
99.01,48130019328
99.29,48106950656
99.57,48083357696
99.85,48059764736
100.14,48036040704
100.42,48012525568
100.70,47991160832
100.98,47967436800
101.27,47945416704
101.55,47923134464
101.83,47901376512
102.11,47885647872
102.40,47869526016
102.68,47845801984
102.97,47823126528
103.25,47799795712
103.54,47776464896
103.82,47754051584
104.10,47730327552
104.39,47705948160
104.68,47685238784
104.95,47662563328
105.23,47640805376
105.52,47619047424
105.80,47596896256
106.08,47575924736
106.36,47552987136
106.64,47529656320
106.92,47509864448
107.20,47488499712
107.49,47465824256
107.77,47445508096
108.05,47430172672
108.33,47408545792
108.62,47385083904
108.90,47362146304
109.18,47339208704
109.46,47316664320
109.75,47296610304
110.03,47275900928
110.31,47251783680
110.59,47228583936
110.88,47204728832
111.16,47182184448
111.44,47159246848
111.72,47135916032
112.00,47113109504
112.28,47089516544
112.56,47067103232
112.84,47044034560
113.12,47022538752
113.41,46998552576
113.69,46977056768
113.97,46955823104
114.25,46933671936
114.53,46910472192
114.82,46887665664
115.11,46865514496
115.39,46843101184
115.67,46824488960
115.95,46802075648
116.23,46779138048
116.51,46756331520
116.79,46734049280
117.07,46710980608
117.36,46691844096
117.65,46668775424
117.94,46646362112
118.22,46629060608
118.50,46609268736
118.78,46586724352
119.06,46565097472
119.34,46541766656
119.63,46524596224
119.91,46507032576
120.19,46490255360
120.47,46466584576
120.75,46442991616
121.04,46419529728
121.32,46397902848
121.60,46375096320
121.88,46350716928
122.16,46327517184
122.44,46304317440
122.72,46281248768
123.00,46257655808
123.28,46234587136
123.57,46211387392
123.86,46187925504
124.14,46164856832
124.42,46140739584
124.70,46116622336
124.99,46093291520
125.27,46070353920
125.55,46048989184
125.83,46028541952
126.12,46005211136
126.40,45981749248
