time,used_memory_rss(bytes)
0.00,28953518080
0.29,28925861888
0.57,28902137856
0.85,28890603520
1.13,28884705280
1.41,28878151680
1.69,28908269568
1.97,28885487616
2.25,28882735104
2.53,28879982592
2.82,28881645568
3.10,28880334848
3.38,28878368768
3.65,28898119680
3.94,28877635584
4.22,28876455936
4.50,28874883072
4.79,28877090816
5.07,28873945088
5.35,28872765440
5.63,28889100288
5.91,28891054080
6.18,28890923008
6.47,28890529792
6.75,28893122560
7.03,28880617472
7.31,28880093184
7.60,28899753984
7.88,28887379968
8.15,28885282816
8.44,28884889600
8.71,28917792768
8.99,28880576512
9.27,28879265792
9.55,28880183296
9.83,28889030656
10.11,28888375296
10.40,28887457792
10.68,28910911488
10.95,28879831040
11.23,28879175680
11.52,28878520320
11.79,28878430208
12.08,28889702400
12.35,18325028864
12.64,18337349632
12.92,36684611584
13.20,36678823936
13.49,36670959616
13.77,36663750656
14.05,36661493760
14.34,36655333376
14.63,36650483712
14.91,36676100096
15.19,36645310464
15.47,36640854016
15.76,36636266496
16.04,36634910720
16.31,36631240704
16.59,36627439616
16.88,36646969344
17.16,36631662592
17.43,36627599360
17.72,36623536128
18.01,36622688256
18.29,36619018240
18.57,36614955008
18.86,36621631488
19.14,36608090112
19.42,36604944384
19.70,36601143296
19.98,36622225408
20.26,36596576256
20.55,36593037312
20.83,36588625920
21.12,36587139072
21.40,36582813696
21.68,36579405824
21.97,36601733120
22.25,36574760960
22.53,36568600576
22.82,36563349504
23.10,36561092608
23.38,36557291520
23.66,36553621504
23.95,36573343744
24.23,36548882432
24.51,36544688128
24.80,36530663424
25.08,36537360384
25.36,36533297152
25.64,36529758208
25.93,36552884224
26.21,36527300608
26.50,36523761664
26.77,36510027776
27.06,36515135488
27.34,36510941184
27.63,36507140096
27.90,36523749376
28.18,36503347200
28.46,36498890752
28.74,36485652480
29.03,36493111296
29.31,36488392704
29.59,36481314816
29.87,36493910016
30.16,36475990016
30.44,36461686784
30.72,36457623552
31.01,36465508352
31.29,36461051904
31.57,36456988672
31.85,36466032640
32.13,36452057088
32.42,36437995520
32.70,36434194432
32.98,36462313472
33.26,36434956288
33.55,36429320192
33.84,36434169856
34.12,36430831616
34.41,36415959040
34.69,36412157952
34.97,36444811264
35.25,36411994112
35.53,36407668736
35.81,36404654080
36.10,36401700864
36.38,36384620544
36.67,36379639808
36.95,36399001600
37.22,36374413312
37.50,36367073280
37.78,36359602176
38.06,36357373952
38.34,36339699712
38.63,36329082880
38.91,36347191296
39.20,36325933056
39.48,36317020160
39.75,36309549056
40.04,36307075072
40.32,36289486848
40.61,36280705024
40.89,36303118336
41.17,36280827904
41.45,36273356800
41.73,36265361408
42.02,36259168256
42.30,36250910720
42.57,36242259968
42.86,36245274624
43.14,36230082560
43.42,36221431808
43.70,36213436416
43.99,36206571520
44.27,36197658624
44.56,36189138944
44.84,36182323200
45.12,36177309696
45.40,36179537920
45.68,36189630464
45.96,36208783360
46.24,36169371648
46.52,36160720896
46.80,36151808000
47.09,36148260864
47.37,36138692608
47.66,36131745792
47.94,36141584384
48.23,36117622784
48.51,36111855616
48.79,36102418432
49.07,36098338816
49.35,36088508416
49.63,36079071232
49.92,36086366208
50.20,36056743936
50.48,36047437824
50.76,36038393856
51.04,36048646144
51.32,36036456448
51.61,36026888192
51.89,36035989504
52.17,36014080000
52.46,36004249600
52.73,35994681344
53.01,35991588864
53.30,35982282752
53.57,35973238784
53.86,35975335936
54.13,35960942592
54.41,35951112192
54.70,35941281792
54.98,35935125504
55.26,35925426176
55.54,35915857920
55.83,35908517888
56.11,35903746048
56.39,35899551744
56.67,35892211712
56.95,35908333568
57.23,35878735872
57.51,35868905472
57.79,35859730432
58.08,35855339520
58.36,35845115904
58.64,35827683328
58.92,35850731520
59.21,35823640576
59.50,35810926592
59.78,35801489408
60.07,35797245952
60.35,35787284480
60.62,35775619072
60.91,35786182656
61.19,35758784512
61.47,35748036608
61.76,35737419776
62.03,35734429696
62.31,35723550720
62.60,35703668736
62.88,35718189056
63.16,35698077696
63.45,35687723008
63.73,35676712960
64.00,35673001984
64.28,35662516224
64.56,35641958400
64.84,35641696256
65.12,35634757632
65.40,35624140800
65.69,35612606464
65.97,35641622528
66.25,35597877248
66.53,35577274368
66.81,35566264320
67.08,35571138560
67.36,35565109248
67.64,35559079936
67.93,35575885824
68.20,35548110848
68.49,35531399168
68.77,35524976640
69.05,35529777152
69.33,35523223552
69.61,35516276736
69.89,35534741504
70.18,35507474432
70.46,35490566144
70.75,35483619328
71.03,35488473088
71.31,35480870912
71.60,35474055168
71.88,35485618176
72.16,35453530112
72.44,35446059008
72.72,35439636480
73.01,35473031168
73.28,35438698496
73.57,35431620608
73.85,35437113344
74.14,35412332544
74.42,35405385728
74.70,35399618560
74.98,35405459456
75.27,35397857280
75.55,35390517248
75.82,35385405440
76.10,35375738880
76.39,35367350272
76.67,35363287040
76.95,35409367040
77.23,35363155968
77.51,35355291648
77.80,35348475904
78.08,35345399808
78.36,35337535488
78.65,35329540096
78.93,35349274624
79.21,35317927936
79.49,35309408256
79.77,35301150720
80.06,35288150016
80.34,35279892480
80.62,35271766016
80.90,35310641152
81.18,35273568256
81.47,35263475712
81.76,35254300672
82.04,35251822592
82.32,35242516480
82.60,35233603584
82.88,35244007424
83.17,35223302144
83.44,35214520320
83.72,35205869568
84.01,35232350208
84.29,35192569856
84.57,35184050176
84.86,35186458624
85.15,35168759808
85.43,35159584768
85.71,35150540800
85.99,35177803776
86.28,35137994752
