time,used_memory_rss(bytes)
0.00,26193121280
0.28,26167693312
0.56,26144624640
0.84,26138202112
1.12,26133221376
1.40,26125750272
1.69,26137788416
1.97,26126909440
2.25,26125860864
2.54,26126385152
2.82,26124697600
3.10,26119454720
3.38,26114342912
3.67,26128027648
3.95,26107949056
4.23,26101919744
4.50,26096807936
4.78,26096386048
5.07,26089295872
5.35,26084052992
5.63,26098667520
5.92,26079375360
6.19,26075312128
6.47,26071773184
6.75,26070708224
7.03,26066382848
7.32,26061402112
7.60,26068611072
7.88,26056167424
8.17,26050662400
8.45,26046074880
8.73,26043363328
9.02,26045067264
9.30,26055290880
9.58,26053718016
9.86,26051117056
10.14,26045349888
10.43,26040893440
10.71,26037456896
10.99,26032607232
11.27,26026840064
11.55,26022514688
11.84,26020823040
12.12,26015055872
12.40,26009419776
12.68,26026430464
12.97,25994072064
13.24,25992105984
13.53,26003902464
13.80,16506142720
14.08,16534323200
14.37,16534323200
14.65,33077334016
14.93,33081987072
15.21,33075695616
15.49,33069928448
15.77,33060028416
16.06,33054130176
16.34,33049149440
16.63,33076281344
16.91,33051873280
17.19,33047678976
17.48,33034780672
17.76,33033859072
18.04,33027960832
18.32,33022193664
18.60,33037660160
18.88,33026433024
19.16,33021190144
19.44,33010900992
19.73,33015742464
20.02,33009451008
20.30,33003421696
20.58,33001455616
20.86,32996962304
21.14,32990408704
21.43,32974245888
21.70,32978935808
21.99,32971857920
22.27,32964386816
22.56,32957308928
22.84,32951971840
23.12,32946860032
23.39,32932507648
23.68,32959401984
23.96,32928899072
24.25,32921559040
24.53,32913825792
24.82,32909942784
25.10,32901947392
25.38,32886124544
25.66,32907018240
25.95,32882982912
26.24,32876298240
26.52,32871710720
26.80,32870612992
27.09,32866156544
27.37,32852389888
27.65,32874385408
27.93,32853819392
28.22,32849362944
28.50,32844644352
28.78,32843956224
29.06,32838189056
29.35,32825061376
29.63,32850251776
29.92,32826953728
30.20,32822890496
30.48,32817909760
30.76,32817557504
31.05,32803389440
31.33,32798670848
31.61,32824360960
31.89,32799375360
32.17,32794394624
32.46,32789544960
32.74,32788238336
33.02,32778145792
33.29,32772902912
33.58,32777359360
33.86,32765120512
34.14,32760926208
34.42,32755159040
34.70,32773689344
34.98,32749105152
35.26,32742944768
35.55,32738357248
35.83,32736456704
36.11,32731344896
36.40,32722563072
36.68,32734957568
37.01,32707411968
37.29,32698499072
37.57,32693518336
37.85,32687505408
38.13,32678592512
38.42,32669548544
38.71,32666787840
38.99,32648847360
39.27,32640196608
39.56,32633118720
39.85,32632594432
40.13,32624861184
40.41,32619094016
40.70,32610410496
40.98,32605036544
41.26,32600186880
41.55,32596254720
41.83,32591978496
42.12,32586866688
42.41,32581492736
42.69,32600215552
42.97,32573931520
43.25,32567640064
43.53,32562528256
43.82,32558583808
44.10,32553734144
44.38,32548360192
44.67,32580411392
44.95,32538714112
45.24,32532946944
45.52,32526000128
45.81,32522993664
46.09,32517357568
46.38,32511983616
46.66,32507727872
46.94,32502616064
47.22,32497766400
47.51,32491868160
47.80,32491266048
48.08,32484712448
48.36,32478289920
48.64,32504516608
48.92,32469364736
49.20,32459796480
49.49,32449966080
49.78,32445067264
50.06,32435630080
50.35,32414654464
50.63,32444354560
50.92,32413507584
51.20,32403283968
51.49,32393453568
51.77,32387837952
52.05,32377614336
52.33,32367783936
52.62,32386678784
52.91,32351428608
53.19,32341467136
53.47,32330981376
53.76,32326414336
54.04,32316715008
54.33,32307277824
54.61,32311025664
54.89,32289722368
55.17,32289722368
55.45,32303747072
55.73,32322035712
56.01,32294199296
56.29,32287514624
56.57,32290910208
56.86,32277528576
57.13,32270712832
57.42,32260358144
57.70,32280838144
57.98,32246558720
58.26,32230551552
58.55,32223604736
58.83,32226861056
59.12,32220700672
59.40,32213753856
59.69,32231555072
59.97,32201744384
60.25,32181817344
60.53,32171200512
60.82,32174088192
61.10,32163733504
61.38,32152854528
61.67,32165879808
61.95,32139493376
62.23,32122888192
62.52,32115679232
62.80,32122019840
63.08,32114941952
63.36,32108650496
63.64,32123240448
63.92,32098504704
64.20,32081920000
64.48,32072613888
64.76,32075399168
65.05,32064913408
65.33,32054034432
65.61,32063774720
65.90,32037404672
66.19,32017399808
66.47,32006520832
66.75,32008609792
67.04,32001138688
67.32,31994322944
67.60,32007204864
67.89,31985143808
68.17,31967264768
68.45,31958220800
68.74,31980892160
69.02,31947878400
69.29,31936344064
69.57,31928217600
69.85,31919898624
70.13,31899701248
70.41,31890001920
70.69,31911723008
70.98,31882035200
71.25,31870894080
71.53,31861719040
71.82,31849926656
72.11,31842193408
72.39,31834984448
72.66,31867805696
72.94,31830892544
73.23,31818702848
73.51,31807561728
73.80,31794839552
74.08,31783305216
74.36,31771639808
74.64,31793143808
74.93,31754653696
75.21,31743512576
75.49,31730929664
75.77,31725166592
76.06,31713763328
76.35,31701311488
76.63,31709118464
76.91,31682924544
77.20,31676370944
77.48,31672963072
77.76,31655120896
78.04,31643062272
78.33,31631134720
78.61,31653961728
78.90,31631495168
79.18,31619829760
79.47,31610916864
79.75,31607660544
80.03,31599009792
80.32,31588917248
80.61,31597326336
80.89,31572881408
81.17,31561871360
81.45,31551909888
81.73,31547613184
82.01,31536078848
82.30,31527297024
82.58,31529000960
82.86,31513546752
83.14,31503978496
83.43,31494279168
83.71,31512510464
83.99,31469780992
84.28,31460605952
84.55,31456804864
84.84,31451484160
85.12,31441391616
85.41,31431561216
85.69,31463731200
85.97,31406063616
86.25,31397150720
86.54,31389941760
86.82,31399243776
87.10,31389937664
87.38,31380238336
87.67,31397326848
87.95,31358771200
88.23,31348678656
88.51,31338323968
88.80,31332311040
89.09,31319334912
89.37,31307407360
89.65,31317905408
89.94,31288979456
90.22,31276789760
90.50,31266435072
90.79,31258640384
91.07,31248154624
91.35,31237668864
91.64,31248343040
91.92,31222493184
92.19,31211876352
92.48,31201521664
92.76,31220142080
93.04,31183822848
93.33,31171895296
93.61,31177654272
93.90,31153258496
94.18,31141855232
94.47,31130583040
94.75,31124168704
95.04,31111192576
95.32,31096381440
95.60,31095988224
95.88,31073083392
96.16,31057879040
96.44,31042936832
96.73,31033135104
97.01,31020158976
97.30,31007838208
97.58,31018717184
97.86,30990508032
98.15,30978056192
98.44,20911312896
98.72,20943998976
99.00,20931035136
99.27,20944142336
99.55,20949360640
99.83,20955938816
100.11,20968783872
100.39,20983201792
100.68,21015322624
100.96,21006409728
101.25,21022138368
101.53,21033664512
101.81,21041008640
