time,used_memory_rss(bytes)
0.00,29550858240
0.28,29524250624
0.56,29498953728
0.84,29482176512
1.13,29465923584
1.40,29450326016
1.69,29434204160
1.97,29417558016
2.25,29401174016
2.54,29383610368
2.82,29367881728
3.09,29351104512
3.38,29335900160
3.66,29319385088
3.94,29305622528
4.22,29290549248
4.51,29274689536
4.79,29259354112
5.08,29243625472
5.36,29228027904
5.65,29213216768
5.94,29203386368
6.22,29188575232
6.50,29174419456
6.79,29166030848
7.06,29154365440
7.35,29144010752
7.63,29133524992
7.92,29133000704
8.20,29120417792
8.48,29107834880
8.77,29096824832
9.05,29084110848
9.33,29071003648
9.61,29060780032
9.90,29049376768
10.17,29036662784
10.45,29022113792
10.73,29005205504
11.01,28994064384
11.29,28978073600
11.58,28965883904
11.85,28952252416
12.13,28937441280
12.42,28924596224
12.70,28913192960
12.99,28901527552
13.27,28889075712
13.55,28875837440
13.84,28864958464
14.12,28851720192
14.40,28837957632
14.69,28835467264
14.97,18091503616
15.25,18094911488
15.53,36188409856
15.82,36177530880
16.10,36169535488
16.38,36158132224
16.66,36149088256
16.94,36142141440
17.23,36129558528
17.51,36116320256
17.79,36103475200
18.07,36097576960
18.34,36090368000
18.63,36079620096
18.91,36069003264
19.19,36059697152
19.47,36050391040
19.75,36038332416
20.03,36027846656
20.32,36021030912
20.60,36008972288
20.88,35996389376
21.16,35984330752
21.44,35971223552
21.72,35959951360
22.00,35950514176
22.28,35940945920
22.56,35930198016
22.84,35919581184
23.13,35910537216
23.41,35900051456
23.70,35888779264
23.98,35878686720
24.26,35868332032
24.54,35858894848
24.82,35849850880
25.11,35843821568
25.38,35834515456
25.66,35823505408
25.95,35812102144
26.23,35804499968
26.51,35794407424
26.80,35782610944
27.07,35772518400
27.36,35767668736
27.63,35758100480
27.91,35746435072
28.19,35739095040
28.47,35732148224
28.75,35720744960
29.03,35708030976
29.31,35697545216
29.59,35685748736
29.87,35674345472
30.16,35661500416
30.43,35649572864
30.71,35632926720
30.99,35621130240
31.27,35610644480
31.56,35599765504
31.84,35594653696
32.11,35586920448
32.39,35579449344
32.67,35571060736
32.96,35564113920
33.25,35554414592
33.53,35541700608
33.81,35528462336
34.10,35521253376
34.38,35508801536
34.66,35506573312
34.95,35500544000
35.22,35488354304
35.51,35477213184
35.80,35465154560
36.08,35451654144
36.36,35440775168
36.64,35428847616
36.92,35415740416
37.21,35401846784
37.49,35386118144
37.77,35371307008
38.05,35356758016
38.33,35341553664
38.61,35326611456
38.90,35312193536
39.18,35297382400
39.46,35291353088
39.74,35277066240
40.03,35265269760
40.31,35251900416
40.59,35236171776
40.87,35224375296
41.15,35211530240
41.44,35198816256
41.72,35188592640
42.00,35180466176
42.28,35166572544
42.56,35152678912
42.85,35142455296
43.13,35133018112
43.41,35123974144
43.70,35111784448
43.98,35100643328
44.26,35089108992
44.53,35076788224
44.81,35063681024
45.09,35049263104
45.37,35035238400
45.65,35020296192
45.93,35003912192
46.21,34987134976
46.48,34972192768
46.76,34956201984
47.04,34939949056
47.32,34923171840
47.59,34907705344
47.88,34891976704
48.16,34875854848
48.44,34859995136
48.71,34848591872
49.00,34835091456
49.28,34823032832
49.56,34807304192
49.85,34790789120
50.13,34774798336
50.41,34758414336
50.69,34739015680
50.98,34723549184
51.25,34707820544
51.53,34692222976
51.81,34676363264
52.09,34660896768
52.37,34645692416
52.65,34632454144
52.93,34618429440
53.21,34602962944
53.49,34586972160
53.78,34572029952
54.06,34557087744
54.34,34542538752
54.62,34527465472
54.90,34513571840
55.18,34498629632
55.46,34490109952
55.73,34477395968
56.01,34479624192
56.28,34465075200
56.56,34448953344
56.84,34434535424
57.12,34419593216
57.40,34405961728
57.67,34391805952
57.95,34376208384
58.23,34360086528
58.50,34343702528
58.79,34328367104
59.07,34312769536
59.35,34298875904
59.62,34283671552
59.90,34268073984
60.17,34251821056
60.45,34235699200
60.73,34216955904
61.00,34202800128
61.29,34191003648
61.56,34174619648
61.84,34160070656
62.12,34149584896
62.39,34132938752
62.67,34115899392
62.95,34101088256
63.23,34088767488
63.51,34072514560
63.79,34057703424
64.07,34042630144
64.35,34028081152
64.63,34012745728
64.91,33997279232
65.18,33981419520
65.46,33965297664
65.73,33951141888
66.01,33935544320
66.30,33920077824
66.58,33909198848
66.85,33894256640
67.13,33879707648
67.41,33863979008
67.69,33847857152
67.97,33832390656
68.24,33816530944
68.52,33802244096
68.81,33786646528
69.08,33771442176
69.36,33755451392
69.64,33739984896
69.92,33724125184
70.19,33706692608
70.47,33689128960
70.75,33668681728
71.04,33657933824
71.33,33642991616
71.61,33632899072
71.89,33617694720
72.17,33603145728
72.46,33592922112
72.74,33581780992
73.03,33569067008
73.31,33554124800
73.59,33539837952
73.87,33525026816
74.16,33510608896
74.43,33495535616
74.71,33480855552
74.99,33466437632
75.27,33466175488
75.55,33451233280
75.84,33435897856
76.12,33422135296
76.39,33406668800
76.68,33391202304
76.96,33376391168
77.24,33361711104
77.52,33346244608
77.80,33330384896
78.08,33315311616
78.36,33299320832
78.65,33283854336
78.93,33269174272
79.22,33254100992
79.50,33238110208
79.78,33226444800
80.06,33213599744
80.34,33199312896
80.62,33183453184
80.90,33167200256
81.18,33152520192
81.47,33138233344
81.75,33128796160
82.03,33116606464
82.31,33101271040
82.58,33085542400
82.86,33070731264
83.15,33054871552
83.43,33043206144
83.71,33029705728
83.99,33013583872
84.28,32998772736
84.56,32984616960
84.84,32969281536
85.12,32958533632
85.39,32951193600
85.67,32936906752
85.95,32922357760
86.23,32912920576
86.51,32897191936
86.80,32886181888
87.08,32875171840
87.36,32858918912
87.64,32842141696
87.92,32825364480
88.21,32808194048
88.49,32791547904
88.77,32775688192
89.05,32758517760
89.33,32741085184
89.61,32723521536
89.90,32706744320
90.18,32690622464
90.46,32677122048
90.74,32656674816
91.02,32638717952
91.30,32621547520
91.59,32609751040
91.87,32593235968
92.14,32577769472
92.42,32570822656
92.70,32554438656
92.99,32538054656
93.26,32522194944
93.54,32506204160
93.82,32493621248
94.11,32478285824
94.39,32470290432
94.66,32462426112
94.94,32445124608
95.23,32429133824
95.50,32412094464
95.78,32396627968
96.06,32380637184
96.33,32363991040
96.61,32347475968
96.90,32330698752
97.18,32313135104
97.47,32296226816
97.75,32280236032
98.03,32262672384
98.31,32250351616
98.59,32234491904
98.87,32218370048
99.15,32201854976
99.43,32185733120
99.71,32168955904
99.99,32152965120
100.28,32137891840
100.56,32120590336
100.84,32105910272
101.12,32089264128
101.40,32071700480
101.69,32055185408
101.97,32038801408
102.25,32020975616
102.53,32004067328
102.81,31986503680
103.10,31971037184
103.38,31953604608
103.66,31938007040
103.94,31920574464
104.22,31904190464
104.50,31887806464
104.78,31870504960
105.05,31854776320
105.33,31837868032
105.60,31821746176
105.88,31807197184
106.17,31790157824
106.45,31773511680
106.73,31756341248
107.01,31746117632
107.29,31728029696
107.56,31711645696
107.84,20686991360
108.13,20694331392
108.41,20702457856
108.70,20711501824
108.98,20719890432
109.26,20728803328
109.55,20738109440
109.83,20746891264
110.11,20755410944
110.39,20764061696
110.68,20769566720
110.97,20778086400
111.25,20786606080
111.53,20795256832
111.81,20803514368
112.10,20812165120
112.38,20820815872
112.66,20829335552
112.94,20838248448
113.22,20846637056
113.49,20855156736
113.77,20863676416
114.05,20872065024
114.33,20879798272
114.61,20888186880
114.89,20896706560
115.17,20904964096
115.46,20913221632
115.74,20922134528
116.02,20930260992
116.30,20938911744
116.58,20947693568
116.87,20956344320
117.15,20964864000
117.43,20973252608
117.71,20981510144
117.98,20989243392
118.26,20997763072
118.54,21006675968
118.82,21015326720
119.11,21024370688
119.39,21033152512
119.66,21041672192
119.94,21050060800
120.22,21057925120
120.50,21066313728
120.78,21071032320
121.06,21079420928
121.34,21087285248
121.62,21095673856
121.90,21104324608
122.17,21112844288
122.45,21121888256
122.74,21130539008
123.03,21139058688
123.31,21148233728
123.60,21156884480
123.89,21165404160
124.17,21174054912
124.45,21182443520
124.73,21191618560
125.02,21200007168
125.30,21208133632
125.57,21216522240
125.85,21225304064
126.14,21234085888
126.42,21241688064
126.70,21249945600
126.98,21258465280
127.27,21267378176
127.55,21276160000
127.83,21284286464
128.12,21292544000
128.40,21300670464
128.69,21309190144
128.97,21317840896
129.25,21326098432
129.53,21334880256
129.82,21343399936
130.10,21352181760
130.38,21360832512
130.66,21369221120
130.95,21373546496
131.23,21381804032
131.51,21389799424
131.79,21397532672
132.07,21405396992
132.36,21413916672
132.64,21422567424
132.93,21430693888
133.21,21439213568
133.50,21447733248
133.77,21455859712
134.05,21464641536
134.33,21472768000
134.61,21481287680
134.89,21489807360
135.17,21498458112
135.46,21506453504
135.74,21514186752
136.02,21521788928
136.30,21530177536
136.59,21537779712
136.87,21546299392
137.15,21554163712
137.43,21561896960
137.70,21570023424
137.98,21577887744
138.25,21586145280
138.53,21594271744
138.81,21603053568
139.10,21611180032
139.38,21619830784
139.66,21627695104
139.94,21635690496
140.22,21643948032
140.50,21652205568
140.78,21655744512
141.06,21663346688
141.34,21671604224
141.62,21679206400
141.90,21686808576
142.17,21694017536
142.45,21702144000
142.73,21709352960
143.01,21716824064
143.29,21724950528
143.57,21733208064
143.85,21741072384
144.13,21748543488
144.41,21755883520
144.69,21764009984
144.98,21772398592
145.26,21780525056
145.54,21788651520
145.82,21796384768
146.11,21804642304
146.39,21812506624
146.68,21820239872
146.95,21828366336
147.23,21836230656
147.52,21843963904
147.80,21851959296
148.08,21859954688
148.36,21867425792
148.65,21875290112
148.93,21882892288
149.21,21890887680
149.49,21898620928
149.78,21906354176
150.05,21913956352
150.33,21921689600
150.61,21929816064
150.90,21934141440
151.18,21941874688
151.47,21949739008
151.75,21957603328
152.03,21964812288
152.31,21971890176
152.59,21979230208
152.87,21995220992
153.15,22023794688
153.44,22044504064
153.73,22059970560
154.01,22071898112
154.29,22081859584
154.57,22090641408
154.85,22099292160
155.14,22107156480
155.42,22114758656
155.70,22122754048
155.99,22130356224
156.27,22138089472
156.56,22145691648
156.84,22152507392
157.12,22159585280
157.40,22166532096
157.69,22174003200
157.97,22181474304
158.26,22188814336
158.54,22196154368
158.82,22203625472
159.10,22210441216
159.38,22217781248
159.66,22225252352
159.95,22232592384
160.23,22240456704
160.52,22247665664
160.80,22250680320
161.08,22257496064
161.36,22264573952
161.64,22271782912
161.92,22278467584
162.20,22285283328
162.48,22292099072
162.77,22298783744
163.04,22305730560
163.33,22312415232
163.61,22319230976
163.90,22326046720
164.18,22332731392
164.46,22339678208
164.74,22346362880
165.02,22353440768
165.31,22360256512
165.59,22366679040
165.87,22372970496
166.16,22379655168
166.44,22386601984
166.72,22393679872
167.01,22400364544
167.29,22407049216
167.58,22413340672
167.86,22420156416
168.15,22426972160
168.43,22433656832
168.71,22440341504
169.00,22447026176
169.28,22453710848
169.57,22460264448
169.85,22466949120
170.13,22473502720
170.41,22480449536
170.69,22487396352
170.98,22490804224
171.26,22497095680
171.54,22503518208
171.82,22509678592
172.10,22516756480
172.38,22523179008
172.66,22529994752
172.95,22536155136
173.23,22542970880
173.51,22549786624
173.80,22556209152
174.08,22562762752
174.36,22568923136
174.64,22575607808
174.92,22582161408
175.19,22588321792
175.47,22594613248
175.76,22601166848
176.04,22607458304
176.32,22613749760
176.61,22619910144
176.89,22625939456
177.17,22632624128
177.46,22639177728
177.74,22645338112
178.02,22651498496
178.31,22657527808
178.59,22663688192
178.87,22670110720
179.16,22677057536
179.44,22683086848
179.72,22689771520
180.00,22696456192
180.28,22702878720
180.56,22709301248
180.85,22713102336
181.13,22719393792
181.41,22725423104
181.69,22732238848
181.97,22738923520
182.25,22745346048
182.54,22751768576
182.81,22758584320
183.09,22764744704
183.37,22771036160
183.65,22777196544
183.94,22783619072
184.22,22789779456
184.50,22795808768
184.79,22802100224
185.07,22808653824
185.35,22814420992
185.63,22820843520
185.91,22827266048
186.20,22833819648
186.48,22839848960
186.76,22846009344
187.04,22852169728
187.32,22857936896
187.60,22863835136
187.88,22870257664
188.17,22876418048
188.45,22882709504
188.73,22888869888
189.02,22895030272
189.30,22901452800
189.58,22907875328
189.86,22914560000
190.15,22920720384
190.43,22926880768
190.71,22933303296
190.99,22936580096
191.27,22943002624
191.55,22949294080
191.84,22955847680
192.12,22962139136
192.40,22968430592
192.68,22974853120
192.96,22980620288
193.24,22986780672
193.52,22992678912
193.80,22998839296
194.09,22971748352
194.37,22978039808
194.65,22984462336
194.93,22991015936
195.22,22997700608
195.50,23003992064
195.78,23010414592
196.06,23016968192
196.34,23022866432
196.62,23029026816
196.90,23035318272
197.18,23041609728
197.47,23047639040
197.75,23054192640
198.03,23060484096
198.31,23067561984
198.60,23073329152
198.88,23079620608
199.17,23085912064
199.44,23092203520
199.72,23098494976
200.00,23104917504
200.29,23110946816
200.57,23117500416
200.85,23120646144
201.14,23127068672
201.42,23133229056
201.70,23139127296
201.98,23144632320
202.26,23149875200
202.54,23155773440
202.82,23161802752
203.10,23167307776
203.38,23172550656
203.66,23177924608
203.95,23183691776
204.22,23189458944
204.50,23195750400
204.79,23201648640
205.07,23207809024
205.35,23213838336
205.64,23219867648
205.92,23225634816
206.19,23231795200
206.48,23237693440
206.76,23243591680
207.04,23250014208
207.33,23256174592
207.61,23262334976
207.90,23268495360
208.18,23274131456
208.46,23280422912
208.74,23286059008
209.02,23291957248
209.30,23297855488
209.59,23303884800
209.87,23309389824
210.15,23314894848
210.44,23320399872
210.72,23326429184
211.00,23329181696
211.28,23334424576
211.56,23340191744
211.85,23346221056
212.14,23351857152
212.42,23357886464
212.69,23363522560
212.98,23369551872
213.26,23374663680
213.53,23380561920
213.82,23386722304
214.10,23392751616
214.39,23398387712
214.67,23404285952
214.95,23410577408
215.23,23416344576
215.51,23421849600
215.80,23427616768
216.08,23433121792
216.36,23438888960
216.64,23444525056
216.91,23450554368
217.19,23456190464
217.48,23461826560
217.76,23467593728
218.04,23473491968
218.32,23479259136
218.61,23484895232
218.89,23490531328
219.16,23495905280
219.44,23500754944
219.72,23506128896
220.01,23511896064
220.29,23517007872
220.57,23521726464
220.85,23524605952
221.13,23530242048
221.41,23535353856
221.69,23541121024
221.98,23546494976
222.26,23551475712
222.53,23556980736
222.82,23562354688
223.10,23567859712
223.38,23573233664
223.66,23578738688
223.95,23584374784
224.23,23590141952
224.51,23595778048
224.78,23601545216
225.07,23607312384
225.34,23613079552
225.62,23618584576
225.90,23624089600
226.18,23629201408
226.46,23634575360
226.74,23639687168
227.02,23644930048
227.31,23650566144
227.60,23656333312
227.88,23661838336
228.16,23667212288
228.44,23672324096
228.72,23677435904
229.00,23682940928
229.29,23688052736
229.57,23692902400
229.84,23697620992
230.12,23702863872
230.40,23708368896
230.68,23713873920
230.96,23716102144
231.25,23721738240
231.53,23727374336
231.81,23733010432
232.09,23737991168
232.37,23743102976
232.65,23748083712
232.93,23753457664
233.21,23758962688
233.50,23764205568
233.78,23769710592
234.06,23774953472
234.35,23780458496
234.63,23785963520
234.91,23791075328
235.19,23796580352
235.48,23801823232
235.76,23806935040
236.04,23812308992
236.32,23817551872
236.60,23822794752
236.88,23827775488
237.16,23832887296
237.44,23838261248
237.73,23843504128
238.01,23848091648
238.29,23853203456
238.58,23858184192
238.86,23863296000
239.14,23868145664
239.42,23873257472
239.71,23877976064
239.99,23882956800
240.27,23888068608
240.56,23893049344
240.84,23895670784
241.11,23900782592
241.40,23905763328
241.67,23910612992
241.95,23915200512
242.23,23920181248
242.51,23925293056
242.79,23930404864
243.08,23935516672
243.36,23940235264
243.64,23945478144
243.93,23950589952
244.21,23955570688
244.49,23960813568
244.77,23965663232
245.06,23971037184
245.34,23975886848
245.62,23981129728
245.90,23986241536
246.18,23991353344
246.47,23996465152
246.75,24001576960
247.03,24006557696
247.31,24011276288
247.60,24016257024
247.87,24021106688
248.16,24025825280
248.43,24030806016
248.72,24035524608
249.00,24040636416
249.28,24045748224
249.57,24050204672
249.85,24055054336
250.13,24059904000
250.41,24065015808
250.70,24069996544
250.97,24072093696
251.26,24077205504
251.54,24081924096
251.82,24086249472
252.10,24090968064
252.39,24095817728
252.66,24100012032
252.94,24104992768
253.22,24109973504
253.50,24114692096
253.79,24119672832
254.07,24124260352
254.35,24128978944
254.63,24133697536
254.92,24138416128
255.20,24143134720
255.48,24148246528
255.76,24152702976
256.04,24157552640
256.32,24162664448
256.60,24167514112
256.87,24172363776
257.15,24177213440
257.43,24182325248
257.72,24187305984
258.00,24192417792
258.28,24197267456
258.56,24202117120
258.85,24206835712
259.12,24211423232
259.40,24215617536
259.68,24220860416
259.96,24225579008
260.24,24230821888
260.52,24235147264
260.81,24237768704
261.09,24242618368
261.37,24247205888
261.65,24252448768
261.93,24257036288
262.21,24262017024
262.50,24266604544
262.77,24271192064
263.05,24275386368
263.33,24279973888
263.61,24284430336
263.89,24289280000
264.17,24293867520
264.46,24298323968
264.74,24303042560
265.03,24307367936
265.31,24312086528
265.58,24316805120
265.86,24321261568
266.14,24326111232
266.42,24330567680
266.70,24335286272
266.98,24340004864
267.26,24344461312
267.53,24348917760
267.81,24353636352
268.09,24357830656
268.38,24362418176
268.66,24366481408
268.94,24371462144
269.23,24376049664
269.50,24380637184
269.79,24385093632
270.07,24389550080
270.36,24394399744
270.64,24398462976
270.93,24400429056
271.21,24405147648
271.50,24409735168
271.78,24414191616
272.06,24418648064
272.34,24422973440
272.62,24427560960
272.91,24432017408
273.19,24436342784
273.47,24441192448
273.75,24445779968
274.03,24449974272
274.31,24454299648
274.59,24458887168
274.88,24463605760
275.16,24467668992
275.44,24472125440
275.73,24476057600
276.01,24480645120
276.29,24485363712
276.57,24489951232
276.85,24494407680
277.13,24498733056
277.42,24503189504
277.70,24507121664
277.99,24510922752
278.27,24515248128
278.56,24519704576
278.84,24524161024
279.12,24528617472
279.41,24532942848
279.69,24537792512
279.97,24542248960
280.25,24546312192
280.54,24550637568
280.82,24552865792
281.11,24557322240
281.39,24561778688
281.68,24566628352
281.96,24571346944
282.25,24576065536
282.53,24580259840
282.81,24584847360
283.10,24588779520
283.38,24593104896
283.66,24597692416
283.94,24602017792
284.22,24606081024
284.51,24610406400
284.80,24614862848
285.07,24618926080
285.36,24623382528
285.64,24627838976
285.92,24632295424
286.21,24636882944
286.50,24641077248
286.79,24645533696
287.07,24649859072
287.35,24654053376
287.63,24658509824
287.91,24663097344
288.19,24667291648
288.47,24671748096
288.75,24676073472
289.04,24680267776
289.32,24684331008
289.61,24688394240
289.90,24692588544
290.17,24696651776
290.45,24700846080
290.73,24705171456
291.00,24707137536
291.29,24710938624
291.56,24715132928
291.84,24718802944
