timestamp_ms,instantaneous_rps
0.00,0.0
0.25,12087.7
0.50,14434.3
0.75,12924.3
1.00,15075.7
1.25,14568.0
1.50,15396.0
1.75,13541.8
2.00,13464.0
2.25,14176.0
2.50,15440.0
2.76,15223.1
3.01,15492.0
3.26,15848.0
3.51,15697.2
3.76,15525.9
4.01,15808.0
4.26,16059.8
4.51,15784.0
4.76,15980.1
5.01,15968.1
5.26,16632.0
5.51,16176.0
5.76,16557.8
6.01,15804.8
6.26,17632.0
6.51,18354.6
6.76,18704.0
7.01,18632.0
7.26,17593.6
7.51,18024.0
7.76,18476.0
8.02,15772.0
8.27,18048.0
8.52,16888.4
8.77,17784.0
9.02,17944.2
9.27,17924.0
9.52,17772.0
9.77,17448.0
10.02,16653.4
10.27,16172.0
10.52,15988.0
10.77,14724.0
11.02,15454.2
11.27,15600.0
11.52,15450.2
11.77,16685.3
12.02,17545.8
12.27,17872.0
12.52,18388.0
12.77,16980.1
13.03,17632.4
13.28,18334.7
13.53,18200.0
13.78,15548.0
14.03,16744.0
14.28,17031.9
14.53,21316.0
14.78,2557.8
15.03,17220.0
15.28,16478.1
15.53,16697.2
15.78,16316.0
16.03,18071.7
16.28,18552.0
16.53,17740.0
16.78,18164.0
17.03,18252.0
17.28,17800.8
17.53,18584.0
17.78,18609.6
18.04,18541.8
18.29,18448.0
18.54,18864.5
18.79,18912.0
19.04,18656.0
19.29,18462.2
19.54,18752.0
19.79,18880.0
20.04,16426.3
20.29,18672.0
20.54,18569.7
20.79,18032.0
21.04,18601.6
21.29,19656.0
21.54,19652.0
21.79,19916.3
22.04,19140.0
22.29,19916.0
22.54,19920.3
22.79,19812.0
23.04,19733.1
23.29,19876.0
23.54,19284.0
23.79,19280.0
24.04,20124.0
24.29,20072.0
24.54,20075.7
24.80,18820.7
25.05,19228.0
25.30,19748.0
25.55,19524.0
25.80,20160.0
26.05,19147.4
26.30,18450.2
26.55,18800.0
26.80,19248.0
27.05,18812.8
27.30,18124.0
27.55,19055.8
27.80,18992.0
28.05,19128.0
28.30,18749.0
28.55,18256.0
28.80,18828.0
29.05,20298.8
29.30,20268.0
29.55,20196.0
29.80,18600.0
30.05,17940.0
30.30,18172.0
30.55,20290.8
30.80,20508.0
31.05,19936.3
31.30,18450.2
31.55,18216.0
31.80,18712.0
32.05,18422.3
32.30,18584.0
32.55,18412.0
32.81,18418.3
33.06,18652.0
33.31,17593.6
33.56,18756.0
33.81,19092.0
34.06,19320.0
34.31,19243.0
34.56,18788.8
34.81,18784.0
35.06,18729.1
35.31,19084.0
35.56,17612.0
35.81,18749.0
36.06,18904.0
36.31,18589.6
36.56,18008.0
36.81,17808.8
37.06,17948.2
37.31,17450.2
37.56,17848.0
37.81,17540.0
38.06,17988.0
38.32,17633.5
38.57,17772.0
38.82,18000.0
39.07,17685.3
39.32,17888.0
39.57,18552.0
39.82,18880.0
40.07,18390.4
40.32,19156.0
40.57,19151.4
40.82,19784.0
41.07,18692.0
41.32,19183.3
41.57,18673.3
41.82,18568.0
42.07,18764.9
42.32,19713.1
42.57,19904.0
42.82,20024.0
43.07,17748.0
43.32,17788.8
43.57,19052.0
43.83,18219.1
44.08,19684.0
44.33,18900.0
44.58,18844.0
44.83,18510.0
45.08,18780.9
45.33,16304.0
45.58,15286.9
