time,used_memory_rss(bytes)
0.00,47654371328
0.28,47627894784
0.56,47612952576
0.83,47583780864
1.11,47557828608
1.39,47532138496
1.67,47543914496
1.95,47496105984
2.23,47470415872
2.52,47446560768
2.80,47434768384
3.08,47409209344
3.35,47383126016
3.64,47388282880
3.92,47350272000
4.20,47324844032
4.48,47299678208
4.76,47317221376
5.04,47262666752
5.33,47236321280
5.61,47236255744
5.88,47201128448
6.17,47176749056
6.45,47151058944
6.73,47169314816
7.02,47114309632
7.30,47089012736
7.58,47083802624
7.86,47053021184
8.14,47027462144
8.42,46993940480
8.71,47009914880
8.98,46957424640
9.27,46931341312
9.54,46924001280
9.83,46899027968
10.11,46866931712
10.40,46841110528
10.68,46866112512
10.96,46811164672
11.24,46785343488
11.52,46763454464
11.80,46747619328
12.09,46721667072
12.37,46695452672
12.65,46707286016
12.94,46668226560
13.22,46642536448
13.49,46616322048
13.78,46603309056
14.06,46577750016
14.34,46551404544
14.63,46552424448
14.91,46514020352
15.19,46488199168
15.47,46461853696
15.75,46477750272
16.04,46425452544
16.31,46399893504
16.59,46403940352
16.88,46370521088
17.16,46345093120
17.43,46319009792
17.71,46336917504
18.00,46282592256
18.28,46256902144
18.57,46250627072
18.85,46221529088
19.13,46195445760
19.41,46169886720
19.70,46180044800
19.97,46123425792
20.25,46097866752
20.53,46083186688
20.81,46061199360
21.09,46035640320
21.37,46010081280
21.65,46030831616
21.93,45976387584
22.21,45951614976
22.49,45926318080
22.76,45914185728
23.05,45896228864
23.32,45870669824
23.60,45866872832
23.88,45824827392
24.16,45797957632
24.44,45772005376
24.72,45762707456
25.00,45743702016
25.28,45717880832
25.56,45711327232
25.83,45683884032
26.11,45651591168
26.39,45625638912
26.67,45649248256
26.96,45602062336
27.24,45576241152
27.52,45556056064
27.80,45539196928
28.08,45512851456
28.36,45486243840
28.64,45493452800
28.93,45450199040
29.21,45423067136
29.49,45395935232
29.77,45385183232
30.05,45358837760
30.34,45331312640
30.62,45341954048
30.90,45291089920
31.18,45264482304
31.47,45243510784
31.75,45243514880
32.02,45226082304
32.30,45199736832
32.59,45196087296
32.86,45162463232
33.14,45136117760
33.42,45110165504
33.70,45098033152
33.99,45074046976
34.27,45048094720
34.55,45037101056
34.84,45014114304
35.12,44991438848
35.40,44964962304
35.68,44983820288
35.96,44925300736
36.24,44899479552
36.52,44881653760
36.80,44863754240
37.08,44837277696
37.36,44825481216
37.64,27901505536
37.91,27882500096
38.19,27882500096
38.47,27882631168
38.76,27882663936
39.04,27882663936
39.31,27882663936
39.60,27904925696
39.87,27904012288
40.16,27904012288
40.44,27904012288
40.72,55785816064
41.00,55782998016
41.28,55782998016
41.55,55783129088
41.84,55796690944
42.11,55784132608
42.39,55784132608
42.66,55784263680
42.95,55767068672
43.23,55742164992
43.50,55716605952
43.78,55710314496
44.06,55677186048
44.33,55651364864
44.61,55624364032
44.90,55610195968
45.17,55583850496
45.45,55557767168
45.73,55540072448
46.01,55516426240
46.29,55490211840
46.57,55463997440
46.84,55464493056
47.12,55424163840
47.41,55397687296
47.68,55372652544
47.96,55355559936
48.24,55329083392
48.53,55303262208
48.81,55300452352
49.09,55261859840
49.37,55236038656
49.64,55210086400
49.92,55195312128
50.20,55168704512
50.49,55142621184
50.77,55140655104
51.05,55100727296
51.33,55074381824
51.62,55048167424
51.90,55039152128
52.17,55015165952
52.45,54989475840
52.73,54974533632
53.01,54948614144
53.30,54922399744
53.58,54896054272
53.86,54911025152
54.13,54857183232
54.41,54831362048
54.69,54807244800
54.97,54791917568
55.24,54766358528
55.52,54741061632
55.79,54745477120
56.07,54697177088
56.35,54671486976
56.63,54645141504
56.91,54630653952
57.19,54604701696
57.47,54578225152
57.75,54566166528
58.03,54537199616
58.31,54511771648
58.59,54485557248
58.87,54471184384
59.15,54445494272
59.43,54419279872
59.71,54399356928
59.99,54377865216
60.28,54351257600
60.56,54325174272
60.84,54327132160
61.12,54281265152
61.40,54254788608
61.68,54228967424
61.96,54217330688
62.23,54191902720
62.51,54166343680
62.79,54160158720
63.07,54123032576
63.35,54096687104
63.63,54070603776
63.91,54056218624
64.19,54032494592
64.47,54018469888
64.75,54010867712
65.04,53981085696
65.31,53954871296
65.59,53929181184
65.87,53914972160
66.15,53889019904
66.43,53863067648
66.71,53843537920
66.99,53822394368
67.27,53796966400
67.55,53771538432
67.83,53774032896
68.11,53732655104
68.39,53707489280
68.67,53681799168
68.95,53667213312
69.24,53641129984
69.52,53615046656
69.81,53623701504
70.09,53572677632
70.37,53546856448
70.66,53521166336
70.94,53506387968
71.22,53480304640
71.50,53454483456
71.79,53452705792
72.07,53417189376
72.34,53390843904
72.62,53364760576
72.91,53350916096
73.19,53325357056
73.47,53299404800
