time,used_memory_rss(bytes)
0.00,27498786816
0.28,27498786816
0.56,27498786816
0.84,27498786816
1.12,27498786816
1.40,54994415616
1.67,54995120128
1.95,54995120128
2.23,54995120128
2.51,55009931264
2.80,54995042304
3.08,54995042304
3.35,54995828736
3.64,54995587072
3.92,54995587072
4.20,54985715712
4.48,54980472832
4.77,54951899136
5.05,54926340096
5.33,54900256768
5.62,54887936000
5.90,54861983744
6.19,54836686848
6.47,54830002176
6.75,54798151680
7.04,54772461568
7.32,54747164672
7.60,54734110720
7.89,54707896320
8.17,54681419776
8.46,54672900096
8.74,54642905088
9.03,54617083904
9.31,54591131648
9.59,54578290688
9.87,54551945216
10.15,54526124032
10.44,54513672192
10.72,54487605248
11.01,54462046208
11.29,54436225024
11.57,54444371968
11.85,54398513152
12.13,54372823040
12.41,54355259392
12.69,54335492096
12.98,54309933056
13.26,54284374016
13.54,54303248384
13.83,54246195200
14.11,54220242944
14.39,54199533568
14.68,54182432768
14.97,54156611584
15.26,54131707904
15.53,54139441152
15.82,54092967936
16.10,54066360320
16.39,54042898432
16.67,54029266944
16.95,54003576832
17.24,53977886720
17.52,53981949952
17.80,53938532352
18.09,53912973312
18.37,53887283200
18.65,53875224576
18.94,53849272320
19.22,53824892928
19.50,53826596864
19.78,53787144192
20.06,53761847296
20.34,53736419328
20.62,53724360704
20.90,53716365312
21.18,53716365312
21.46,53718855680
21.74,53682417664
22.03,53656596480
22.32,53631037440
22.60,53618454528
22.89,53593026560
23.17,53568647168
23.45,53561438208
23.73,53531160576
24.01,53506387968
24.29,53481484288
24.57,53492887552
24.85,53444390912
25.12,53418700800
25.41,53399040000
25.69,53381083136
25.96,53355524096
26.25,53330227200
26.52,53336911872
26.80,53290119168
27.09,53264822272
27.37,53238607872
27.65,53227573248
27.93,53202407424
28.21,53177372672
28.50,53180256256
28.78,53136502784
29.07,53112647680
29.34,53087612928
29.63,53071806464
29.91,53046378496
30.19,53020688384
30.48,53020164096
30.76,52983660544
31.04,52957708288
31.32,52932804608
31.61,52917612544
31.88,52892839936
32.16,52867149824
32.44,52857581568
32.72,52830670848
33.00,52805505024
33.28,52780339200
33.56,52793257984
33.84,52741013504
34.12,52715323392
34.40,52696842240
34.69,52678373376
34.97,52653207552
35.24,52627779584
35.53,52636102656
35.81,52589191168
36.09,52563238912
36.38,52538466304
36.66,52523847680
36.94,52498681856
37.22,52473516032
37.50,52489244672
37.79,52436086784
38.07,52410396672
38.35,52385230848
38.63,52371091456
38.92,52345270272
39.20,52319580160
39.48,52319055872
39.77,52279771136
40.05,52253949952
40.33,52233502720
40.62,52220342272
40.90,52193603584
41.19,52167651328
41.46,52161228800
41.75,52126330880
42.03,52099723264
42.31,52073377792
42.60,52057567232
42.88,52031352832
43.16,52005138432
43.45,51997143040
43.73,51965931520
44.01,51939848192
44.28,51913371648
44.57,51898953728
44.85,51874050048
45.12,51847573504
45.41,51829354496
45.69,51808120832
45.98,51782037504
46.26,51756085248
46.54,51764473856
46.82,51716108288
47.10,51689893888
47.38,51669184512
47.66,51652538368
47.95,51625930752
48.24,51600109568
48.52,51613872128
48.80,51560656896
49.08,51534573568
49.37,51509276672
49.65,51495251968
49.93,51469561856
50.22,51442954240
50.51,51467071488
50.80,51401142272
51.07,51375714304
51.35,51349630976
51.63,51335213056
51.92,51309785088
52.20,51290255360
52.49,51288682496
52.77,51243069440
53.05,51217117184
53.34,51191296000
53.62,51179175936
53.89,51153354752
54.17,51127271424
54.46,51122028544
54.74,51086962688
55.02,51061534720
55.30,51036237824
55.58,51021950976
55.87,51000455168
56.14,50974896128
56.43,50962051072
56.71,50937049088
56.99,50911358976
57.27,50885668864
57.55,50904772608
57.83,50845544448
58.11,50820509696
58.39,50799800320
58.67,50780540928
58.96,50754719744
59.25,50729160704
59.53,50740277248
59.81,50690732032
60.09,50665697280
60.37,50640400384
