timestamp_ms,instantaneous_rps
0.00,0.0
0.25,23048.0
0.50,31916.0
0.75,33589.6
1.00,33744.0
1.25,21737.1
1.50,34912.0
1.75,37616.0
2.00,35872.0
2.25,29500.0
2.50,37408.0
2.75,38657.4
3.00,38148.0
3.25,29440.0
3.50,37952.0
3.75,39532.0
4.00,38468.0
4.25,29569.7
4.50,39784.0
4.75,40128.0
5.00,39104.0
5.25,30652.0
5.50,41400.0
5.75,40920.0
6.00,39920.0
6.26,27155.4
6.51,41564.0
6.76,42456.0
7.01,40498.0
7.26,28728.0
7.51,41608.0
7.76,42444.0
8.01,40099.6
8.26,28812.0
8.51,41300.0
8.76,42332.0
9.01,40932.3
9.26,28680.0
9.51,41212.0
9.76,41466.1
10.01,40948.0
10.26,28844.0
10.51,42156.0
10.76,43292.0
11.01,40936.3
11.26,29580.0
11.51,42640.0
11.76,42784.0
12.01,41384.0
12.26,30008.0
12.51,42712.0
12.76,42668.0
13.01,41816.0
13.26,30239.0
13.51,42348.0
13.76,43116.0
14.01,41988.0
14.26,30051.8
14.51,43788.0
14.76,43996.0
15.01,41972.0
15.26,30012.0
15.51,43800.0
15.76,44416.0
16.02,40637.5
16.27,30764.0
16.52,43652.0
16.77,44148.0
17.02,42620.0
17.27,30772.0
17.52,44684.0
17.77,42537.9
18.02,41872.0
18.27,31160.0
18.52,37156.0
18.77,44872.0
19.02,44016.0
19.27,32320.0
19.52,42649.4
19.77,45688.0
20.02,43860.0
20.27,37236.0
20.52,45332.0
20.77,45276.0
21.02,42749.0
21.27,32360.0
21.52,44432.0
21.77,43244.0
22.02,42276.0
22.27,32980.1
22.52,45200.0
22.77,44752.0
23.02,39680.0
23.27,33288.0
23.52,46392.0
23.77,46298.8
24.02,43424.0
24.27,34048.0
24.52,46752.0
24.77,47268.0
25.02,44832.0
25.27,36012.0
25.52,46741.0
25.77,46736.0
26.02,44264.0
26.27,31216.0
26.52,46728.0
26.77,46672.0
27.02,43520.0
27.27,35083.7
27.52,47568.0
27.77,47812.0
28.02,45784.0
28.27,33864.0
28.52,47828.0
28.77,48340.0
29.02,45557.8
29.27,31604.0
29.52,47248.0
29.77,48012.0
30.02,46220.0
30.27,36648.0
30.52,48480.0
30.77,48516.0
31.02,46276.0
31.27,32617.5
31.52,48200.0
31.77,48420.0
32.02,46092.0
32.27,32376.0
32.52,48656.0
32.77,48952.0
33.02,46334.7
33.27,27300.0
33.52,46076.0
33.77,49176.0
34.02,47748.0
34.27,32396.0
34.52,49512.0
34.78,50179.3
35.03,44332.0
35.28,32800.0
35.53,50132.0
35.78,50236.0
36.03,48019.9
36.28,34448.0
36.53,41680.0
36.78,40840.0
37.03,39296.0
37.28,32239.0
37.53,41012.0
37.78,41112.0
38.03,39336.0
38.28,33076.0
38.53,41096.0
38.78,41432.0
39.03,39380.0
39.28,32904.4
39.53,40324.0
39.78,41708.0
40.03,39756.0
40.28,33268.0
40.53,40548.0
40.78,41336.0
41.03,43244.0
41.28,34067.7
41.53,41704.0
41.78,41708.0
42.03,39900.0
42.28,33800.0
42.53,41512.0
42.78,41577.7
43.03,39612.0
43.28,33816.0
43.53,44180.0
43.78,40588.0
44.03,38824.7
44.28,34072.0
44.53,42328.0
44.78,42232.0
45.03,39216.0
45.28,34264.0
45.53,42636.0
45.78,41960.2
46.03,45392.0
46.28,39528.0
46.53,43008.0
46.78,42440.0
47.03,40472.0
47.28,33720.0
47.53,41908.4
47.78,47428.0
48.03,49760.0
48.28,33832.0
48.53,41244.0
48.78,46080.0
49.03,40796.0
49.28,36645.4
49.53,41920.0
49.78,41940.0
50.03,41036.0
50.28,34988.0
50.53,41008.0
50.78,49176.0
51.04,51689.2
51.29,47612.0
51.54,52664.0
51.79,54196.0
52.04,51680.0
52.29,32800.0
52.54,45856.0
52.79,42608.0
53.04,40784.0
53.29,36752.0
53.54,43180.0
53.79,43528.0
54.04,41264.0
54.29,36274.9
54.54,44940.0
54.79,47348.0
55.04,40928.0
55.29,31880.0
55.54,43644.0
55.79,43384.0
56.04,42392.0
56.29,32370.5
56.54,51580.0
56.79,54484.0
57.04,53324.0
57.29,35740.0
57.54,54988.0
57.79,55612.0
58.04,51948.0
58.29,37300.0
58.54,44374.5
58.79,48720.0
59.04,51120.0
59.29,35912.0
59.54,52012.0
59.79,55788.0
60.04,50660.0
60.29,37248.0
60.54,54968.0
60.79,55386.5
61.04,52156.0
61.29,36776.0
61.54,56080.0
61.79,55872.0
62.04,53476.0
62.29,34168.0
62.54,55436.0
62.79,55976.0
63.04,53148.0
63.29,35657.4
63.54,54628.0
63.79,56084.0
64.04,53080.0
64.29,35172.0
64.54,55992.0
64.79,55652.0
65.04,53968.0
65.29,37504.0
65.54,55537.9
65.79,46244.0
66.04,36012.0
66.29,32684.0
