time,used_memory_rss(bytes)
0.00,48043143168
0.28,48015224832
0.56,47989927936
0.84,47966875648
1.12,47940399104
1.40,47914971136
1.67,47919857664
1.96,47875432448
2.24,47848562688
2.52,47821824000
2.80,47805956096
3.09,47779610624
3.36,47752478720
3.65,47752515584
3.93,47712055296
4.21,47685447680
4.49,47658971136
4.77,47645802496
5.04,47619457024
5.32,47592587264
5.60,47588397056
5.88,47551172608
6.16,47524433920
6.44,47497695232
6.72,47514308608
7.01,47458484224
7.29,47432138752
7.57,47423881216
7.85,47400841216
8.13,47375806464
8.41,47349067776
8.69,47362473984
8.97,47309258752
9.25,47282257920
9.54,47255650304
9.82,47241801728
10.10,47214931968
10.38,47187800064
10.67,47199309824
10.95,47147466752
11.23,47120859136
11.51,47094120448
11.79,47082958848
12.07,47057399808
12.35,47030923264
12.63,47028789248
12.91,46991929344
13.18,46965059584
13.47,46937927680
13.75,46924484608
14.02,46890344448
14.31,46868586496
14.59,46869241856
14.87,46832332800
15.15,46804807680
15.43,46778068992
15.72,46794395648
16.00,46746423296
16.29,46719684608
16.57,46705397760
16.85,46677381120
17.14,46650904576
17.41,46623379456
17.70,46636867584
17.98,46586273792
18.26,46551236608
18.54,46524235776
18.83,46523060224
19.11,46496321536
19.39,46469320704
19.67,46485368832
19.96,46421057536
20.25,46394056704
20.52,46366662656
20.81,46360358912
21.08,46333620224
21.36,46306488320
21.64,46308962304
21.92,46260080640
22.20,46233210880
22.48,46205947904
22.77,46191882240
23.05,46164226048
23.33,46136307712
23.62,46139977728
23.90,46096146432
24.18,46069669888
24.46,46042800128
24.74,46080811008
25.02,46008983552
25.30,45981065216
25.59,45972938752
25.87,45934497792
26.15,45907103744
26.43,45879185408
26.72,45913788416
26.99,45845495808
27.28,45818363904
27.56,45801979904
27.84,45780414464
28.12,45763112960
28.40,45763244032
28.68,45797584896
28.97,45730353152
29.25,45703221248
29.53,45676351488
29.82,45769674752
30.11,45647130624
30.39,45620523008
30.66,45642018816
30.94,45582905344
31.23,45556166656
31.50,45528903680
31.79,45591818240
32.07,45504352256
32.35,45476958208
32.64,45493342208
32.92,45440434176
33.20,45412777984
33.49,45386170368
33.77,45426933760
34.04,45350080512
34.33,45322817536
34.61,45319409664
34.89,45285879808
35.17,45258223616
35.45,45231353856
35.73,45276372992
36.01,45189693440
36.29,45162430464
36.57,45152600064
36.85,45128179712
37.14,45101047808
37.42,45073522688
37.70,45115465728
37.98,45038616576
38.26,45011484672
38.54,44985401344
38.81,45057097728
39.09,44951236608
39.37,44924235776
39.65,44947566592
39.94,44893024256
40.21,44866809856
40.49,44839809024
40.77,44896694272
41.05,44825722880
41.32,27885772800
41.60,27909234688
41.88,27885924352
42.17,27886186496
42.45,27886317568
42.73,27952115712
43.02,27886428160
43.30,27886428160
43.58,27886428160
43.86,55779151872
44.14,55768723456
44.43,55763193856
44.71,55763193856
44.99,55795568640
45.27,55764303872
45.55,55764566016
45.83,55774789632
46.12,55750119424
46.40,55723773952
46.67,55695724544
46.96,55684317184
47.24,55656660992
47.52,55628873728
47.81,55615766528
48.09,55590658048
48.37,55562739712
48.65,55535476736
48.94,55550025728
49.22,55496781824
49.50,55468470272
49.78,55450382336
50.06,55432024064
50.35,55404105728
50.64,55376580608
50.92,55392571392
51.20,55334744064
51.48,55308005376
51.76,55285067776
52.05,55264489472
52.33,55237357568
52.61,55209832448
52.89,55220318208
53.16,55173001216
53.44,55146524672
53.72,55119654912
54.00,55105933312
54.28,55079456768
54.56,55051800576
54.84,55049441280
55.12,55015198720
55.40,54984089600
55.69,54956171264
55.97,54949113856
56.24,54924472320
56.52,54896816128
56.80,54884364288
57.08,54855561216
57.36,54828429312
57.64,54801559552
57.92,54821220352
58.20,54762045440
58.48,54734913536
58.76,54707650560
59.04,54696681472
59.32,54669287424
59.59,54641500160
59.88,54650281984
60.16,54598701056
60.45,54582448128
60.72,54580875264
61.01,54567874560
61.30,54533423104
61.58,54504456192
61.86,54505373696
62.15,54462488576
62.42,54435356672
62.70,54407307264
62.99,54403371008
63.27,54373486592
63.55,54345043968
63.84,54345437184
64.12,54309822464
64.41,54281379840
64.70,54253461504
64.98,54237618176
65.26,54209830912
65.55,54182043648
65.83,54176014336
66.11,54140305408
66.39,54112256000
66.68,54085124096
66.96,54070022144
67.24,54042234880
67.52,54013661184
67.81,54000291840
68.08,53980651520
68.36,53955354624
68.64,53929926656
68.92,53916090368
69.21,53891710976
69.49,53866807296
69.77,53848457216
70.05,53829558272
70.33,53805047808
70.61,53779750912
70.89,53799526400
71.17,53745508352
71.45,53718114304
71.73,53690720256
72.01,53676625920
72.30,53648576512
72.59,53620920320
72.87,53637029888
73.15,53594304512
73.42,53556396032
73.70,53529001984
73.98,53526806528
74.26,53499150336
74.55,53471494144
74.83,53465239552
75.11,53435641856
75.39,53408247808
75.67,53380722688
75.95,53412679680
76.23,53340344320
76.51,53312294912
76.79,53297876992
77.07,53271629824
77.36,53244235776
77.64,53216448512
77.93,53238095872
78.21,53175574528
78.49,53149229056
78.77,53123276800
79.05,53109383168
79.33,53081726976
79.60,53054201856
79.88,53056827392
80.16,53013311488
80.45,52985524224
80.73,52957999104
81.02,52947394560
81.30,52919738368
81.58,52892737536
81.86,52892368896
82.14,52850831360
82.43,52823044096
82.71,52795125760
82.99,52779216896
83.27,52740325376
83.55,52713062400
83.84,52705853440
84.11,52670488576
84.39,52642570240
84.67,52615045120
84.95,52610748416
85.23,52575875072
85.51,52548481024
85.79,52531310592
86.07,52513996800
86.35,52486340608
86.64,52457635840
86.92,52481998848
87.21,52414050304
87.49,52386131968
87.77,52361228288
88.06,52342099968
88.35,52314705920
88.62,52286656512
88.91,52291407872
89.19,52241829888
89.47,52213911552
89.75,52186386432
90.03,52173574144
90.31,52145393664
90.59,52117344256
90.88,52125708288
91.16,52077867008
91.44,52049948672
91.72,52021374976
92.01,52003373056
92.29,51975585792
92.57,51947798528
92.85,51943714816
93.13,51904655360
93.41,51876868096
93.69,51848556544
93.98,51836534784
94.26,51808747520
94.54,51780829184
94.83,51772588032
95.11,51729580032
95.39,51701923840
95.67,51673874432
95.96,51668779008
96.24,51633360896
96.53,51605180416
96.81,51599675392
97.09,51571748864
97.37,51544092672
97.66,51516436480
97.94,51530186752
98.22,51475890176
98.50,51449151488
98.78,51431981056
99.06,51411021824
99.34,51383889920
99.62,51357282304
99.89,51377098752
100.17,51323678720
100.45,51296546816
100.73,51269283840
101.02,51257966592
101.29,51231227904
101.57,51204358144
101.86,51204083712
102.13,51166203904
102.42,51139465216
102.70,51112726528
102.98,51098378240
103.27,51071639552
103.55,51044900864
103.83,51039985664
104.11,51003023360
104.39,50975236096
104.68,50948628480
104.95,50962128896
105.23,50909622272
105.52,50883014656
105.79,50863878144
106.07,50841227264
106.35,50806460416
106.63,50779590656
106.91,50787409920
107.19,50738032640
107.46,50711031808
107.74,50683375616
108.02,50674237440
108.30,50647367680
108.58,50620760064
108.86,50618437632
109.14,50580705280
109.42,50554097664
109.69,50527358976
109.96,50511110144
110.25,50484109312
110.52,50456977408
110.80,50445967360
111.08,50415603712
111.37,50388602880
111.65,50360946688
111.93,50367885312
112.20,50317946880
112.47,50291208192
112.75,50264076288
113.03,50249740288
113.31,50222477312
113.59,50194952192
113.88,50197491712
114.16,50152132608
114.44,50124869632
114.72,50097606656
115.00,50081505280
115.28,50054897664
115.56,50027634688
115.83,50016583680
116.12,49996136448
116.40,49993121792
116.68,49965989888
116.96,49956610048
117.24,49922830336
117.52,49895698432
117.80,49888358400
118.08,49858625536
118.36,49830969344
118.65,49803968512
118.92,49825730560
119.20,49762373632
119.48,49734455296
119.76,49707454464
120.05,49692106752
120.33,49664974848
120.61,49637580800
120.89,49640787968
121.16,49594912768
121.44,49566994432
121.72,49539469312
122.01,49524133888
122.29,49496870912
122.57,49469476864
122.85,49468952576
123.13,49427795968
123.41,49400532992
123.69,49372614656
123.98,49359290368
124.26,49331896320
124.54,49304371200
124.82,49311449088
125.11,49269202944
125.38,49243119616
125.67,49216774144
125.95,49230274560
126.23,49179176960
126.51,49153748992
126.80,49139462144
127.08,49112571904
127.36,49083805696
127.64,49059164160
127.92,49073008640
128.21,49021607936
128.49,48997097472
128.77,48980320256
129.06,48955830272
129.35,48929353728
129.63,48904450048
129.91,48915853312
130.20,48865259520
130.48,48838520832
130.76,48816369664
131.05,48797577216
131.33,48772542464
131.61,48745541632
131.90,48754671616
132.18,48708009984
132.46,48682975232
132.74,48656498688
133.02,48638369792
133.31,48613203968
133.59,48588431360
133.87,48594763776
134.15,48549543936
134.43,48523591680
134.72,48499343360
135.00,48485429248
135.28,48458952704
135.56,48433393664
135.84,48436858880
136.12,48402112512
136.40,48375111680
136.68,48347717632
136.96,48334577664
137.25,48304816128
137.53,48277553152
137.81,48270344192
138.09,48238530560
138.37,48211529728
138.66,48184397824
138.94,48197541888
139.22,48144719872
139.49,48117587968
139.78,48098189312
140.06,48076972032
140.34,48051019776
140.62,48023625728
140.90,48030310400
141.18,47981158400
141.47,47954419712
141.75,47930171392
142.04,47913697280
142.32,47888138240
142.59,47861661696
142.87,47862321152
143.15,47829409792
143.43,47805947904
143.71,47786549248
143.99,47774449664
144.28,47748628480
144.56,47728443392
144.84,47728275456
145.12,47695376384
145.40,47669424128
145.67,47642947584
145.96,47665954816
146.24,47608823808
146.52,47584706560
146.79,47570681856
147.08,47546593280
147.36,47525195776
147.64,47501733888
147.92,47517659136
148.20,47464787968
148.48,47440146432
148.76,47419305984
149.04,47404736512
149.32,47378522112
149.60,47352438784
149.89,47358468096
150.17,47313920000
150.46,47288492032
150.74,47262801920
151.01,47250673664
151.29,47226425344
151.57,47201914880
151.84,47198375936
152.12,47165304832
152.41,47140007936
152.69,47115759616
152.97,47101476864
153.25,47074607104
153.53,47048261632
153.81,47043411968
154.09,47010775040
154.37,46990721024
154.65,46964244480
154.93,46991114240
155.22,46923243520
155.50,46897029120
155.78,46880382976
156.06,46855127040
156.34,46829043712
156.62,46802436096
156.90,46810533888
157.18,46759170048
157.47,46731874304
157.75,46709460992
158.04,46692798464
158.32,46666059776
158.60,46638927872
158.89,46660468736
159.16,46606073856
159.44,46580252672
159.71,46554038272
159.99,46573568000
160.27,46517530624
160.56,46508617728
160.84,46528741376
161.11,46495932416
161.40,46469718016
161.68,46443110400
161.96,46475038720
162.24,46405386240
162.53,46377861120
162.81,46380351488
163.09,46345670656
163.37,46318669824
163.65,46292062208
163.94,46327455744
164.22,46253662208
164.50,46226923520
164.78,46211981312
165.06,46192775168
165.33,46165643264
165.62,46139035648
165.90,46147817472
166.18,46101610496
166.46,46074216448
166.75,46049705984
167.03,46035718144
167.31,46008979456
167.59,45981323264
167.88,45991628800
168.16,45943316480
168.44,45915529216
168.72,45887348736
169.00,45872529408
169.28,45845528576
169.56,45818003456
169.84,45827133440
170.12,45777063936
170.41,45750456320
170.68,45722275840
170.97,45739335680
171.25,45683367936
171.52,45656236032
171.80,45644308480
172.08,45615456256
172.36,45588848640
172.63,45561323520
172.91,45575376896
173.20,45521899520
173.47,45494898688
173.76,45474058240
174.05,45455323136
174.33,45428846592
174.61,45402238976
174.88,45417345024
175.17,45363867648
175.44,45337260032
175.72,45310128128
176.00,45294673920
176.28,45268328448
176.56,45241327616
176.84,45249933312
177.12,45202878464
177.40,45175615488
177.68,45148483584
177.96,45134008320
178.25,45106745344
178.53,45079089152
178.81,45077123072
179.09,45041799168
179.37,45014011904
179.66,44986224640
179.94,45000986624
180.22,44951441408
180.51,44922998784
180.80,44912906240
181.08,44897374208
181.36,27901321216
181.64,27901321216
181.93,27926855680
182.21,27901296640
182.49,27901427712
182.77,27908374528
183.05,27901251584
183.33,27901251584
183.61,27901251584
183.89,27924471808
184.17,27901272064
184.45,27901272064
184.74,27901272064
185.01,27901157376
185.30,27901288448
185.57,27901288448
185.85,27928301568
186.14,27901284352
186.43,27901284352
186.70,27901284352
186.99,27901304832
187.26,27901304832
187.54,27901304832
187.82,27916247040
188.10,27901575168
188.38,27901575168
188.67,27901575168
188.95,27901575168
189.23,27901575168
189.51,27901575168
189.78,27901575168
190.06,27901575168
190.34,27901575168
190.62,27901575168
190.90,27901575168
191.18,27901575168
191.46,27901575168
191.75,27901575168
192.03,27901575168
192.30,27901575168
192.58,27901575168
192.87,27901575168
193.15,27901575168
193.44,27901575168
193.72,27901575168
194.00,27901575168
194.27,27901575168
194.55,27901575168
194.84,55805108224
195.11,55834804224
195.39,55850270720
195.67,55878713344
195.95,55896158208
196.23,55784648704
196.51,55759876096
196.80,55732744192
197.08,55730933760
197.36,55695175680
197.64,55670403072
197.92,55643533312
198.20,55629107200
198.48,55601713152
198.76,55574712320
199.04,55567765504
199.33,55531286528
199.60,55504547840
199.88,55477153792
200.17,55459241984
200.46,55431061504
200.74,55402881024
201.03,55392264192
201.31,55357804544
201.59,55330148352
201.87,55303409664
202.15,55284731904
202.43,55257600000
202.71,55229157376
202.99,55211069440
203.27,55191314432
203.55,55163527168
203.84,55136657408
204.12,55123234816
204.40,55105671168
204.67,55078539264
204.95,55053897728
205.24,55032737792
205.51,55005474816
205.79,54978605056
206.08,54982381568
206.36,54940729344
206.65,54914383872
206.92,54886334464
207.21,54870183936
207.49,54843183104
207.78,54815920128
208.06,54811987968
208.33,54773604352
208.61,54745554944
208.89,54718423040
209.17,54703992832
209.45,54676205568
209.73,54648549376
210.02,54638063616
210.30,54604931072
210.58,54578192384
210.86,54551191552
211.14,54534152192
211.42,54506889216
211.70,54479626240
211.98,54460227584
212.26,54435401728
212.54,54408007680
212.82,54380482560
213.10,54363738112
213.38,54336606208
213.66,54309867520
213.94,54283390976
214.22,54267158528
214.51,54239633408
214.80,54212894720
215.07,54224297984
215.36,54169378816
215.64,54141722624
215.92,54114590720
216.20,54097133568
216.48,54069477376
216.77,54042345472
217.05,54037712896
217.33,54000226304
217.61,53973356544
217.89,53946224640
218.17,53933510656
218.45,53906509824
218.73,53879640064
219.01,53868367872
219.29,53839683584
219.57,53812289536
219.85,53785681920
220.13,53793501184
220.41,53745958912
220.69,53718958080
220.97,53698379776
221.25,53678678016
221.53,53651677184
221.81,53625069568
222.09,53629767680
222.37,53585465344
222.65,53558726656
222.93,53531856896
223.21,53517135872
223.48,53490397184
223.76,53463396352
224.04,53459308544
224.32,53423394816
224.59,53396656128
224.87,53369786368
225.15,53382107136
225.43,53329608704
225.72,53301821440
226.00,53287141376
226.28,53260972032
226.55,53234757632
226.83,53208150016
227.11,53214089216
227.39,53166903296
227.67,53139378176
227.95,53115260928
228.23,53098590208
228.52,53071458304
228.80,53044850688
229.08,53051297792
229.36,53000966144
229.65,52973309952
229.93,52954304512
230.21,52928241664
230.49,52900454400
230.78,52878434304
231.06,52874956800
231.35,52834848768
231.63,52807585792
231.91,52780847104
232.19,52764438528
232.48,52737830912
232.75,52709781504
233.04,52701655040
233.32,52676657152
233.59,52649787392
233.88,52622917632
234.15,52605755392
234.43,52578361344
234.71,52550967296
234.99,52534059008
235.28,52506681344
235.55,52479549440
235.83,52453072896
236.11,52452855808
236.39,52408807424
236.67,52381282304
236.95,52356247552
237.23,52337790976
237.51,52310134784
237.80,52282740736
238.07,52283248640
238.36,52240519168
238.64,52212731904
238.93,52185862144
239.21,52170432512
239.48,52142252032
239.76,52114857984
240.04,52117962752
240.33,52070539264
240.61,52043014144
240.89,52015620096
241.17,51999830016
241.45,51972304896
241.73,51945041920
242.01,51940716544
242.29,51909980160
242.57,51884290048
242.85,51865677824
243.13,51849482240
243.42,51822088192
243.70,51794694144
243.98,51773984768
244.25,51752693760
244.53,51724513280
244.81,51696857088
245.10,51698135040
245.38,51654488064
245.66,51627749376
245.94,51602059264
246.22,51584626688
246.50,51558412288
246.78,51531280384
247.06,51528134656
247.34,51487633408
247.62,51460239360
247.91,51434024960
248.18,51417399296
248.46,51390791680
248.74,51364052992
249.02,51364577280
249.30,51331768320
249.58,51306995712
249.86,51279601664
250.14,51263475712
250.42,51236999168
250.69,51210260480
250.97,51189420032
251.25,51175788544
251.53,51152326656
251.81,51125194752
252.09,51128078336
252.36,51084824576
252.64,51057692672
252.92,51031216128
253.20,51018067968
253.47,50991329280
253.75,50964328448
254.04,50956345344
254.31,50924265472
254.59,50898051072
254.88,50871312384
255.15,50856587264
255.43,50829979648
255.71,50802978816
255.99,50787250176
256.27,50760511488
256.55,50733248512
256.84,50705985536
257.12,50708238336
257.40,50664329216
257.68,50637590528
257.96,50613866496
258.24,50595143680
258.52,50568404992
258.80,50541535232
259.07,50542473216
259.36,50500005888
259.63,50473398272
259.91,50446135296
260.19,50430861312
260.47,50403729408
260.75,50384330752
261.04,50386907136
261.32,50335453184
261.61,50308059136
261.89,50280534016
262.17,50324951040
262.46,50242727936
262.73,50215596032
263.01,50211745792
263.29,50178191360
263.57,50152370176
263.84,50125369344
264.12,50135547904
264.40,50088099840
264.68,50061492224
264.95,50038292480
265.24,50023219200
265.52,49996087296
265.81,49969348608
266.09,49978105856
266.37,49930010624
266.64,49903665152
266.92,49877581824
267.20,49865515008
267.47,49838776320
267.75,49811775488
268.03,49806094336
268.31,49778438144
268.60,49750650880
268.88,49723518976
269.16,49708183552
269.45,49681182720
269.73,49653657600
270.01,49643433984
270.29,49613762560
270.57,49586892800
270.86,49558843392
271.14,49567764480
271.42,49517170688
271.70,49489776640
271.99,49491873792
272.27,49482506240
272.54,49455898624
272.82,49429291008
273.09,49432518656
273.37,49388347392
273.66,49360691200
273.94,49333690368
274.22,49319583744
274.50,49292189696
274.79,49264926720
275.07,49270706176
275.35,49222963200
275.63,49195831296
275.91,49168044032
276.19,49153658880
276.48,49127051264
276.76,49100181504
277.04,49095548928
277.32,49057144832
277.61,49030668288
277.88,49003143168
278.16,48995082240
278.45,48960237568
278.73,48932843520
279.01,48920260608
279.29,48888803328
279.58,48861671424
279.85,48834277376
280.14,48820142080
280.42,48793010176
280.71,48765747200
280.99,48755654656
281.26,48732225536
281.55,48706666496
281.83,48679665664
282.11,48701898752
282.40,48642162688
282.68,48615817216
282.96,48595501056
283.25,48578285568
283.53,48550498304
283.81,48524021760
284.09,48545992704
284.37,48483782656
284.66,48457437184
284.93,48430043136
285.21,48417853440
285.49,48391245824
285.77,48363982848
286.05,48376549376
286.33,48325218304
286.61,48297824256
286.89,48270823424
287.17,48295284736
287.45,48232079360
287.74,48204947456
288.01,48208617472
288.29,48163352576
288.56,48136089600
288.84,48107909120
289.12,48122445824
289.40,48065462272
289.68,48038199296
289.96,48015261696
290.24,48006430720
290.52,47979560960
290.80,47951904768
291.09,47957676032
291.37,47918616576
291.65,47891222528
291.93,47863828480
292.21,47848017920
292.49,47820623872
292.77,47792836608
293.05,47789838336
293.33,47750930432
293.62,47722749952
293.90,47694438400
294.19,47677837312
294.47,47650312192
294.75,47622131712
295.04,47617085440
295.31,47580385280
295.59,47553908736
295.87,47526252544
296.15,47538049024
296.43,47485751296
296.71,47458226176
296.99,47444201472
297.27,47416152064
297.56,47389282304
297.83,47361626112
298.11,47364247552
298.38,47311699968
298.67,47283912704
298.95,47257698304
299.23,47248900096
299.51,47221637120
299.79,47194636288
300.07,47197220864
300.36,47154692096
300.63,47128084480
300.91,47101214720
301.19,47087382528
301.47,47060250624
301.75,47033249792
302.04,47034494976
302.32,46995886080
302.60,46969409536
302.88,46942146560
303.17,46923055104
303.45,46896447488
303.73,46869315584
304.02,46871412736
304.30,46839693312
304.58,46813347840
304.86,46786740224
305.14,46806659072
305.42,46750871552
305.70,46723608576
305.99,46707748864
306.27,46684991488
306.55,46658252800
306.83,46630858752
307.12,46645833728
307.40,46595366912
307.68,46568235008
307.96,46540972032
308.24,46528425984
308.52,46500900864
308.81,46474293248
309.08,46478512128
309.37,46435127296
309.64,46407995392
309.92,46380732416
310.20,46405636096
310.48,46345080832
310.76,46318211072
311.04,46326075392
311.31,46281379840
311.60,46253723648
311.88,46226722816
312.16,46249816064
312.44,46189314048
312.73,46162051072
313.01,46146777088
313.29,46118809600
313.57,46092201984
313.85,46065463296
314.14,46110420992
314.41,46036242432
314.69,46009110528
314.97,45990629376
315.25,46048432128
315.52,45949169664
315.80,45922562048
316.08,45944188928
316.36,45887762432
316.64,45860892672
316.92,45834285056
317.20,45891432448
317.49,45798633472
317.77,45771632640
318.05,45782249472
318.33,45736636416
318.61,45709635584
318.89,45682634752
319.17,45738995712
319.46,45647585280
319.74,45620453376
320.02,45615996928
320.30,45586665472
320.58,45576441856
320.85,45565562880
321.14,45598068736
321.42,45529059328
321.70,45501927424
321.98,45484523520
322.27,45460344832
322.55,45433344000
322.84,45406212096
323.12,45427576832
323.40,45366013952
323.68,45339144192
323.96,45313847296
324.24,45299822592
324.53,45272035328
324.82,45244510208
325.10,45263777792
325.38,45204795392
325.66,45177794560
325.94,45150793728
326.23,45141880832
326.51,45114880000
326.79,45089320960
327.07,45106884608
327.34,45055225856
327.62,45028356096
327.90,45001617408
328.18,45061779456
328.45,44968648704
328.74,44941910016
329.02,44940992512
329.30,44917690368
329.58,27914104832
329.86,27914104832
330.14,27967582208
330.42,27914170368
330.70,27914170368
330.99,27923738624
331.26,27914170368
331.55,27914170368
331.83,27907153920
332.11,27969019904
332.39,27913318400
332.67,27913318400
332.95,27913318400
333.24,27913277440
333.52,27913277440
333.80,27913277440
334.08,27954565120
334.36,27913211904
334.64,27913211904
334.92,27913211904
335.20,27972063232
335.49,27913236480
335.77,27913236480
336.05,27936960512
336.33,27913236480
336.62,27913236480
336.90,27913236480
337.18,27968942080
337.45,27913236480
337.74,27913236480
338.02,27931979776
338.30,27913236480
338.58,27913236480
338.86,27913236480
339.14,27959373824
339.41,27913236480
339.70,27913236480
339.97,27919921152
340.26,27913236480
340.54,27913236480
340.82,27913236480
341.10,27950329856
341.38,27913236480
341.66,27913236480
341.94,27909193728
342.22,27913388032
342.50,27913388032
342.79,27913388032
343.07,27951398912
343.35,27913388032
343.63,27913388032
343.90,27913388032
344.18,27971190784
344.46,27913388032
344.75,27913388032
345.04,27934621696
345.31,27913388032
345.59,27913388032
345.88,27913388032
346.16,27964768256
346.44,27913388032
346.72,27913388032
347.01,27928985600
347.29,27913388032
347.57,27913388032
347.86,27913388032
348.14,27959918592
348.42,27913388032
348.69,27913388032
348.97,27922694144
349.25,28021653504
349.54,27913404416
349.82,27913404416
350.10,27951546368
350.39,27913404416
350.67,27913404416
350.95,27913404416
351.23,27913453568
351.51,27913453568
351.79,27913453568
352.07,27942559744
352.35,27913740288
352.63,27913740288
352.92,27913740288
353.19,27980849152
353.48,28067618816
353.76,27913715712
354.04,27947532288
354.32,27913744384
354.60,27913744384
354.88,27913744384
355.16,27977314304
355.44,27913744384
355.72,27913744384
356.00,27932487680
356.28,28023320576
356.56,28125163520
356.85,28065030144
357.13,27969327104
357.41,27913752576
357.69,27913752576
357.97,27922272256
358.25,27947175936
358.53,27913822208
358.81,27913822208
359.09,27959697408
359.37,28048957440
359.65,28146475008
359.93,28248186880
360.21,28320538624
360.50,27944374272
360.78,28019347456
361.06,27913834496
361.34,27964035072
361.62,27913834496
361.90,27908128768
362.18,27917828096
362.46,28007350272
362.74,28108275712
363.02,28199108608
363.30,28296626176
363.57,28342370304
363.85,27969593344
364.13,27913654272
364.41,27913654272
364.69,27979845632
364.97,28058488832
365.25,28148535296
365.53,28249591808
365.81,28324040704
366.09,27941912576
366.37,28012036096
366.64,27913486336
366.92,27965259776
367.20,28044034048
367.48,28117172224
367.76,28215869440
368.05,28316794880
368.32,28343533568
368.61,27981406208
368.88,27913449472
369.16,27928784896
369.45,28017389568
369.72,28118052864
369.99,28213735424
370.28,28317151232
370.56,28379017216
370.85,27945562112
371.13,28043997184
371.41,27913449472
371.70,27993796608
371.98,28083798016
372.26,28182233088
372.54,28283813888
372.83,28361408512
373.11,27935064064
373.39,28023537664
373.67,27912982528
373.95,27954663424
374.23,28036452352
374.51,28136198144
374.78,28219691008
375.06,28304101376
375.35,28358758400
375.63,27957682176
375.91,28045369344
376.19,28127551488
376.48,28217597952
376.76,28318654464
377.04,28418138112
377.32,28305522688
377.60,27994058752
377.89,28056055808
378.17,27950514176
378.45,28047245312
378.74,28142796800
379.02,28244639744
379.30,28343861248
379.58,28390916096
379.87,27966574592
380.15,28059897856
380.43,28059897856
380.72,28059897856
380.99,28059897856
381.27,28059897856
381.55,27952549888
381.83,27913232384
382.10,27908186112
382.39,27908317184
382.68,27998232576
382.95,27911987200
383.23,27911987200
383.51,27945279488
383.79,28015665152
384.06,28115017728
384.33,28216074240
384.61,28302057472
384.90,28387909632
385.18,27919282176
385.46,28003299328
385.74,27912073216
386.02,27952967680
386.30,28041965568
386.59,28133322752
386.87,28229529600
387.15,28330323968
