time,used_memory_rss(bytes)
0.00,51205758976
0.28,51176136704
0.56,51147563008
0.83,51118465024
1.11,51089227776
1.40,51059482624
1.68,51030515712
1.96,51001417728
2.24,50972405760
2.52,50943045632
2.80,50914078720
3.08,50884587520
3.36,50862043136
3.64,50834255872
3.92,50804371456
4.20,50774618112
4.48,50745257984
4.76,50715504640
5.04,50685620224
5.32,50655604736
5.61,50626506752
5.89,50597933056
6.17,50569097216
6.44,50540261376
6.72,50511032320
7.01,50481803264
7.28,50453098496
7.56,50423083008
7.84,50393853952
8.12,50364755968
8.41,50336575488
8.68,50307608576
8.96,50279297024
9.24,50250067968
9.52,50222776320
9.80,50194202624
10.07,50164842496
10.36,50136530944
10.63,50107826176
10.91,50078859264
11.18,50049630208
11.48,50021056512
11.76,49992613888
12.03,49964433408
12.32,49936121856
12.59,49907941376
12.87,49888280576
13.14,49858543616
13.42,49830494208
13.69,49802182656
13.97,49774002176
14.25,49745166336
14.53,49716199424
14.81,49688150016
15.08,49660231680
15.36,49632444416
15.64,49604526080
15.91,49574903808
16.20,49546067968
16.48,49516838912
16.76,49488527360
17.03,49459691520
17.32,49429676032
17.60,49401102336
17.88,49371611136
18.16,49342644224
18.45,49314594816
18.72,49286283264
19.00,49258102784
19.28,49230053376
19.56,49201610752
19.84,49173430272
20.12,49144463360
20.40,49115889664
20.67,49087184896
20.95,49058680832
21.23,49030762496
21.51,49002450944
21.79,48974532608
22.07,48946483200
22.34,48918040576
22.62,48889860096
22.89,48860893184
23.17,48833105920
23.45,48805449728
23.72,48777400320
24.00,48748826624
24.28,48719204352
24.56,48690237440
24.84,48661270528
25.12,48633483264
25.40,48604778496
25.67,48575942656
25.95,48547368960
26.23,48519450624
26.50,48491270144
26.78,48462696448
27.06,48433598464
27.34,48404631552
27.62,48375795712
27.90,48346959872
28.17,48317730816
28.46,48289812480
28.74,48261894144
29.02,48233451520
29.31,48204746752
29.60,48176828416
29.88,48148516864
30.15,48119943168
30.43,48091893760
30.71,48063844352
30.99,48034877440
31.27,48007352320
31.55,47979958272
31.83,47950569472
32.11,47921864704
32.40,47892373504
32.68,47863275520
32.96,47834570752
33.24,47810584576
33.53,47810846720
33.81,47798132736
34.09,47769821184
34.37,47741378560
34.65,47712542720
34.93,47685279744
35.20,47656341504
35.48,47627767808
35.76,47598669824
36.04,47569571840
36.33,47541260288
36.60,47512293376
36.88,47483195392
37.17,47454097408
37.45,47425392640
37.73,47397212160
38.02,47368900608
38.29,47340064768
38.57,47312015360
38.85,47283048448
39.14,47254343680
39.42,47226294272
39.70,47198113792
39.98,47169540096
40.25,47141097472
40.53,47113310208
40.81,47084343296
41.09,47056424960
41.37,47027982336
41.65,46999539712
41.93,46971621376
42.20,46942916608
42.49,46913949696
42.77,46886031360
43.05,46857719808
43.33,46829015040
43.61,46800834560
43.89,46772654080
44.17,46743687168
44.45,46715146240
44.73,46685392896
45.02,46657081344
45.30,46629031936
45.58,46600458240
45.86,46571884544
46.14,46543441920
46.42,46514081792
46.70,46485245952
46.99,46455885824
47.27,46427181056
47.55,46398738432
47.83,46369771520
48.11,46340149248
48.39,46311313408
48.67,46283264000
48.95,46254428160
49.23,46226640896
49.51,46198329344
49.79,46169362432
50.08,46146424832
50.36,46118506496
50.64,46091112448
50.91,46062669824
51.19,46032392192
51.47,46002638848
51.76,45973409792
52.05,45944836096
52.32,45915475968
52.61,45886246912
52.89,45857542144
53.17,45828706304
53.45,45800525824
53.73,45772083200
54.01,45743640576
54.29,45715329024
54.57,45686226944
54.85,45657522176
55.12,45628948480
55.41,45600505856
55.69,45571670016
55.97,45542965248
56.24,45513998336
56.53,45486473216
56.80,45457506304
57.08,45428670464
57.36,45399441408
57.63,45370867712
57.91,45342294016
58.20,45314244608
58.47,45285801984
58.75,45257490432
59.03,45228523520
59.32,45200605184
59.59,45172555776
59.87,45144375296
60.15,45115539456
60.43,45086834688
60.71,45057212416
61.00,45029294080
61.27,45001375744
61.54,44972670976
61.82,44944490496
62.10,44915392512
62.38,44886294528
62.67,44858376192
62.95,44858507264
63.23,27881119744
63.51,27881119744
63.79,27881119744
64.06,27881381888
64.34,27881512960
64.62,27881512960
64.91,27881512960
65.19,27881512960
65.46,55760203776
65.74,55760203776
66.02,55760203776
66.30,55748931584
66.58,55719571456
66.86,55690080256
67.14,55661244416
67.42,55630237696
67.70,55600746496
67.98,55570599936
68.25,55539929088
68.54,55509651456
68.82,55480492032
69.10,55449296896
69.39,55419150336
69.67,55388479488
69.95,55358070784
70.23,55328055296
70.51,55297908736
70.80,55268286464
71.07,55237746688
71.35,55211401216
71.63,55183613952
71.91,55153860608
72.19,55123451904
72.48,55093436416
72.76,55062503424
73.05,55031701504
73.33,55001686016
73.61,54971408384
73.89,54941523968
74.17,54911246336
74.46,54881361920
74.73,54850822144
75.02,54820675584
75.30,54790791168
75.58,54761693184
75.85,54732857344
76.14,54703104000
76.42,54673612800
76.69,54643204096
76.97,54613188608
77.26,54583435264
77.54,54553812992
77.82,54524321792
78.10,54494437376
78.39,54465077248
78.66,54434930688
78.94,54404915200
79.22,54375161856
79.50,54345932800
79.78,54316048384
80.06,54285246464
80.34,54254968832
80.62,54225084416
80.90,54195068928
81.18,54164791296
81.46,54134120448
81.75,54103187456
82.03,54072647680
82.31,54042763264
82.59,54012616704
82.87,53982863360
83.15,53953110016
83.42,53923618816
83.70,53893865472
83.98,53863309312
84.26,53833687040
84.54,53804720128
84.81,53775360000
85.09,53746130944
85.36,53716377600
85.65,53687803904
85.92,53658705920
86.21,53630001152
86.48,53600903168
86.76,53580587008
87.05,53552275456
87.32,53526061056
87.60,53500239872
87.88,53474549760
88.16,53449121792
88.44,53423955968
88.71,53395382272
88.99,53366415360
89.27,53337841664
89.54,53308612608
89.82,53280563200
90.10,53250678784
90.38,53221449728
90.67,53191958528
90.95,53163122688
91.22,53132845056
91.51,53104402432
91.78,53074911232
92.07,53045813248
92.35,53017370624
92.62,52987617280
92.91,52959043584
93.18,52930863104
93.47,52900192256
93.75,52869783552
94.04,52846190592
94.31,52817092608
94.60,52788125696
94.88,52758372352
95.16,52728619008
95.44,52699127808
95.71,52668719104
95.99,52638048256
96.27,52608163840
96.55,52578410496
96.83,52548263936
97.11,52518117376
97.39,52487708672
97.67,52458086400
97.94,52427939840
98.22,52397268992
98.50,52366991360
98.79,52336844800
99.07,52306698240
99.35,52275896320
99.63,52245618688
99.91,52215238656
100.20,52185305088
100.48,52156076032
100.76,52127371264
101.04,52097224704
101.32,52067995648
101.60,52038111232
101.88,52008882176
102.15,51978604544
102.44,51949375488
102.72,51920408576
102.99,51891441664
103.28,51861557248
103.55,51832197120
103.83,51803361280
104.11,51773345792
104.40,51744116736
104.68,51713314816
104.96,51684216832
105.24,51655118848
105.52,51626283008
105.80,51597447168
106.08,51568742400
106.36,51540824064
106.64,51511726080
106.92,51482497024
107.19,51454054400
107.47,51425480704
107.75,51396120576
108.03,51366498304
108.32,51337007104
108.60,51307909120
108.88,51278417920
109.17,51249319936
109.44,51219959808
109.72,51190861824
110.00,51162025984
110.29,51133321216
110.57,51103698944
110.85,51074994176
111.12,51045240832
111.41,51015286784
111.69,50986319872
111.97,50956435456
112.25,50926682112
112.53,50896797696
112.81,50866913280
113.10,50837815296
113.38,50808324096
113.67,50779095040
113.95,50749210624
114.23,50719326208
114.51,50690621440
114.79,50661261312
115.07,50631376896
115.34,50602278912
115.62,50572394496
115.90,50543034368
116.18,50513543168
116.47,50484576256
116.74,50455609344
117.02,50426249216
117.30,50396758016
117.58,50367135744
117.87,50336989184
118.15,50307497984
118.43,50278137856
118.71,50249302016
118.99,50220204032
119.27,50190712832
119.55,50162532352
119.83,50131984384
120.11,50102099968
120.39,50073526272
120.67,50043379712
120.95,50014019584
121.23,49984659456
121.51,49955823616
121.79,49926594560
122.07,49897365504
122.35,49867350016
122.63,49837334528
122.91,49808105472
123.19,49777958912
123.48,49747550208
123.76,49717927936
124.04,49688305664
124.32,49658814464
124.60,49629585408
124.88,49600356352
125.15,49570471936
125.43,49541242880
125.71,49511227392
125.99,49482129408
126.27,49452113920
126.55,49422229504
126.83,49392607232
127.11,49362591744
127.39,49333624832
127.67,49303740416
127.95,49275166720
128.22,49245937664
128.50,49216053248
128.78,49186430976
129.06,49156153344
129.34,49126772736
129.62,49097412608
129.90,49068314624
130.18,49038954496
130.46,49009987584
130.74,48979578880
131.03,48949432320
131.31,48919285760
131.59,48889663488
131.87,48859385856
132.15,48828715008
132.44,48800141312
132.71,48770125824
132.99,48739454976
133.27,48708784128
133.55,48678768640
133.83,48648097792
134.12,48618606592
134.39,48588722176
134.67,48557789184
134.95,48527380480
135.23,48497496064
135.52,48468922368
135.80,48438120448
136.08,48407842816
136.36,48377565184
136.64,48347680768
136.92,48318189568
137.20,48288174080
137.49,48258289664
137.77,48229847040
138.05,48199962624
138.33,48169553920
138.61,48141766656
138.89,48111357952
139.17,48081735680
139.45,48051195904
139.73,48021966848
140.01,47992082432
140.29,47962722304
140.57,47932968960
140.85,47902691328
141.13,47872806912
141.41,47842791424
141.69,47812907008
141.97,47783546880
142.25,47753924608
142.53,47723515904
142.81,47692800000
143.09,47662522368
143.37,47632244736
143.65,47603671040
143.93,47573786624
144.21,47543508992
144.49,47513100288
144.77,47483478016
145.05,47453855744
145.33,47424233472
145.61,47393562624
145.89,47364333568
146.17,47335104512
146.44,47305613312
146.72,47275597824
147.00,47245582336
147.28,47215435776
147.56,47185551360
147.84,47155798016
148.12,47126282240
148.40,47095873536
148.69,47066513408
148.97,47036104704
149.25,47006351360
149.53,46976860160
149.81,46946844672
150.09,46917091328
150.36,46887469056
150.64,46857584640
150.92,46827044864
151.20,46797553664
151.48,46795325440
151.76,46789951488
152.05,46758858752
152.33,46728581120
152.61,46698565632
152.89,46668419072
153.17,46638403584
153.45,46609305600
153.73,46580469760
154.00,46550454272
154.28,46520700928
154.56,46491340800
154.84,46461456384
155.13,46430916608
155.41,46401687552
155.69,46371803136
155.97,46342311936
156.25,46312820736
156.53,46283853824
156.81,46254886912
157.09,46224871424
157.37,46195380224
157.65,46166675456
157.93,46137708544
158.21,46107504640
158.49,46078537728
158.76,46048653312
159.05,46018375680
159.32,45988884480
159.61,45959393280
159.88,45930164224
160.16,45900279808
160.44,45870788608
160.72,45840904192
161.01,45810888704
161.29,45780611072
161.57,45751250944
161.85,45721235456
162.13,45690695680
162.41,45660024832
162.70,45630402560
162.98,45600911360
163.25,45570633728
163.54,45541666816
163.82,45511389184
164.10,45481766912
164.38,45451489280
164.66,45420294144
164.94,45390409728
165.22,45360263168
165.51,45330771968
165.79,45300756480
166.07,45271003136
166.35,45242036224
166.63,45213462528
166.91,45183971328
167.19,45153824768
167.47,45123940352
167.75,45094055936
168.03,45064564736
168.31,45034811392
168.59,45004533760
168.87,44974997504
169.15,44944850944
169.43,44915359744
169.71,44887310336
169.98,44885610496
170.26,27894358016
170.54,27894358016
170.82,27894358016
171.11,27894358016
171.39,27894358016
171.68,27894358016
171.95,27894358016
172.24,27894358016
172.52,27894489088
172.80,27894489088
173.09,27894489088
173.36,27894489088
173.64,27894751232
173.92,27894751232
174.20,27894751232
174.48,27894751232
174.76,27894882304
175.04,27894882304
175.32,27894882304
175.60,27895013376
175.88,27895013376
176.16,27895013376
176.44,27895013376
176.71,27895013376
176.99,27895144448
177.26,27895275520
177.54,27895275520
177.82,27895275520
178.09,27895275520
178.38,27895406592
178.66,27895406592
178.93,27895537664
179.21,27895537664
179.49,27895537664
179.76,27895537664
180.03,27895537664
180.31,27895668736
180.59,27895668736
180.86,27895668736
181.13,27895668736
181.41,27895668736
181.69,27895668736
181.96,27895930880
182.24,27895930880
182.51,27895930880
182.79,27895930880
183.08,27896061952
183.35,27896061952
183.63,27896061952
183.91,27896061952
184.19,27896193024
184.47,27896193024
184.75,27896193024
185.03,27896324096
185.30,27896324096
185.58,27896324096
185.86,27896324096
186.14,27896324096
186.43,27896717312
186.71,27896717312
186.98,27896717312
187.26,27896717312
187.54,27896717312
187.82,27896717312
188.10,27896717312
188.38,27896717312
188.66,27896717312
188.95,27896848384
189.22,27896848384
189.50,27896848384
189.79,27896848384
190.07,27896979456
190.35,27897110528
190.63,27897110528
190.91,27897110528
191.19,27897110528
191.46,27897241600
191.74,27897241600
192.02,27897241600
192.30,27897241600
192.57,27897241600
192.85,27897372672
193.12,27897634816
193.40,27897634816
193.68,27897634816
193.96,27897634816
194.23,27897634816
194.52,27897634816
194.79,27897634816
195.07,27897634816
195.35,27897765888
195.63,27897765888
195.91,27897765888
196.19,27897896960
196.48,27897896960
196.76,27897896960
