time,used_memory_rss(bytes)
0.00,48074670080
0.28,48045965312
0.56,48017391616
0.83,47988256768
1.11,47962042368
1.39,47933206528
1.66,47903846400
1.95,47873830912
2.23,47845126144
2.50,47816028160
2.79,47787585536
3.07,47757832192
3.35,47728734208
3.63,47699374080
3.91,47671062528
4.19,47641329664
4.47,47613018112
4.75,47583657984
5.03,47554166784
5.31,47526379520
5.59,47496757248
5.88,47466610688
6.16,47438036992
6.44,47409070080
6.72,47380234240
7.00,47351005184
7.28,47322038272
7.56,47292284928
7.84,47263711232
8.12,47235268608
8.41,47206039552
8.69,47176548352
8.97,47147188224
9.26,47117959168
9.54,47088599040
9.82,47058714624
10.10,47030403072
10.37,47003009024
10.65,46973386752
10.93,46945206272
11.21,46916108288
11.49,46887141376
11.77,46857388032
12.05,46828683264
12.33,46799060992
12.62,46769831936
12.90,46741127168
13.18,46711615488
13.47,46682779648
13.74,46653239296
14.03,46624141312
14.31,46594129920
14.58,46565031936
14.86,46535933952
15.14,46506311680
15.43,46478917632
15.71,46450212864
15.98,46419410944
16.27,46389526528
16.55,46360166400
16.83,46342209536
17.11,46342209536
17.39,46320058368
17.67,46291353600
17.95,46263304192
18.23,46235254784
18.51,46207074304
18.78,46178107392
19.07,46150189056
19.35,46121353216
19.63,46092910592
19.91,46063550464
20.19,46034845696
20.47,46006140928
20.75,45977305088
21.03,45947813888
21.32,45918846976
21.60,45890273280
21.88,45861044224
22.16,45832470528
22.44,45803372544
22.73,45774159872
23.01,45745979392
23.29,45717667840
23.57,45688438784
23.85,45659865088
24.13,45631946752
24.41,45601935360
24.69,45573099520
24.97,45544525824
25.25,45515689984
25.53,45488033792
25.81,45459066880
26.09,45431148544
26.37,45402443776
26.65,45374263296
26.93,45345427456
27.20,45316329472
27.49,45287493632
27.77,45259837440
28.05,45230477312
28.33,45202034688
28.61,45173067776
28.89,45144363008
29.17,45115396096
29.45,45086691328
29.73,45058117632
30.01,45029412864
30.29,45001756672
30.57,44972658688
30.86,44942680064
31.14,44926554112
31.42,44926554112
31.70,27915030528
31.99,27915030528
32.27,27915030528
32.55,27915030528
32.83,27915030528
33.11,27915030528
33.39,27915030528
33.68,27915030528
33.96,27915030528
34.24,27915030528
34.52,55826403328
34.80,55826403328
35.08,55825862656
35.36,55824027648
35.64,55795191808
35.92,55767273472
36.20,55737532416
36.48,55709351936
36.76,55681302528
37.03,55651811328
37.32,55623368704
37.60,55594401792
37.89,55565697024
38.16,55536336896
38.44,55505518592
38.73,55475748864
39.01,55446126592
39.29,55417815040
39.57,55388323840
39.86,55358439424
40.14,55329603584
40.41,55300636672
40.69,55271145472
