time,used_memory_rss(bytes)
0.00,31161917440
0.28,31133343744
0.56,31107915776
0.84,31094939648
1.12,31084322816
1.40,31081963520
1.68,31073050624
1.97,31065448448
2.25,31058108416
2.53,31051948032
2.81,31045394432
3.09,31039758336
3.37,31034777600
3.65,31029927936
3.93,31025078272
4.21,31020752896
4.49,31015772160
4.77,31010267136
5.06,31006728192
5.33,31002533888
5.62,30998077440
5.90,30993752064
6.18,30988247040
6.46,30983790592
6.74,30979858432
7.02,30976319488
7.30,30972911616
7.58,30968061952
7.87,30962556928
8.16,30956658688
8.44,30951022592
8.72,30947352576
9.00,30943813632
9.28,30936342528
9.56,30928347136
9.84,30921400320
10.13,30912749568
10.40,30904360960
10.69,30896627712
10.97,30888501248
11.25,30888505344
11.53,19523481600
11.81,19540258816
12.09,39080890368
12.38,39093604352
12.66,39081545728
12.94,39069618176
13.22,39058083840
13.50,39047204864
13.78,39032655872
14.06,39022563328
14.34,39012339712
14.62,39003426816
14.90,38993858560
15.18,38984814592
15.46,38974984192
15.75,38966464512
16.03,38957813760
16.31,38948638720
16.59,38939463680
16.87,38931992576
17.15,38922424320
17.43,38914428928
17.71,38906040320
17.99,38897782784
18.27,38889000960
18.55,38879956992
18.84,38872092672
19.12,38863704064
19.40,38855053312
19.69,38846664704
19.97,38839062528
20.25,38830411776
20.53,38819926016
20.82,38812061696
21.09,38803132416
21.38,38795399168
21.65,38788190208
21.93,38776131584
22.21,38768660480
22.49,38760271872
22.77,38752145408
23.05,38743887872
23.33,38736023552
23.61,38729076736
23.89,38720434176
24.18,38710857728
24.45,38702993408
24.74,38695129088
25.02,38687395840
25.30,38679400448
25.58,38670880768
25.86,38662098944
26.14,38653444096
26.42,38645186560
26.70,38637453312
26.98,38628671488
27.27,38620798976
27.55,38613458944
27.83,38604677120
28.11,38594191360
28.39,38585933824
28.67,38578200576
28.95,38569680896
29.23,38561161216
29.51,38552248320
29.79,38543335424
30.07,38531268608
30.35,38523535360
30.63,38514753536
30.90,38506725376
31.18,38498816000
31.46,38490558464
31.74,38480916480
32.02,38470037504
32.30,38460338176
32.57,38451556352
32.85,38443167744
33.13,38434254848
33.41,38424555520
33.69,38416297984
33.97,38408826880
34.25,38400045056
34.52,38390607872
34.80,38382219264
35.08,38374486016
35.36,38366883840
35.65,38358364160
35.93,38350368768
36.21,38342766592
36.48,38334115840
36.77,38326382592
37.05,38313922560
37.33,38305927168
37.61,38298062848
37.89,38289149952
38.16,38281547776
38.45,38273290240
38.73,38266343424
39.00,38257299456
39.28,38249697280
39.56,38242226176
39.84,38234230784
40.12,38225842176
40.40,38218108928
40.68,38210506752
40.96,38200676352
41.24,38193205248
41.52,38185013248
41.81,38177411072
42.09,38169546752
42.37,38161317888
42.65,38152929280
42.93,38143623168
43.21,38134317056
43.49,38126714880
43.77,38118195200
44.05,38109806592
44.33,38101549056
44.61,38092505088
44.89,38081495040
45.17,38072975360
45.45,38064193536
45.74,38051741696
46.02,38041780224
46.30,38033522688
46.58,38024609792
46.86,38015041536
47.13,38006915072
47.41,37999443968
47.69,37990400000
47.97,37979783168
48.25,37970243584
48.53,37961723904
48.81,37952286720
49.10,37943767040
49.38,37935116288
49.67,37925941248
49.95,37917290496
50.24,37908246528
50.52,37899333632
50.80,37891207168
51.08,37883080704
51.36,37874167808
51.64,37864861696
51.92,37852295168
52.20,37843382272
52.47,37835255808
52.75,37825425408
53.04,37816119296
53.32,37815595008
53.61,37830275072
53.89,37821100032
54.17,37812711424
54.45,37803667456
54.73,37794492416
55.01,37781782528
55.29,37772869632
55.57,37761990656
55.86,37752684544
56.14,37743771648
56.42,37733941248
56.70,37723979776
56.98,37714149376
57.25,37703925760
57.53,37691998208
57.82,37681512448
58.10,37671550976
58.38,37662638080
58.66,37653331968
58.93,37645205504
59.21,37635637248
59.49,37625544704
59.78,37616107520
60.05,37607063552
60.34,37597757440
60.62,37587795968
60.89,37578358784
61.17,37569183744
61.45,37559091200
61.73,37549654016
62.02,37539893248
62.30,37530718208
62.58,37520625664
62.87,37509873664
63.15,37499125760
63.43,37489295360
63.71,37475532800
63.99,37465731072
64.27,37455769600
64.55,37446201344
64.83,37436932096
65.11,37426315264
65.39,37416222720
65.67,37404819456
65.96,37393809408
66.24,37382537216
66.52,37372837888
66.80,37360910336
67.08,37350162432
67.36,37334564864
67.64,37322899456
67.92,37314248704
68.19,37302976512
68.48,37292621824
68.76,37282267136
69.04,37271257088
69.32,37258674176
69.61,37248712704
69.89,37237178368
70.17,37226692608
70.45,37216600064
70.73,37205590016
71.01,37194579968
71.29,37182521344
71.58,37170855936
71.85,37156941824
72.13,37145669632
72.41,37134790656
72.70,37122732032
72.97,37109362688
73.26,37098483712
73.54,37087342592
73.82,37076594688
74.10,37064536064
74.38,37053001728
74.66,37042778112
74.93,37029408768
75.21,37016694784
75.49,37004505088
75.77,36993101824
76.04,36981305344
76.33,36969377792
76.61,36957843456
76.88,36942770176
77.17,36931235840
77.44,36919308288
77.72,36908167168
78.00,36896239616
78.28,36884180992
78.55,36873433088
78.83,36859326464
79.10,36847529984
79.38,36836286464
79.66,36824621056
79.94,36813873152
80.22,36802469888
80.50,36791197696
80.78,36779270144
81.06,36767473664
81.34,36755415040
81.62,36743094272
81.90,36731035648
82.18,36719632384
82.46,36708098048
82.74,36693311488
83.03,36678893568
83.30,36667359232
83.58,36655824896
83.86,36643635200
84.14,36632100864
84.42,36620304384
84.70,36606279680
84.98,36594614272
85.26,36582555648
85.55,36569972736
85.83,36556865536
86.12,36544937984
86.39,36531175424
86.68,36522393600
86.95,36531306496
87.24,36518445056
87.53,36506255360
87.81,36494065664
88.09,36480696320
88.37,36466933760
88.65,36453564416
88.93,36441112576
89.22,36428791808
89.50,36415946752
89.78,36405821440
90.06,24523128832
90.35,24538857472
90.63,24554455040
90.91,24583159808
91.19,24632049664
91.48,24660492288
91.76,24681201664
92.03,24699551744
92.31,24717639680
92.59,24736514048
92.88,24754012160
93.16,24772362240
93.44,24791236608
93.73,24808669184
94.01,24824791040
94.30,24842616832
94.58,24857821184
94.86,24874205184
95.14,24892162048
95.42,24909463552
95.71,24926371840
95.98,24944066560
96.26,24957960192
96.54,24975392768
96.82,24992694272
97.10,25010388992
97.38,25027952640
97.67,25045516288
97.95,25062817792
98.23,25078284288
98.52,25096241152
98.80,25112100864
99.08,25124814848
99.36,25137790976
99.64,25154174976
99.92,25169510400
100.20,25185107968
100.48,25200050176
100.77,25212239872
101.05,25229017088
101.33,25245794304
101.62,25261391872
101.91,25277251584
102.19,25291796480
102.47,25307262976
102.75,25321025536
103.03,25336360960
103.31,25352482816
103.60,25368571904
103.88,25382727680
104.17,25399635968
104.45,25415495680
104.73,25429913600
105.01,25445249024
105.28,25460977664
105.57,25477492736
105.86,25490337792
106.14,25505542144
106.42,25521664000
106.70,25535688704
106.98,25550893056
107.27,25565966336
107.56,25582350336
107.84,25595715584
108.12,25609347072
108.40,25590980608
108.69,25606578176
108.96,25622962176
109.25,25638428672
109.53,25653764096
109.81,25667788800
110.10,25684566016
110.37,25700032512
110.65,25715892224
