time,used_memory_rss(bytes)
0.00,50961612800
0.28,50932252672
0.55,50902761472
0.83,50873270272
1.12,50843516928
1.39,50813632512
1.67,50784141312
1.95,50753208320
2.23,50723323904
2.51,50692915200
2.79,50662899712
3.08,50633015296
3.35,50602606592
3.63,50572591104
3.91,50542837760
4.19,50513477632
4.47,50482286592
4.76,50452271104
5.03,50422386688
5.31,50393026560
5.59,50362355712
5.87,50332078080
6.16,50302062592
6.44,50271391744
6.72,50240720896
7.00,50210705408
7.28,50180820992
7.56,50150412288
7.84,50120396800
8.12,50089594880
8.40,50059972608
8.68,50029301760
8.96,49999941632
9.23,49970319360
9.52,49940828160
9.79,49910812672
10.07,49881452544
10.35,49851699200
10.63,49821814784
10.91,49791143936
11.19,49760997376
11.47,49730588672
11.76,49700573184
12.04,49670688768
12.32,49640280064
12.60,49610657792
12.88,49580380160
13.16,49550102528
13.45,49520218112
13.72,49489547264
14.01,49461104640
14.29,49431744512
14.57,49401290752
14.84,49371668480
15.12,49342177280
15.40,49312686080
15.68,49282408448
15.97,49252917248
16.24,49223688192
16.52,49193934848
16.81,49164967936
17.08,49134821376
17.37,49105723392
17.65,49075437568
17.93,49045684224
18.21,49015930880
18.49,48986046464
18.76,48956030976
19.05,48927064064
19.32,48898228224
19.60,48868999168
19.88,48839770112
20.15,48811196416
20.43,48782229504
20.71,48754180096
20.99,48723689472
21.27,48694853632
21.55,48665886720
21.82,48636526592
22.10,48607559680
22.38,48578199552
22.66,48548184064
22.94,48518955008
23.22,48489201664
23.50,48459677696
23.77,48429531136
24.06,48401612800
24.34,48370704384
24.61,48340819968
24.90,48310935552
25.17,48281051136
25.46,48251035648
25.74,48221413376
26.01,48192053248
26.29,48162037760
26.57,48131497984
26.86,48101613568
27.14,48071729152
27.42,48042762240
27.71,48012615680
27.99,47981682688
28.28,47951142912
28.56,47920541696
28.84,47890788352
29.12,47860772864
29.41,47830233088
29.69,47799562240
29.97,47769546752
30.25,47740186624
30.53,47712006144
30.80,47683039232
31.09,47653679104
31.36,47625367552
31.64,47596531712
31.92,47575953408
32.20,47576215552
32.48,47563370496
32.75,47535058944
33.04,47506747392
33.31,47480532992
33.59,47451828224
33.87,47424172032
34.14,47396646912
34.42,47368990720
34.70,47340417024
34.97,47311843328
35.25,47283138560
35.53,47255089152
35.80,47226122240
36.09,47197679616
36.36,47168974848
36.64,47140401152
36.92,47111172096
37.20,47082336256
37.48,47053631488
37.76,47025078272
38.04,46995980288
38.32,46967013376
38.59,46938832896
38.86,46909997056
39.14,46880899072
39.42,46851145728
39.70,46822572032
39.97,46793998336
40.24,46764769280
40.53,46735802368
40.80,46707228672
41.08,46678261760
41.35,46647984128
41.63,46617706496
41.91,46587822080
42.18,46558371840
42.45,46527045632
42.74,46497292288
43.01,46466228224
43.29,46436212736
43.56,46405672960
43.84,46375788544
44.11,46346035200
44.40,46316150784
44.67,46285873152
44.95,46256250880
45.23,46226890752
45.51,46197530624
45.78,46168170496
46.06,46137761792
46.34,46108008448
46.61,46078124032
46.90,46050074624
47.18,46020845568
47.45,45992534016
47.73,45962387456
48.01,45932503040
48.29,45901832192
48.57,45871947776
48.84,45842587648
49.12,45813227520
49.39,45783474176
49.67,45753851904
49.95,45723574272
50.23,45693689856
50.51,45663412224
50.79,45633003520
51.06,45601808384
51.35,45571268608
51.63,45541408768
51.91,45511573504
52.18,45481951232
52.46,45452328960
52.73,45422313472
53.01,45392691200
53.28,45362413568
53.57,45333184512
53.84,45303828480
54.12,45274075136
54.39,45244583936
54.67,45214306304
54.95,45184159744
55.24,45154537472
55.52,45124784128
55.80,45094506496
56.08,45064491008
56.36,45033951232
56.64,45003149312
56.93,44972998656
57.20,44943114240
57.48,44912918528
57.76,44882640896
58.03,44858658816
58.31,44858658816
58.59,27880996864
58.88,27880996864
59.16,27880996864
59.44,27880996864
59.73,27880996864
60.01,27880996864
60.29,27880996864
60.58,55759110144
60.86,55759110144
61.14,55759241216
61.42,55759241216
61.70,55729487872
61.98,55699079168
62.27,55669063680
62.55,55638786048
62.83,55608508416
63.11,55577444352
63.40,55547035648
63.68,55516364800
63.96,55486611456
64.24,55456464896
64.52,55426187264
64.80,55396171776
65.09,55365763072
65.37,55335223296
65.65,55304290304
65.93,55274274816
66.21,55243603968
66.50,55212933120
66.78,55181635584
67.06,55150964736
67.34,55121735680
67.62,55091023872
67.90,55060746240
68.18,55030206464
68.46,54999666688
