time,used_memory_rss(bytes)
0.00,28455383040
0.29,28423925760
0.56,28395483136
0.84,28407152640
1.12,17684152320
1.40,35370840064
1.68,35375951872
1.96,35364941824
2.23,35354456064
2.52,35345543168
2.80,35337547776
3.08,35329159168
3.35,35321425920
3.63,35310022656
3.91,35300716544
4.19,35295211520
4.47,35288395776
4.75,35281317888
5.03,35275681792
5.30,35269390336
5.58,35262050304
5.86,35255627776
6.14,35249860608
6.42,35243831296
6.70,35237801984
6.98,35232034816
7.26,35226361856
7.54,35214696448
7.82,35208798208
8.10,35203031040
8.38,35197788160
8.66,35192152064
8.94,35184758784
9.22,35179253760
9.51,35172982784
9.79,35167084544
10.06,35161055232
10.34,35155288064
10.62,35148210176
10.90,35141500928
11.18,35134554112
11.47,35124068352
11.75,35117907968
12.03,35112140800
12.31,35106504704
12.59,35100868608
12.87,35095363584
13.14,35088416768
13.42,35082256384
13.70,35076227072
13.97,35070066688
14.26,35063906304
14.53,35058270208
14.82,35052896256
15.09,35046211584
15.38,35040182272
15.65,35033366528
15.94,35027730432
16.23,35021701120
16.51,35015802880
16.79,35008856064
17.07,35002302464
17.35,34996928512
17.62,34989981696
17.91,34984083456
18.19,34976350208
18.47,34970189824
18.75,34962325504
19.04,34957475840
19.31,34950397952
19.59,34944368640
19.87,34938077184
20.15,34931130368
20.43,34925625344
20.71,34916319232
20.99,34909102080
21.27,34902417408
21.55,34895470592
21.83,34889703424
22.11,34882625536
22.39,34875678720
22.67,34866503680
22.95,34853658624
23.22,34846318592
23.50,34839896064
23.78,34833735680
24.06,34827182080
24.35,34820247552
24.63,34829029376
24.91,34822737920
25.19,34815791104
25.47,34802814976
25.76,34795343872
26.04,34788790272
26.32,34782105600
26.60,34771619840
26.88,34765197312
27.16,34757070848
27.44,34749337600
27.72,34742259712
28.00,34735706112
28.28,34728366080
28.56,34720108544
28.84,34713292800
29.12,34705952768
29.41,34699137024
29.69,34691272704
29.97,34684325888
30.25,34683015168
30.54,34672660480
30.81,34665603072
31.10,34658787328
31.38,34650398720
31.66,34642194432
31.94,34635247616
32.21,34627776512
32.49,34617815040
32.78,34611130368
33.06,34603134976
33.34,34595008512
33.62,34588192768
33.91,34581114880
34.18,34573774848
34.47,34563289088
34.75,34555949056
35.03,34549264384
35.31,34541023232
35.59,34532896768
35.87,34524377088
36.15,34515070976
36.43,34507599872
36.72,34500300800
37.00,34492829696
37.28,34485096448
37.55,34476793856
37.84,34468012032
38.12,34455298048
38.40,34447958016
38.67,34438782976
38.96,34431442944
39.23,34423578624
39.51,34415714304
39.79,34408898560
40.07,34399330304
40.35,34390548480
40.63,34380324864
40.91,34368659456
41.19,34359877632
41.47,34351226880
41.75,34342367232
42.03,34329391104
42.30,34319298560
42.58,34310696960
42.86,34301652992
43.15,34293002240
43.43,34282909696
43.72,34287497216
44.01,34281074688
44.29,34271768576
44.58,34261282816
44.86,34251452416
45.15,34242670592
45.42,34232446976
45.71,34222354432
45.99,34207412224
46.27,34191814656
46.55,34178576384
46.83,34165862400
47.11,34151587840
47.39,34133630976
47.67,34115936256
47.96,34096668672
48.24,34079629312
48.52,34063114240
48.79,34046468096
49.08,34030096384
49.35,34013712384
49.63,33996541952
49.91,33977270272
50.19,33966391296
50.47,33949491200
50.74,33932189696
51.03,33914888192
51.30,33897586688
51.58,33880285184
51.86,33858646016
52.14,33841475584
52.42,33823256576
52.69,33805561856
52.97,33787867136
53.26,33770827776
53.53,33752080384
53.82,33733992448
54.10,33715904512
54.38,33697816576
54.67,33680515072
54.95,33663213568
55.23,33645780992
55.51,33628479488
55.79,33611046912
56.07,33594400768
