time,used_memory_rss(bytes)
0.00,54651904000
0.28,54624247808
0.56,54596067328
0.85,54569590784
1.13,54542721024
1.42,54515326976
1.70,54488297472
1.98,54461296640
2.26,54434033664
2.55,54407294976
2.83,54380032000
3.12,54352506880
3.41,54325276672
3.68,54298669056
3.97,54271008768
4.25,54244401152
4.53,54218448896
4.81,54192627712
5.09,54165364736
5.37,54138232832
5.65,54110838784
5.94,54082396160
6.23,54054608896
6.50,54027608064
6.79,53999951872
7.07,53972426752
7.35,53944770560
7.63,53917245440
7.92,53889458176
8.20,53861933056
8.47,53834539008
8.76,53807669248
9.04,53779247104
9.33,53751590912
9.61,53724065792
9.88,53697589248
10.16,53670195200
10.44,53642670080
10.72,53615013888
11.00,53588144128
11.27,53561012224
11.56,53533749248
11.84,53507141632
12.11,53479616512
12.39,53451829248
12.68,53424304128
12.96,53397303296
13.24,53369647104
13.53,53342121984
13.81,53314596864
14.09,53287202816
14.37,53260726272
14.65,53232214016
14.94,53204819968
15.21,53177425920
15.50,53150162944
15.78,53122506752
16.06,53094326272
16.34,53066670080
16.63,53039013888
16.91,53012144128
17.19,52984750080
17.47,52957138944
17.76,52930138112
18.03,52903399424
18.32,52876005376
18.60,52848611328
18.89,52819775488
19.17,52792250368
19.45,52764463104
19.74,52737462272
20.02,52711116800
20.29,52685164544
20.57,52658163712
20.85,52631068672
21.12,52603936768
21.40,52577460224
21.68,52549804032
21.96,52523196416
22.24,52496326656
22.52,52469719040
22.80,52442456064
23.08,52416110592
23.36,52389634048
23.64,52362633216
23.92,52335108096
24.20,52308668416
24.48,52281274368
24.77,52253618176
25.06,52226355200
25.34,52199354368
25.62,52171829248
25.91,52144697344
26.19,52117303296
26.48,52089909248
26.76,52061970432
27.05,52035231744
27.33,52007968768
27.61,51980181504
27.89,51952656384
28.18,51925917696
28.46,51898130432
28.74,51871784960
29.02,51843977216
29.30,51815927808
29.58,51788533760
29.87,51761795072
30.14,51734007808
30.43,51707269120
30.71,51679744000
30.99,51652743168
31.27,51625873408
31.55,51600302080
31.83,51573510144
32.11,51545853952
32.40,51519246336
32.67,51492245504
32.95,51464851456
33.23,51437195264
33.52,51409670144
33.81,51383062528
34.09,51355648000
34.37,51329171456
34.65,51302240256
34.93,51274190848
35.22,51247976448
35.51,51221237760
35.79,51194630144
36.06,51167760384
36.34,51140890624
36.62,51113758720
36.91,51087151104
37.19,51061329920
37.46,51034722304
37.74,51007721472
38.02,50981113856
38.30,50954768384
38.57,50927669248
38.85,50900406272
39.13,50872844288
39.41,50846629888
39.68,50819235840
39.97,50793938944
40.24,50767069184
40.53,50739806208
40.80,50711887872
41.09,50685018112
41.37,50658672640
41.64,50631933952
41.92,50605195264
42.20,50578194432
42.48,50551848960
42.76,50525503488
43.04,50498207744
43.32,50471206912
43.60,50444599296
43.88,50417336320
44.17,50390335488
44.45,50363990016
44.73,50337251328
45.00,50310119424
45.28,50282856448
45.57,50256117760
45.85,50228985856
46.13,50201853952
46.41,50175115264
46.69,50147852288
46.98,50120421376
47.26,50093158400
47.54,50066419712
47.82,50039549952
48.10,50011893760
48.38,49985155072
48.66,49958547456
48.94,49930559488
49.23,49903558656
49.51,49875525632
49.79,49848393728
50.07,49821786112
50.36,49794260992
50.64,49767129088
50.92,49740128256
51.21,49713520640
51.49,49687437312
51.77,49660305408
52.05,49633042432
52.33,49606303744
52.61,49578647552
52.90,49551384576
53.18,49524908032
53.46,49497513984
53.74,49471561728
54.02,49443409920
54.30,49415884800
54.58,49388359680
54.87,49361620992
55.15,49333964800
55.44,49306308608
55.72,49279438848
56.00,49252962304
56.28,49226485760
56.56,49200271360
56.84,49172877312
57.12,49146269696
57.40,49119006720
57.68,49092005888
57.97,49070116864
58.25,49070116864
58.53,49050980352
58.81,49023979520
59.09,48996847616
59.38,48970633216
59.66,48943632384
59.94,48916115456
60.23,48889245696
60.51,48861990912
60.79,48835776512
61.06,48810086400
61.34,48783872000
61.62,48756871168
61.91,48729739264
62.19,48703655936
62.47,48676524032
62.75,48648765440
63.03,48621633536
63.32,48594669568
63.60,48567537664
63.88,48541061120
64.16,48513581056
64.45,48486580224
64.72,48460627968
65.00,48433102848
65.28,48406364160
65.56,48379363328
65.84,48352624640
66.12,48326541312
66.40,48299802624
66.68,48272539648
66.96,48245932032
67.23,48219979776
67.51,48192716800
67.80,48166109184
68.08,48138584064
68.36,48111452160
68.64,48084451328
68.92,48057319424
69.20,48030208000
69.48,48003993600
69.75,47978041344
70.04,47950684160
70.32,47923552256
70.60,47897206784
70.88,47870730240
71.16,47844515840
71.44,47817515008
71.72,47791169536
72.00,47764037632
72.28,47737692160
72.56,47710298112
72.84,47683035136
73.13,47656558592
73.41,47629819904
73.69,47602163712
73.97,47575904256
74.25,47570661376
74.54,29558661120
74.82,29558661120
75.09,29558661120
75.38,29558661120
75.66,29559185408
75.95,29559185408
76.23,29559185408
76.51,29559185408
76.79,29559185408
77.07,59115347968
77.35,59115347968
77.62,59115347968
77.90,59107483648
78.18,59082711040
78.46,59057152000
78.74,59031068672
79.02,59004686336
79.29,58979389440
79.57,58953830400
79.85,58928009216
80.13,58901676032
80.40,58876116992
80.68,58850164736
80.96,58824343552
81.25,58798784512
81.52,58772045824
81.81,58745569280
82.09,58719223808
82.38,58692747264
82.65,58665746432
82.94,58639269888
83.22,58612793344
83.50,58586185728
83.78,58558922752
84.07,58532216832
84.35,58505347072
84.63,58479132672
84.91,58452393984
85.19,58426703872
85.47,58400358400
85.75,58374668288
86.03,58348367872
86.31,58322022400
86.59,58295676928
86.86,58269593600
87.14,58243117056
87.42,58216771584
87.70,58189508608
87.99,58162507776
88.27,58135506944
88.56,58108112896
88.84,58081767424
89.12,58055028736
89.40,58028290048
89.68,58002206720
89.96,57973944320
90.25,57947992064
90.53,57921515520
90.81,57895038976
91.09,57868693504
91.37,57841692672
91.66,57815347200
91.93,57788739584
92.22,57762918400
92.49,57736835072
92.77,57709965312
93.05,57684930560
93.33,57658978304
93.60,57632894976
93.88,57607335936
94.15,57580957696
94.43,57555398656
94.71,57530101760
94.99,57504542720
95.27,57479114752
95.54,57452638208
95.82,57426817024
96.10,57401126912
96.38,57375174656
96.66,57349615616
96.93,57323139072
97.21,57296924672
97.49,57271103488
97.77,57246044160
98.05,57220485120
98.32,57195057152
98.60,57168973824
98.88,57143021568
99.16,57117331456
99.44,57090985984
99.72,57065033728
100.00,57038745600
100.28,57022099456
100.56,56999686144
100.85,56973471744
101.12,56946733056
101.41,56920666112
101.69,56894058496
101.97,56867844096
102.25,56841367552
102.53,56815415296
102.81,56790642688
103.09,56765607936
103.38,56740704256
103.66,56716324864
103.93,56691552256
104.21,56666374144
104.49,56640552960
104.77,56614076416
105.05,56587468800
105.33,56561123328
105.61,56534646784
105.89,56507908096
106.17,56481300480
106.45,56454692864
106.73,56428740608
107.00,56401608704
107.29,56374870016
107.57,56348393472
107.85,56321130496
108.14,56295309312
108.41,56269225984
108.69,56242618368
108.97,56216797184
109.24,56190844928
109.52,56164892672
109.79,56139071488
110.06,56112463872
110.34,56086446080
110.62,56059183104
110.91,56031539200
111.19,56005193728
111.47,55979765760
111.75,55953158144
112.03,55927205888
112.31,55901646848
112.59,55875694592
112.87,55850921984
113.15,55825756160
113.43,55799148544
113.71,55773720576
113.99,55748423680
114.27,55722864640
114.54,55697305600
114.82,55671353344
115.10,55645925376
115.38,55619710976
115.66,55594020864
115.93,55568592896
116.21,55542509568
116.49,55516688384
116.77,55490342912
117.05,55464914944
117.33,55438438400
117.61,55413665792
117.89,55388237824
118.16,55362023424
118.45,55336333312
118.73,55311036416
119.00,55285084160
119.29,55258083328
119.58,55230558208
119.86,55203688448
120.15,55177736192
120.42,55149813760
120.70,55122812928
120.98,55095812096
121.27,55069859840
121.55,55042727936
121.83,55016120320
122.11,54989250560
122.39,54962380800
122.67,54936428544
122.95,54909820928
123.23,54883344384
123.51,54856736768
123.79,54830522368
124.07,54803783680
124.35,54777438208
124.63,54750306304
124.91,54723567616
125.19,54696960000
125.47,54670221312
125.75,54643220480
126.03,54616875008
126.31,54589874176
126.59,54563135488
126.87,54536265728
127.15,54509133824
127.44,54482132992
127.72,54455656448
127.99,54428917760
128.27,54402441216
128.55,54376357888
128.82,54349881344
129.10,54323273728
129.38,54296928256
129.66,54270976000
129.93,54244106240
130.22,54217170944
130.50,54191742976
130.78,54165659648
131.06,54139969536
131.34,54113230848
131.62,54086230016
131.90,54059360256
132.18,54037864448
132.46,54011781120
132.74,53985304576
133.01,53958565888
