timestamp_ms,instantaneous_rps
0.00,0.0
0.25,42517.9
0.50,49008.0
0.75,48680.0
1.00,48584.0
1.25,50276.0
1.50,50552.0
1.75,48700.0
2.00,50184.0
2.25,50444.0
2.50,50336.0
2.75,48900.0
3.00,50648.0
3.25,50533.9
3.50,44080.0
3.75,49948.0
4.00,50712.0
4.25,51056.0
4.50,50364.0
4.75,49492.0
5.00,52200.0
5.25,51784.0
5.50,51392.0
5.75,50992.0
6.00,52036.0
6.25,51688.0
6.50,51820.0
6.75,48276.0
7.00,51848.0
7.25,50500.0
7.50,50840.0
7.75,51988.0
8.00,50653.4
8.25,51244.0
8.50,49984.0
8.75,52612.0
9.00,49936.0
9.25,52476.0
9.50,51432.0
9.75,52228.0
10.00,51384.0
10.25,52780.0
10.50,52396.0
10.75,52472.0
11.00,51276.0
11.25,50488.0
11.51,50637.5
11.76,51192.0
12.01,54212.0
12.26,49800.0
12.51,44248.0
12.76,53040.0
13.01,54336.0
13.26,52500.0
13.51,54064.0
13.76,53732.0
14.01,53908.0
14.26,54932.0
14.51,52641.4
14.76,53416.0
15.01,54148.0
15.26,54860.0
15.51,56160.0
15.76,56328.0
16.01,57504.0
16.26,57968.0
16.51,59856.0
16.76,7219.1
17.01,0.0
17.26,0.0
17.51,0.0
17.76,20733.1
18.01,23656.0
18.26,24576.0
18.51,24972.1
18.76,25960.0
19.01,26804.0
19.26,27660.0
19.51,28000.0
19.76,28394.4
20.01,28820.0
20.26,29332.0
20.51,29676.0
20.76,29920.0
21.01,29872.0
21.26,30364.0
21.51,30596.0
21.76,30609.6
22.01,30876.0
22.26,31040.0
22.51,31344.0
22.76,31398.4
23.01,34960.0
23.26,31589.6
23.51,31792.0
23.76,31840.0
24.01,31976.0
24.26,32084.0
24.51,32164.0
24.77,32314.7
25.02,32484.0
25.27,32440.0
25.52,31932.0
25.77,32482.1
26.02,32964.0
26.27,32724.0
26.52,32524.0
26.77,32596.0
27.02,33048.0
27.27,33019.9
27.52,32932.0
27.77,32632.0
28.02,33056.0
28.27,32788.8
28.52,33344.0
28.77,33104.0
29.02,33104.0
29.27,33087.7
29.52,33004.0
29.77,33164.0
30.02,33088.0
30.27,33416.0
30.52,33027.9
30.77,33192.0
31.02,33376.0
31.27,33692.0
31.52,33636.0
31.77,33884.0
32.02,34060.0
32.27,33888.4
32.52,34088.0
32.77,33852.0
33.02,34168.0
33.27,34316.0
33.52,34188.0
33.77,31496.0
34.02,31617.5
34.27,33796.0
34.52,33912.0
34.77,33556.0
35.02,33652.0
35.27,33800.0
35.52,33604.0
35.77,33592.0
36.02,33832.0
36.27,32956.2
36.52,34460.0
36.77,34312.0
37.02,34456.0
37.27,33796.0
37.52,34388.0
37.77,34024.0
38.02,34462.2
38.27,34616.0
38.52,33984.0
38.77,34480.0
39.02,34059.8
39.27,34624.0
39.52,34740.0
39.77,34716.0
40.02,35036.0
40.27,34824.0
40.52,35016.0
40.78,33681.3
41.03,35224.0
41.28,34956.0
41.53,35164.0
41.78,35528.0
42.03,35394.4
42.28,35544.0
42.53,35168.0
42.78,35580.0
43.03,35600.0
43.28,35524.0
43.53,35596.0
43.78,35605.6
44.03,35760.0
44.28,35860.0
44.53,35664.0
44.78,35284.0
45.03,35900.0
45.28,35652.0
45.53,35936.3
45.78,36260.0
46.03,35896.0
46.28,36520.0
46.53,36232.0
46.78,36370.5
47.03,36708.0
47.28,36028.0
47.53,36196.0
47.78,36692.0
48.03,36135.5
48.28,36468.0
48.53,36672.0
48.78,36704.0
49.03,37096.0
49.28,35884.5
49.53,36344.0
49.78,36604.0
50.03,37348.0
50.28,37160.0
50.53,35944.0
50.78,37136.0
51.03,37256.0
51.28,37107.6
51.53,37492.0
51.78,37344.0
52.03,37564.0
52.28,37557.8
52.53,37748.0
52.78,37748.0
53.03,37836.0
53.28,37608.0
53.53,37936.0
53.78,38352.0
54.03,38508.0
54.28,38316.0
54.53,37592.0
54.78,38008.0
55.03,38324.0
55.28,37784.0
55.54,37948.2
55.79,37844.0
56.04,38556.0
56.29,38324.0
56.54,38524.0
56.79,38432.0
57.04,38492.0
57.29,38432.0
57.54,37988.0
57.79,38645.4
58.04,38876.0
58.29,38464.0
58.54,39048.0
58.79,39512.0
59.04,38012.0
59.29,39376.0
59.54,38984.0
59.79,39219.1
60.04,39408.0
60.29,39132.0
60.54,39316.0
60.79,39692.0
61.04,38510.0
61.29,39840.0
61.54,39668.0
61.79,39952.0
62.04,39924.0
62.29,40176.0
62.54,39824.0
62.79,39984.0
63.04,38924.0
63.29,38608.0
63.54,39144.0
63.79,39652.0
64.04,39292.0
64.29,38506.0
64.54,38808.0
64.79,39176.0
65.04,39356.0
65.29,38792.0
65.54,39612.0
65.79,39508.0
66.04,38876.0
66.29,40308.0
66.54,38820.7
66.79,39364.0
67.04,40036.0
67.29,39756.0
67.54,39812.0
67.79,40312.0
68.04,39824.7
68.29,40304.0
68.54,38976.0
68.79,40076.0
69.04,40628.0
69.29,38532.0
69.54,40656.0
69.79,38940.2
70.04,40736.0
70.29,39968.0
70.54,40648.0
70.79,40532.0
71.04,40396.0
71.29,40960.2
71.54,39628.0
71.79,41376.0
72.04,39344.0
72.29,40736.0
72.55,41203.2
72.80,41256.0
73.05,40992.0
73.30,41468.0
73.55,41268.0
73.80,41156.0
74.05,40625.5
74.30,39544.0
74.55,41528.0
74.80,41661.4
75.05,42124.0
75.30,41704.0
75.55,42140.0
75.80,42304.0
76.05,40928.0
76.30,42140.0
76.55,40752.0
76.80,42200.0
77.05,41992.0
77.30,42256.0
77.55,41184.0
77.80,41520.0
78.05,41548.0
78.30,42772.0
78.55,42752.0
78.80,42140.0
79.05,42692.0
79.30,42780.0
79.55,42689.2
79.80,42216.0
80.05,42816.0
80.30,43236.0
80.55,42272.0
80.80,42544.0
81.05,41504.0
81.30,43028.0
81.55,42872.0
81.80,41561.8
82.05,43012.0
82.30,43140.0
82.55,42484.0
82.80,36828.0
83.05,41560.0
83.30,42596.0
83.55,41628.0
83.80,43728.0
84.05,43424.0
84.30,43584.0
84.55,43446.2
84.80,43576.0
85.05,43860.0
85.30,43788.0
85.55,44068.0
85.80,43680.0
86.05,43244.0
86.30,43344.0
86.55,43844.0
86.80,44452.0
87.05,44350.6
87.30,44204.0
87.55,44284.0
87.80,43580.0
88.05,44172.0
88.30,43456.0
88.55,43372.0
88.80,43332.0
89.05,43308.0
89.30,44624.0
89.55,44171.3
89.80,37372.0
90.05,43456.0
90.30,44724.0
90.55,43940.0
90.80,45120.0
91.05,43328.0
91.30,43924.0
91.55,44400.0
91.80,44572.0
92.05,45092.0
92.30,44648.0
92.55,39904.4
92.80,40028.0
93.05,45140.0
93.30,46296.0
93.55,46144.0
93.80,44828.0
94.05,45696.0
94.30,46248.0
94.55,46580.0
94.80,46436.0
95.05,45824.0
95.30,46564.0
95.55,43972.0
95.81,45936.3
96.06,45136.0
96.31,43824.0
96.56,45104.0
96.81,47124.0
97.06,46244.0
97.31,46617.5
97.56,44992.0
97.81,46840.0
98.06,46780.0
98.31,45272.0
98.56,46448.0
98.81,45980.0
99.06,46892.0
99.31,42824.0
99.56,46344.0
99.81,47472.0
100.06,45864.5
100.31,45636.0
100.56,47364.0
100.81,47108.0
101.06,47456.0
101.31,47656.0
101.56,41172.0
101.81,46988.0
102.06,47573.7
102.31,47600.0
102.56,46844.0
102.81,38808.0
103.06,45084.0
103.31,44736.0
103.56,46692.0
103.81,38529.9
104.06,45100.0
104.31,47324.0
104.56,48364.0
104.81,41408.0
105.06,40908.0
105.31,47120.0
105.56,47524.0
105.81,48376.0
106.06,38470.1
106.31,47032.0
106.56,46864.0
106.81,48188.0
107.06,43496.0
107.31,45020.0
107.56,48548.0
107.81,46680.0
108.06,42358.6
108.31,33984.0
108.56,48332.0
108.81,47220.0
109.06,49164.0
109.31,41564.0
109.56,45744.0
109.81,49004.0
110.06,46888.0
110.31,48856.0
110.56,39956.2
110.81,45584.0
111.06,44352.0
111.31,46056.0
111.56,39588.0
111.81,45280.0
112.06,49216.0
112.31,49336.0
112.56,47740.0
112.81,40320.0
113.06,47609.6
113.31,49668.0
113.56,49576.0
113.81,39665.3
114.06,47136.0
114.31,48092.0
114.56,47180.0
114.81,45832.0
115.06,44444.0
115.31,50120.0
115.56,50080.0
115.81,49792.8
116.06,40648.0
116.31,49612.0
116.56,49320.0
116.81,47068.0
117.06,50548.0
117.31,49108.0
117.56,50484.0
117.81,50292.0
118.06,49200.0
118.32,50525.9
118.57,48960.0
118.82,51052.0
119.07,50528.0
119.32,50556.0
119.57,51356.0
119.82,51132.0
120.07,50084.0
120.32,49124.0
120.57,48176.0
120.82,51071.7
121.07,51320.0
121.32,51224.0
121.57,48824.0
121.82,49608.0
122.07,51452.0
122.32,51648.0
122.57,51732.0
122.82,51872.0
123.07,50628.0
123.32,51668.0
123.57,51840.6
123.82,48704.0
124.07,46004.0
124.32,47159.4
124.57,51592.0
124.82,52380.0
125.07,50396.0
125.32,50924.0
125.57,51340.0
125.82,51652.0
126.07,50836.0
126.32,52520.0
126.57,50984.0
126.82,52616.0
127.07,51804.0
127.32,52444.0
127.57,50366.5
127.82,51444.0
128.07,42988.0
128.32,51860.0
128.57,51960.0
128.82,50468.0
129.07,50800.0
129.32,50808.0
129.57,51764.0
129.82,51948.0
130.07,50564.0
130.32,51892.4
130.57,53976.0
