time,used_memory_rss(bytes)
0.00,47620923392
0.28,47593529344
0.55,47567708160
0.82,47539658752
1.10,47511609344
1.38,47483428864
1.66,47454986240
1.94,47428640768
2.22,47400722432
2.49,47372017664
2.77,47342583808
3.05,47314141184
3.33,47286091776
3.61,47258042368
3.89,47229730816
4.16,47202074624
4.44,47174942720
4.71,47146762240
4.99,47117627392
5.27,47089315840
5.54,47061397504
5.82,47033741312
6.09,47005822976
6.37,46977904640
6.65,46949724160
6.93,46922461184
7.21,46893756416
7.49,46865051648
7.76,46836740096
8.04,46809477120
8.32,46780116992
8.60,46752329728
8.87,46724149248
9.15,46695968768
9.43,46668443648
9.71,46640619520
9.98,46612570112
10.26,46583709696
10.54,46555004928
10.82,46526562304
11.09,46498119680
11.37,46471512064
11.65,46445166592
11.93,46416986112
12.20,46389723136
12.48,46361280512
12.76,46332968960
13.05,46305955840
13.34,46277906432
13.62,46250512384
13.89,46222331904
14.16,46194413568
14.44,46169116672
14.72,46140805120
15.00,46111956992
15.28,46083383296
15.55,46054416384
15.84,46026235904
16.12,45997793280
16.40,45969481728
16.68,45941039104
16.96,45924655104
17.24,45924655104
17.52,45900275712
17.80,45871964160
18.07,45840900096
18.35,45810622464
18.62,45779165184
18.90,45748494336
19.18,45718085632
19.46,45686366208
19.74,45654941696
20.02,45624664064
20.30,45593862144
20.58,45562798080
20.86,45530095616
21.15,45498638336
21.43,45467312128
21.71,45444898816
21.99,45416587264
22.27,45387358208
22.55,45359046656
22.83,45330341888
23.11,45301506048
23.39,45273456640
23.67,45245276160
23.95,45216964608
24.23,45188784128
24.50,45160734720
24.78,45133078528
25.06,45104963584
25.34,45078093824
25.62,45050306560
25.90,45022126080
26.18,44993159168
26.46,44964847616
26.74,44936536064
27.02,44925526016
27.30,27914366976
27.58,27914366976
27.87,27914366976
28.14,27914366976
28.43,27914366976
28.71,27914366976
29.00,27914366976
29.28,27914366976
29.57,27914366976
29.84,27914366976
30.13,27914366976
30.41,55825747968
30.69,55825747968
30.97,55825747968
31.25,55809757184
31.53,55781183488
31.81,55752478720
32.09,55723380736
32.37,55693058048
32.65,55663697920
32.93,55634468864
33.21,55605633024
33.49,55577059328
33.76,55547830272
34.04,55518601216
34.31,55488978944
34.59,55460012032
34.86,55431176192
35.14,55401213952
35.41,55371853824
35.69,55342231552
35.97,55312740352
36.25,55283773440
36.53,55255068672
36.81,55224266752
37.09,55194775552
37.37,55165284352
37.65,55135268864
37.93,55105384448
38.21,55076155392
38.49,55047450624
38.76,55018221568
39.04,54988337152
39.32,54958845952
39.60,54930534400
39.88,54901305344
40.16,54870421504
40.44,54841192448
40.72,54811176960
40.99,54782210048
41.27,54752980992
41.55,54723751936
41.83,54694785024
42.10,54665555968
42.39,54635540480
42.67,54608015360
42.95,54577999872
43.22,54549557248
43.50,54520459264
43.78,54491885568
44.06,54463836160
44.34,54435262464
44.61,54406426624
44.88,54377328640
45.16,54348353536
45.44,54319386624
45.72,54291206144
45.99,54262124544
46.27,54233550848
46.54,54205501440
46.82,54175617024
47.10,54146519040
47.38,54117421056
47.65,54088192000
47.93,54058700800
48.21,54030127104
48.49,54000766976
48.77,53971537920
49.05,53942292480
49.33,53914112000
49.61,53884882944
49.88,53855784960
50.16,53826555904
50.44,53798113280
50.71,53769277440
50.99,53740179456
51.27,53710819328
51.55,53680279552
51.83,53650657280
52.11,53621166080
52.39,53592199168
52.67,53562970112
52.95,53533872128
53.22,53505298432
53.50,53475545088
53.78,53445922816
54.06,53416562688
54.34,53389037568
54.62,53360201728
54.90,53331628032
55.17,53303578624
55.45,53274091520
55.73,53244608512
56.02,53215379456
56.30,53186150400
56.58,53156921344
56.86,53127036928
57.14,53097938944
57.42,53069234176
57.70,53040398336
57.97,53011693568
58.25,52982988800
58.53,52953759744
58.80,52924661760
