time,used_memory_rss(bytes)
0.00,48241942528
0.28,48213106688
0.56,48185712640
0.84,48158056448
1.13,48130138112
1.41,48101171200
1.69,48073252864
1.97,48044285952
2.25,48016629760
2.53,47988711424
2.81,47960399872
3.09,47931768832
3.37,47904112640
3.65,47875932160
3.93,47847751680
4.21,47819177984
4.49,47790735360
4.77,47762948096
5.05,47735816192
5.32,47707373568
5.60,47678537728
5.88,47649705984
6.17,47621656576
6.45,47593213952
6.73,47564771328
7.01,47535804416
7.29,47507099648
7.58,47478657024
7.86,47449821184
8.14,47421509632
8.43,47393198080
8.71,47364755456
8.98,47336443904
9.26,47308132352
9.55,47279296512
9.83,47251116032
10.11,47222149120
10.39,47193313280
10.67,47164346368
10.96,47136559104
11.23,47108640768
11.51,47079018496
11.79,47050182656
12.07,47021477888
12.35,46992904192
12.63,46964723712
12.90,46936150016
13.18,46907400192
13.46,46878695424
13.74,46850777088
14.02,46822989824
14.30,46794285056
14.58,46765842432
14.86,46738317312
15.14,46709481472
15.42,46680776704
15.70,46652334080
15.98,46623260672
16.27,46594949120
16.55,46566375424
16.83,46538063872
17.11,46509490176
17.39,46480130048
17.67,46451687424
17.94,46423506944
18.22,46395240448
18.50,46366535680
18.79,46339559424
19.07,46312034304
19.34,46283329536
19.62,46254886912
19.91,46226968576
20.19,46198132736
20.47,46169952256
20.75,46141771776
21.04,46114246656
21.32,46085935104
21.60,46056574976
21.88,46028132352
22.16,45999689728
22.44,45971116032
22.73,45942280192
23.00,45914624000
23.28,45886050304
23.57,45857214464
23.85,45829033984
24.12,45800198144
24.41,45770969088
24.69,45742526464
24.97,45715132416
25.25,45685903360
25.53,45656674304
25.81,45628493824
26.09,45600313344
26.38,45572526080
26.65,45543821312
26.93,45514276864
27.22,45485572096
27.50,45456998400
27.78,45428555776
28.05,45400375296
28.34,45371277312
28.62,45342834688
28.90,45314654208
29.17,45285949440
29.45,45257375744
29.73,45229064192
30.02,45219618816
30.29,45219094528
30.57,45190651904
30.86,45163126784
31.14,45134290944
31.42,45105586176
31.70,45076750336
31.98,45047521280
32.27,45018816512
32.55,44990111744
32.83,44961275904
33.11,44931989504
33.38,44924915712
33.67,27913883648
33.94,27914014720
34.23,27914014720
34.51,27914014720
34.79,27914014720
35.07,27914014720
35.35,27914014720
