time,used_memory_rss(bytes)
0.00,53059391488
0.27,53031997440
0.55,53005389824
0.83,52978782208
1.11,52952698880
1.38,52926222336
1.66,52899745792
1.94,52873793536
2.22,52846923776
2.50,52819394560
2.78,52793311232
3.07,52766310400
3.35,52739571712
3.63,52713226240
3.90,52686811136
4.18,52660469760
4.46,52633600000
4.74,52607516672
5.02,52581302272
5.29,52554035200
5.57,52527034368
5.86,52500819968
6.13,52474736640
6.41,52448391168
6.69,52421521408
6.96,52394508288
7.24,52367245312
7.52,52340113408
7.80,52313636864
8.08,52288208896
8.36,52260814848
8.64,52234076160
8.92,52206157824
9.20,52179681280
9.48,52154646528
9.76,52127776768
10.04,52100251648
10.32,52073512960
10.60,52046118912
10.88,52019511296
11.17,51995131904
11.45,51968524288
11.73,51942178816
12.01,51915833344
12.28,51888447488
12.56,51861577728
12.84,51837984768
13.12,51811770368
13.40,51785293824
13.67,51758424064
13.95,51731554304
14.23,51704553472
14.51,51680829440
14.78,51653959680
15.06,51626958848
15.34,51599564800
15.62,51572301824
15.89,51544907776
16.18,51518820352
16.46,51492212736
16.73,51465043968
17.02,51438698496
17.30,51412545536
17.58,51387510784
17.85,51360772096
18.13,51334033408
18.41,51306901504
18.70,51280293888
18.97,51253817344
19.25,51226947584
19.53,51200077824
19.81,51172814848
20.09,51145945088
20.36,51118682112
20.64,51091681280
20.92,51065204736
21.21,51038597120
21.48,51011014656
21.76,50984275968
22.04,50958716928
22.31,50932371456
22.59,50905370624
22.87,50878631936
23.15,50852155392
23.43,50825281536
23.71,50798673920
23.98,50772066304
24.26,50745851904
24.54,50718851072
24.82,50691588096
25.10,50664849408
25.38,50637586432
25.66,50609930240
25.94,50584240128
26.22,50557108224
26.50,50529714176
26.78,50501668864
27.05,50475323392
27.33,50448060416
27.61,50420797440
27.89,50392879104
28.17,50366009344
28.45,50338877440
28.73,50310565888
29.01,50283958272
29.29,50257219584
29.57,50230611968
29.84,50204225536
30.12,50176962560
30.40,50149437440
30.68,50121388032
30.96,50094518272
31.24,50068172800
31.52,50039205888
31.80,50011418624
32.08,49985073152
32.36,49959120896
32.64,49932382208
32.92,49905119232
33.20,49878773760
33.49,49851772928
33.77,49825165312
34.04,49798295552
34.32,49771687936
34.60,49744420864
34.88,49717551104
35.16,49690419200
35.44,49666039808
35.72,49639432192
36.00,49611120640
36.28,49584119808
36.56,49557381120
36.84,49530073088
37.12,49503727616
37.40,49477382144
37.67,49451298816
37.96,49424560128
38.23,49397821440
38.51,49372704768
38.79,49345966080
39.07,49319620608
39.34,49292881920
39.62,49266012160
39.90,49240190976
40.17,49213452288
40.45,49191432192
40.73,49164693504
41.01,49138348032
41.28,49112395776
41.56,49085132800
41.84,49057476608
42.12,49029951488
42.40,49002078208
42.69,48975077376
42.97,48947421184
43.25,48919502848
43.54,48892502016
43.82,48865501184
44.09,48838631424
44.40,48813334528
44.67,48786333696
44.95,48759201792
45.23,48731938816
45.51,48704675840
45.79,48678199296
46.06,48651198464
46.34,48624066560
46.61,48597327872
46.89,48569556992
47.17,48542294016
47.45,48515424256
47.73,48488161280
48.01,48461553664
48.29,48434159616
48.57,48406372352
48.85,48379371520
49.13,48351846400
49.41,48324190208
49.69,48296927232
49.96,48270188544
50.24,48243576832
50.52,48217231360
50.80,48190230528
51.07,48163360768
51.35,48136491008
51.63,48109096960
51.91,48081154048
52.19,48054677504
52.46,48027545600
52.74,48000270336
53.01,47973007360
53.29,47946924032
53.57,47919792128
53.84,47891087360
54.13,47864086528
54.41,47837085696
54.69,47809036288
54.97,47781117952
55.25,47753723904
55.53,47725936640
55.81,47698149376
56.09,47670755328
56.37,47644672000
56.64,47617540096
56.92,47590649856
57.19,47562731520
57.47,47535599616
57.75,47508992000
58.02,47481597952
58.30,47454728192
58.58,47427203072
58.86,47399415808
59.14,47373594624
59.42,47346044928
59.69,47346176000
59.98,47334641664
60.25,47307509760
60.53,47281688576
60.80,47254687744
61.08,47227817984
61.36,47200423936
61.63,47173160960
61.91,47145635840
62.19,47119814656
62.47,47091896320
62.75,47064240128
63.03,47036452864
63.31,47009058816
63.59,46981009408
63.87,46954663936
64.18,46927269888
64.46,46899892224
64.74,46872236032
65.02,46844841984
65.30,46818627584
65.58,46790184960
65.86,46762135552
66.15,46735265792
66.43,46707478528
66.71,46679691264
66.99,46651494400
67.26,46623969280
67.54,46597230592
67.83,46571409408
68.10,46544539648
68.38,46516883456
68.66,46489227264
68.94,46461964288
69.21,46434701312
69.49,46408093696
69.76,46380699648
70.04,46353305600
70.31,46326304768
70.59,46298648576
70.87,46272434176
71.15,46243729408
71.43,46216728576
71.71,46189727744
71.98,46162595840
72.26,46134677504
72.54,46107414528
72.82,46079889408
73.10,46052626432
73.37,46024577024
73.66,45998624768
73.94,45970575360
74.22,45942919168
74.50,45915525120
74.78,45887868928
75.05,45859950592
75.34,45832159232
75.61,45804765184
75.89,45777371136
76.16,45749846016
76.44,45721927680
76.72,45694795776
77.00,45665992704
77.28,45637419008
77.56,45609631744
77.84,45582761984
78.11,45555236864
78.39,45527842816
78.67,45500317696
78.95,45472792576
79.23,45445398528
79.50,45419315200
79.78,45391794176
80.06,45363875840
80.34,45336350720
80.62,45308813312
80.90,45281419264
81.17,45254025216
81.45,45226631168
81.73,45199237120
82.00,45171580928
82.28,45144576000
82.56,45116657664
82.84,45090181120
83.11,45062918144
83.39,45035655168
83.67,45008130048
83.94,44980867072
84.22,44953473024
84.49,44925554688
84.77,44897767424
85.05,44871680000
85.32,44868665344
85.60,27891605504
85.88,27891605504
86.16,27891605504
86.44,27891736576
86.72,27891867648
87.00,27891867648
87.28,27891867648
87.56,27891867648
87.83,27891867648
88.11,55779823616
88.39,55779823616
88.66,55779823616
88.94,55779823616
89.22,55757279232
89.50,55730933760
89.78,55704326144
90.06,55677063168
90.34,55649665024
90.62,55622795264
90.90,55595663360
91.18,55568269312
91.46,55542579200
91.74,55515316224
92.02,55488315392
92.30,55461576704
92.58,55434313728
92.86,55407575040
93.14,55380443136
93.42,55353700352
93.70,55327485952
93.98,55300485120
94.26,55275057152
94.54,55247753216
94.82,55221014528
95.09,55194669056
95.38,55168323584
95.65,55141453824
95.93,55115501568
96.21,55088631808
96.48,55061893120
96.77,55035547648
97.04,55009464320
97.32,54982987776
97.60,54956249088
97.88,54929510400
98.16,54901870592
98.44,54874738688
98.72,54847868928
99.00,54821261312
99.27,54794784768
99.55,54768439296
99.83,54741962752
100.10,54715318272
100.39,54688317440
100.67,54661316608
100.95,54634840064
101.23,54607708160
101.51,54580969472
101.79,54554099712
102.07,54526836736
102.35,54499573760
102.64,54474670080
102.91,54447276032
103.19,54421061632
103.47,54394585088
103.75,54367322112
104.04,54340845568
104.31,54314237952
104.59,54287630336
104.87,54260891648
105.15,54234415104
105.42,54207545344
105.70,54180937728
105.99,54154199040
106.27,54127460352
106.55,54101114880
106.82,54074376192
107.10,54047768576
107.38,54021423104
107.66,53994422272
107.94,53967159296
108.22,53939838976
108.50,53914542080
108.78,53888196608
109.06,53861560320
109.33,53835608064
109.61,53809262592
109.89,53782786048
110.16,53756178432
110.44,53729439744
110.72,53703225344
111.00,53676617728
111.28,53651189760
111.56,53624582144
111.83,53597843456
112.11,53572284416
112.39,53544759296
112.67,53517889536
112.95,53490888704
113.23,53464674304
113.50,53437411328
113.79,53411721216
114.07,53386031104
114.35,53359947776
114.62,53333078016
114.90,53306732544
115.18,53279469568
115.46,53253517312
115.74,53226909696
116.02,53200302080
116.30,53173432320
116.58,53145251840
116.87,53119823872
117.15,53093216256
117.42,53066346496
117.71,53039345664
117.98,53012738048
118.26,52985241600
118.54,52958502912
118.82,52931895296
119.10,52905099264
119.38,52878360576
119.65,52852277248
119.93,52825931776
120.21,52799455232
120.49,52773109760
120.76,52746764288
121.04,52718977024
121.32,52692631552
121.60,52665761792
121.88,52639547392
122.15,52612677632
122.43,52585676800
122.71,52558675968
122.99,52531150848
123.28,52504543232
123.56,52477673472
123.84,52450541568
124.11,52424327168
124.39,52398112768
124.67,52371111936
124.95,52344504320
125.23,52318814208
125.50,52291424256
125.78,52264816640
126.06,52238471168
126.33,52211216384
126.61,52184363008
126.89,52157779968
127.17,52131303424
127.45,52105105408
127.73,52078497792
128.01,52052021248
128.28,52024840192
128.56,51998232576
128.84,51971756032
129.12,51945410560
129.41,51918671872
129.68,51891802112
