time,used_memory_rss(bytes)
0.00,27912663040
0.28,27912663040
0.56,27912663040
0.84,27912663040
1.12,27912663040
1.40,55823151104
1.67,55823544320
1.95,55823544320
2.23,55823544320
2.51,55805714432
2.79,55777398784
3.06,55747907584
3.34,55718535168
3.63,55688912896
3.91,55659945984
4.18,55630585856
4.46,55601356800
4.75,55572127744
5.03,55542636544
5.31,55514505216
5.59,55485800448
5.87,55457095680
6.14,55428128768
6.43,55399153664
6.71,55369756672
6.99,55340527616
7.27,55311691776
7.55,55282200576
7.84,55252840448
8.12,55223218176
8.40,55193726976
8.68,55164497920
8.96,55135256576
9.24,55105957888
9.52,55076073472
9.80,55046451200
10.09,55016566784
10.37,54987337728
10.64,54958239744
10.93,54928748544
11.21,54899257344
11.49,54870814720
11.77,54841061376
12.05,54811045888
12.33,54783127552
12.61,54754422784
12.89,54724739072
13.17,54695641088
13.45,54666018816
13.73,54636396544
14.01,54607036416
14.29,54578331648
14.57,54549495808
14.85,54519480320
15.13,54489464832
15.41,54459580416
15.69,54430220288
15.97,54400737280
16.26,54371508224
16.54,54343065600
16.81,54313836544
17.09,54284345344
17.37,54254592000
17.65,54225756160
17.93,54195347456
18.22,54165331968
18.50,54135709696
18.78,54106087424
19.07,54076465152
19.35,54048022528
19.62,54018269184
19.91,53988646912
20.19,53959024640
20.47,53929140224
20.75,53899517952
21.03,53870157824
21.31,53840142336
21.59,53811306496
21.87,53781946368
22.15,53751668736
22.43,53721653248
22.72,53692686336
23.00,53663588352
23.27,53633835008
23.55,53603950592
23.83,53574459392
24.11,53544837120
24.39,53515083776
24.67,53485199360
24.95,53456232448
25.23,53426872320
25.51,53396856832
25.79,53367103488
26.07,53336956928
26.35,53307334656
26.63,53277974528
26.91,53247434752
27.20,53217550336
27.48,53187796992
27.77,53158699008
28.05,53129338880
28.32,53098930176
28.61,53068783616
28.89,53038768128
29.17,53009014784
29.45,52978999296
29.73,52950818816
30.01,52920934400
30.30,52890656768
30.57,52861165568
30.85,52831543296
31.13,52802052096
31.41,52772036608
31.70,52743069696
31.98,52713578496
32.26,52683694080
32.54,52654333952
32.82,52624711680
33.10,52595220480
33.38,52565729280
33.66,52536631296
33.93,52507140096
34.21,52476600320
34.49,52447240192
34.77,52417224704
35.05,52387995648
35.34,52357718016
35.62,52327964672
35.90,52298211328
36.18,52268457984
36.46,52239753216
36.74,52210130944
37.03,52180639744
37.31,52150886400
37.59,52121001984
37.88,52090986496
38.16,52060971008
38.45,52031217664
38.73,52001464320
39.01,51971579904
39.29,51942088704
39.57,51912466432
39.85,51883708416
40.13,51854610432
40.41,51824988160
40.69,51795365888
40.97,51764826112
41.26,51734941696
41.54,51705712640
