time,used_memory_rss(bytes)
0.00,52243890176
0.28,52212826112
0.56,52182548480
0.84,52152008704
1.13,52121468928
1.41,52090798080
1.69,52060782592
1.97,52035616768
2.25,52004945920
2.54,51973750784
2.82,51942948864
3.10,51912146944
3.38,51881345024
3.67,51850412032
3.95,51820658688
4.23,51789856768
4.51,51759054848
4.78,51728646144
5.06,51698761728
5.34,51668353024
5.62,51637710848
5.90,51607433216
6.17,51577155584
6.45,51546091520
6.74,51514634240
7.02,51483308032
7.30,51453030400
7.58,51423145984
7.85,51392212992
8.14,51362721792
8.42,51332149248
8.70,51300954112
8.98,51272511488
9.27,51241709568
9.55,51211169792
9.84,51180630016
10.11,51150745600
10.39,51121254400
10.67,51090321408
10.96,51059781632
11.24,51030814720
11.52,50999095296
11.81,50967113728
12.10,50936573952
12.38,50905772032
12.66,50875232256
12.94,50844299264
13.22,50813235200
13.51,50782433280
13.79,50751238144
14.07,50721222656
14.35,50691076096
14.63,50661191680
14.90,50628734976
15.19,50597933056
15.47,50567262208
15.76,50536722432
16.04,50506444800
16.32,50476429312
16.60,50445365248
16.88,50415087616
17.16,50385727488
17.45,50354593792
17.72,50334146560
18.00,50306228224
18.28,50276171776
18.56,50247467008
18.83,50218106880
19.11,50188615680
19.39,50158731264
19.67,50129764352
19.95,50101583872
20.23,50073796608
20.51,50044174336
20.79,50014420992
21.07,49984929792
21.35,49955700736
21.63,49926733824
21.90,49897766912
22.19,49867603968
22.47,49837850624
22.75,49808359424
23.03,49778606080
23.31,49749770240
23.59,49719623680
23.87,49690263552
24.14,49660248064
24.43,49630363648
24.71,49600479232
25.00,49570988032
25.27,49540710400
25.55,49511481344
25.84,49482514432
26.11,49453547520
26.39,49423794176
26.67,49395482624
26.95,49366515712
27.22,49337286656
27.50,49307533312
27.78,49278828544
28.05,49249861632
28.33,49219960832
28.61,49190600704
28.89,49160454144
29.17,49131356160
29.45,49101471744
29.73,49072111616
30.02,49042620416
30.30,49013784576
30.58,48984817664
30.86,48955850752
31.14,48926883840
31.42,48898441216
31.69,48870391808
31.97,48842211328
32.24,48813637632
32.53,48783884288
32.81,48754917376
33.09,48725819392
33.38,48696983552
33.65,48667754496
33.93,48638001152
34.22,48609951744
34.50,48582164480
34.77,48553328640
35.05,48525672448
35.33,48496705536
35.61,48466952192
35.90,48437620736
36.17,48407998464
36.46,48379031552
36.74,48350064640
37.02,48320573440
37.31,48290951168
37.59,48262115328
37.87,48233148416
38.15,48205885440
38.43,48175083520
38.71,48146116608
38.99,48116621312
39.27,48087654400
39.55,48058163200
39.83,48029327360
40.12,47999967232
40.40,47970869248
40.69,47941246976
40.97,47913590784
41.24,47884492800
41.52,47855394816
41.81,47825903616
42.09,47796805632
42.37,47767576576
42.65,47739002880
42.93,47710953472
43.20,47681855488
43.48,47651971072
43.76,47623397376
44.04,47592857600
44.33,47563366400
44.61,47534137344
44.89,47504646144
45.17,47475548160
45.45,47446581248
45.73,47416565760
46.02,47387729920
46.29,47358763008
46.58,47330635776
46.85,47301406720
47.13,47271391232
47.41,47242555392
47.69,47213588480
47.97,47183835136
48.26,47155654656
48.53,47127080960
48.81,47120396288
49.09,47117643776
49.37,47087525888
49.66,47059476480
49.93,47031164928
50.21,47001935872
50.49,46971527168
50.77,46941642752
51.06,46912544768
51.34,46884364288
51.61,46855790592
51.89,46827085824
52.17,46798905344
52.44,46771511296
52.72,46742675456
53.00,46713315328
53.28,46684348416
53.56,46654726144
53.84,46625890304
54.12,46597709824
54.40,46567563264
54.69,46538727424
54.96,46509629440
55.24,46482104320
55.51,46453268480
55.79,46423384064
56.07,46394810368
56.34,46365712384
56.63,46337007616
56.90,46308040704
57.18,46278156288
57.46,46248927232
57.74,46219960320
58.02,46193090560
58.30,46163075072
58.59,46134501376
58.87,46105534464
59.14,46076960768
59.42,46047363072
59.70,46017871872
59.98,45989167104
60.26,45960331264
60.54,45931364352
60.82,45902659584
61.10,45873823744
61.38,45844463616
61.66,45815103488
61.94,45785743360
62.23,45755858944
62.51,45726760960
62.79,45697269760
63.07,45667516416
63.36,45638418432
63.63,45610762240
63.91,45580378112
64.19,45550231552
64.47,45520084992
