time,used_memory_rss(bytes)
0.00,51302285312
0.28,51275939840
0.56,51249725440
0.84,51224035328
1.12,51198476288
1.40,51172655104
1.68,51147096064
1.96,51121143808
2.24,51094667264
2.52,51068452864
2.80,51042631680
3.09,51016810496
3.37,50990727168
3.65,50964250624
3.94,50937511936
4.22,50911297536
4.50,50885214208
4.78,50858606592
5.06,50832523264
5.34,50806439936
5.62,50780356608
5.90,50754535424
6.18,50729369600
6.47,50703155200
6.75,50675892224
7.04,50650333184
7.32,50624249856
7.60,50598297600
7.88,50572214272
8.17,50545250304
8.45,50520084480
8.73,50494001152
9.01,50468966400
9.29,50442883072
9.57,50415620096
9.85,50389012480
10.14,50362929152
10.42,50337107968
10.70,50311548928
10.98,50285858816
11.26,50260168704
11.54,50234478592
11.81,50208919552
12.10,50182967296
12.38,50156097536
12.67,50129096704
12.95,50103930880
13.24,50078502912
13.52,50052157440
13.80,50026598400
14.08,50001301504
14.36,49975877632
14.64,49950056448
14.93,49924497408
15.20,49898807296
15.48,49872855040
15.76,49847296000
16.04,49821736960
16.32,49796308992
16.59,49770618880
16.87,49744797696
17.15,49718845440
17.43,49692893184
17.71,49666940928
18.00,49640988672
18.28,49615429632
18.56,49590132736
18.83,49564311552
19.11,49537425408
19.40,49511342080
19.68,49485127680
19.97,49459961856
20.25,49434402816
20.53,49408319488
20.81,49381842944
21.09,49355497472
21.37,49329414144
21.65,49303068672
21.93,49276461056
22.22,49250115584
22.50,49224687616
22.78,49198878720
23.07,49172795392
23.34,49146712064
23.62,49119973376
23.90,49093758976
24.18,49069117440
24.46,49043558400
24.74,49017868288
25.02,48991916032
25.30,48967012352
25.58,48940797952
25.87,48915107840
26.15,48906850304
26.43,48901607424
26.71,48876048384
26.99,48849178624
27.28,48822833152
27.56,48796880896
27.84,48771321856
28.12,48746156032
28.39,48720072704
28.68,48694382592
28.96,48667353088
29.24,48640823296
29.52,48615788544
29.80,48589180928
30.09,48563621888
30.36,48537538560
30.64,48511979520
30.92,48485634048
31.20,48459681792
31.48,48432955392
31.77,48406872064
32.05,48380657664
32.33,48354705408
32.61,48329277440
32.89,48303063040
33.17,48277463040
33.45,48250966016
33.73,48224489472
34.01,48197832704
34.30,48171225088
