time,used_memory_rss(bytes)
0.00,27912658944
0.28,27912658944
0.55,27912658944
0.83,27912658944
1.11,27912658944
1.40,55823360000
1.67,55823360000
1.95,55823360000
2.22,55823360000
2.50,55803813888
2.78,55775109120
3.06,55747190784
3.33,55718027264
3.61,55688798208
3.90,55659700224
4.18,55630602240
4.46,55602290688
4.74,55573016576
5.02,55545360384
5.30,55516655616
5.57,55488081920
5.85,55459377152
6.13,55433031680
6.41,55405375488
6.69,55377457152
6.97,55347724288
7.25,55319281664
7.53,55291101184
7.80,55262265344
8.08,55234347008
8.36,55207870464
8.63,55178272768
8.91,55150092288
9.19,55121780736
9.47,55092944896
9.75,55064109056
10.03,55035273216
10.30,55006306304
10.59,54977339392
10.87,54947979264
11.15,54918488064
11.42,54889938944
11.70,54860185600
11.99,54830956544
12.27,54802251776
12.55,54772682752
12.82,54743715840
13.10,54715273216
13.38,54686175232
13.66,54657994752
13.94,54628896768
14.22,54600716288
14.50,54571749376
14.78,54543044608
15.06,54514733056
15.33,54486159360
15.61,54458241024
15.89,54429798400
16.17,54400962560
16.45,54372913152
16.73,54344732672
17.01,54315614208
17.29,54287171584
17.57,54257917952
17.85,54228819968
18.13,54200246272
18.41,54171541504
18.69,54143098880
18.97,54114394112
19.25,54084771840
19.53,54055280640
19.81,54025527296
20.09,53996691456
20.37,53966413824
20.66,53936922624
20.93,53907693568
21.22,53878464512
21.50,53851070464
21.77,53821337600
22.05,53792894976
22.33,53764583424
22.61,53735747584
22.90,53707042816
23.18,53678731264
23.45,53649633280
23.73,53620142080
24.01,53590257664
24.30,53561028608
24.57,53531930624
24.85,53502361600
25.13,53473394688
25.41,53443903488
25.69,53414543360
25.97,53384790016
26.25,53355167744
26.53,53326200832
26.81,53298282496
27.09,53269184512
27.37,53239955456
27.65,53210595328
27.93,53180043264
28.21,53151600640
28.49,53123420160
28.77,53094060032
29.05,53065617408
29.33,53037043712
29.60,53008207872
29.89,52979896320
30.16,52950929408
30.45,52922224640
30.72,52893126656
31.01,52864290816
31.29,52836110336
31.56,52808978432
31.83,52780011520
32.11,52751962112
32.39,52723912704
32.67,52694945792
32.95,52666109952
33.23,52637011968
33.51,52607127552
33.79,52577243136
34.07,52548145152
34.35,52520620032
34.62,52490645504
34.90,52461678592
35.18,52432449536
35.46,52404006912
35.74,52375302144
36.02,52346466304
36.30,52317761536
36.58,52289449984
36.85,52260876288
37.13,52233089024
37.41,52203859968
37.69,52174893056
37.97,52145532928
38.25,52116566016
38.53,52087468032
38.81,52058107904
39.09,52028878848
39.37,52000043008
39.65,51971207168
