time,used_memory_rss(bytes)
0.00,45433253888
0.28,45400215552
0.56,45369806848
0.84,45339791360
1.11,45308858368
1.40,45277663232
1.68,45246861312
1.96,45215666176
2.24,45185126400
2.52,45154586624
2.80,45123260416
3.08,45092589568
3.36,45060427776
3.64,45029494784
3.92,44997513216
4.20,44966580224
4.48,44935491584
4.77,44926054400
5.05,27914190848
5.33,27914190848
5.61,27914321920
5.89,27914321920
6.18,27914321920
6.46,27914321920
6.74,27914715136
7.02,27914715136
7.30,27914715136
7.57,27914715136
7.85,55826931712
8.13,55826931712
8.41,55826931712
8.69,55826931712
8.97,55809105920
9.24,55780007936
9.53,55750516736
9.80,55718952960
10.09,55690117120
10.37,55660101632
10.65,55629205504
10.93,55599321088
11.21,55571009536
11.48,55541649408
11.76,55512944640
12.04,55484108800
12.32,55455535104
12.60,55426961408
12.87,55397769216
13.15,55369850880
13.43,55341670400
13.70,55312965632
13.98,55283081216
14.27,55252803584
14.55,55222235136
14.84,55192219648
15.12,55162597376
15.39,55132450816
15.67,55102173184
15.95,55072944128
16.23,55043452928
16.52,55013437440
16.80,54982897664
17.08,54953144320
17.36,54924046336
17.63,54894292992
17.91,54863622144
18.20,54833737728
18.48,54803984384
18.75,54774362112
19.03,54743691264
19.32,54713544704
19.60,54684184576
19.88,54654693376
20.15,54624546816
20.43,54594531328
20.71,54565040128
21.00,54536204288
21.27,54506450944
21.55,54476959744
21.83,54446682112
22.11,54416928768
22.39,54387175424
22.67,54357684224
22.95,54327013376
23.24,54296866816
23.52,54267375616
23.80,54237097984
24.08,54206947328
24.36,54177062912
24.64,54147080192
24.92,54116540416
25.21,54085607424
25.49,54055198720
25.77,54025969664
26.05,53996216320
26.32,53966331904
26.60,53936185344
26.89,53906694144
27.16,53877465088
27.44,53847842816
27.72,53818089472
28.00,53788729344
28.28,53758713856
28.56,53728436224
28.84,53699469312
29.12,53669322752
29.41,53638782976
29.69,53608243200
29.98,53578358784
30.26,53548867584
30.54,53518753792
30.82,53489786880
31.10,53459771392
31.39,53431328768
31.66,53402226688
31.94,53372604416
32.23,53342982144
32.50,53312966656
32.79,53283213312
33.07,53253459968
33.35,53223575552
33.63,53194084352
33.91,53164593152
34.19,53134708736
34.47,53103906816
34.75,53074415616
35.04,53044531200
35.32,53013839872
35.60,52985266176
35.88,52955381760
36.16,52925759488
36.45,52895744000
36.73,52865204224
37.01,52833488896
37.30,52804259840
37.57,52774375424
37.85,52744753152
38.13,52714475520
38.41,52685377536
38.69,52655886336
38.97,52625870848
39.25,52595986432
39.53,52566753280
39.81,52537786368
40.08,52507770880
40.37,52478541824
40.65,52449443840
40.93,52419428352
41.21,52389806080
41.50,52360970240
41.77,52331872256
42.05,52302774272
42.33,52273283072
42.61,52243271680
42.89,52214304768
43.17,52184682496
43.45,52155191296
43.73,52126748672
44.00,52097781760
44.28,52067504128
44.56,52037488640
44.84,52007866368
45.13,51976556544
45.41,51947458560
45.69,51919147008
45.97,51888922624
46.25,51859300352
46.53,51830202368
46.81,51802021888
47.09,51771240448
47.38,51742011392
47.66,51712126976
47.94,51682897920
48.22,51653799936
48.49,51623784448
48.78,51593768960
49.07,51564015616
49.35,51533869056
49.64,51504508928
49.91,51474624512
50.20,51445002240
50.48,51415773184
50.75,51386806272
51.03,51357446144
51.31,51328086016
51.59,51298594816
51.87,51268055040
52.15,51238563840
52.43,51209072640
52.71,51179581440
52.99,51150352384
53.26,51120336896
53.55,51091501056
53.83,51063320576
54.10,51032313856
54.39,51003478016
54.67,50973593600
54.95,50944102400
55.24,50915004416
55.52,50884595712
55.80,50856415232
56.08,50825879552
56.36,50796650496
56.64,50766372864
56.92,50737143808
57.20,50707521536
57.48,50677215232
57.76,50647724032
58.05,50618757120
58.33,50589659136
58.60,50560561152
58.89,50532380672
59.17,50504069120
59.45,50474840064
59.73,50445873152
60.01,50417037312
60.29,50388201472
60.57,50359889920
60.85,50332758016
61.13,50303922176
61.41,50275000320
61.69,50246033408
61.97,50217590784
62.26,50189410304
62.54,50161098752
62.82,50132131840
63.10,50103820288
63.39,50075508736
63.67,50047197184
63.95,50018623488
64.23,49990180864
64.52,49960816640
64.80,49932505088
65.08,49903931392
65.35,49875488768
65.63,49846652928
65.92,49817948160
66.19,49788710912
66.47,49761841152
66.75,49732214784
67.03,49703247872
67.32,49674280960
67.60,49646231552
67.88,49618313216
68.16,49590657024
68.44,49562083328
68.71,49532723200
69.00,49504018432
69.28,49475837952
69.56,49449230336
69.84,49419870208
70.12,49390641152
70.41,49361809408
70.68,49333235712
70.96,49304924160
71.24,49277792256
71.52,49248825344
71.81,49221955584
72.08,49193381888
72.36,49164939264
72.64,49136103424
72.92,49107922944
73.21,49079218176
73.48,49051168768
73.76,49022074880
74.04,48992714752
74.32,48962961408
74.61,48934518784
74.90,48905420800
75.18,48876978176
75.46,48846934016
75.75,48817442816
76.03,48787312640
76.32,48759525376
76.59,48730558464
76.87,48703549440
77.14,48674451456
77.43,48645615616
77.71,48617172992
77.99,48588992512
78.27,48559763456
78.55,48530927616
78.84,48502353920
79.12,48473911296
79.40,48444551168
79.68,48415748096
79.96,48387436544
80.24,48358076416
80.53,48329371648
80.81,48300273664
81.09,48271306752
81.37,48242995200
81.65,48213544960
81.94,48184446976
82.22,48154857472
82.51,48126021632
82.79,48096923648
83.07,48067432448
83.36,48037941248
83.64,48009760768
83.92,47980269568
84.20,47950909440
84.48,47921942528
84.77,47892844544
85.05,47864270848
85.33,47835566080
85.60,47806861312
85.88,47778013184
86.17,47747891200
86.45,47719055360
86.73,47691137024
87.00,47662956544
87.28,47634644992
87.56,47605153792
87.84,47577366528
88.12,47548530688
88.40,47519694848
88.68,47490990080
88.96,47461892096
89.24,47433056256
89.52,47403827200
89.81,47374860288
90.09,47346286592
90.36,47317188608
90.65,47288614912
90.92,47259516928
91.20,47230812160
91.49,47200927744
91.77,47172091904
92.05,47143256064
92.33,47113764864
92.62,47084929024
92.90,47055699968
93.18,47026470912
93.46,46998159360
93.74,46969192448
94.03,46941011968
94.31,46910861312
94.59,46881996800
94.87,46852898816
95.16,46824849408
95.43,46796668928
95.71,46768619520
95.99,46740307968
96.27,46712016896
96.54,46683836416
96.82,46656049152
97.10,46627344384
97.38,46598115328
97.67,46569934848
97.95,46542016512
98.23,46513315840
98.50,46484873216
98.78,46456168448
99.06,46427856896
99.34,46399152128
99.63,46370316288
99.91,46344101888
100.19,46315659264
