time,used_memory_rss(bytes)
0.00,53068636160
0.29,53041373184
0.57,53016338432
0.85,52990124032
1.13,52963835904
1.41,52938014720
1.69,52912586752
1.96,52886372352
2.25,52860682240
2.53,52834729984
2.81,52808933376
3.08,52783243264
3.36,52757028864
3.65,52731731968
3.92,52705648640
4.21,52679041024
4.49,52652929024
4.77,52626714624
5.05,52599975936
5.33,52573761536
5.61,52548464640
5.89,52524478464
6.17,52498132992
6.46,52474015744
6.73,52458418176
7.02,52432990208
7.30,52407300096
7.58,52380954624
7.86,52355264512
8.14,52328656896
8.42,52301656064
8.70,52275703808
8.98,52251193344
9.27,52225372160
9.54,52198895616
9.83,52172288000
10.11,52146073600
10.39,52119990272
10.67,52094300160
10.95,52067856384
11.23,52041510912
11.51,52015427584
11.79,51988426752
12.07,51961556992
12.36,51936129024
12.63,51910307840
12.91,51884093440
13.19,51857223680
13.47,51830091776
13.76,51803484160
14.05,51777925120
14.33,51752497152
14.60,51726675968
14.89,51700854784
15.16,51675164672
15.45,51649605632
15.72,51623129088
16.01,51596128256
16.29,51569913856
16.57,51543814144
16.85,51517730816
17.13,51491385344
17.41,51465654272
17.69,51439964160
17.97,51414142976
18.26,51387404288
18.54,51361320960
18.82,51334975488
19.10,51308367872
19.38,51282153472
19.66,51255808000
19.94,51229462528
20.22,51203330048
20.50,51176329216
20.79,51149197312
21.07,51122851840
21.35,51095891968
21.63,51068866560
21.91,51043192832
22.20,51016060928
22.48,50988797952
22.76,50961928192
23.04,50934665216
23.32,50907271168
23.61,50880270336
23.89,50853400576
24.17,50825875456
24.46,50798743552
24.74,50771943424
25.02,50745335808
25.30,50718466048
25.58,50690809856
25.86,50663415808
26.15,50636152832
26.43,50609283072
26.71,50582282240
26.99,50555805696
27.27,50528149504
27.55,50500755456
27.83,50474147840
28.11,50446983168
28.39,50419720192
28.67,50392588288
28.96,50364932096
29.24,50338455552
29.52,50311061504
29.80,50284060672
30.09,50257190912
30.37,50230190080
30.65,50202271744
30.93,50174484480
31.22,50147090432
31.50,50118647808
31.79,50091069440
32.06,50062888960
32.35,50035625984
32.63,50007969792
32.91,49980182528
33.20,49953574912
33.47,49926574080
33.75,49900228608
34.03,49873358848
34.31,49847013376
34.59,49819881472
34.87,49793318912
35.14,49766318080
35.43,49738924032
35.71,49712185344
35.98,49685184512
36.27,49658183680
36.55,49631313920
36.83,49604706304
37.11,49577443328
37.39,49550442496
37.68,49524097024
37.95,49497620480
38.23,49470488576
38.51,49443356672
38.79,49416880128
39.07,49390403584
39.36,49363927040
39.64,49337843712
39.91,49310973952
40.20,49283710976
40.48,49257234432
40.76,49230757888
41.04,49204035584
41.32,49177952256
41.60,49150844928
41.88,49125023744
42.16,49098940416
42.44,49072201728
42.72,49045594112
43.00,49019510784
43.28,48992509952
43.56,48966033408
43.84,48939163648
44.12,48912687104
44.40,48886734848
44.68,48859996160
44.96,48832733184
45.24,48805994496
45.52,48778731520
45.80,48751599616
46.08,48724729856
46.36,48698646528
46.64,48671383552
46.93,48644120576
47.21,48617381888
47.49,48590118912
47.77,48564166656
48.05,48536772608
48.33,48509771776
48.62,48482828288
48.90,48455434240
49.18,48428433408
49.46,48401694720
49.74,48375349248
50.03,48347824128
50.31,48320954368
50.59,48293765120
50.88,48267419648
51.15,48240418816
51.43,48212762624
51.72,48185761792
52.00,48157814784
52.28,48130813952
52.56,48102764544
52.84,48076550144
53.12,48049549312
53.40,48023072768
53.68,47995678720
53.96,47969464320
54.24,47942201344
54.52,47914807296
54.79,47888330752
55.07,47861460992
55.35,47833542656
55.63,47805755392
55.91,47778099200
56.18,47750766592
56.47,47723241472
56.75,47696764928
57.03,47669239808
57.30,47647088640
57.59,47620218880
57.87,47593218048
58.15,47566086144
58.43,47538823168
58.71,47511691264
58.99,47483772928
59.28,47457034240
59.56,47429902336
59.84,47403032576
60.12,47376031744
60.40,47349293056
60.68,47323209728
60.95,47296524288
61.23,47268646912
61.51,47241383936
61.79,47214387200
62.07,47187124224
62.34,47160385536
62.62,47138705408
62.90,47138705408
63.17,47127826432
63.45,47100563456
63.73,47074611200
64.00,47047217152
64.28,47019876352
64.56,46992613376
64.84,46965350400
65.12,46937694208
65.40,46910562304
65.67,46882512896
65.96,46855643136
66.23,46828118016
66.51,46800199680
66.80,46772543488
67.08,46744756224
67.36,46717493248
67.63,46689443840
67.92,46662311936
68.19,46634655744
68.47,46608965632
68.75,46580871168
69.03,46553346048
69.31,46525558784
69.59,46498295808
69.88,46470115328
70.16,46442196992
70.44,46415327232
70.72,46387933184
71.00,46360932352
71.28,46335242240
71.56,46307586048
71.84,46279221248
72.12,46252089344
72.40,46225743872
72.68,46199267328
72.96,46173577216
73.23,46147231744
73.51,46120624128
73.79,46095458304
74.07,46067933184
74.35,46041325568
74.63,46014062592
74.91,45987323904
75.19,45960192000
75.47,45933453312
75.75,45905928192
76.04,45878403072
76.32,45852581888
76.60,45824925696
76.88,45797269504
77.15,45770792960
77.43,45743267840
77.71,45716660224
77.99,45688741888
78.27,45661085696
78.55,45633822720
78.83,45612195840
79.11,45582020608
79.39,45554757632
79.67,45528018944
79.95,45501411328
80.23,45474672640
80.51,45448196096
80.78,45421326336
81.06,45394194432
81.34,45367848960
81.62,45341372416
81.90,45314764800
82.17,45287632896
82.45,45260500992
82.73,45232148480
83.01,45205409792
83.28,45178671104
83.56,45152063488
83.83,45128077312
84.11,45108285440
84.39,45083906048
84.67,45056774144
84.95,45029773312
