timestamp_ms,instantaneous_rps
0.00,0.0
0.25,29749.0
0.50,37736.0
0.75,39864.0
1.00,40276.0
1.25,39032.0
1.50,40516.0
1.75,40680.0
2.00,40968.1
2.25,38676.0
2.50,38160.0
2.75,39476.0
3.00,41092.0
3.25,39452.0
3.50,40452.0
3.75,41088.0
4.00,39896.4
4.25,37556.0
4.50,38516.0
4.75,39972.0
5.00,40732.0
5.25,41672.0
5.50,40673.3
5.75,41588.0
6.00,41640.0
6.25,41584.0
6.50,42040.0
6.75,41556.0
7.00,41564.0
7.25,40460.0
7.50,41732.0
7.75,41448.0
8.00,40752.0
8.26,41780.9
8.51,41980.0
8.76,41112.0
9.01,41088.0
9.26,40704.0
9.51,41160.0
9.76,40620.0
10.01,40713.1
10.26,41412.0
10.51,42492.0
10.76,42172.0
11.01,41636.0
11.26,41884.0
11.51,41860.0
11.76,42446.2
12.01,42772.0
12.26,42136.0
12.51,39788.0
12.76,40996.0
13.01,42720.0
13.26,42364.0
13.51,42660.0
13.76,42577.7
14.01,40260.0
14.26,42504.0
14.51,42068.0
14.76,42856.0
15.01,43136.0
15.26,41840.0
15.51,43244.0
15.76,43051.8
16.01,41432.0
16.26,42780.0
16.51,43464.0
16.76,43500.0
17.01,43388.0
17.26,43056.0
17.51,43816.0
17.76,42414.3
18.01,43064.0
18.26,41064.0
18.51,42996.0
18.76,43084.0
19.01,42828.0
19.26,42027.9
19.51,41852.0
19.76,43396.0
20.01,42200.0
20.26,43060.0
20.51,43228.0
20.76,43008.0
21.01,42360.0
21.26,43488.0
21.51,43168.0
21.76,43136.0
22.01,42636.0
22.26,42496.0
22.51,40725.1
22.76,41888.0
23.01,42308.0
23.26,43280.0
23.51,43812.0
23.76,44292.0
24.01,43476.0
24.26,44160.0
24.51,43936.0
24.76,43928.3
25.01,44056.0
25.26,43576.0
25.51,43040.0
25.76,43288.0
26.02,41051.8
26.27,41068.0
26.52,43208.0
26.77,44016.0
27.02,43620.0
27.27,44392.0
27.52,42536.0
27.77,43856.6
28.02,44604.0
28.27,43560.0
28.52,44224.0
28.77,44484.0
29.02,44576.0
29.27,44720.0
29.52,43776.9
29.77,44172.0
30.02,44856.0
30.27,44828.0
30.52,45124.0
30.77,45328.0
31.02,44104.0
31.27,43656.0
31.52,44812.0
31.77,44620.0
32.02,44856.6
32.27,45356.0
32.52,43300.0
32.77,44436.0
33.02,44088.0
33.27,44924.0
33.52,44668.0
33.77,45332.0
34.02,51792.0
34.27,49576.0
34.52,42672.0
34.77,50820.7
35.02,52400.0
35.27,44159.4
35.52,45952.0
35.77,44326.7
36.02,52772.0
36.27,57096.0
36.52,57556.0
36.77,58020.0
37.02,54452.0
37.27,44516.0
37.52,46139.4
37.77,45900.0
38.02,34476.0
38.27,46488.0
38.52,46796.8
38.77,49788.0
39.02,40424.0
39.27,46680.0
39.52,46928.0
39.77,46684.0
40.02,48152.0
40.27,55356.0
40.52,57792.0
40.77,56740.0
41.02,58316.0
41.27,57745.0
41.52,48216.0
41.77,49088.0
42.02,47548.0
42.27,47140.0
42.52,47092.0
42.77,47456.0
43.02,45060.0
43.27,58908.0
