time,used_memory_rss(bytes)
0.00,52580061184
0.28,52550045696
0.56,52519505920
0.84,52490014720
1.12,52461047808
1.40,52430901248
1.68,52400623616
1.96,52370477056
2.24,52340199424
2.52,52310052864
2.80,52281217024
3.08,52251201536
3.36,52220923904
3.64,52190646272
3.92,52161417216
4.19,52131008512
4.47,52100599808
4.75,52070060032
5.03,52039258112
5.31,52009635840
5.58,51978964992
5.87,51949604864
6.14,51919851520
6.42,51889311744
6.70,51858509824
6.98,51828101120
7.26,51798216704
7.54,51768856576
7.81,51738710016
8.08,51707908096
8.36,51676925952
8.64,51648483328
8.92,51618467840
9.19,51588190208
9.47,51557781504
9.75,51526885376
10.03,51496476672
10.30,51465805824
10.58,51435397120
10.86,51404988416
11.14,51375235072
11.41,51344695296
11.69,51314679808
11.97,51284402176
12.25,51253993472
12.53,51224240128
12.81,51194486784
13.08,51164733440
13.36,51134324736
13.64,51103916032
13.92,51073638400
14.20,51044147200
14.47,51015049216
14.75,50985033728
15.03,50954756096
15.31,50923409408
15.59,50893131776
15.87,50862723072
16.15,50832838656
16.43,50801905664
16.71,50771759104
16.99,50741874688
17.27,50711859200
17.55,50681974784
17.83,50651828224
18.10,50621026304
18.39,50590142464
18.67,50559995904
18.95,50529849344
19.23,50499702784
19.50,50469163008
19.78,50439016448
20.06,50408869888
20.34,50380296192
20.62,50350280704
20.89,50319040512
21.17,50289287168
21.45,50258878464
21.72,50228207616
22.00,50198454272
22.28,50168569856
22.55,50138554368
22.83,50108538880
23.11,50078130176
23.38,50047549440
23.66,50016956416
23.93,49986678784
24.22,49956270080
24.50,49925468160
24.78,49894666240
25.06,49864388608
25.34,49833717760
25.62,49803309056
25.90,49773686784
26.18,49742360576
26.46,49711951872
26.74,49681149952
27.02,49650872320
27.30,49619808256
27.59,49589006336
27.86,49558597632
28.14,49528188928
28.42,49498042368
28.70,49467449344
28.98,49436647424
29.26,49405059072
29.55,49374388224
29.83,49343586304
30.11,49313439744
30.39,49282899968
30.67,49252884480
30.95,49222606848
31.23,49191542784
31.52,49162051584
31.80,49131642880
32.07,49101234176
32.35,49071349760
32.63,49040154624
32.91,49009614848
33.19,48979206144
33.47,48948666368
33.75,48917733376
34.03,48887062528
34.31,48857178112
34.59,48826245120
34.87,48794918912
35.15,48764379136
35.43,48733577216
35.71,48702382080
35.98,48671842304
36.27,48641302528
36.54,48610500608
36.82,48579436544
37.11,48548765696
37.39,48517963776
37.67,48487555072
37.96,48457277440
38.23,48428310528
38.51,48398295040
38.78,48367243264
39.07,48336441344
39.35,48305377280
39.62,48275230720
39.90,48243449856
40.17,48212254720
40.46,48180797440
40.74,48149995520
41.02,48118800384
41.30,48087605248
41.57,48056803328
41.85,48025608192
42.13,47994937344
42.41,47963611136
42.69,47932416000
42.97,47901745152
43.24,47870287872
43.52,47839485952
43.80,47808946176
44.08,47777882112
44.35,47747342336
44.63,47718244352
44.90,47687573504
45.18,47674368000
45.46,47674368000
45.74,47644483584
46.02,47613812736
46.29,47582355456
46.57,47550767104
46.85,47519047680
47.13,47487721472
47.41,47457705984
47.69,47427035136
47.96,47395184640
48.24,47363989504
48.52,47333842944
48.79,47302025216
49.07,47270699008
49.35,47238979584
49.63,47208570880
49.91,47177768960
50.19,47145656320
50.47,47114330112
50.74,47083266048
51.02,47051677696
51.30,47020351488
51.58,46988894208
51.86,46957305856
52.14,46927683584
52.42,46895570944
52.70,46863343616
52.98,46832541696
53.25,46800953344
53.53,46769496064
53.81,46738038784
54.09,46706843648
54.37,46675517440
54.66,46645239808
54.94,46613327872
55.22,46581870592
55.49,46550413312
55.77,46518824960
56.05,46487629824
56.33,46456827904
56.61,46425894912
56.88,46394175488
57.17,46362107904
57.45,46330912768
57.72,46299586560
58.00,46267604992
58.29,46235623424
58.56,46204690432
58.84,46172532736
59.12,46140944384
59.40,46110535680
59.68,46079733760
59.95,46047883264
60.23,46015770624
60.52,45983789056
60.80,45953249280
61.08,45921792000
61.35,45890596864
61.63,45860057088
61.91,45828468736
62.20,45797011456
62.47,45765554176
62.76,45734490112
63.03,45703426048
63.31,45672099840
63.59,45640642560
63.87,45609316352
64.15,45579694080
64.42,45548367872
64.71,45517434880
64.98,45487550464
65.27,45457403904
65.54,45427126272
65.82,45396324352
66.10,45365129216
66.38,45334065152
66.65,45303132160
66.93,45272330240
67.21,45241004032
67.49,45208760320
67.76,45178220544
68.04,45146632192
68.32,45115305984
68.60,45084372992
68.89,45052260352
69.17,45023424512
69.44,44993409024
69.72,44962750464
70.00,44932997120
70.27,44902457344
70.55,44872572928
70.82,44868116480
71.11,27890577408
71.38,27890577408
71.66,27890577408
71.94,27890577408
72.22,27890708480
72.50,27890708480
72.79,27890708480
73.07,27890708480
73.35,27890708480
73.62,55778603008
73.91,55778734080
74.19,55778734080
74.47,55768903680
74.74,55740592128
75.02,55711887360
75.30,55681363968
75.58,55660392448
75.86,55631425536
76.14,55601934336
76.42,55572443136
76.70,55543066624
76.98,55513313280
77.26,55483035648
77.54,55453413376
77.81,55424184320
78.10,55394168832
78.38,55364153344
78.66,55333220352
78.93,55302811648
79.21,55272665088
79.49,55242780672
79.76,55212388352
80.04,55183028224
80.32,55153143808
80.59,55123914752
80.88,55093637120
81.16,55065194496
81.44,55034916864
81.72,55003983872
81.99,54973968384
82.27,54944215040
82.55,54914330624
82.83,54884708352
83.11,54855217152
83.39,54825594880
83.67,54795710464
83.95,54765432832
84.23,54735286272
84.51,54705795072
84.79,54675779584
85.07,54645108736
85.35,54614568960
85.63,54584291328
85.90,54554144768
86.18,54523736064
86.47,54493458432
86.75,54463049728
87.02,54432247808
87.31,54401708032
87.58,54371823616
87.86,54342070272
88.14,54312316928
88.42,54282170368
88.69,54252154880
88.97,54221877248
89.25,54191730688
89.53,54161453056
89.81,54130651136
90.09,54099869696
90.37,54068805632
90.65,54038790144
90.93,54009036800
91.21,53979414528
91.49,53949267968
91.77,53919121408
92.05,53888712704
92.33,53858435072
92.61,53828157440
92.89,53798010880
93.17,53767864320
93.45,53738110976
93.72,53708226560
94.00,53679915008
94.28,53650030592
94.56,53620015104
94.84,53588557824
95.12,53558542336
95.40,53528133632
95.69,53498118144
95.96,53467709440
96.24,53437956096
96.52,53407416320
96.80,53376614400
97.08,53346861056
97.36,53316583424
97.64,53286174720
97.92,53255634944
98.20,53225488384
98.48,53195472896
98.76,53165064192
99.03,53134655488
99.31,53103853568
99.60,53074100224
99.87,53042970624
100.15,53013086208
100.43,52983463936
100.71,52953055232
100.99,52923039744
101.26,52893286400
101.53,52863533056
101.81,52833124352
102.09,52803371008
102.36,52773093376
102.64,52743340032
102.92,52713586688
103.19,52683440128
103.47,52653817856
103.74,52624588800
104.02,52594208768
104.29,52564193280
104.56,52534439936
104.84,52504555520
105.12,52474802176
105.39,52444917760
105.67,52415033344
105.94,52384362496
106.22,52353822720
106.50,52325249024
106.78,52294184960
107.06,52263776256
107.34,52233891840
107.61,52203745280
107.89,52173205504
108.17,52143452160
108.44,52113436672
108.72,52083159040
109.00,52053405696
109.28,52023521280
109.56,51993772032
109.83,51963494400
110.11,51932430336
110.39,51902152704
110.67,51871481856
110.95,51841335296
111.23,51811581952
111.50,51781042176
111.78,51750502400
112.06,51720486912
112.34,51689816064
112.62,51660193792
112.90,51630178304
113.18,51600162816
113.46,51569831936
113.73,51540471808
114.01,51510194176
114.29,51479654400
114.57,51449376768
114.85,51419361280
115.12,51389345792
