time,used_memory_rss(bytes)
0.00,53049237504
0.28,53022367744
0.55,52997857280
0.83,52970725376
1.11,52944642048
1.39,52917022720
1.67,52890021888
1.95,52862627840
2.23,52836282368
2.52,52809543680
2.80,52782280704
3.08,52755017728
3.37,52728016896
3.65,52701802496
3.93,52674408448
4.21,52647538688
4.49,52620537856
4.77,52594061312
5.05,52567322624
5.32,52540321792
5.60,52513583104
5.88,52487368704
6.16,52459974656
6.44,52433891328
6.72,52406628352
7.00,52379758592
7.29,52354199552
7.56,52327198720
7.84,52299935744
8.12,52272570368
8.40,52245307392
8.68,52217765888
8.97,52191191040
9.25,52163928064
9.53,52136402944
9.82,52109139968
10.10,52082008064
10.38,52055924736
10.65,52029186048
10.93,52002443264
11.21,51976228864
11.49,51949031424
11.77,51922292736
12.05,51895554048
12.34,51868684288
12.62,51842338816
12.90,51814813696
13.19,51787288576
13.47,51760943104
13.75,51735515136
14.03,51709038592
14.31,51682168832
14.59,51655954432
14.86,51629215744
15.14,51602345984
15.42,51576786944
15.70,51549917184
15.98,51523178496
16.26,51496177664
16.54,51469701120
16.82,51444011008
17.10,51417010176
17.37,51390009344
17.65,51362877440
17.94,51336269824
18.21,51309531136
18.49,51283054592
18.77,51256315904
19.06,51229708288
19.33,51202576384
19.61,51175051264
19.89,51148050432
20.17,51121442816
20.45,51094966272
20.73,51067834368
21.01,51040964608
21.29,51013701632
21.57,50987225088
21.85,50959822848
22.13,50932953088
22.41,50905821184
22.69,50880000000
22.97,50852605952
23.25,50825342976
23.53,50798211072
23.81,50771210240
24.09,50744340480
24.37,50717077504
24.65,50689552384
24.94,50661896192
25.22,50635288576
25.50,50608156672
25.79,50581417984
26.07,50553892864
26.35,50527154176
26.63,50500808704
26.92,50473021440
27.20,50445758464
27.48,50418102272
27.77,50391232512
28.05,50364231680
28.32,50336968704
28.61,50309443584
28.89,50282835968
29.17,50255835136
29.45,50229489664
29.73,50202619904
30.01,50176274432
30.29,50149666816
30.57,50123976704
30.84,50096713728
31.13,50069712896
31.41,50042580992
31.69,50015973376
31.97,49987956736
32.25,49961086976
32.53,49934741504
32.81,49908002816
33.09,49881788416
33.37,49855311872
33.65,49829228544
33.93,49802096640
34.21,49775226880
34.49,49748619264
34.77,49721094144
35.05,49694224384
35.32,49667092480
35.60,49639698432
35.89,49612697600
36.17,49585565696
36.45,49560399872
36.73,49533136896
37.00,49506136064
37.28,49478742016
37.57,49452134400
37.85,49425002496
38.13,49398132736
38.41,49371443200
38.69,49343918080
38.97,49316917248
39.25,49291620352
39.52,49264619520
39.80,49237385216
40.08,49210384384
40.37,49184038912
40.64,49157169152
40.92,49130037248
41.21,49103167488
41.48,49077608448
41.76,49051525120
42.05,49024917504
42.33,48998309888
42.60,48971472896
42.88,48943595520
43.17,48915955712
43.45,48888561664
43.74,48861179904
44.03,48833916928
44.30,48807047168
44.59,48779915264
44.87,48752914432
45.15,48725127168
45.43,48699043840
45.71,48672698368
45.99,48645828608
46.26,48618827776
46.55,48592101376
46.83,48565100544
47.10,48538361856
47.38,48512016384
47.66,48484884480
47.94,48457490432
48.22,48430751744
48.50,48403357696
48.79,48376225792
49.07,48349224960
49.35,48322486272
49.63,48296009728
49.91,48269139968
50.19,48242532352
50.47,48215924736
50.75,48188792832
51.03,48162185216
51.31,48134791168
51.59,48108445696
51.88,48080920576
52.16,48053526528
52.44,48026132480
52.72,47998377984
53.01,47971377152
53.28,47943589888
53.57,47916720128
53.85,47889719296
54.13,47862849536
54.41,47836614656
54.69,47809744896
54.97,47783137280
55.25,47756267520
55.53,47730053120
55.81,47702790144
56.09,47675789312
56.37,47648919552
56.66,47623098368
56.93,47596228608
57.22,47586529280
57.50,47586529280
57.78,47560183808
58.07,47533707264
58.34,47506182144
58.62,47479050240
58.91,47452835840
59.19,47425310720
59.47,47398047744
59.75,47371571200
60.04,47344570368
60.32,47318224896
60.59,47291617280
60.87,47264616448
61.15,47237746688
61.43,47211401216
61.71,47184269312
61.99,47157661696
62.27,47130398720
62.55,47103135744
62.83,47074627584
63.12,47048019968
63.39,47021805568
63.67,46995197952
63.95,46968197120
64.23,46940672000
64.52,46913933312
64.80,46886801408
65.08,46859407360
65.36,46832668672
65.64,46806192128
65.92,46778404864
66.20,46750879744
66.48,46725058560
66.76,46698057728
67.04,46671712256
67.32,46644842496
67.59,46617579520
67.87,46590447616
68.15,46562791424
68.44,46536839168
68.72,46510231552
69.00,46482706432
69.28,46455181312
69.56,46428573696
69.84,46401703936
70.12,46373785600
70.41,46347415552
70.69,46320021504
70.98,46293020672
71.26,46265626624
71.54,46238756864
71.82,46211624960
72.10,46184624128
72.38,46158147584
72.66,46131539968
72.94,46104449024
73.22,46077448192
73.50,46050185216
73.78,46023053312
74.06,45995921408
74.34,45968134144
74.62,45940740096
74.91,45913214976
75.19,45886083072
75.46,45859082240
75.75,45831950336
76.02,45804425216
76.31,45776900096
76.59,45750947840
76.87,45722767360
77.16,45695504384
77.44,45668372480
77.71,45641895936
77.99,45614239744
78.27,45586583552
78.55,45559582720
78.83,45531795456
79.11,45504270336
79.39,45476614144
79.68,45448957952
79.96,45421301760
80.24,45395087360
80.52,45368479744
80.80,45341085696
81.08,45313822720
81.36,45286952960
81.64,45259952128
81.93,45232558080
82.21,45204639744
82.49,45176852480
82.77,45148655616
83.05,45123239936
83.33,45096108032
83.61,45069107200
83.89,45041188864
84.17,45013794816
84.45,44986531840
84.73,44959531008
85.01,44932661248
85.29,44905660416
85.56,44879183872
85.84,44873945088
86.12,27896598528
86.40,27896598528
86.68,27896991744
86.97,27897516032
87.25,27897647104
87.53,27897647104
87.81,27897647104
88.09,27897647104
88.38,27897647104
88.66,27897647104
88.94,55792578560
89.22,55792578560
89.50,55792578560
89.78,55790874624
90.06,55764398080
90.34,55737520128
90.62,55710388224
90.91,55682600960
91.19,55656386560
91.47,55629647872
91.74,55602384896
92.02,55575777280
92.30,55548645376
92.58,55521251328
92.86,55493476352
93.14,55466213376
93.42,55438381056
93.70,55411380224
93.98,55385165824
94.26,55359086592
94.53,55332216832
94.81,55304822784
95.10,55277559808
95.38,55250690048
95.66,55224213504
95.94,55196164096
96.22,55169163264
96.50,55142424576
96.78,55115423744
97.06,55088816128
97.35,55062863872
97.63,55037173760
97.91,55010029568
98.19,54983028736
98.47,54955896832
98.75,54928502784
99.03,54902288384
99.31,54875418624
99.59,54848942080
99.88,54821679104
100.16,54793367552
100.44,54766759936
100.72,54741594112
101.00,54713806848
101.28,54687330304
101.56,54660329472
101.84,54633328640
102.12,54606589952
102.40,54580506624
102.69,54553153536
102.97,54527201280
103.24,54500462592
103.51,54473461760
103.80,54446592000
104.07,54419984384
104.35,54392328192
104.64,54365589504
104.91,54338719744
105.19,54311325696
105.47,54284718080
105.75,54258110464
106.03,54231371776
106.31,54204502016
106.59,54177300480
106.87,54150430720
107.15,54123429888
107.43,54096691200
107.71,54069166080
107.99,54042427392
108.27,54015295488
108.55,53988163584
108.84,53961293824
109.12,53934292992
109.40,53907685376
109.68,53880684544
109.96,53854076928
110.24,53827338240
110.52,53801123840
110.80,53774385152
111.08,53747777536
111.36,53720514560
111.64,53693513728
111.92,53667426304
112.20,53641342976
112.48,53614735360
112.76,53588389888
113.04,53561671680
113.32,53535588352
113.60,53510029312
113.88,53483421696
114.16,53457600512
114.44,53431386112
114.72,53404909568
115.01,53378695168
115.29,53353267200
115.58,53326921728
115.86,53300707328
116.13,53274230784
116.41,53248802816
116.69,53222195200
116.97,53196242944
117.25,53169373184
117.54,53142634496
117.82,53115240448
118.10,53088501760
118.38,53062156288
118.66,53035417600
118.94,53008416768
119.22,52981022720
119.51,52954415104
119.78,52927205376
120.07,52900466688
120.34,52873728000
120.63,52847644672
120.91,52819857408
121.20,52792070144
121.48,52765855744
121.75,52739510272
