timestamp_ms,instantaneous_rps
0.00,0.0
0.25,21119.5
0.50,32476.0
0.75,36144.0
1.00,39392.0
1.25,41215.1
1.50,43524.0
1.75,45232.0
2.00,47384.0
2.25,47948.0
2.50,44532.0
2.75,40092.0
3.00,40008.0
3.25,39729.1
3.50,40084.0
3.75,39376.0
4.00,37664.0
4.25,39697.2
4.50,40512.0
4.75,39564.0
5.00,40984.0
5.25,41296.0
5.50,41520.0
5.76,36876.5
6.01,38296.0
6.26,11111.6
6.51,24340.0
6.76,25656.0
7.01,27060.0
7.26,28504.0
7.51,29124.0
7.76,28412.0
8.01,28521.9
8.26,29220.0
8.51,29716.0
8.76,32188.0
9.01,33760.0
9.26,33368.0
9.51,34272.0
9.76,34091.6
10.01,34452.0
10.26,35324.0
10.51,36000.0
10.76,36712.0
11.01,36705.2
11.26,35312.0
11.51,34836.0
11.76,35168.0
12.01,37340.0
12.26,37676.0
12.51,36864.0
12.76,37308.0
13.01,37964.1
13.26,38004.0
13.51,38240.0
13.76,38996.0
14.01,38552.0
14.26,35484.0
14.51,32240.0
14.76,34328.0
15.01,39500.0
15.26,34836.7
15.51,34852.0
15.76,33984.1
16.01,39884.0
16.26,35576.0
16.51,32107.6
16.76,33104.0
17.01,39344.0
17.26,38748.0
17.51,40160.0
17.76,39980.0
18.02,40123.5
18.27,39673.3
18.52,40188.0
18.77,39716.0
19.02,39620.0
19.27,40192.0
19.52,40756.0
19.77,40224.0
20.02,40027.9
20.27,40128.0
20.52,40268.0
20.77,40828.0
21.02,41040.0
21.27,40512.0
21.52,41000.0
21.77,40988.0
22.02,41260.0
22.27,41336.0
22.52,41112.0
22.77,41856.0
23.02,41215.1
23.27,40116.0
23.52,40284.0
23.77,48488.0
24.02,49628.0
24.27,48352.0
24.52,49300.0
24.77,49224.0
25.02,49223.1
25.27,49412.0
25.52,50460.0
25.77,50176.0
26.02,50352.0
26.27,49956.0
26.52,47685.3
26.77,49559.5
27.02,49656.0
27.27,50545.8
27.52,49840.0
27.77,49144.0
28.02,50664.0
28.27,51468.0
28.52,51312.0
28.77,48852.0
29.02,40537.9
29.27,45484.0
29.52,49904.0
29.77,52072.0
30.02,51464.0
30.27,52116.0
30.53,49784.9
30.78,51264.0
31.03,51236.0
31.28,49908.0
31.53,51128.0
31.78,51932.0
32.03,52548.0
32.28,52416.0
32.53,50628.0
32.78,50680.0
33.03,53532.0
33.28,53244.0
33.53,52580.0
33.78,52700.0
34.03,53176.0
34.28,51705.2
34.53,51400.0
34.78,53712.0
35.03,53304.0
35.28,53304.0
35.53,50060.0
35.78,52112.0
36.03,51956.0
36.28,54500.0
36.53,52625.5
36.78,54132.0
37.03,54220.0
37.28,52384.0
37.53,52720.0
37.78,54324.0
38.03,54500.0
38.28,53020.0
38.53,54508.0
38.78,54972.0
39.03,55296.0
39.28,53278.9
39.53,53864.0
39.78,52720.0
40.03,40088.0
40.28,29516.0
40.53,39708.0
40.78,43681.3
41.03,45512.0
41.28,45428.0
41.53,45776.0
41.78,45692.0
42.03,45728.0
42.28,44601.6
42.53,43488.0
42.78,43296.0
43.03,51448.0
43.28,55124.0
43.53,56760.0
43.78,55252.0
44.03,56656.0
44.28,55470.1
44.53,55880.0
44.78,55980.0
45.03,57308.0
45.28,56768.0
45.53,49219.1
45.78,24286.9
46.03,28232.0
46.28,24952.2
46.53,26464.0
46.78,27428.0
47.03,30940.0
47.29,37537.9
47.54,42040.0
47.79,40976.0
48.04,38788.0
48.29,22392.0
48.54,15342.6
48.79,14908.0
49.04,13264.0
49.29,12565.7
49.54,10852.0
49.79,10036.0
50.04,10800.8
50.29,10167.3
50.54,10752.0
50.79,20952.2
51.04,39012.0
51.29,45004.0
51.54,34740.0
51.79,47472.0
52.04,48112.0
52.29,47144.0
52.54,47147.4
52.79,45632.0
53.04,47288.0
53.29,46976.0
53.54,48284.0
53.79,47100.0
54.04,44508.0
54.29,46438.2
54.54,47368.0
54.79,45396.0
55.04,40920.0
55.29,40384.0
55.54,41944.0
55.79,47043.8
56.04,46576.0
56.29,47300.0
56.54,47208.0
56.79,48080.0
57.04,47700.0
57.29,46284.0
57.54,46052.0
57.79,46132.0
58.05,47163.3
58.30,47792.0
58.55,45300.0
58.80,47844.0
59.05,48300.0
59.30,48044.0
59.55,47940.0
59.80,47384.0
60.05,47692.0
60.30,46637.5
60.55,48292.0
60.80,48240.0
61.05,44076.0
61.30,46420.0
61.55,47804.0
61.80,47060.0
62.05,46717.1
62.30,45160.0
62.55,46280.0
62.80,48540.0
63.05,50340.0
63.30,48588.0
63.55,48852.0
63.80,48144.0
64.05,48988.0
64.30,50000.0
64.55,48717.1
64.80,44788.0
65.05,49288.0
65.30,50528.0
65.55,51520.0
65.80,44412.0
66.05,46620.0
66.30,48156.0
66.55,50632.0
66.80,50028.0
67.05,42768.0
67.30,46172.0
67.55,41266.9
67.80,56556.0
68.05,58392.0
68.30,58552.0
68.55,59656.0
68.80,59056.0
69.05,59272.0
69.30,59472.0
69.55,59560.0
69.80,37464.0
70.05,41136.0
70.30,41164.0
70.55,39872.5
70.80,39200.0
71.05,37432.0
71.30,35868.0
71.55,40936.0
71.80,41372.0
72.05,41328.0
72.30,40884.5
72.55,40624.0
72.80,40964.0
73.05,40812.0
73.30,41394.4
73.55,41400.0
73.80,41292.0
74.05,41296.0
74.30,41676.0
74.55,41784.0
74.80,52340.0
75.05,52688.0
75.30,53660.0
75.55,53500.0
75.80,52328.0
76.05,51348.0
76.30,53068.0
76.55,53342.6
76.80,43128.0
77.05,51628.0
77.30,52776.0
77.55,52840.0
77.80,52152.0
78.05,47124.0
78.30,71744.0
78.55,54624.0
78.80,59068.0
79.05,66168.0
79.30,70004.0
79.55,74960.0
79.80,77348.0
80.05,75924.3
80.30,77440.0
80.55,73528.0
80.80,72012.0
81.05,67096.0
81.30,74952.0
81.55,78608.0
81.80,65128.0
82.05,72320.0
82.30,78260.0
82.55,76968.0
82.80,77044.0
83.06,77211.2
83.31,79184.0
83.56,76564.0
83.81,72416.0
84.06,71960.0
84.31,71744.0
84.56,73896.0
84.81,74920.3
85.06,70116.0
85.31,74448.0
85.56,73744.0
85.81,73732.0
86.06,74596.0
86.31,65404.0
86.56,71948.0
86.81,77928.0
87.06,72668.0
87.31,70412.0
87.56,72372.0
87.81,75944.0
88.06,57712.0
88.31,77944.0
88.56,76004.0
88.81,78800.0
89.06,72800.0
89.31,77640.0
89.56,74780.0
89.81,69916.0
90.06,74092.0
90.31,77888.0
90.56,69028.0
90.81,77620.0
91.06,78260.0
91.31,79414.3
91.56,77456.0
