time,used_memory_rss(bytes)
0.00,50614374400
0.27,50586980352
0.55,50559848448
0.83,50532061184
1.11,50505191424
1.39,50478321664
1.67,50450927616
1.95,50424057856
2.23,50396254208
2.51,50370695168
2.79,50343145472
3.06,50317062144
3.34,50289799168
3.62,50262929408
3.89,50236452864
4.17,50209583104
4.45,50182844416
4.73,50156105728
5.01,50129498112
5.29,50103676928
5.56,50077331456
5.84,50049998848
6.12,50023129088
6.39,49997045760
6.67,49969651712
6.95,49942388736
7.23,49915650048
7.50,49888866304
7.78,49861603328
8.06,49834864640
8.34,49807863808
8.62,49779945472
8.89,49752907776
9.17,49726169088
9.44,49699168256
9.72,49671380992
10.00,49644642304
10.28,49617379328
10.56,49590509568
10.84,49564164096
11.11,49537163264
11.39,49510948864
11.67,49484734464
11.94,49457659904
12.22,49430687744
12.50,49403686912
12.78,49377210368
13.05,49351127040
13.33,49324519424
13.60,49297911808
13.88,49271173120
14.15,49244565504
14.43,49216516096
14.71,49188728832
14.98,49160679424
15.26,49132630016
15.54,49104318464
15.82,49076793344
16.09,49049923584
16.37,49021874176
16.65,48994611200
16.93,48966955008
17.21,48939298816
17.48,48910200832
17.77,48881627136
18.05,48854888448
18.32,48827625472
18.60,48800362496
18.87,48773230592
19.14,48746491904
19.42,48719228928
19.70,48691179520
19.98,48663392256
20.26,48635473920
20.54,48608473088
20.81,48580947968
21.09,48552898560
21.37,48524062720
21.66,48495751168
21.94,48467570688
22.22,48439783424
22.50,48412913664
22.77,48384696320
23.05,48357388288
23.33,48329863168
23.60,48302338048
23.88,48275730432
24.16,48248074240
24.43,48220680192
24.71,48193024000
24.99,48165105664
25.27,48136925184
25.55,48109924352
25.83,48081743872
26.10,48053825536
26.38,48025907200
26.66,47998251008
26.94,47970332672
27.21,47942414336
27.49,47914364928
27.77,47886577664
28.04,47859838976
28.32,47831666688
28.60,47803224064
28.88,47774781440
29.17,47747649536
29.44,47720124416
29.72,47692337152
30.00,47664418816
30.28,47636369408
30.56,47607926784
30.84,47579877376
31.12,47553138688
31.40,47525744640
31.68,47498219520
31.95,47470170112
32.24,47442513920
32.51,47415513088
32.79,47388643328
33.07,47361028096
33.35,47334813696
33.63,47307288576
33.90,47280812032
34.18,47252369408
34.46,47224844288
34.74,47197057024
35.02,47169662976
35.30,47142531072
35.58,47114350592
35.86,47086563328
36.14,47059431424
36.42,47032168448
36.70,47004774400
36.98,46977511424
37.26,46950117376
37.54,46922067968
37.83,46894936064
38.10,46867148800
38.39,46839230464
38.67,46811049984
38.95,46783369216
39.23,46757023744
39.51,46727811072
39.78,46700023808
40.06,46671974400
40.34,46643924992
40.62,46615613440
40.90,46587301888
41.18,46559252480
41.46,46531334144
41.74,46503022592
42.01,46475759616
42.30,46447841280
42.57,46419210240
42.85,46392602624
43.12,46364475392
43.40,46336425984
43.68,46308769792
43.96,46281768960
44.24,46254374912
44.52,46227636224
44.80,46198820864
45.08,46171295744
45.35,46143115264
45.63,46115196928
45.91,46087540736
46.19,46059622400
46.47,46032490496
46.75,46004965376
47.03,45977178112
47.31,45950308352
47.59,45922123776
47.87,45894336512
48.15,45866549248
48.43,45838237696
48.71,45810057216
48.99,45782532096
49.27,45755400192
49.55,45727481856
49.83,45700349952
50.10,45672824832
50.38,45644980224
50.66,45616799744
50.94,45589798912
51.21,45589798912
51.49,45579837440
51.77,45552574464
52.04,45525049344
52.32,45498343424
52.59,45471211520
52.87,45444603904
53.14,45417185280
53.42,45389398016
53.69,45361479680
53.97,45334216704
54.25,45306429440
54.53,45278773248
54.80,45251379200
55.08,45222932480
55.36,45195145216
55.65,45167226880
55.93,45139308544
56.21,45111259136
56.49,45084258304
56.76,45056733184
57.04,45028683776
57.32,45001420800
57.60,44973371392
57.88,44946046976
58.16,44923965440
58.44,44923965440
58.72,27913580544
58.99,27914104832
59.27,27914104832
59.55,27914104832
59.82,27914104832
60.10,27914104832
60.38,27914104832
60.66,27914104832
60.94,27914104832
61.22,27914104832
61.50,55824957440
61.77,55824957440
62.05,55824957440
62.33,55824957440
62.61,55806607360
62.89,55779475456
63.17,55749484544
63.45,55722090496
63.73,55693365248
64.00,55665577984
64.28,55636873216
64.57,55609479168
64.85,55581429760
65.12,55552987136
65.41,55524675584
65.68,55496626176
65.96,55468445696
66.24,55440003072
66.52,55412477952
66.80,55384559616
67.08,55356510208
67.36,55328198656
67.64,55300935680
67.91,55273672704
68.19,55245754368
68.47,55217836032
68.75,55189475328
69.03,55160000512
69.31,55132213248
69.58,55103377408
69.86,55075328000
70.14,55047671808
70.42,55019753472
70.70,54992359424
70.98,54962532352
71.26,54933434368
71.54,54904860672
71.82,54876024832
72.10,54847057920
72.38,54818484224
72.65,54789648384
72.94,54761861120
73.21,54732869632
73.49,54704689152
73.77,54675984384
74.05,54649114624
74.33,54620672000
74.61,54592360448
74.89,54564048896
75.17,54534950912
75.45,54506508288
75.73,54477541376
76.01,54449229824
76.28,54420131840
76.57,54391689216
76.84,54363377664
77.12,54335983616
77.40,54308196352
77.68,54280540160
77.95,54253408256
78.23,54225752064
78.51,54198095872
78.78,54170832896
79.06,54143307776
79.34,54114762752
79.62,54087499776
79.89,54059712512
80.18,54031138816
80.46,54002040832
80.74,53973073920
81.02,53944631296
81.30,53916844032
81.57,53888401408
81.86,53859901440
82.13,53831536640
82.41,53804011520
82.68,53776486400
82.96,53748699136
83.24,53721305088
83.52,53693304832
83.80,53665648640
84.07,53637468160
84.35,53609680896
84.63,53582286848
84.91,53554630656
85.18,53530120192
85.46,53510328320
85.74,53484113920
86.02,53458030592
86.31,53432471552
86.58,53406388224
86.86,53380304896
87.14,53354352640
87.42,53329580032
87.69,53303365632
87.97,53277413376
88.25,53251198976
88.53,53224652800
88.81,53198831616
89.08,53173010432
89.36,53146927104
89.64,53120974848
89.92,53094629376
90.20,53068939264
90.48,53043642368
90.75,53017411584
91.03,52991459328
91.31,52966686720
91.59,52940865536
91.88,52914388992
92.16,52888829952
92.43,52862615552
92.71,52836401152
92.99,52810055680
93.27,52784234496
93.55,52757311488
93.83,52731228160
94.11,52704620544
94.39,52678799360
94.67,52652191744
94.96,52626370560
95.24,52600287232
95.52,52574334976
95.80,52547727360
96.08,52522168320
96.36,52495298560
96.64,52468822016
96.92,52442345472
97.21,52417048576
97.48,52391096320
97.76,52365406208
98.04,52339191808
98.32,52312715264
98.60,52286500864
98.88,52260294656
99.16,52234080256
99.44,52207734784
99.72,52181147648
100.01,52155064320
100.29,52128849920
100.56,52103049216
100.84,52077621248
101.12,52051406848
101.40,52025978880
101.68,51999117312
101.96,51972902912
102.24,51946688512
102.52,51920998400
102.79,51895570432
103.07,51869880320
103.35,51843796992
103.63,51817058304
103.91,51790098432
104.19,51763884032
104.47,51737407488
104.75,51711586304
105.03,51685240832
105.31,51659026432
105.59,51633205248
105.86,51606990848
106.15,51580514304
106.42,51554037760
106.71,51528478720
106.98,51502264320
107.26,51475918848
107.54,51450097664
107.83,51424276480
108.10,51397668864
108.38,51371847680
108.66,51345895424
108.94,51318861824
109.22,51292385280
109.50,51266301952
109.78,51240218624
110.06,51214135296
110.33,51188183040
110.61,51162624000
110.88,51136540672
111.16,51109933056
111.45,51083980800
111.72,51057897472
112.00,51031814144
112.28,51005206528
112.56,50978336768
112.85,50952343552
113.12,50926129152
113.40,50900123648
113.67,50872803328
113.96,50846588928
114.24,50821292032
114.52,50795077632
114.80,50769256448
115.07,50743304192
115.35,50716565504
115.63,50690351104
115.91,50664529920
116.19,50637922304
116.47,50612101120
116.74,50585755648
117.03,50559541248
117.30,50533326848
117.58,50506719232
117.86,50479849472
118.14,50453766144
118.42,50428076032
118.69,50402648064
118.97,50376527872
119.25,50350575616
119.52,50324492288
119.80,50297622528
120.09,50271277056
120.37,50245193728
120.65,50217799680
120.93,50191847424
121.20,50165895168
121.48,50139811840
121.76,50113204224
122.04,50086858752
122.32,50060775424
122.60,50034954240
122.88,50009264128
123.16,49982918656
123.44,49956704256
123.72,49929793536
124.00,49903316992
124.28,49877495808
124.56,49851019264
124.84,49825984512
125.12,49799639040
125.39,49773424640
125.67,49747210240
125.95,49721257984
126.23,49694126080
126.52,49667649536
126.80,49641566208
127.08,49615613952
127.36,49589006336
127.64,49563054080
127.92,49536577536
128.20,49509969920
128.48,49483755520
128.76,49457803264
129.04,49431007232
129.31,49404530688
129.59,49378447360
129.87,49352232960
