time,used_memory_rss(bytes)
0.00,23174238208
0.30,23174238208
0.59,23174238208
0.89,23174238208
1.18,23174238208
1.47,23174238208
1.76,23174238208
2.05,23174238208
2.33,23174238208
2.62,23174238208
2.91,23174238208
3.20,23174238208
3.49,23174238208
3.78,23174238208
4.08,23174238208
4.37,23173799936
4.66,23173799936
4.95,23173799936
5.24,23173799936
5.53,23173799936
5.83,23173799936
6.12,23173799936
6.41,23173799936
6.69,23173799936
6.98,23173799936
7.27,23174619136
7.56,23174619136
7.85,23174619136
8.14,23174619136
8.42,23174619136
8.71,23174619136
9.02,23174619136
9.32,23174619136
9.62,23174619136
9.91,23174619136
10.20,23174619136
10.48,23174619136
10.77,23174619136
11.05,23174619136
11.34,23174619136
11.63,23174619136
11.92,23174619136
12.20,23175028736
12.48,23175028736
12.77,23175028736
13.06,23175028736
13.34,23175028736
13.63,23174639616
13.91,23174639616
14.21,23174639616
14.49,23174639616
14.78,23174639616
15.06,23174639616
15.34,23174639616
15.63,23174639616
15.92,23174639616
16.21,23174639616
16.49,23174639616
16.77,23174639616
17.06,23174639616
17.34,23174004736
17.62,23174004736
17.91,23174004736
18.19,23174414336
18.48,23174414336
18.81,23174414336
19.10,23174414336
19.39,23174414336
19.68,23174414336
19.98,23174414336
20.26,23174414336
20.55,23174414336
20.84,23174414336
21.13,23174414336
21.42,23174414336
21.71,23174414336
21.99,23174414336
22.28,23174414336
22.56,23174414336
22.85,23174414336
23.14,23174414336
23.44,23174709248
23.73,23174709248
24.03,23174709248
24.32,23174709248
24.60,23174709248
24.89,23174709248
25.18,23174709248
25.46,23174709248
25.75,23174709248
26.03,23174709248
26.32,23174709248
26.61,23174709248
26.90,23174709248
27.19,23174205440
27.48,23174205440
27.77,23174205440
28.06,23174205440
28.36,23175024640
28.65,23175024640
28.94,23175024640
29.23,23175024640
29.52,23175024640
29.81,23175024640
30.10,23175024640
30.39,23175024640
30.67,23175024640
30.97,23175024640
31.26,23175024640
31.55,23175024640
31.84,23175024640
32.13,23175024640
32.43,23175024640
32.71,23175024640
33.00,23175024640
33.28,23175024640
33.56,23175319552
33.84,23175319552
34.12,23175319552
34.41,23175319552
34.70,23175319552
34.98,23175319552
35.27,23175319552
35.55,23175319552
35.85,23175319552
36.14,23175319552
36.43,23175319552
36.72,23175319552
37.01,23175319552
37.30,23174795264
37.59,23174795264
37.88,23174795264
38.17,23174795264
38.45,23174795264
38.74,23174795264
39.02,23174795264
39.31,23175614464
39.60,23175614464
39.89,23175614464
40.18,23175614464
40.48,23175614464
40.76,23175614464
41.04,23175614464
41.33,23175614464
41.62,23175614464
41.91,23175614464
42.19,23175614464
42.48,23175614464
42.78,23175614464
43.06,23175614464
43.35,23175614464
43.64,23175667712
43.92,23175667712
44.21,23175667712
44.50,23175667712
44.79,23175667712
45.09,23175667712
45.37,23175667712
45.66,23175667712
45.94,23175667712
46.22,23175667712
46.51,23175667712
46.80,23175667712
47.09,23175667712
47.38,23175667712
47.67,23175667712
47.97,23174885376
48.25,23174885376
48.55,23174885376
48.84,23174885376
49.13,23174885376
49.42,23174885376
49.70,23174885376
49.99,23174885376
50.27,23174885376
50.56,23174885376
50.85,23174885376
51.13,23175294976
51.43,23175294976
51.73,23175294976
52.01,23175294976
52.31,23175294976
52.60,23175294976
52.88,23175294976
53.17,23175294976
53.47,23174688768
53.76,23174688768
54.05,23174688768
54.35,23174688768
54.64,23174688768
54.93,23174688768
55.22,23174688768
55.51,23174688768
55.79,23174688768
56.08,23174688768
56.36,23174688768
56.64,23174688768
56.93,23174688768
57.21,23174688768
57.50,23174688768
57.78,23174139904
58.07,23174139904
58.36,23174139904
58.65,23174139904
58.95,23174139904
59.23,23174549504
59.52,23174549504
59.81,23174549504
60.10,23174549504
60.38,23174549504
60.67,23174549504
60.96,23174549504
61.24,23174549504
61.53,23174549504
61.82,23174549504
62.10,23174549504
62.38,23174549504
62.65,23174549504
62.94,23174549504
63.23,23174549504
63.51,23174402048
63.81,23174402048
64.10,23174402048
64.39,23174402048
64.67,23174402048
64.97,23174402048
65.25,23174402048
65.54,23174402048
65.83,23174402048
66.11,23175221248
66.41,23175221248
66.69,23175221248
66.98,23175221248
67.28,23175221248
67.57,23175221248
67.86,23174266880
68.14,23174266880
68.42,23174266880
68.71,23174266880
69.00,23174266880
69.29,23174676480
69.58,23174676480
69.86,23174676480
70.14,23174676480
70.43,23174676480
70.71,23174676480
70.98,23174676480
71.26,23174676480
71.55,23174676480
71.83,23174676480
72.11,23174676480
72.39,23174676480
72.68,23174676480
72.96,23174676480
73.25,23174676480
73.53,23174971392
73.81,23174971392
74.10,23174971392
74.38,23174971392
74.66,23174971392
74.95,23174971392
75.24,23174971392
75.53,23174971392
75.82,23174971392
76.11,23174971392
76.39,23174971392
76.68,23174971392
76.96,23174971392
77.25,23174971392
77.54,23174971392
77.83,23174193152
78.11,23174193152
78.40,23174193152
78.69,23174193152
78.97,23174193152
79.25,23174602752
79.54,23174602752
79.82,23174602752
80.10,23174602752
80.39,23174602752
80.68,23174602752
80.96,23174602752
