time,used_memory_rss(bytes)
0.00,29133299712
0.30,29133299712
0.58,29133299712
0.88,29133299712
1.18,29133299712
1.46,29133299712
1.75,29133299712
2.04,29133299712
2.32,29133299712
2.61,29133299712
2.90,29133299712
3.19,29133299712
3.48,29133299712
3.77,29133299712
4.06,29133299712
4.34,29132808192
4.63,29132808192
4.92,29132808192
5.21,29132808192
5.50,29132808192
5.80,29132808192
6.09,29132808192
6.37,29132808192
6.66,29132808192
6.96,29132808192
7.24,29133217792
7.53,29133217792
7.83,29133217792
8.12,29133627392
8.41,29133627392
8.70,29133627392
8.98,29133099008
9.28,29133099008
9.56,29133099008
9.85,29133099008
10.14,29133508608
10.42,29133508608
10.71,29133508608
10.99,29133508608
11.27,29133508608
11.55,29133508608
11.84,29133508608
12.13,29133508608
12.41,29133508608
12.70,29133508608
12.99,29133508608
13.28,29133508608
13.57,29133508608
13.86,29133508608
14.15,29133508608
14.44,29133508608
14.73,29133508608
15.02,29133508608
15.31,29133508608
15.60,29133508608
15.88,29133508608
16.17,29133508608
16.45,29133508608
16.74,29133508608
17.03,29133508608
17.32,29133508608
17.61,29133508608
17.90,29133508608
18.20,29133508608
18.49,29133508608
18.77,29133508608
19.06,29132795904
19.34,29132795904
19.63,29132795904
19.92,29132795904
20.21,29132795904
20.50,29132795904
20.79,29132795904
21.08,29132795904
21.37,29132795904
21.67,29132795904
21.96,29133205504
22.25,29133205504
22.54,29133205504
22.83,29133205504
23.13,29133615104
23.41,29133615104
23.70,29133615104
24.00,29133615104
24.30,29133783040
24.59,29133783040
24.88,29133783040
25.17,29133783040
25.45,29133783040
25.75,29133783040
26.04,29133783040
26.32,29133783040
26.63,29133783040
26.93,29133783040
27.22,29134192640
27.52,29134602240
27.80,29134602240
28.09,29134602240
28.38,29134602240
28.68,29134602240
28.96,29134602240
29.25,29134602240
29.53,29133766656
29.82,29133766656
30.11,29134176256
30.40,29134176256
30.69,29134176256
30.98,29134176256
31.27,29134176256
31.57,29134176256
31.85,29134176256
32.15,29134176256
32.44,29134176256
32.72,29134176256
33.01,29134176256
33.30,29134176256
33.59,29134176256
33.89,29134176256
34.18,29133946880
34.47,29133946880
34.76,29133946880
35.06,29133946880
35.34,29133946880
35.63,29133946880
35.92,29133946880
36.22,29133946880
36.50,29133946880
36.79,29133946880
37.08,29133946880
37.36,29133946880
37.64,29133946880
37.93,29133946880
38.21,29133946880
38.50,29133946880
38.79,29133946880
39.08,29133946880
39.37,29133946880
39.65,29133156352
39.94,29133156352
40.23,29133565952
40.52,29133565952
40.81,29133565952
41.10,29133565952
41.39,29133565952
41.68,29133565952
41.97,29133975552
42.26,29133975552
42.55,29133975552
42.84,29133975552
43.13,29133975552
43.41,29133975552
43.71,29133975552
44.00,29133975552
44.29,29133746176
44.58,29134155776
44.87,29134155776
45.16,29134155776
45.45,29134155776
45.74,29134155776
46.03,29134155776
46.31,29134155776
46.60,29134155776
46.89,29134155776
47.18,29134155776
47.47,29134155776
47.76,29134155776
48.05,29134155776
48.33,29134155776
48.62,29134155776
48.90,29134155776
49.20,29134155776
49.49,29134155776
49.78,29133553664
50.06,29133553664
50.35,29133553664
50.63,29133553664
50.92,29133553664
51.21,29133553664
51.49,29133553664
51.77,29133553664
52.06,29134372864
52.35,29134372864
52.64,29134372864
52.93,29134372864
53.22,29134372864
53.50,29134372864
53.78,29134372864
54.07,29134372864
54.36,29133848576
54.65,29133848576
54.94,29133848576
55.22,29133848576
55.51,29133848576
55.80,29133848576
56.09,29133848576
56.38,29133848576
56.67,29133848576
56.96,29133848576
57.25,29133848576
57.55,29133848576
57.84,29134258176
58.13,29134258176
58.43,29134258176
58.72,29134258176
59.01,29134258176
59.30,29134258176
59.59,29134258176
59.89,29134258176
60.18,29133623296
60.47,29133623296
60.77,29133623296
61.06,29134032896
61.35,29134032896
61.65,29134032896
61.94,29134032896
62.23,29134032896
62.53,29134032896
62.82,29134032896
63.11,29134032896
63.40,29134032896
63.68,29134032896
63.97,29134442496
64.26,29134213120
64.55,29134213120
64.84,29134213120
65.12,29134213120
65.41,29134213120
65.70,29134213120
65.98,29134622720
66.26,29134622720
66.54,29134622720
66.83,29134622720
67.12,29134622720
67.41,29134622720
67.70,29134622720
67.98,29134622720
68.28,29134622720
68.57,29134622720
68.85,29134622720
69.14,29134622720
69.44,29134622720
69.72,29134622720
70.01,29133545472
70.31,29133545472
70.59,29133545472
70.88,29133545472
71.17,29133545472
71.46,29133545472
71.75,29133545472
72.04,29133955072
72.33,29133955072
72.62,29133955072
72.90,29133955072
73.20,29134364672
73.49,29134364672
73.77,29134364672
74.06,29134364672
74.35,29134135296
74.64,29134135296
74.92,29134135296
75.20,29134135296
75.49,29134135296
75.78,29134135296
76.06,29134135296
76.34,29134135296
76.62,29134135296
76.91,29134135296
77.19,29134135296
77.48,29134135296
77.76,29134135296
78.05,29134135296
78.34,29134135296
78.63,29134135296
78.91,29134135296
79.19,29134135296
79.48,29134135296
79.76,29134135296
80.05,29133144064
80.34,29133144064
80.64,29133144064
80.92,29133144064
81.21,29133553664
81.50,29133553664
81.80,29133553664
82.09,29133553664
82.38,29133553664
82.67,29133553664
82.97,29133553664
83.27,29133553664
83.56,29133553664
83.85,29133553664
84.15,29133963264
84.44,29133963264
84.73,29133963264
85.03,29133963264
85.31,29133963264
85.60,29133963264
85.89,29133963264
86.18,29133963264
86.47,29133963264
86.77,29133963264
87.05,29133963264
87.34,29133963264
87.64,29133963264
87.92,29133963264
88.22,29133963264
88.51,29133963264
88.80,29133963264
89.10,29133963264
89.39,29133963264
89.68,29133963264
89.97,29133062144
90.27,29133062144
90.55,29133062144
90.84,29133062144
91.13,29133881344
91.42,29133881344
91.70,29133881344
92.00,29133881344
92.29,29133881344
92.57,29133881344
92.85,29133881344
93.13,29133881344
93.43,29133881344
93.72,29133881344
94.01,29133881344
94.29,29133651968
94.58,29133651968
94.88,29133651968
95.16,29134061568
95.45,29134061568
95.75,29134061568
96.03,29134061568
96.32,29134061568
96.62,29134061568
96.91,29134061568
97.20,29134061568
97.49,29134061568
97.78,29134061568
98.07,29134061568
98.36,29134061568
98.65,29134061568
98.94,29134061568
99.23,29134061568
99.52,29134061568
99.81,29134061568
100.10,29134061568
100.39,29133529088
100.69,29133529088
100.98,29133529088
101.27,29133529088
101.56,29133529088
101.85,29133529088
102.14,29133529088
102.43,29133529088
102.72,29133529088
103.02,29133529088
103.31,29133529088
103.60,29133529088
103.89,29133529088
104.18,29132890112
104.46,29133709312
104.75,29133709312
105.03,29133709312
105.32,29133709312
105.61,29133709312
105.90,29133709312
106.19,29134118912
106.48,29134118912
106.77,29134118912
107.06,29134118912
107.35,29134118912
107.64,29134118912
107.93,29134118912
108.22,29134118912
108.51,29134118912
108.80,29134118912
109.09,29134118912
109.38,29134118912
109.66,29134118912
109.95,29134118912
110.24,29134118912
110.53,29133590528
110.87,29133590528
111.16,29133590528
111.45,29133590528
111.74,29133590528
112.03,29133590528
112.32,29133590528
112.61,29133590528
112.90,29133590528
113.19,29133590528
113.48,29133590528
113.76,29133590528
114.05,29134000128
114.33,29133361152
114.62,29133361152
114.90,29133361152
115.18,29133770752
115.47,29133770752
115.76,29133770752
116.04,29133770752
116.32,29133770752
116.60,29133770752
116.89,29133770752
117.17,29133770752
117.46,29133770752
117.75,29133770752
118.04,29133770752
118.33,29133770752
118.61,29133770752
118.89,29133770752
119.19,29133770752
119.48,29133770752
119.77,29133770752
120.05,29133770752
120.34,29133770752
120.63,29132955648
120.92,29132955648
121.21,29133365248
121.49,29133365248
121.78,29133365248
122.06,29133365248
122.34,29133365248
122.63,29133365248
122.92,29133365248
123.20,29133774848
123.48,29133774848
123.77,29133774848
124.06,29133774848
124.35,29133774848
124.64,29133774848
124.92,29133774848
125.21,29133774848
125.50,29133774848
125.79,29133774848
126.08,29133774848
126.37,29133774848
126.65,29134184448
126.94,29134184448
127.23,29134184448
127.51,29134184448
127.80,29134184448
128.09,29134184448
128.38,29134184448
128.66,29134184448
128.96,29134184448
129.24,29134184448
129.52,29134184448
129.81,29134184448
130.09,29134184448
130.38,29134184448
130.68,29133205504
130.97,29133615104
131.25,29133615104
131.55,29133615104
131.84,29133615104
132.13,29133615104
132.42,29133615104
132.71,29133615104
133.00,29133615104
133.29,29133615104
133.58,29133615104
133.87,29133615104
134.16,29133352960
134.45,29133352960
134.74,29133352960
135.03,29133352960
135.32,29133352960
135.60,29133352960
135.89,29133352960
136.18,29134172160
136.46,29134172160
136.75,29134172160
137.03,29134172160
137.33,29134172160
137.62,29134172160
137.92,29134172160
138.21,29134172160
138.49,29134172160
138.77,29134172160
139.06,29134172160
139.35,29134172160
139.64,29134172160
139.93,29134172160
140.22,29134172160
140.50,29134172160
140.79,29133488128
141.07,29133488128
141.37,29133488128
141.65,29133488128
141.94,29133488128
142.23,29133897728
142.52,29133897728
142.80,29133897728
143.09,29133897728
143.38,29133897728
143.67,29133897728
143.96,29133897728
144.25,29133373440
144.52,29133783040
144.81,29133783040
145.10,29133783040
145.39,29133783040
145.68,29133783040
145.97,29133783040
146.25,29133783040
146.54,29133783040
146.83,29133783040
147.12,29133783040
147.41,29133783040
147.71,29133783040
147.99,29134192640
148.29,29134192640
148.58,29134192640
148.87,29134192640
149.16,29134192640
149.45,29134192640
149.74,29134192640
150.03,29134192640
150.32,29134192640
150.61,29134192640
150.90,29134192640
151.19,29133135872
151.49,29133135872
151.78,29133135872
152.06,29133545472
152.35,29133545472
152.64,29133545472
152.93,29133545472
153.22,29133545472
153.50,29133545472
153.79,29133545472
154.07,29133545472
154.36,29133545472
154.65,29133545472
154.94,29133545472
155.22,29133545472
155.51,29133545472
155.81,29133545472
156.09,29133545472
156.38,29133545472
156.67,29133545472
156.97,29133545472
157.26,29133545472
157.55,29133545472
157.84,29133545472
158.13,29133545472
158.42,29133545472
158.71,29133545472
159.00,29133545472
159.29,29133545472
159.58,29133545472
159.88,29133545472
160.17,29133545472
160.46,29133545472
160.75,29133545472
161.05,29133545472
161.34,29133545472
161.62,29133545472
161.92,29133545472
162.21,29133955072
162.50,29133955072
162.79,29133955072
163.08,29133955072
163.37,29133955072
163.67,29133955072
163.96,29133955072
164.25,29133316096
164.54,29133316096
164.83,29133316096
165.12,29133316096
165.41,29133316096
165.70,29134135296
166.00,29134954496
166.29,29134954496
166.58,29134954496
166.87,29134954496
167.16,29134954496
167.45,29134954496
167.74,29134954496
168.03,29134954496
168.32,29134954496
168.60,29134954496
168.89,29134954496
169.17,29134954496
169.45,29134954496
169.74,29134954496
170.03,29134954496
170.32,29134954496
170.61,29134954496
170.89,29134954496
171.18,29134954496
171.48,29133635584
171.77,29133635584
172.05,29134045184
172.34,29134045184
172.63,29134045184
172.91,29134045184
173.20,29134454784
173.50,29134454784
173.79,29134454784
174.07,29134454784
174.36,29133815808
174.65,29133815808
174.94,29133815808
175.23,29133815808
175.51,29134225408
175.80,29134225408
176.09,29134225408
176.37,29134225408
176.66,29134225408
176.94,29134225408
177.24,29134225408
177.52,29134225408
177.81,29134225408
178.09,29134225408
178.60,29134225408
178.89,29134225408
179.18,29134225408
179.46,29134225408
179.76,29134225408
180.04,29134225408
180.33,29134225408
180.61,29134225408
180.90,29134225408
181.19,29134225408
181.48,29133283328
181.78,29133283328
182.07,29133692928
182.35,29133692928
182.64,29133692928
182.93,29133692928
183.22,29133692928
183.51,29133692928
183.79,29133692928
184.07,29134102528
184.36,29133578240
184.65,29133987840
184.94,29133987840
185.23,29133987840
185.52,29133987840
185.81,29133987840
186.09,29133987840
186.38,29133987840
186.66,29133987840
186.95,29133987840
187.24,29133987840
187.53,29133987840
187.82,29133987840
188.11,29133987840
188.41,29133987840
188.69,29133987840
188.98,29133987840
189.26,29133987840
189.55,29133987840
189.84,29133987840
190.13,29133987840
190.42,29133987840
190.71,29133987840
191.00,29133987840
191.29,29133987840
191.58,29133320192
191.87,29133320192
192.15,29133320192
192.44,29133320192
192.73,29133320192
