timestamp_ms,instantaneous_rps
0.00,0.0
0.25,11676.0
0.50,11320.0
0.75,10255.0
1.00,10908.0
1.25,11228.0
1.50,10721.1
1.75,10780.0
2.00,11144.0
2.25,11111.6
2.50,11476.0
2.75,11740.0
3.00,11808.8
3.25,10964.0
3.51,11059.8
3.76,11120.0
4.01,10824.0
4.26,11278.9
4.51,10092.0
4.76,11502.0
5.01,11784.0
5.26,11940.2
5.51,12052.0
5.76,11717.1
6.01,11684.0
6.26,11940.2
6.51,11944.0
6.76,11649.4
7.01,11576.0
7.26,11244.0
7.51,9792.8
7.76,10880.0
8.01,11374.5
8.27,11406.4
8.52,11356.0
8.77,11936.3
9.02,12248.0
9.27,11968.0
9.52,9043.8
9.77,11228.0
10.02,11060.0
10.27,11466.1
10.52,11521.9
10.77,12052.0
11.02,11828.7
11.27,11816.7
11.52,12180.0
11.77,11268.0
12.02,11872.0
12.27,11681.3
12.52,11392.0
12.77,11844.0
13.02,12502.0
13.27,12156.0
13.52,11620.0
13.77,11474.1
14.02,11804.0
14.28,12095.6
14.53,11812.0
14.78,11533.9
15.03,11616.0
15.28,11680.0
15.53,11880.0
15.78,11470.1
16.03,10972.0
16.28,10448.0
16.53,11123.5
16.78,11063.7
17.03,10908.0
17.28,12148.0
17.53,11972.1
17.78,11968.0
18.03,11908.0
18.28,12015.9
18.53,12139.4
18.78,12000.0
19.03,11932.3
19.28,11664.0
19.53,11744.0
19.78,11804.0
20.03,11836.7
20.28,10552.0
20.53,11672.0
20.78,11824.0
21.04,12095.6
21.29,12016.0
21.54,12012.0
21.79,11645.4
22.04,11912.4
22.29,11632.0
22.54,12372.0
22.79,12234.1
23.04,12256.0
23.29,12104.0
23.54,12051.8
23.79,11464.0
24.04,11545.8
24.29,11199.2
24.54,10780.0
24.79,11252.0
25.04,11656.0
25.29,11648.0
25.54,11685.3
25.79,12008.0
26.05,11613.5
26.30,11184.0
26.55,11512.0
26.80,11632.0
27.05,11068.0
27.30,11665.3
27.55,11700.0
27.80,11940.0
28.05,12199.2
28.30,11940.0
28.55,11868.5
28.80,11712.0
29.05,12083.7
29.30,11788.8
29.55,11896.4
29.80,11224.0
30.05,11446.2
30.30,11280.0
30.55,11625.5
30.80,12079.7
31.05,11932.0
31.30,12132.0
31.55,11346.6
31.81,11976.1
32.06,12023.9
32.31,12470.1
32.56,11812.0
32.81,12172.0
33.06,11761.0
33.31,11438.2
33.56,11916.0
33.81,11824.7
34.06,12356.0
34.31,12314.7
34.56,12115.5
34.81,12108.0
35.06,12128.0
35.31,12092.0
35.56,11944.2
35.81,11256.0
36.06,11442.2
36.32,11362.6
36.57,12079.7
36.82,11620.0
37.07,11852.0
37.32,10474.1
37.57,11852.0
37.82,12048.0
38.07,12063.7
38.32,12112.0
38.57,11414.3
38.82,11688.0
39.07,11952.2
39.32,11888.0
39.57,11052.0
39.82,10450.2
40.07,10788.8
40.32,10410.4
40.57,10508.0
40.82,10796.0
41.08,10812.8
41.33,10936.3
41.60,10616.8
41.85,10712.0
42.10,11680.0
42.35,11043.8
42.60,11420.0
42.85,10912.4
43.10,10892.4
43.35,10804.0
43.60,10948.0
43.85,9521.9
44.10,11163.3
44.35,11216.0
44.60,11340.0
44.86,11302.8
45.11,10816.0
45.36,11016.0
45.61,11908.0
45.86,11597.6
46.11,11204.0
46.36,11164.0
46.61,11008.0
46.86,11144.0
47.11,11031.9
47.36,10721.1
47.61,11549.8
47.86,11629.5
48.11,11424.0
48.36,11048.0
48.61,11020.0
48.86,11352.0
49.11,11692.0
49.36,11147.4
49.61,11717.1
49.86,12008.0
50.11,12240.0
50.37,12195.2
50.62,12512.0
50.87,11262.9
51.12,11600.0
51.37,11406.4
51.62,11996.0
51.87,11980.0
52.12,10400.0
52.37,11140.0
52.62,11215.1
52.87,10724.0
53.12,10892.0
53.37,10996.0
53.62,10924.3
53.87,11228.0
54.12,11136.0
54.37,11004.0
54.62,10636.0
54.87,11382.5
55.12,11228.0
55.37,10924.0
55.62,11224.0
55.87,11521.9
56.12,11728.0
56.37,11548.0
56.62,11716.0
56.87,11412.0
57.12,11171.3
57.37,10580.0
57.62,11131.5
57.88,11132.0
58.13,11506.0
58.38,11776.0
58.63,11613.5
58.88,11476.0
59.13,10968.0
59.38,11171.3
59.63,10848.6
59.88,11084.0
60.13,10581.7
60.38,10860.0
60.63,10908.0
60.88,11380.0
61.13,11112.0
61.38,10820.7
61.63,10516.0
61.88,10472.0
62.13,10422.3
62.38,10544.0
62.63,10422.3
62.88,10175.3
63.13,10760.0
63.38,10816.7
63.63,10568.0
63.89,10816.7
64.14,10832.0
64.39,11268.0
64.64,10776.0
64.89,10605.6
65.14,10552.0
65.39,10625.5
65.64,10884.0
65.89,10235.1
66.14,10512.0
66.39,10788.0
66.64,10438.2
66.89,10816.7
67.14,11004.0
67.39,10828.7
67.64,11016.0
67.89,10701.2
68.14,10832.7
68.39,10924.3
68.64,10740.0
68.89,10416.0
69.15,10175.3
69.40,10900.0
69.65,11378.5
69.90,11684.0
70.15,10464.0
70.40,10932.3
70.65,11812.0
70.90,11502.0
71.15,11521.9
71.40,11480.0
71.65,11235.1
71.90,11280.0
72.15,10095.6
72.40,10620.0
72.65,10064.0
72.90,10380.0
73.15,10247.0
73.40,10856.0
73.65,11156.0
73.90,11430.3
74.15,11920.0
74.41,11290.8
74.66,10741.0
74.91,11556.0
75.16,11119.5
75.41,11131.5
75.66,11200.0
75.91,10336.0
76.16,10788.8
76.41,10844.0
76.66,11284.0
76.91,10708.0
77.16,10752.0
77.41,11019.9
77.66,10924.3
77.91,11031.9
78.16,11344.0
78.41,11115.5
78.66,11160.0
78.91,11200.0
79.16,10920.0
79.41,10478.1
79.67,10761.0
79.92,11052.0
80.17,10442.2
80.42,10621.5
80.67,11044.0
80.92,10876.0
81.17,11023.9
81.42,10856.0
81.67,10800.0
81.92,11776.9
82.17,10856.0
82.42,11320.0
82.67,11342.6
82.92,10988.0
83.17,11095.6
83.42,11376.0
83.67,11434.3
83.92,11506.0
84.17,11352.0
84.42,10904.0
84.67,10644.0
84.92,10952.2
85.17,10932.0
85.42,11410.4
85.67,11124.0
85.93,11255.0
86.18,10876.0
86.43,10840.0
86.68,11087.7
86.93,11772.0
87.18,11452.0
87.43,10380.0
87.68,10701.2
87.93,10593.6
88.18,10564.0
88.43,10454.2
88.68,10964.0
88.93,10884.0
89.18,10195.2
89.43,10494.0
89.68,10724.0
89.93,10928.3
90.18,10800.0
90.43,11107.6
90.69,10597.6
90.94,10632.0
91.19,10665.3
91.44,11568.0
91.69,11302.8
91.94,10992.0
92.19,10856.6
92.44,10524.0
92.69,11320.0
92.94,11159.4
93.19,11364.0
93.44,10652.0
93.69,10372.0
93.94,11422.3
94.19,11083.7
94.44,11320.0
94.69,10948.0
94.94,11502.0
95.19,11484.0
95.44,11312.0
95.69,11123.5
95.94,10772.0
96.19,11561.8
96.44,11342.6
96.69,10400.0
96.94,10316.0
97.19,10176.0
97.45,10701.2
97.70,10668.0
97.95,10900.4
98.20,10956.0
98.45,11071.7
98.70,11143.4
98.95,11444.0
99.20,11442.2
99.45,11537.8
99.70,11744.0
99.95,11216.0
100.20,11180.0
100.45,11147.4
100.70,11180.0
100.95,10936.0
101.20,10211.2
101.45,10151.4
101.70,10644.0
101.95,11024.0
102.20,10649.4
102.45,10464.0
102.71,10768.9
102.96,10764.9
103.21,11490.0
103.46,11824.0
103.71,11384.0
103.96,10553.8
104.21,11320.0
104.46,11111.6
104.71,10668.0
104.96,10796.8
105.21,10960.2
105.46,10644.0
105.71,10736.0
105.96,10908.0
106.21,11665.3
106.46,11876.0
106.71,11044.0
106.96,10956.2
107.22,11043.8
107.47,11124.0
107.72,12072.0
107.97,10884.5
108.22,10231.1
108.47,10816.0
108.72,10900.0
108.97,10388.0
109.22,10940.2
109.47,10310.8
109.72,10484.0
109.97,11188.0
110.22,11160.0
110.47,10776.9
110.72,11083.7
110.97,11440.0
111.22,11019.9
111.47,11195.2
111.72,11348.0
111.97,11402.4
112.22,10836.0
112.47,10852.6
112.72,11260.0
112.98,11167.3
113.23,11191.2
113.48,10948.0
113.73,11456.0
113.98,10808.8
114.23,10784.9
114.48,11386.5
114.73,11300.0
114.98,11378.5
115.23,11000.0
115.48,11260.0
115.73,11776.9
115.98,11152.0
116.23,11430.3
116.48,11284.0
116.73,11139.4
116.99,11294.8
117.24,11159.4
117.49,10844.0
117.74,10884.0
117.99,10996.0
118.24,10532.0
118.49,11039.7
118.74,10856.0
118.99,11064.0
119.24,11131.5
119.49,11248.0
119.74,11259.0
119.99,11326.7
120.24,11416.0
120.49,11386.5
120.75,11143.4
121.00,11080.0
121.25,11414.3
121.50,11414.3
121.75,10312.0
122.00,10438.2
122.25,10656.0
122.50,11075.7
122.75,10876.0
123.00,11243.0
123.25,11276.0
123.50,10506.0
123.75,10444.0
124.00,10936.3
124.25,11784.0
124.50,11836.0
124.75,11286.9
125.00,11620.0
125.25,11632.0
125.50,11820.7
125.75,11888.0
126.00,11760.0
126.25,11605.6
126.50,11696.0
126.75,11988.0
127.01,11506.0
127.26,12120.0
127.51,11712.0
127.76,11068.0
128.01,11243.0
128.26,11832.0
128.51,11836.0
128.76,11684.0
129.01,11677.3
129.26,11824.7
129.51,11648.0
129.76,11517.9
130.01,11228.0
130.26,11520.0
130.51,11059.8
130.76,11836.0
131.01,11685.3
131.26,11536.0
131.51,11660.0
131.76,11704.0
132.01,11251.0
132.26,11063.7
132.51,12704.0
132.76,11600.0
133.01,11200.0
133.26,11569.7
133.51,11756.0
133.77,11780.9
134.02,11844.0
134.27,11744.0
134.52,11656.0
134.77,11553.8
135.02,11557.8
135.27,11276.0
135.52,11577.7
135.77,11400.0
136.02,11649.4
136.27,11660.0
136.52,11665.3
136.77,11728.0
137.02,11729.1
137.27,11952.2
137.52,11585.7
137.77,11584.0
138.02,11400.0
138.27,11716.0
138.53,11561.8
138.78,11856.0
139.03,11708.0
139.28,11744.0
139.53,10952.0
139.78,11490.0
140.03,11612.0
140.28,10410.4
140.53,10696.0
140.78,11388.0
141.03,11296.0
141.28,12004.0
141.53,10972.0
141.78,12079.7
142.03,11472.0
142.28,11721.1
142.53,11657.4
142.78,11836.0
143.03,11278.9
143.28,8290.8
143.53,10920.3
143.78,10852.0
144.03,10800.8
144.28,10924.0
144.53,11043.8
144.79,10832.7
145.04,10956.2
145.29,10832.0
145.54,10318.7
145.79,10224.0
146.04,9876.0
146.29,11272.0
146.54,9012.0
146.79,10163.3
147.04,10676.0
147.29,10212.0
147.54,10388.0
147.79,10557.8
148.04,10688.0
148.29,10636.0
148.54,10516.0
148.79,10378.5
149.04,11228.0
149.29,10512.0
149.54,10442.2
149.79,11172.0
150.04,11601.6
150.29,11960.0
150.54,11478.1
150.79,12124.0
151.05,12338.6
151.30,11649.4
151.55,11520.0
151.80,11458.2
152.05,11636.0
152.30,11340.0
152.55,10944.2
152.80,11252.0
153.05,11368.0
153.30,11219.1
153.55,11432.0
153.80,11040.0
154.05,10872.5
154.30,11880.0
154.55,11394.4
154.80,11072.0
155.05,10748.0
155.30,11183.3
155.55,11203.2
155.80,11000.0
156.06,11729.1
156.31,11540.0
156.56,10996.0
156.81,10844.6
157.06,11444.0
157.31,11545.8
157.56,11032.0
157.81,11356.0
158.06,11155.4
158.31,11116.0
158.56,11380.0
158.81,10900.4
159.06,11572.0
159.31,11672.0
159.56,11588.0
159.81,11131.5
160.06,11204.0
160.31,11004.0
160.56,11284.0
160.81,10892.4
161.06,11052.0
161.31,10908.0
161.56,11316.0
161.81,11637.5
162.06,11436.0
162.31,11294.8
162.56,12087.7
162.81,12264.0
163.06,11948.0
163.31,11992.0
163.57,11800.8
163.82,12107.6
164.07,11752.0
164.32,11492.0
164.57,11741.0
164.82,11764.0
165.07,12168.0
165.32,11868.5
165.57,11712.0
165.82,11568.0
166.07,12176.0
166.32,11972.1
166.57,11844.0
166.82,11724.0
167.07,12071.7
167.32,11956.0
167.57,11908.0
167.82,11892.4
168.07,11800.8
168.32,12188.0
168.57,12043.8
168.82,14272.0
169.07,14378.5
169.33,14717.1
169.58,14296.0
169.83,14247.0
170.08,14732.0
170.33,14828.7
170.58,14772.0
170.83,14668.0
171.08,14712.0
171.33,14732.0
171.58,14442.2
171.83,14780.0
172.08,14964.0
172.33,14183.3
172.58,14740.0
172.83,14856.6
173.08,14745.0
173.33,14796.8
173.58,14980.0
173.83,14492.0
174.08,14936.3
174.33,14732.0
174.59,14597.6
174.84,14828.0
175.09,14420.0
175.34,13290.8
175.59,13716.0
175.84,13900.0
176.09,13840.6
176.34,13744.0
176.59,14168.0
176.84,14028.0
177.09,13772.9
177.34,13868.5
177.59,14056.0
177.84,14228.0
178.09,14310.8
178.34,14472.0
178.59,13856.0
178.84,13852.6
179.09,14139.4
179.34,14172.0
179.59,14068.0
179.84,14140.0
180.09,13996.0
180.34,13689.2
180.59,13388.0
180.84,13764.9
181.09,13740.0
181.34,14091.6
181.59,14140.0
181.85,14167.3
182.10,14412.0
182.35,14608.0
182.60,14478.1
182.85,13784.0
183.10,14051.8
183.35,13884.0
183.60,14039.8
183.85,14199.2
184.10,13860.0
184.35,13936.0
184.60,14608.0
184.85,14533.9
185.10,14192.0
185.35,14450.2
185.60,14442.2
185.85,14740.0
186.10,15163.3
186.35,14312.0
186.60,14772.0
186.85,14470.1
187.11,14661.4
187.36,14756.0
187.61,14640.0
187.86,13320.0
188.11,14294.8
188.36,14243.0
188.61,14432.0
188.86,14820.0
189.11,14404.0
189.36,14318.7
189.61,14552.0
189.86,14856.0
190.11,14548.0
190.36,14430.3
190.61,14592.0
190.86,14612.0
191.11,14332.0
191.36,14665.3
191.61,15620.0
191.86,15312.0
192.11,14956.2
192.36,14864.0
192.61,14644.0
192.86,15163.3
193.11,15028.0
193.36,14322.7
193.61,14648.0
193.87,14745.0
194.12,14916.0
194.37,14864.5
194.62,14856.0
194.87,14920.3
195.12,14629.5
195.37,15172.0
195.62,14508.0
195.87,14952.0
196.12,14940.0
196.37,14784.0
196.62,15055.8
196.87,14660.0
197.12,14649.4
197.37,14872.0
197.62,14820.7
197.87,15536.0
198.12,14816.7
198.37,14256.0
198.62,14992.0
198.87,14645.4
199.12,15012.0
199.37,14561.8
199.62,14604.0
199.87,14940.0
