time,used_memory_rss(bytes)
0.00,17657483264
0.28,17657483264
0.57,17679208448
0.84,17695969280
1.12,17735946240
1.41,17776709632
1.69,17847492608
1.97,17825456128
2.25,17867923456
2.54,17919172608
2.82,17921511424
3.10,17960570880
3.37,18001989632
3.65,18055962624
3.93,18053623808
4.21,18091765760
4.48,18130956288
4.76,18175832064
5.05,18180456448
5.33,18216108032
5.61,18257756160
5.89,18266091520
6.17,18302005248
6.45,18342244352
6.73,18390413312
7.01,18384060416
7.29,18424299520
7.57,18488823808
7.86,18527289344
8.14,18506776576
8.42,18542166016
8.70,18612322304
8.98,18587533312
9.26,18626985984
9.55,18670583808
9.83,18677846016
10.11,18713235456
10.40,18750590976
10.68,18794852352
10.96,18797735936
11.24,18830897152
11.52,18869563392
11.80,18884919296
12.08,18919505920
12.36,18955419648
12.64,19015053312
12.93,18996326400
13.21,19030929408
13.48,19066056704
13.76,19110559744
14.04,19099738112
14.32,19127001088
14.60,19165831168
14.88,19170136064
15.16,19198709760
15.44,19226103808
15.72,19260887040
16.01,19262885888
16.28,19291983872
16.57,19336216576
16.85,19331084288
17.14,19358478336
17.42,19385348096
17.70,19426234368
17.98,19425681408
18.27,19454255104
18.55,19491557376
18.84,19493175296
19.12,19518996480
19.40,19546259456
19.68,19605495808
19.96,19576426496
20.25,19601854464
20.52,19635539968
20.80,19657015296
21.08,19682050048
21.37,19709837312
21.65,19761500160
21.93,19747168256
22.21,19773120512
22.49,19799728128
22.77,19810324480
23.05,19837325312
23.33,19863670784
23.62,19903311872
23.90,19903201280
24.17,19926269952
24.46,19940470784
24.74,19991867392
25.02,19993194496
25.30,20021243904
25.58,20060454912
25.86,20059398144
26.14,20085874688
26.43,20101746688
26.70,20150566912
26.98,20148744192
27.26,20181512192
27.54,20220178432
27.82,20221800448
28.11,20246966272
28.39,20261490688
28.67,20309737472
28.95,20306558976
29.22,20336574464
29.50,20366458880
29.78,20422397952
30.07,20407459840
30.35,20427055104
30.63,20486205440
30.91,20469805056
31.19,20492349440
31.46,20516859904
31.75,20529229824
32.03,20553871360
32.31,20567932928
32.59,20611149824
32.87,20612210688
33.15,20636327936
33.43,20659920896
33.71,20715290624
33.99,20696117248
34.27,20710121472
34.56,20750344192
34.84,20750000128
35.12,20772020224
35.40,20796006400
35.68,20835917824
35.96,20832514048
36.24,20847239168
36.53,20881973248
36.82,20889579520
37.10,20912386048
37.38,20937682944
37.65,20989333504
37.93,20975775744
38.21,20993495040
38.50,21021937664
38.78,21039656960
39.07,21067182080
39.35,21088284672
39.64,21122215936
39.92,21112905728
40.20,21140692992
40.48,21163499520
40.76,21180596224
41.05,21207465984
41.33,21229355008
41.61,21262090240
41.89,21251432448
42.17,21278302208
42.45,21305696256
42.74,21356273664
43.02,21349482496
43.30,21375041536
43.57,21414166528
43.86,21402570752
44.14,21424197632
44.42,21445562368
44.69,21498363904
44.97,21476978688
45.26,21494673408
45.54,21524295680
45.82,21524848640
46.10,21545164800
46.39,21565743104
46.67,21619691520
46.95,21596327936
47.22,21618610176
47.50,21642727424
47.78,21640294400
48.06,21658513408
48.35,21679222784
48.63,21729271808
48.91,21722542080
49.19,21741023232
49.47,21761470464
49.74,21771464704
50.02,21791780864
50.31,21811179520
50.59,21842235392
50.87,21840527360
51.15,21859794944
51.43,21878538240
51.71,21934366720
51.99,21908295680
52.27,21926383616
52.55,21963083776
