time,used_memory_rss(bytes)
0.00,29312774144
0.30,29296799744
0.59,29275910144
0.89,29272633344
1.18,29270994944
1.47,29269356544
1.77,29284458496
2.06,29281181696
2.35,29279543296
2.64,29307330560
2.94,29278466048
3.23,29277237248
3.52,29276008448
3.81,29277126656
4.11,29276717056
4.39,29275078656
4.68,29310103552
4.97,29269790720
5.26,29268561920
5.54,29266513920
5.83,29266149376
6.12,29264101376
6.42,29262462976
6.72,29264842752
7.01,29267300352
7.30,29265661952
7.60,29279805440
7.89,29265141760
8.18,29263093760
8.47,29261045760
8.77,29261684736
9.06,29249101824
9.34,29247463424
9.64,29281009664
9.93,29253275648
10.22,29251637248
10.51,29250818048
10.81,29241356288
11.10,29239308288
11.39,29249138688
11.67,29283442688
11.97,29268705280
12.26,29273210880
12.55,29276078080
12.85,29275951104
13.14,29278408704
13.44,29281275904
13.73,29306155008
14.02,29276950528
14.31,29289648128
14.61,18728501248
14.90,18712768512
15.20,18712768512
15.49,37435785216
15.79,37442134016
16.08,37434351616
16.37,37428207616
16.67,37442166784
16.96,37417373696
17.26,37414096896
17.55,37412868096
17.84,37408104448
18.14,37395382272
18.44,37392515072
18.74,37407404032
19.03,37402488832
19.33,37399621632
19.61,37418553344
19.91,37395795968
20.21,37393747968
20.50,37391290368
20.80,37390438400
21.09,37386752000
21.39,37381427200
21.69,37397229568
21.98,37363769344
22.27,37359673344
22.55,37363769344
22.85,37363130368
23.14,37361082368
23.44,37360672768
23.73,37360009216
24.03,37345951744
24.32,37342265344
24.62,37368471552
24.91,37344063488
25.21,37337100288
25.51,37335052288
25.80,37321965568
26.09,37320736768
26.39,37318279168
26.68,37347471360
26.97,37324234752
27.27,37322596352
27.56,37323005952
27.85,37313400832
28.14,37311352832
28.43,37309304832
28.73,37308567552
29.03,37302423552
29.32,37295869952
29.62,37307932672
29.91,37285482496
30.20,37279338496
30.50,37273604096
30.80,37270036480
31.09,37261025280
31.39,37254471680
31.68,37252231168
31.98,37245267968
32.27,37240352768
32.55,37236256768
32.85,37232795648
33.15,37226242048
33.44,37219278848
33.73,37217538048
34.03,37209755648
34.33,37202792448
34.63,37222141952
34.92,37194080256
35.24,37187936256
35.53,37182611456
35.82,37174108160
36.12,37170012160
36.42,37163048960
36.71,37160849408
37.00,37154295808
37.30,37150609408
37.59,37165219840
37.89,37147799552
38.18,37140836352
38.48,37133873152
38.77,37131202560
39.06,37123420160
39.35,37116456960
39.63,37121462272
39.93,37093441536
40.22,37086478336
40.51,37079515136
40.81,37088546816
41.10,37081993216
41.39,37076258816
41.68,37092118528
41.98,37066727424
42.26,37060173824
42.56,37053620224
42.85,37048057856
43.15,37040685056
43.44,37032493056
43.74,37030789120
44.03,37012725760
44.33,37005352960
44.62,37023641600
44.92,36998868992
45.21,36991905792
45.51,36984942592
45.80,36974022656
46.10,36967469056
46.39,36960505856
46.69,36956110848
46.98,36948738048
47.27,36940546048
47.56,36943822848
47.86,36928241664
48.15,36920868864
48.45,36912676864
48.74,36909518848
49.04,36901326848
49.33,36893954048
49.62,36904611840
49.91,36882026496
50.20,36872605696
50.50,36865642496
50.80,36862160896
51.09,36853968896
51.38,36845367296
51.68,36861100032
51.97,36834422784
52.27,36827459584
52.57,36830326784
52.86,36817362944
53.15,36809990144
53.45,36801798144
53.74,36800126976
54.03,36790284288
54.32,36782911488
54.62,36794318848
54.91,36772265984
55.21,36764483584
55.50,36756291584
55.80,36752826368
