time,used_memory_rss(bytes)
0.00,27864223744
0.28,27864223744
0.56,27864223744
0.84,27864223744
1.12,27864223744
1.41,55725244416
1.69,55725244416
1.97,55725375488
2.26,55725375488
2.54,55725375488
2.82,55726424064
3.10,55726555136
3.38,55726555136
3.66,55718375424
3.95,55696355328
4.23,55674335232
4.50,55652052992
4.79,55628460032
5.07,55609323520
5.36,55592415232
5.63,55572230144
5.92,55548637184
6.20,55525437440
6.48,55518097408
6.76,55505383424
7.05,55483494400
7.33,55464226816
7.61,55447056384
7.88,55424118784
8.16,55400525824
8.45,55376277504
8.73,55353077760
9.01,55336824832
9.29,55315984384
9.58,55292260352
9.86,55268929536
10.13,55244419072
10.42,55220039680
10.70,55195004928
10.98,55172591616
11.26,55149391872
11.53,55125016576
11.81,55102210048
12.09,55079665664
12.37,55056334848
12.65,55033659392
12.93,55009804288
13.21,54985687040
13.50,54962094080
13.78,54937059328
14.07,54919888896
14.35,54896558080
14.64,54873489408
14.92,54850027520
15.20,54826303488
15.49,54802186240
15.77,54777544704
16.05,54753165312
16.34,54729179136
16.62,54704799744
16.91,54681075712
17.19,54658138112
17.46,54638084096
17.75,54614491136
18.03,54589980672
18.31,54565076992
18.59,54540304384
18.88,54516187136
19.16,54496002048
19.45,54472015872
19.73,54453534720
20.02,54429810688
20.30,54406610944
20.58,54383673344
20.86,54359556096
21.15,54336356352
21.43,54312468480
21.71,54288089088
22.00,54270263296
22.28,54247194624
22.56,54225698816
22.84,54201843712
23.13,54177857536
23.42,54154919936
23.70,54134079488
23.98,54112845824
24.26,54089646080
24.55,54066446336
24.83,54047571968
25.12,54023979008
25.40,54002089984
25.69,53978103808
25.97,53954772992
26.25,53931966464
26.53,53907718144
26.81,53884256256
27.10,53864857600
27.37,53850963968
27.66,53827633152
27.94,53805088768
28.23,53781889024
28.51,53758820352
28.80,53735227392
29.08,53712683008
29.36,53689221120
29.64,53666283520
29.92,53643739136
30.20,53620539392
30.49,53596946432
30.78,53574008832
31.06,53551333376
31.34,53528096768
31.62,53504765952
31.90,53481304064
32.18,53460070400
32.46,53437001728
32.75,53413408768
33.03,53391650816
33.32,53368844288
33.60,53345513472
33.89,53323493376
34.17,53300817920
34.45,53281681408
34.73,53259792384
35.01,53237116928
35.30,53214179328
35.58,53191110656
35.87,53171449856
36.15,53156376576
36.43,53131866112
36.71,53112598528
37.00,53089923072
37.29,53068558336
37.57,53054795776
37.86,53034217472
38.14,53011542016
38.42,52988342272
38.71,52964618240
38.99,52943122432
39.27,52921495552
39.55,52899213312
39.84,52876800000
40.12,52858580992
40.39,52839313408
40.68,52817555456
40.96,52795142144
41.24,52772990976
41.52,52749664256
41.80,52727906304
42.08,52706279424
42.37,52687798272
42.65,52665647104
42.92,52642709504
43.20,52620558336
43.48,52598276096
43.76,52575338496
44.05,52552531968
44.33,52530774016
44.62,52507181056
44.90,52484374528
45.19,52465762304
45.47,52444659712
45.76,52422115328
46.04,52400095232
46.32,52378075136
46.60,52355923968
46.89,52333641728
47.17,52312932352
47.45,52293271552
47.73,52270333952
48.02,52249231360
48.30,52226555904
48.59,52209647616
48.87,52195098624
49.15,52174127104
49.44,52152631296
49.72,52136378368
50.00,52115013632
50.28,52095090688
50.57,52071366656
50.85,52048691200
51.14,52025229312
51.43,52006354944
51.72,51987611648
52.00,51968212992
52.28,51944620032
52.56,51922993152
52.84,51901497344
53.12,51878035456
53.41,51854966784
53.69,51832422400
53.97,51809222656
54.24,51786547200
54.52,51764920320
54.81,51743031296
55.09,51720093696
55.37,51698204672
55.66,51676708864
55.94,51655344128
56.22,51630833664
56.51,51611435008
56.79,51592036352
57.07,51568050176
57.35,51544457216
57.63,51523092480
57.92,51508805632
58.20,51489538048
58.48,51467911168
58.76,51444973568
59.04,51422822400
59.32,51400671232
59.60,51378126848
59.89,51355975680
60.17,51333955584
60.45,51311935488
