timestamp_ms,instantaneous_rps
0.00,0.0
0.25,11908.0
0.50,14231.1
0.75,13788.8
1.00,14665.3
1.25,14792.0
1.50,14972.0
1.75,14988.0
2.00,14816.0
2.25,14872.5
2.50,16068.0
2.76,14932.3
3.01,14348.0
3.26,14717.1
3.51,13860.0
3.76,14668.0
4.01,14364.0
4.26,14300.0
4.51,16047.8
4.76,15984.0
5.01,15216.0
5.26,15482.1
5.51,16075.7
5.76,16159.4
6.01,15944.0
6.26,15452.0
6.51,14541.8
6.76,14652.0
7.01,14440.0
7.26,14513.9
7.51,16480.0
7.76,16744.0
8.01,16360.0
8.26,16733.1
8.51,16876.0
8.76,16768.0
9.01,16944.0
9.27,17119.5
9.52,16609.6
9.77,15836.7
10.02,16012.0
10.27,17055.8
10.52,16701.2
10.77,16342.6
11.02,16744.0
11.27,16000.0
11.52,15664.0
11.77,17398.4
12.02,19536.0
12.27,16804.8
12.52,0.0
12.77,15067.7
13.02,16052.0
13.27,15800.8
13.52,15888.0
13.77,15368.0
14.03,16035.9
14.28,16502.0
14.53,16436.0
14.78,14968.0
15.03,16828.0
15.28,15239.0
15.53,17318.7
15.78,17628.0
16.03,17776.0
16.28,17916.0
16.53,16468.0
16.78,17123.5
17.03,18404.0
17.28,18131.5
17.53,18199.2
17.78,16372.0
18.03,17488.0
18.28,17756.0
18.53,17200.0
18.78,18196.0
19.03,18087.7
19.28,18304.0
19.53,18259.0
19.78,17147.4
20.03,18028.0
20.29,18314.7
20.54,19008.0
20.79,17020.0
21.04,18597.6
21.29,18640.0
21.54,16824.7
21.79,17436.0
22.04,18300.0
22.29,18144.0
22.54,18784.9
22.79,18300.0
23.04,18745.0
23.29,18776.0
23.54,18581.7
23.79,18536.0
24.04,17187.3
24.29,18576.0
24.54,18460.0
24.79,18581.7
25.04,18456.0
25.29,18372.0
25.54,16812.0
25.79,15892.0
26.04,16653.4
26.29,17864.5
26.54,16028.0
26.79,17556.0
27.05,17175.3
27.30,16259.0
27.55,17576.0
27.80,17940.2
28.05,17442.2
28.30,17584.0
28.55,16512.0
28.80,15581.7
29.05,17692.0
29.30,17568.0
29.55,17280.0
29.80,17460.0
30.05,17176.0
30.30,16653.4
30.55,16561.8
30.80,16268.0
31.05,16685.3
31.30,15494.0
31.55,16896.0
31.80,16880.5
32.05,17376.0
32.30,16880.0
32.55,16048.0
32.80,15764.0
33.05,16430.3
33.31,17410.4
33.56,16416.0
33.81,17256.0
34.06,15840.6
34.31,14956.0
34.56,16605.6
34.81,17484.0
35.06,17637.5
35.31,16304.0
35.56,16207.2
35.81,17239.0
36.06,15768.9
36.31,15228.0
36.56,15780.0
36.81,17532.0
37.06,16661.4
37.31,16996.0
37.56,17139.4
37.81,17008.0
38.06,17516.0
38.31,18259.0
38.57,16984.1
38.82,17020.0
39.07,16928.0
39.32,17424.0
39.57,16290.8
39.82,17068.0
40.07,16525.9
40.32,17320.0
40.57,17316.0
40.82,17292.0
41.07,17127.5
41.32,17236.0
41.57,17382.5
41.82,15940.0
42.07,16732.0
42.32,16768.0
42.57,17268.0
42.82,17239.0
43.07,16520.0
43.32,16932.0
43.57,17171.3
43.82,17517.9
44.07,17256.0
44.32,16928.0
44.57,17135.5
44.82,15436.0
45.07,15868.0
45.32,16972.0
45.58,16382.5
45.83,15084.0
46.08,16748.0
46.33,15346.6
46.58,16916.0
46.83,16768.0
47.08,16095.6
47.33,16536.0
47.58,16520.0
47.83,16119.5
48.08,16920.0
48.33,15717.1
48.58,15816.0
48.83,16601.6
49.08,16368.0
49.33,16152.0
49.58,16548.0
49.83,15147.4
50.08,15180.0
50.33,16661.4
50.58,16976.0
50.83,16251.0
51.08,16075.7
51.33,17184.0
51.59,16039.8
51.84,16521.9
52.09,16215.1
52.34,16581.7
52.59,16604.0
52.84,17148.0
53.09,16364.0
53.34,16276.0
53.59,16464.0
53.84,15442.2
54.09,14532.0
54.34,16572.0
54.59,16721.1
54.84,15460.0
55.09,17832.0
55.34,17748.0
55.59,16637.5
55.84,16844.0
56.09,16600.0
56.34,15752.0
56.59,16697.2
56.84,16344.0
57.09,15270.9
57.34,16780.0
57.59,16426.3
57.84,16625.5
58.09,16204.0
58.35,16247.0
58.60,16148.0
58.85,16648.0
59.10,16432.0
59.35,16529.9
59.60,16043.8
59.85,16076.0
60.10,15856.6
60.35,15900.0
60.60,16640.0
60.85,16247.0
61.10,16544.0
61.35,16434.3
61.60,16294.8
61.85,16573.7
62.10,16208.0
62.35,15980.1
62.60,16560.0
62.85,16464.0
63.10,15984.1
63.36,16772.9
63.61,16780.0
63.86,16344.0
64.11,16772.9
64.36,16344.0
64.61,16748.0
64.86,14940.2
65.11,16418.3
65.36,16660.0
65.61,16700.0
65.86,15988.0
66.11,16211.2
66.36,16704.0
66.61,16212.0
66.86,16368.0
67.11,16496.0
67.36,16669.3
67.61,16609.6
67.86,16621.5
68.11,16280.0
68.36,16712.0
68.61,15868.5
68.86,16296.0
69.11,16524.0
69.36,16071.7
69.62,16502.0
69.87,16336.0
70.12,16440.0
70.37,16220.0
70.62,16386.5
70.87,16356.0
71.12,16557.8
71.37,16180.0
71.62,16588.0
71.87,16044.0
72.12,15888.4
72.37,16502.0
72.62,16080.0
72.87,16192.0
73.12,16316.0
73.37,16264.0
73.62,16404.0
73.87,16346.6
74.12,15390.4
74.37,15824.0
74.62,16548.0
74.87,16211.2
75.12,16235.1
75.37,16740.0
75.62,16436.0
75.87,16380.0
76.12,16482.1
76.38,16440.0
76.62,16140.0
76.88,16466.1
77.13,16248.0
77.38,16382.5
77.63,16059.8
77.88,16260.0
78.13,16272.0
78.38,16374.5
78.63,17577.7
78.88,17500.0
79.13,16476.0
79.38,16019.9
79.63,16264.0
79.88,16084.0
80.13,16111.6
80.38,15960.0
80.63,16629.5
80.88,16384.0
81.13,16008.0
81.38,16056.0
81.63,16648.0
81.88,16320.0
82.14,16031.9
82.39,16276.0
82.64,16352.0
82.89,16127.5
83.14,16708.0
83.39,16360.0
83.64,16430.3
83.89,15400.0
84.14,15700.0
84.39,16239.0
84.64,16580.0
84.89,16528.0
85.14,16231.1
85.39,16247.0
85.64,16498.0
85.89,16008.0
86.14,16000.0
86.39,16280.0
86.64,16223.1
86.89,16436.0
87.14,16565.7
87.39,16348.0
87.64,16480.0
87.89,16160.0
88.14,16424.0
88.39,16380.0
88.64,16420.0
88.90,16111.6
89.15,16370.5
89.40,16400.0
89.65,15888.4
89.90,16302.8
90.15,16192.0
90.40,16232.0
90.65,16430.3
90.90,16264.0
91.15,16880.5
91.40,16144.0
91.65,16368.0
91.90,16340.0
92.15,15506.0
92.40,16352.0
92.65,17300.0
92.90,17075.7
93.15,15402.4
93.40,16540.0
93.65,17320.0
93.90,17184.0
94.16,14302.8
94.41,16100.0
94.66,14872.0
94.91,15772.9
95.16,16321.4
95.41,16196.0
95.66,15724.0
95.91,16288.0
96.16,16020.0
96.41,16068.0
96.66,15757.0
96.91,17084.0
97.16,16083.7
97.41,15792.0
97.66,14948.2
97.91,15856.6
98.16,16432.0
98.41,18486.1
98.66,22300.0
98.91,21252.0
99.16,23103.6
99.41,22336.0
99.66,22652.0
99.91,22656.0
100.16,22504.0
100.41,23520.0
100.66,22572.0
100.91,23036.0
101.17,23916.3
101.42,23740.0
101.67,23736.0
101.92,23334.7
102.17,23960.0
102.42,23912.0
102.67,23800.8
102.92,23572.0
103.17,20700.0
103.42,22048.0
103.67,21251.0
103.92,20568.0
104.17,21272.0
104.42,22608.0
104.67,22644.0
104.92,22576.0
105.17,22521.9
105.42,22617.5
105.67,22740.0
105.92,21976.0
106.17,23529.9
106.42,22745.0
106.67,23300.0
106.92,23372.0
107.17,22220.0
107.42,21812.0
107.67,23412.0
107.92,22928.3
108.17,24268.0
108.42,24124.0
108.67,23705.2
108.92,24164.0
109.17,24232.0
109.42,23392.0
109.67,22928.0
109.92,23637.5
110.17,22076.0
110.42,23120.0
110.68,22772.9
110.93,22660.0
111.18,21440.0
111.43,21816.0
111.68,22641.4
111.93,22716.0
112.18,22404.0
112.43,22160.0
112.68,21432.0
112.93,22476.0
113.18,22665.3
113.43,22172.0
113.68,22664.0
113.93,22685.3
114.18,23068.0
114.43,24096.0
114.68,24184.0
114.93,24119.5
115.18,22600.0
115.43,24087.7
115.68,24284.0
115.93,24280.0
116.18,23749.0
116.43,24316.0
116.68,24023.9
116.93,24308.0
117.18,24300.0
117.43,24135.5
117.68,24016.0
117.93,24264.0
118.19,24123.5
118.44,22140.0
118.69,22972.1
118.94,23852.0
119.19,24187.3
119.44,24144.0
119.69,23980.0
119.94,24184.0
120.19,23498.0
120.44,22488.0
120.69,23988.0
120.94,23928.0
121.19,24156.0
121.44,24124.0
121.69,23560.0
121.94,23756.0
122.19,24084.0
122.44,23988.0
122.69,24072.0
122.94,22964.1
123.19,23681.3
123.44,24180.0
123.69,23589.6
123.94,24252.0
124.19,23753.0
124.44,23952.0
124.69,24000.0
124.94,24020.0
125.19,24203.2
125.45,23737.1
125.70,23684.0
125.95,24084.0
126.20,24020.0
126.45,22896.4
126.70,22720.0
126.95,22752.0
127.20,22725.1
127.45,22608.0
127.70,21292.0
127.95,22402.4
128.20,22868.0
128.45,22764.0
128.70,22184.0
128.95,22808.0
129.20,22561.8
129.45,22456.0
129.70,22565.7
129.95,22924.0
130.20,21888.0
130.45,22852.0
130.70,22521.9
130.95,22796.0
131.20,22756.0
131.45,22312.0
131.70,22804.0
131.95,22872.0
132.20,22713.1
132.45,22512.0
132.70,22964.0
132.95,22644.0
133.20,22832.0
133.45,22820.7
133.70,22868.0
133.95,23712.0
134.20,24144.0
134.46,24111.6
134.71,24059.8
134.96,23450.2
135.21,22640.0
135.46,22924.0
135.71,22724.0
135.96,22512.0
136.21,22916.0
136.46,22876.5
136.71,21008.0
136.96,21968.0
137.21,22848.6
137.46,21856.0
137.71,23240.0
137.96,24048.0
138.21,23524.0
138.46,24251.0
138.71,24262.9
138.96,22452.0
139.21,24175.3
139.46,24372.0
139.71,23880.0
139.96,24088.0
140.21,23972.1
140.46,24276.0
140.72,24462.2
140.97,24064.0
141.22,23960.0
141.47,23135.5
141.72,23004.0
141.97,23068.0
142.22,23500.0
142.47,24386.5
142.72,23048.0
142.97,23800.0
143.22,23848.6
143.47,24352.0
143.72,24204.0
143.97,22836.0
144.22,22956.0
144.47,22641.4
144.72,21736.0
144.97,22808.8
145.22,22816.0
145.47,22872.0
145.72,22565.7
145.97,22804.0
146.22,22656.0
146.47,22904.0
146.72,22176.0
146.97,22444.0
147.22,22717.1
147.47,22904.0
147.72,22792.0
147.97,22577.7
148.22,22392.0
148.47,22872.0
148.72,23120.0
148.97,23572.0
149.22,24191.2
149.47,24749.0
149.72,24708.0
149.97,24412.0
150.23,24860.6
150.48,25036.0
150.73,24300.0
150.98,23517.9
151.23,23252.0
151.48,23736.0
151.73,23980.1
151.98,24064.0
152.23,24096.0
152.48,23192.0
152.73,21236.0
152.98,22804.8
153.23,24416.0
153.48,24428.0
153.73,24372.0
153.98,24292.0
154.23,23183.3
154.48,23031.9
154.73,24372.0
154.98,24255.0
155.23,23260.0
155.48,20272.0
155.73,19259.0
155.98,19908.0
156.23,20772.0
156.48,20816.7
156.73,21400.0
156.98,21336.0
157.24,21577.7
157.49,21964.0
157.74,22116.0
157.99,22144.0
158.24,22119.5
158.49,22120.0
158.74,22232.0
158.99,22272.0
159.24,22087.7
159.49,22236.0
159.74,22199.2
159.99,22064.0
160.24,22236.0
160.49,22247.0
160.74,21892.0
160.99,22259.0
161.24,22124.0
161.49,22300.0
161.74,22075.7
161.99,23304.0
162.24,23632.0
162.49,22872.5
162.74,22108.0
162.99,21458.2
163.24,21060.0
163.49,21772.0
163.74,22220.0
163.99,22000.0
164.24,22143.4
164.49,21556.0
164.74,22104.0
165.00,22083.7
165.25,22239.0
165.50,20796.0
165.75,22316.0
166.00,21394.4
166.25,22232.0
166.50,21513.9
166.75,22088.0
167.00,22100.0
167.25,22216.0
167.50,21227.1
167.75,20824.0
168.00,20188.0
168.25,22212.0
168.50,22266.9
168.75,22168.0
169.00,22255.0
169.25,22424.0
169.50,22286.9
169.75,22212.0
170.00,22207.2
170.25,22264.0
170.50,22260.0
170.75,22428.0
171.00,22296.0
171.25,22366.5
171.50,21494.0
171.75,20804.0
172.00,21952.0
172.25,22012.0
172.50,22200.0
172.76,22075.7
173.01,22392.0
173.26,22195.2
173.51,22290.8
173.76,22256.0
174.01,22204.0
174.26,22148.0
174.51,20872.5
174.76,22084.0
175.01,22334.7
175.26,22340.0
175.51,22168.0
175.76,22231.1
176.01,21752.0
176.26,21680.0
176.51,22278.9
176.76,22288.0
177.01,21628.0
177.26,22338.6
177.51,22191.2
177.76,22408.0
178.01,22300.0
178.26,22156.0
178.51,22326.7
178.76,22180.0
179.01,22428.0
179.26,22288.0
179.52,22318.7
179.77,21104.0
180.02,22100.0
180.27,22071.7
180.52,22404.0
180.77,22195.2
181.02,22352.0
181.27,22044.0
181.52,21788.0
181.77,22262.9
182.02,22156.0
182.27,22286.9
182.52,22320.0
182.77,22480.0
183.02,20972.0
183.27,21362.6
183.52,23199.2
183.77,23812.8
184.02,23492.0
184.27,23544.0
184.52,23200.0
184.77,22330.7
185.02,23416.0
185.27,22176.0
185.53,20689.2
185.78,22348.0
186.03,22420.0
186.28,22204.0
186.53,22380.0
186.78,20964.1
187.03,22664.0
187.28,22644.0
187.53,22645.4
187.78,23520.0
188.03,22920.3
188.28,23276.0
188.53,23195.2
188.78,23020.0
189.03,21524.0
189.28,20528.0
189.53,21482.1
189.78,21434.3
190.03,20784.0
190.28,21352.0
190.53,21597.6
190.78,21553.8
191.03,21648.0
191.28,21764.0
191.53,21912.0
191.78,21992.0
192.03,21529.9
192.28,21540.0
192.53,21768.9
192.78,22100.0
193.03,20760.0
193.28,20832.0
193.54,21541.8
193.79,21140.0
194.04,21268.0
194.29,21796.0
194.54,21824.0
194.79,21848.6
195.04,21860.0
195.29,21761.0
195.54,21996.0
195.79,21896.0
196.04,21312.0
196.29,20704.0
196.54,23396.0
196.79,23268.0
197.04,20613.5
197.29,22223.1
197.54,22240.0
197.79,22087.7
198.04,23216.0
198.29,22860.6
198.54,23159.4
198.79,23192.0
199.04,23051.8
199.29,23224.0
199.54,23208.0
199.79,21561.8
200.05,23733.1
200.30,23504.0
200.55,24508.0
200.80,24717.1
201.05,24760.0
201.30,23316.0
201.55,23968.0
201.80,24577.7
202.05,22956.0
202.30,23056.0
202.55,23248.0
202.80,22693.2
203.05,23288.0
203.30,23284.0
203.55,21968.0
203.80,23896.0
204.05,24372.0
204.30,23673.3
204.55,24147.4
204.80,24436.0
205.05,24548.0
205.30,24396.0
205.55,24412.0
205.80,24577.7
206.05,24684.0
206.30,24836.0
206.55,24660.0
206.80,24701.2
207.05,24548.0
207.30,24660.0
207.55,24328.0
207.80,24380.0
208.05,22896.0
208.30,22071.7
208.55,23344.0
208.81,22812.8
209.06,22956.2
209.31,23228.0
209.56,23107.6
209.81,23272.0
210.06,23488.0
210.31,24532.0
210.56,24708.0
210.81,24640.0
211.06,24629.5
211.31,24784.0
211.56,24688.0
211.81,24556.0
212.06,24876.0
212.31,23676.0
212.56,24672.0
212.81,22780.9
213.06,22932.0
213.31,23008.0
213.56,22832.0
213.81,23364.0
214.06,23368.0
214.31,23211.2
214.56,23276.0
214.81,22119.5
215.06,23348.0
215.31,23388.0
215.56,23432.0
215.81,23088.0
216.06,24502.0
216.31,22227.1
216.56,21600.0
216.81,21860.0
217.06,22816.0
217.31,23128.0
217.56,23072.0
217.81,23051.8
218.06,23048.0
218.31,23087.7
218.56,21816.0
218.81,22976.0
219.06,23224.0
219.32,23175.3
219.57,23067.7
219.82,23188.0
220.07,23156.0
220.32,20940.2
220.57,22908.0
220.82,23200.0
221.07,23800.8
221.32,24412.0
221.57,23764.0
221.82,24324.0
222.07,22585.7
222.32,23112.0
222.57,23192.0
222.82,23032.0
223.07,22880.5
223.32,22386.5
223.57,23208.0
223.82,23072.0
224.07,23120.0
224.32,23196.0
224.57,23316.0
224.82,23067.7
225.07,23316.0
225.32,22612.0
225.57,22115.5
225.82,23184.0
226.07,23100.0
226.32,23119.5
226.57,23072.0
226.83,22270.9
227.08,23164.0
227.33,23408.0
227.58,24340.0
227.83,23704.0
