time,used_memory_rss(bytes)
0.00,27499175936
0.29,27499175936
0.57,27499175936
0.85,27499175936
1.13,27499175936
1.41,54995496960
1.69,54996283392
1.97,54996283392
2.25,54996283392
2.53,55006244864
2.81,54995480576
3.09,54996398080
3.38,54996398080
3.67,54996365312
3.95,54988107776
4.24,54963204096
4.52,54957699072
4.80,54924636160
5.09,54898946048
5.38,54873124864
5.66,54860443648
5.95,54858215424
6.22,54850351104
6.51,54842880000
6.79,54812995584
7.08,54788091904
7.35,54762532864
7.64,54748610560
7.93,54723313664
8.21,54698278912
8.49,54686220288
8.78,54660136960
9.06,54634840064
9.34,54609543168
9.63,54619373568
9.91,54572187648
10.19,54546890752
10.48,54531948544
10.77,54508748800
11.04,54483451904
11.32,54459072512
11.60,54467723264
11.88,54421192704
12.16,54396551168
12.44,54375448576
12.72,54362341376
13.01,54337044480
13.29,54311878656
13.58,54318956544
13.87,54275178496
14.15,54249881600
14.43,54226419712
14.72,54212526080
15.00,54187360256
15.29,54161932288
15.57,54166650880
15.86,54123790336
16.14,54098755584
16.42,54074114048
16.70,54065725440
16.98,54045540352
17.27,54020505600
17.56,54020767744
17.84,53981052928
18.12,53955231744
18.41,53929541632
18.69,53914992640
18.97,53890088960
19.25,53865316352
19.53,53863219200
19.81,53828616192
20.10,53804761088
20.38,53779595264
20.66,53767798784
20.94,53742239744
21.22,53716811776
21.50,53706719232
21.78,53680373760
22.06,53654552576
22.35,53629517824
22.63,53645639680
22.91,53594521600
23.19,53569224704
23.48,53555068928
23.76,53530820608
24.05,53505392640
24.33,53480488960
24.61,53495300096
24.89,53444575232
25.18,53419016192
25.46,53400666112
25.74,53379911680
26.02,53354090496
26.30,53329317888
26.58,53341507584
26.87,53289123840
27.15,53264089088
27.43,53239316480
27.71,53224767488
28.00,53199994880
28.27,53174304768
28.55,53179940864
28.84,53134327808
29.12,53108375552
29.41,53082554368
29.69,53071675392
29.97,53045329920
30.25,53020557312
30.54,53021605888
30.82,52981760000
31.10,52956200960
31.38,52931166208
31.66,52919894016
31.94,52893810688
32.23,52868251648
32.52,52864188416
32.80,52832600064
33.08,52806778880
33.36,52781088768
33.64,52769030144
33.92,52743995392
34.20,52718305280
34.48,52706246656
34.77,52679426048
35.06,52652687360
35.34,52627521536
35.62,52614365184
35.91,52587757568
36.19,52561936384
36.48,52551712768
36.76,52530716672
37.05,52505681920
37.33,52479336448
37.61,52486553600
37.89,52438605824
38.16,52412915712
38.45,52391288832
38.73,52371628032
39.01,52345806848
39.29,52319985664
39.57,52324311040
39.85,52280270848
40.13,52254580736
40.41,52228759552
40.69,52214996992
40.97,52189306880
41.24,52163747840
41.52,52158504960
41.81,52126130176
42.09,52099653632
42.37,52073439232
42.65,52059545600
42.94,52033986560
43.21,52007510016
43.50,51998466048
43.78,51967664128
44.07,51940663296
44.35,51915366400
44.64,51899506688
44.92,51873816576
45.20,51847733248
45.49,51834494976
45.77,51808018432
46.04,51782590464
46.32,51756769280
46.60,51767255040
46.88,51718103040
47.17,51692937216
47.45,51671179264
47.73,51649683456
48.02,51623075840
48.31,51597910016
48.59,51608788992
48.87,51558404096
49.15,51532582912
49.43,51507548160
49.71,51492528128
49.99,51466444800
50.28,51440361472
50.56,51446259712
50.84,51403005952
51.13,51377053696
51.41,51351101440
51.69,51337076736
51.97,51311517696
52.25,51285958656
52.53,51286482944
52.81,51250176000
53.09,51228942336
53.37,51203907584
53.64,51190013952
53.93,51165503488
54.20,51139813376
54.49,51130114048
54.77,51108093952
55.05,51082797056
55.32,51056975872
55.61,51071393792
55.88,51019358208
56.17,50993668096
56.45,50971779072
56.73,50953822208
57.01,50927738880
57.29,50902048768
57.57,50909650944
57.85,50863120384
58.13,50836905984
58.42,50811346944
58.70,50798764032
58.98,50772811776
59.26,50747383808
59.54,50747514880
59.82,50707537920
60.11,50681847808
60.39,50656681984
60.67,50645409792
60.95,50620375040
61.23,50595864576
61.51,50589310976
61.79,50556411904
62.08,50530721792
62.37,50505818112
62.65,50492579840
62.92,50467282944
63.20,50442379264
63.49,50429534208
63.77,50404036608
64.05,50378739712
64.33,50353442816
64.61,50338701312
64.90,50313666560
65.17,50289156096
65.45,50268971008
65.73,50252455936
66.01,50226372608
66.30,50200944640
66.58,50211430400
66.86,50162671616
67.14,50137112576
67.42,50111684608
67.70,50098794496
67.99,50073235456
68.27,50047807488
68.56,50053181440
68.84,50008846336
69.12,49983942656
69.40,49958514688
69.68,49945276416
69.96,49919193088
70.25,49893502976
70.53,49891930112
70.81,49855492096
71.09,49829933056
71.37,49804242944
71.66,49792315392
71.94,49766625280
72.22,49740935168
72.50,49733070848
72.78,49704103936
73.06,49678282752
73.35,49652199424
73.63,49639354368
73.92,49614057472
74.20,49588367360
74.48,49574998016
74.76,49549307904
75.05,49523093504
75.33,49497665536
75.61,49512738816
75.90,49459261440
76.18,49434226688
76.47,49420333056
76.75,49401720832
77.04,49376423936
77.32,49351913472
77.60,49336184832
77.89,49311543296
78.17,49286639616
78.45,49266192384
78.73,49248718848
79.01,49223290880
79.29,49197993984
79.57,49209790464
79.85,49159630848
80.13,49134465024
80.41,49109561344
80.69,49095405568
80.97,49070239744
81.25,49044156416
81.54,49044942848
81.82,49003655168
82.09,48978620416
82.37,48953192448
82.65,48939954176
82.93,48914788352
83.21,48889229312
83.49,48881102848
83.78,48849383424
84.06,48823693312
84.34,48798658560
84.62,48814911488
84.90,48758685696
85.18,48735879168
85.46,48743088128
85.75,48723423232
86.03,48697470976
86.32,48671649792
86.60,48688951296
86.88,48633507840
87.16,48607948800
87.45,48587894784
87.73,48568791040
88.01,48543887360
88.30,48518983680
88.58,48533270528
88.87,48479236096
89.15,48454201344
89.43,48431001600
