time,used_memory_rss(bytes)
0.00,41514029056
0.28,41493581824
0.55,41477591040
0.83,41452818432
1.11,41427783680
1.40,41411747840
1.68,41386319872
1.96,41360629760
2.24,41349226496
2.53,41322807296
2.81,41298034688
3.09,41272999936
3.37,41304154112
3.65,41236340736
3.94,41210912768
4.23,41194266624
4.51,41173241856
4.79,41148338176
5.07,41122779136
5.35,41152823296
5.63,41086369792
5.91,41060810752
6.20,41036169216
6.47,41024032768
6.76,40998735872
7.04,40973307904
7.32,40985518080
7.61,40937635840
7.89,40911683584
8.18,40886255616
8.46,40875253760
8.75,40849694720
9.03,40824004608
9.31,40846942208
9.59,40790835200
9.87,40765276160
10.16,40740372480
10.45,40762339328
10.72,40703447040
11.01,40677494784
11.29,40682082304
11.57,40641400832
11.85,40615841792
12.14,40590675968
12.42,40636932096
12.70,40553271296
12.98,40527581184
13.27,40525221888
13.55,40490332160
13.84,40464642048
14.13,40438820864
14.41,40459882496
14.70,40400859136
14.98,40375300096
15.26,40366256128
15.54,40337555456
15.83,40312782848
16.11,40288141312
16.39,40303058944
16.67,40249450496
16.95,40224546816
17.23,40210653184
17.52,40185597952
17.80,40160038912
18.09,40135004160
18.37,40150417408
18.65,40098172928
18.94,40072482816
19.22,40052035584
19.50,40033988608
19.78,40009740288
20.06,39984312320
20.34,40015900672
20.62,39946625024
20.90,39921328128
21.19,39895769088
21.47,39884914688
21.75,39861059584
22.03,39835500544
22.32,39848062976
22.61,39799078912
22.89,39773650944
23.18,39748747264
23.45,39745626112
23.73,39745757184
24.01,24706854912
24.29,24732413952
24.58,24706609152
24.86,24706871296
25.14,24706871296
25.42,24707043328
25.70,24707043328
25.98,24707043328
26.26,24707043328
26.54,49420328960
26.82,49409687552
27.11,49409687552
27.38,49409818624
27.67,49410736128
27.95,49410736128
28.22,49407459328
28.51,49399988224
28.79,49369030656
29.07,49345175552
29.35,49321320448
29.63,49307570176
29.91,49283321856
30.19,49258942464
30.48,49246883840
30.76,49221332992
31.04,49196167168
31.31,49170608128
31.60,49154330624
31.88,49128640512
32.16,49103081472
32.44,49084469248
32.73,49063366656
33.01,49038462976
33.29,49013035008
33.57,48997859328
33.86,48972693504
34.14,48948051968
34.42,48924459008
34.70,48906858496
34.98,48881168384
35.26,48856133632
35.55,48858230784
35.83,48817061888
36.11,48791502848
36.40,48766205952
36.68,48751075328
36.97,48726302720
37.25,48701005824
37.54,48702447616
37.83,48660983808
38.11,48635293696
38.40,48609996800
38.68,48592715776
38.97,48567283712
39.25,48542248960
39.54,48542248960
39.82,48503193600
40.10,48477241344
40.38,48452206592
40.66,48438292480
40.95,48426758144
41.24,48419287040
41.52,48417583104
41.81,48379219968
42.09,48355364864
42.37,48330985472
42.65,48318857216
42.94,48294084608
43.22,48269574144
43.51,48267083776
43.79,48230342656
44.07,48205701120
44.35,48180666368
44.63,48169013248
44.92,48144109568
45.20,48118288384
45.48,48109244416
45.76,48081141760
46.05,48056762368
46.32,48031596544
46.60,48018780160
46.88,47993745408
47.17,47968710656
47.45,47951933440
47.74,47929647104
48.01,47904874496
48.30,47879315456
48.58,47887572992
48.86,47841841152
49.14,47816806400
49.42,47794262016
49.70,47779475456
49.99,47753916416
50.27,47729012736
50.56,47746052096
50.84,47690866688
51.12,47666487296
51.41,47641583616
51.69,47629615104
51.97,47604580352
52.25,47578890240
52.54,47582691328
52.83,47540781056
53.11,47515615232
53.39,47489925120
53.68,47476359168
53.95,47451586560
54.23,47425896448
54.52,47423930368
54.80,47386529792
55.08,47361101824
55.37,47335149568
55.65,47320571904
55.94,47295012864
56.21,47269584896
56.49,47261720576
56.77,47230509056
57.05,47204950016
57.34,47180046336
57.62,47166676992
57.90,47141249024
58.19,47116345344
58.47,47105466368
58.76,47084560384
59.04,47058477056
59.33,47032655872
59.61,47017996288
59.89,46993092608
60.18,46968582144
60.45,46952984576
60.74,46930006016
61.02,46904840192
61.31,46879674368
61.59,46887268352
61.86,46840926208
62.15,46816022528
62.43,46794657792
62.71,46783606784
62.99,46760669184
63.27,46735765504
63.55,46740746240
63.83,46696448000
64.11,46671020032
64.39,46645460992
64.68,46631890944
64.97,46606725120
65.25,46581821440
65.53,46582607872
65.81,46541836288
66.09,46517194752
66.37,46492553216
66.65,46478073856
66.94,46452776960
67.23,46427742208
67.51,46425382912
67.80,46389161984
68.08,46363996160
68.36,46339223552
68.64,46328950784
68.93,46304833536
69.21,46279667712
69.49,46272589824
69.77,46240296960
70.05,46215786496
70.33,46191013888
70.61,46177402880
70.89,46151843840
71.17,46126153728
71.46,46112391168
71.74,46086995968
72.03,46062092288
72.31,46036533248
72.59,46046412800
72.87,45998178304
73.16,45972357120
73.44,45952303104
73.73,45930999808
74.01,45906620416
74.29,45881323520
74.57,45888974848
74.85,45843951616
75.13,45818785792
75.41,45793882112
75.70,45780574208
75.98,45755146240
76.27,45729718272
76.55,45735096320
76.83,45694296064
77.11,45669654528
77.40,45645012992
77.67,45629296640
77.95,45604786176
78.23,45580668928
78.52,45583552512
78.80,45541306368
79.07,45516926976
79.35,45492809728
