time,used_memory_rss(bytes)
0.00,27908231168
0.28,27908231168
0.57,27908231168
0.85,27908231168
1.13,27908231168
1.42,27908231168
1.70,55814406144
1.99,55814406144
2.27,55814406144
2.55,55814406144
2.84,55814406144
3.12,55814537216
3.40,55815323648
3.69,55815323648
3.96,55815454720
4.24,55815454720
4.52,55801249792
4.79,55778443264
5.08,55755112448
5.36,55730864128
5.64,55707271168
5.92,55683547136
6.20,55660740608
6.49,55638327296
6.76,55613554688
7.05,55590748160
7.33,55572316160
7.62,55549509632
7.90,55526178816
8.18,55511498752
8.46,55488954368
8.74,55466934272
9.02,55443079168
9.30,55419486208
9.59,55396941824
9.87,55373742080
10.15,55355260928
10.43,55332061184
10.71,55308992512
10.99,55285661696
11.27,55262461952
11.56,55239524352
11.83,55217242112
12.11,55193255936
12.40,55170318336
12.68,55146987520
12.96,55124836352
13.23,55101636608
13.51,55079223296
13.79,55056023552
14.06,55033610240
14.34,55009099776
14.63,54986162176
14.90,54962962432
15.18,54940024832
15.47,54917349376
15.74,54893887488
16.02,54869770240
16.30,54846832640
16.59,54823501824
16.87,54800826368
17.15,54777069568
17.43,54753738752
17.71,54730670080
17.99,54706814976
18.27,54683222016
18.55,54660284416
18.83,54636691456
19.11,54612443136
19.39,54588456960
19.67,54564339712
19.95,54541008896
20.23,54517415936
20.51,54493036544
20.80,54469967872
21.07,54444933120
21.36,54421733376
21.64,54397222912
21.93,54372188160
22.21,54348595200
22.49,54324871168
22.78,54301016064
23.06,54277292032
23.34,54253568000
23.63,54230237184
23.91,54206382080
24.19,54182264832
24.47,54164701184
24.75,54146613248
25.03,54123020288
25.31,54100606976
25.60,54078062592
25.87,54054993920
26.15,54031794176
26.44,54008070144
26.73,53984477184
27.01,53961539584
27.29,53937872896
27.57,53915328512
27.85,53893177344
28.13,53870108672
28.41,53846515712
28.69,53823447040
28.97,53800771584
29.26,53777965056
29.54,53758959616
29.82,53737070592
30.10,53715050496
30.38,53693292544
30.66,53671403520
30.94,53647548416
31.22,53625397248
31.50,53609144320
31.78,53587255296
32.06,53565497344
32.34,53542952960
32.63,53519228928
32.91,53494849536
33.19,53471911936
33.47,53448318976
33.75,53424463872
34.03,53400477696
34.32,53384486912
34.60,53361942528
34.89,53338087424
35.17,53315411968
35.45,53297848320
35.73,53276745728
36.01,53254070272
36.29,53231001600
36.57,53207801856
36.85,53184471040
37.13,53160427520
37.42,53137620992
37.70,53114552320
37.98,53091221504
38.27,53068021760
38.55,53045608448
38.82,53023326208
39.11,52999864320
39.39,52977713152
39.67,52954644480
39.95,52932362240
40.23,52909424640
40.51,52893040640
40.79,52869971968
41.07,52846903296
41.35,52823834624
41.63,52801159168
41.91,52778483712
