time,used_memory_rss(bytes)
0.00,46525308928
0.28,46456496128
0.56,46430019584
0.83,46428839936
1.11,46384619520
1.40,46358536192
1.68,46332059648
1.96,46359191552
2.25,46296838144
2.53,46270492672
2.81,46261710848
3.09,46233137152
3.38,46206922752
3.66,46181232640
3.93,46208495616
4.22,46145581056
4.50,46118821888
4.79,46100996096
5.07,46082646016
5.35,46056824832
5.63,46030348288
5.92,46061674496
6.20,45994696704
6.49,45968744448
6.77,45947379712
7.06,45936631808
7.34,45917888512
7.62,45892722688
7.90,45907533824
8.19,45856808960
8.47,45831643136
8.75,45806084096
9.03,45795467264
9.30,45769515008
9.59,45744349184
9.87,45756932096
10.15,45712891904
10.42,45687988224
10.70,45661773824
10.98,45700571136
11.26,45628874752
11.54,45603708928
11.82,45594402816
12.10,45567926272
12.37,45543153664
12.65,45516808192
12.93,45547085824
13.21,45480239104
13.49,45455466496
13.77,45434757120
14.05,45488234496
14.34,45403299840
14.62,45376401408
14.90,45399732224
15.17,45342896128
15.45,45317337088
15.73,45292171264
16.01,45351415808
16.29,45258436608
16.57,45232615424
16.85,45238513664
17.12,45199847424
17.41,45173895168
17.69,45148205056
17.97,45197225984
18.25,45116092416
18.52,45091188736
18.80,45077032960
19.07,45058813952
19.36,45032992768
19.64,45007958016
19.91,45030895616
20.19,44974284800
20.48,44948463616
20.76,44924215296
21.04,44920414208
21.32,44920414208
21.60,27911524352
21.89,27939049472
22.17,27911524352
22.46,27911524352
22.74,27911524352
23.02,27911524352
23.30,27911524352
23.59,27911524352
23.87,27911524352
24.15,27911524352
24.43,55819186176
24.71,55818653696
24.99,55818653696
25.27,55818653696
25.55,55832285184
25.83,55818641408
26.11,55818641408
26.40,55819689984
26.68,55819689984
26.96,55819689984
27.24,55812087808
27.52,55806320640
27.80,55772241920
28.09,55746289664
28.37,55719813120
28.66,55705657344
28.94,55679967232
29.22,55655063552
29.50,55643398144
29.78,55615741952
30.06,55589396480
30.34,55564099584
30.62,55575109632
30.90,55528972288
31.18,55503282176
31.45,55481131008
31.73,55462387712
32.02,55435649024
32.30,55409696768
32.59,55413366784
32.86,55368278016
33.15,55341932544
33.44,55317291008
33.72,55301169152
34.00,55275610112
34.28,55249264640
34.56,55251222528
34.84,55209017344
35.13,55183458304
35.41,55157637120
35.69,55144005632
35.97,55117529088
36.26,55091052544
36.55,55089479680
36.83,55049633792
37.11,55023288320
37.40,54996549632
37.68,54981345280
37.97,54955655168
38.24,54928916480
38.53,54924853248
38.81,54888415232
39.10,54861938688
39.38,54835462144
39.67,54821044224
39.94,54795091968
40.23,54769270784
40.51,54759964672
40.79,54727983104
41.08,54701244416
41.36,54674505728
41.65,54659039232
41.93,54632955904
42.21,54607003648
42.49,54592978944
42.77,54568992768
43.05,54543433728
43.33,54517743616
43.62,54504505344
43.89,54478684160
44.17,54452469760
44.46,54433857536
44.74,54412492800
45.03,54386802688
45.31,54360326144
45.59,54368059392
45.87,54321922048
46.15,54294921216
46.43,54271197184
46.72,54255562752
47.00,54229348352
47.29,54203002880
47.57,54206672896
47.85,54162145280
48.14,54135930880
48.42,54109192192
48.70,54094381056
48.98,54067773440
49.27,54041296896
49.55,54039986176
49.83,54002761728
50.11,53977071616
50.39,53949808640
50.68,53935652864
50.97,53909700608
51.25,53883617280
51.54,53881257984
51.82,53842591744
52.10,53816377344
52.38,53790294016
52.66,53779152896
52.95,53753331712
53.23,53726593024
53.52,53720563712
53.80,53686747136
54.09,53660270592
54.37,53633400832
54.66,53617934336
54.94,53610201088
55.22,53610201088
55.50,53605613568
55.78,53569830912
56.07,53543878656
56.35,53517533184
56.64,53505605632
56.92,53479391232
57.19,53453307904
57.48,53437448192
57.76,53413986304
58.04,53388165120
58.32,53362343936
58.60,53371650048
58.88,53323677696
59.16,53296545792
59.45,53273608192
59.73,53253423104
60.01,53227339776
60.29,53201780736
60.57,53207941120
60.86,53163114496
61.14,53137031168
61.42,53110685696
61.70,53098627072
61.98,53072936960
62.26,53046591488
62.55,53046984704
62.83,53005828096
63.11,52979744768
63.39,52953661440
63.67,52937932800
63.95,52911063040
64.24,52884193280
64.53,52880130048
64.81,52844609536
65.09,52818001920
65.38,52791656448
65.66,52777893888
65.94,52750893056
