time,used_memory_rss(bytes)
0.00,45481807872
0.28,45456117760
0.56,45440782336
0.84,45409796096
1.13,45385154560
1.41,45359202304
1.70,45374320640
1.99,45327396864
2.27,45302231040
2.55,45285191680
2.83,45265301504
3.12,45239742464
3.40,45215100928
3.69,45222170624
3.97,45174198272
4.26,45149032448
4.54,45124128768
4.82,45109534720
5.11,45083975680
5.39,45058023424
5.68,45062729728
5.96,45011222528
6.24,44986580992
6.53,44964954112
6.81,44955721728
7.09,44930686976
7.37,44905390080
7.65,44906586112
7.93,44870803456
8.21,44845506560
8.50,44820471808
8.78,44806037504
9.06,44780740608
9.34,44755181568
9.63,44755988480
9.91,44715077632
10.19,44689780736
10.47,44664483840
10.76,44652101632
11.03,44627197952
11.32,44602163200
11.60,44597186560
11.88,44563894272
12.16,44538990592
12.44,44512776192
12.73,44499935232
13.01,44474638336
13.29,44449079296
13.58,44439642112
13.86,44410036224
14.14,44384215040
14.43,44359049216
14.71,44366573568
14.99,44321484800
15.27,44298285056
15.55,44278755328
15.83,44254920704
16.11,44231983104
16.39,44208128000
16.67,44217987072
16.95,44177879040
17.23,44158840832
17.51,44158840832
17.79,27468771328
18.07,27468771328
18.36,27468771328
18.64,27484626944
18.92,27470307328
19.21,27470438400
19.48,27470569472
19.77,27475812352
20.05,27475812352
20.33,27475812352
20.62,54942429184
20.90,54942429184
21.19,54942429184
21.47,54942560256
21.75,54943342592
22.04,54943342592
22.32,54943473664
22.60,54933643264
22.88,54916403200
23.16,54890975232
23.44,54865022976
23.73,54858076160
24.00,54825095168
24.27,54799142912
24.56,54773583872
24.84,54752473088
25.12,54727307264
25.40,54702141440
25.68,54688641024
25.96,54660067328
26.24,54634639360
26.53,54607376384
26.81,54592245760
27.09,54559522816
27.38,54533308416
27.66,54522429440
27.94,54498762752
28.22,54466326528
28.50,54440112128
28.78,54431371264
29.07,54404894720
29.35,54379204608
29.63,54355349504
29.91,54340485120
30.19,54314008576
30.47,54287925248
30.75,54290481152
31.03,54250897408
31.31,54225207296
31.59,54198861824
31.88,54180356096
32.16,54155190272
32.43,54130155520
32.71,54134349824
32.99,54097354752
33.27,54074548224
33.54,54051086336
33.83,54035333120
34.10,54010953728
34.39,53988147200
34.67,53985787904
34.96,53956227072
35.24,53933027328
35.52,53909172224
35.81,53894823936
36.09,53870051328
36.38,53845671936
36.66,53826928640
36.94,53810159616
37.22,53785780224
37.50,53761531904
37.78,53767471104
38.06,53718011904
38.34,53694156800
38.62,53670301696
38.90,53663252480
39.18,53638742016
39.47,53613838336
39.75,53617745920
40.03,53570027520
40.32,53545910272
40.60,53522317312
40.88,53517463552
41.16,53493215232
41.44,53468442624
41.73,53473431552
42.01,53424521216
42.29,53400010752
42.58,53375369216
42.86,53371822080
43.15,53347573760
43.44,53323063296
43.72,53322055680
44.00,53280129024
44.28,53256011776
44.56,53232549888
44.84,53220687872
45.13,53196439552
45.41,53172060160
45.69,53168783360
