time,used_memory_rss(bytes)
0.00,46907256832
0.28,46894149632
0.56,46867017728
0.84,46840279040
1.12,46853124096
1.40,46794854400
1.68,46768902144
1.95,46742032384
2.24,46799966208
2.52,46705893376
2.81,46679023616
3.09,46681907200
3.38,46644494336
3.66,46617624576
3.94,46590623744
4.22,46641479680
4.50,46554898432
4.78,46526021632
5.06,46514094080
5.34,46490238976
5.62,46462189568
5.91,46434664448
6.19,46461927424
6.47,46399016960
6.76,46371491840
7.03,46350651392
7.31,46331379712
7.59,46304247808
7.87,46277246976
8.15,46293499904
8.44,46242775040
8.71,46242119680
8.99,46222458880
9.27,46213177344
9.55,46188666880
9.84,46162059264
10.11,46165729280
10.40,46121689088
10.68,46095474688
10.96,46068342784
11.24,46100979712
11.52,46029283328
11.80,46002675712
12.08,45994418176
12.35,45963485184
12.64,45936091136
12.92,45908566016
13.21,45939105792
13.49,45870292992
13.77,45843423232
14.05,45827563520
14.33,45804888064
14.61,45778280448
14.89,45750231040
15.17,45773430784
15.45,45712723968
15.74,45685329920
16.02,45660426240
16.30,45651533824
16.57,45625188352
16.86,45598318592
17.14,45607755776
17.41,45561225216
17.69,45534486528
17.98,45507223552
18.26,45496475648
18.54,45469605888
18.82,45442736128
19.10,45443522560
19.39,45404332032
19.66,45377593344
19.94,45350985728
20.22,45376020480
20.50,45311139840
20.77,45284532224
21.06,45271556096
21.34,45244133376
21.62,45217787904
21.89,45191049216
22.18,45213200384
22.46,45151731712
22.74,45124206592
23.02,45100482560
23.30,45085564928
23.58,45058433024
23.86,45031956480
24.14,45044408320
24.42,44993683456
24.70,44967731200
24.98,44940173312
25.26,44931784704
25.54,44918284288
25.83,27910651904
26.11,27937259520
26.39,27910651904
26.67,27910651904
26.96,27910651904
27.25,27983265792
27.52,27910651904
27.81,27910651904
28.08,27910651904
28.37,27910651904
28.65,55836176384
28.92,55817302016
29.20,55817302016
29.48,55825035264
29.76,55817302016
30.04,55817302016
30.32,55818350592
30.61,55818350592
30.89,55813500928
31.17,55788072960
31.45,55771164672
31.73,55747178496
32.01,55720701952
32.29,55693307904
32.58,55704842240
32.86,55654510592
33.14,55627640832
33.43,55606145024
33.71,55587717120
33.99,55560716288
34.27,55533453312
34.56,55540662272
34.84,55495139328
35.12,55467483136
35.41,55442186240
35.69,55428816896
35.97,55401029632
36.25,55374028800
36.53,55375863808
36.81,55333920768
37.10,55306133504
37.38,55278739456
37.67,55325007872
37.95,55266881536
38.23,55242633216
38.52,55240142848
38.80,55203504128
39.08,55176765440
39.35,55149895680
39.63,55137312768
39.91,55110705152
40.19,55083180032
40.48,55074529280
40.76,55129317376
41.04,55184236544
41.32,55031668736
41.60,55018168320
41.88,54990905344
42.17,54963380224
42.45,54947389440
42.73,54922616832
43.01,54895878144
43.28,54868877312
43.57,54886309888
43.85,54948700160
44.14,55009124352
44.41,55070203904
44.70,55092224000
44.98,54873071616
45.26,54818283520
45.55,54791151616
45.82,54774243328
46.10,54746324992
46.39,54731907072
46.67,54740557824
46.95,54798229504
47.23,54858522624
47.52,54713294848
47.80,54729023488
48.07,54676332544
48.35,54649987072
48.63,54627835904
48.91,54677774336
49.19,54739902464
49.48,54800850944
49.76,54862323712
50.05,54615384064
50.32,54590267392
50.60,54563135488
50.88,54554353664
51.16,54523109376
51.44,54518521856
51.73,54518521856
52.01,54552600576
52.28,54615515136
52.56,54673973248
52.84,54502400000
53.12,54484836352
53.40,54460719104
53.68,54434766848
53.96,54448267264
54.25,54510788608
54.53,54574489600
54.81,54637391872
55.09,54701355008
55.38,54751424512
55.66,54435147776
55.94,54487969792
56.22,54400802816
56.50,54407225344
56.78,54356762624
57.06,54332907520
57.34,54308003840
57.62,54292668416
57.90,54265667584
58.19,54239059968
58.47,54237093888
58.75,54197641216
59.04,54177062912
59.32,54154911744
59.60,54139183104
59.88,54112182272
60.16,54085050368
60.44,54078365696
60.72,54047301632
61.00,54023708672
61.28,53998673920
61.56,54021873664
61.84,53958828032
62.12,53932089344
62.40,53914656768
62.67,53891457024
62.95,53867864064
63.24,53842829312
63.52,53853446144
63.80,53808226304
64.08,53781487616
64.36,53754748928
64.64,53743607808
64.91,53720662016
65.19,53696020480
65.47,53700083712
65.75,53657354240
66.03,53630484480
66.31,53604139008
66.59,53633236992
66.86,53575696384
67.15,53550268416
67.43,53541879808
67.71,53513043968
68.00,53486567424
68.27,53459959808
68.56,53483028480
68.84,53424177152
69.12,53399404544
69.41,53386297344
69.69,53369442304
69.97,53343752192
70.25,53317275648
70.53,53335232512
70.81,53283942400
71.09,53258907648
71.38,53237411840
71.65,53221015552
71.94,53194014720
72.22,53167931392
72.50,53180121088
72.79,53133721600
73.06,53109211136
73.35,53083127808
73.63,53070282752
73.91,53043675136
74.19,53017067520
74.48,53019295744
74.76,52983250944
75.04,52957298688
75.32,52930953216
75.61,52916011008
75.89,52889403392
76.18,52863188992
76.45,52860043264
76.74,52826226688
77.01,52800667648
