time,used_memory_rss(bytes)
0.00,29135728640
0.29,29135728640
0.59,29135728640
0.88,29135728640
1.18,29135728640
1.47,29135728640
1.75,29135728640
2.04,29135728640
2.34,29135728640
2.63,29135728640
2.92,29135728640
3.22,29135728640
3.51,29135728640
3.80,29135728640
4.10,29135728640
4.39,29135728640
4.67,29135728640
4.96,29135728640
5.25,29135728640
5.53,29135728640
5.82,29135728640
6.11,29135728640
6.40,29129945088
6.69,29129945088
6.98,29129945088
7.27,29129945088
7.56,29129945088
7.85,29129945088
8.14,29139365888
8.42,29139365888
8.71,29139365888
9.00,29139365888
9.29,29139775488
9.57,29139775488
9.86,29139775488
10.15,29140594688
10.44,29140594688
10.73,29140594688
11.02,29140594688
11.32,29140594688
11.61,29140594688
11.90,29140594688
12.19,29140594688
12.48,29140594688
12.81,29140594688
13.11,29140594688
13.40,29140594688
13.70,29140594688
13.98,29140594688
14.27,29140594688
14.56,29140594688
14.85,29140594688
15.13,29140594688
15.42,29140594688
15.70,29140594688
15.99,29140594688
16.29,29139525632
16.57,29139525632
16.86,29139525632
17.60,29139525632
17.88,29139525632
18.17,29139525632
18.45,29139525632
18.74,29139525632
19.02,29139525632
19.31,29139525632
19.61,29139525632
19.90,29139525632
20.19,29139525632
20.48,29139525632
20.78,29136150528
21.06,29136150528
21.36,29136150528
21.68,29136150528
21.97,29136150528
22.25,29136150528
22.54,29129691136
22.84,29139931136
23.13,29139931136
23.42,29139931136
23.72,29139931136
24.01,29139931136
24.30,29139931136
24.59,29139931136
24.87,29139931136
25.16,29139931136
25.44,29139931136
25.74,29139931136
26.03,29139931136
26.32,29139931136
26.61,29139931136
26.91,29139931136
27.19,29139931136
27.48,29139931136
27.76,29139931136
28.05,29139931136
28.35,29139931136
28.64,29139931136
28.93,29139931136
29.21,29139931136
29.51,29139931136
29.80,29139931136
30.08,29139931136
30.37,29139931136
30.67,29139931136
30.96,29139931136
31.25,29139931136
31.54,29139931136
31.83,29140340736
32.12,29140340736
32.41,29140340736
32.70,29139812352
33.00,29139812352
33.28,29139812352
33.57,29139812352
33.85,29140221952
34.15,29140221952
34.43,29140221952
34.72,29140221952
35.01,29140221952
35.31,29140221952
35.60,29140221952
35.89,29140221952
36.19,29140221952
36.47,29140221952
36.77,29140221952
37.06,29140221952
37.35,29140221952
37.64,29140221952
37.94,29140221952
38.23,29140221952
38.52,29140221952
38.81,29140221952
39.10,29140221952
39.39,29140221952
39.69,29140221952
39.98,29140221952
40.27,29140221952
40.56,29140221952
40.85,29140221952
41.14,29140221952
41.43,29140221952
41.72,29140221952
42.01,29140221952
42.29,29140221952
42.58,29132099584
42.88,29139881984
43.16,29139881984
43.46,29139881984
43.74,29141110784
44.04,29141110784
44.33,29141110784
44.62,29141110784
