time,used_memory_rss(bytes)
0.00,23176048640
0.30,23176048640
0.58,23176048640
0.89,23176048640
1.18,23176048640
1.47,23176048640
1.76,23176048640
2.04,23176048640
2.33,23176048640
2.63,23176048640
2.92,23176048640
3.21,23176048640
3.51,23176048640
3.79,23176048640
4.09,23176048640
4.37,23176048640
4.66,23176048640
4.95,23176048640
5.24,23176048640
5.52,23176048640
5.80,23176048640
6.09,23176048640
6.38,23176048640
6.67,23176048640
6.96,23176048640
7.25,23176048640
7.54,23176048640
7.82,23176048640
8.12,23176048640
8.41,23170482176
8.70,23177035776
8.98,23177035776
9.27,23177035776
9.55,23177035776
9.84,23183179776
10.12,23183179776
10.42,23183179776
10.71,23183179776
11.00,23183179776
11.28,23171108864
11.57,23171108864
11.86,23182987264
12.14,23182987264
12.43,23182987264
12.72,23182987264
13.01,23182987264
13.29,23182987264
13.58,23182987264
13.87,23182987264
14.15,23182987264
14.44,23182987264
14.72,23182987264
15.00,23182987264
15.29,23182987264
15.57,23182987264
15.86,23183396864
16.14,23183396864
16.43,23183396864
16.72,23183396864
17.01,23183396864
17.29,23183396864
17.58,23183396864
17.87,23183396864
18.16,23183396864
18.45,23183396864
18.73,23183396864
19.01,23183396864
19.30,23183396864
19.58,23183396864
19.87,23183396864
20.15,23183396864
20.44,23183396864
20.73,23183396864
21.01,23183396864
21.30,23171006464
21.58,23171825664
21.87,23183294464
22.16,23183294464
22.45,23183294464
22.75,23183294464
23.04,23183294464
23.33,23183294464
23.63,23183294464
23.92,23183704064
24.21,23183704064
24.50,23183704064
24.79,23178100736
25.08,23178100736
25.38,23178100736
25.67,23183425536
25.96,23183425536
26.25,23183425536
26.53,23183425536
26.82,23183835136
27.11,23183835136
27.40,23183835136
27.70,23184244736
27.98,23184244736
28.27,23184244736
28.56,23184244736
28.84,23178100736
29.13,23178100736
29.42,23178100736
29.71,23183835136
30.00,23183835136
30.30,23183835136
30.58,23183835136
30.87,23178100736
31.15,23178100736
31.45,23170945024
31.74,23183233024
32.02,23183233024
32.31,23183233024
32.61,23183233024
32.90,23177760768
33.19,23177760768
33.48,23177760768
33.76,23183495168
34.04,23183495168
34.33,23183495168
34.62,23183495168
34.91,23177760768
35.20,23177760768
35.48,23177760768
35.76,23182675968
36.06,23182675968
36.34,23182675968
36.62,23182675968
36.91,23183085568
37.20,23183085568
37.50,23183085568
37.80,23183085568
38.09,23183085568
38.38,23183085568
38.66,23177760768
38.95,23177760768
39.24,23177760768
39.53,23177760768
39.81,23177760768
40.11,23177760768
40.40,23177760768
40.69,23183495168
40.98,23183495168
41.27,23180873728
41.56,23180873728
41.84,23180873728
42.13,23180873728
42.42,23180873728
42.72,23180873728
43.01,23180873728
43.30,23180873728
43.59,23180873728
43.88,23175147520
44.17,23175147520
44.46,23175147520
44.73,23180472320
45.02,23180472320
45.31,23180472320
45.61,23180472320
45.89,23175147520
46.17,23175147520
46.46,23175147520
46.75,23175147520
47.04,23175147520
47.33,23175147520
47.61,23175147520
47.90,23180881920
48.18,23180881920
48.46,23180881920
48.74,23175147520
49.03,23175147520
49.32,23175147520
49.60,23175147520
49.89,23180881920
50.18,23180881920
50.46,23180881920
50.74,23180881920
51.03,23180881920
51.32,23180881920
51.60,23180881920
51.88,23180881920
52.16,23180881920
52.46,23180881920
52.74,23181291520
53.02,23181291520
53.30,23181291520
53.59,23181291520
53.88,23181291520
54.16,23181291520
54.46,23170887680
54.74,23183585280
55.03,23183585280
55.32,23183585280
55.61,23183585280
55.89,23177768960
56.17,23177768960
56.46,23177768960
56.74,23183503360
57.03,23183503360
57.31,23183503360
57.59,23183503360
57.88,23183503360
58.17,23183503360
58.45,23183503360
58.73,23183503360
59.02,23183503360
59.30,23183503360
59.58,23183503360
59.87,23183503360
60.16,23176687616
60.44,23176687616
60.73,23179145216
61.02,23179145216
61.30,23179145216
61.59,23179145216
61.87,23179145216
62.16,23179145216
62.44,23179145216
62.72,23179145216
63.01,23179145216
63.30,23179145216
63.59,23179145216
63.87,23170695168
64.15,23170695168
64.44,23170695168
64.74,23182573568
65.02,23182573568
65.31,23182573568
65.60,23182573568
65.88,23182573568
66.17,23182573568
66.45,23182573568
66.74,23182983168
67.02,23182983168
67.30,23182983168
67.59,23182983168
67.88,23182983168
68.15,23182983168
68.44,23182983168
68.72,23182983168
69.00,23182983168
69.30,23182983168
69.59,23182983168
69.87,23182983168
70.16,23182983168
70.45,23182983168
70.74,23182983168
71.02,23182983168
71.31,23182983168
71.60,23182983168
71.89,23182983168
72.18,23182983168
72.47,23182983168
72.75,23182983168
73.03,23182983168
73.31,23182983168
73.61,23182983168
73.89,23176167424
74.19,23176167424
74.48,23176167424
74.77,23179034624
75.07,23179034624
75.36,23179034624
75.65,23179034624
75.94,23179034624
76.22,23179034624
76.51,23179034624
76.79,23179034624
77.09,23179034624
77.38,23179034624
77.67,23179034624
77.96,23179034624
78.25,23179034624
78.55,23179034624
78.83,23179034624
79.13,23176413184
79.42,23176413184
79.70,23178870784
79.98,23178870784
80.27,23178870784
80.56,23178870784
80.86,23179280384
81.14,23179280384
81.42,23179280384
81.71,23179280384
82.00,23179280384
82.29,23179280384
82.59,23179280384
82.88,23170572288
83.18,23170572288
83.47,23170572288
83.75,23182860288
84.04,23182860288
84.33,23182860288
84.62,23182860288
84.91,23182860288
85.19,23182860288
85.48,23182860288
85.78,23183269888
86.06,23183269888
86.35,23183269888
86.63,23183269888
86.92,23183269888
87.20,23183269888
87.49,23183269888
87.78,23183269888
88.07,23183269888
88.36,23183269888
88.65,23183269888
88.94,23183269888
89.24,23183269888
89.53,23183269888
89.82,23183269888
90.11,23183269888
90.40,23183269888
90.68,23183679488
90.97,23183679488
91.26,23183679488
91.55,23183679488
91.83,23183679488
92.11,23183679488
92.40,23183679488
92.69,23183679488
92.98,23181058048
93.27,23181058048
93.55,23181058048
93.83,23181058048
94.11,23181058048
94.40,23181058048
94.68,23181058048
94.97,23181058048
95.25,23181058048
95.54,23181058048
95.82,23181058048
96.11,23176794112
96.40,23176794112
96.69,23179661312
96.97,23179661312
97.26,23179661312
97.55,23179661312
97.84,23179661312
98.13,23170883584
98.42,23170883584
98.70,23182352384
98.98,23182352384
99.27,23182352384
99.56,23182352384
99.85,23182352384
100.13,23182352384
100.42,23182352384
100.70,23183581184
100.99,23183581184
101.27,23183581184
101.57,23183581184
101.85,23183581184
102.15,23183581184
102.44,23183581184
102.73,23183581184
103.02,23183581184
103.32,23183581184
103.61,23183581184
103.89,23183581184
104.19,23183581184
104.47,23183581184
104.75,23183581184
105.04,23183581184
105.33,23183581184
105.63,23183581184
105.92,23183581184
106.21,23183581184
106.51,23183581184
106.80,23183581184
107.08,23183581184
107.38,23183581184
107.66,23183581184
107.94,23170883584
108.24,23170883584
108.54,23170883584
108.83,23177027584
109.12,23177027584
109.41,23177027584
109.70,23182352384
109.99,23182352384
110.27,23182352384
110.56,23182352384
110.84,23182352384
111.13,23182352384
111.41,23182352384
111.69,23182352384
111.98,23182352384
112.28,23182352384
112.57,23182352384
112.87,23182352384
113.16,23182352384
113.46,23182352384
113.76,23182761984
114.05,23182761984
114.34,23182761984
114.63,23182761984
114.92,23182761984
115.21,23182761984
115.50,23182761984
115.78,23182761984
116.08,23182761984
116.37,23182761984
116.66,23182761984
116.94,23182761984
117.23,23182761984
117.52,23182761984
117.81,23183171584
118.09,23171112960
118.38,23171112960
118.66,23181352960
118.95,23181352960
119.23,23181352960
119.52,23181352960
119.81,23181352960
120.09,23181352960
120.37,23181352960
120.66,23181352960
120.96,23181352960
121.25,23181352960
121.54,23181352960
121.84,23181352960
122.13,23181352960
122.42,23181352960
122.72,23181352960
123.00,23181352960
123.29,23181352960
123.58,23181352960
123.86,23181352960
124.15,23181352960
124.44,23181352960
124.72,23181352960
125.01,23181352960
125.31,23181352960
125.60,23181352960
125.89,23181352960
126.17,23181352960
126.46,23181352960
126.75,23181352960
127.03,23181352960
127.31,23181352960
127.61,23181352960
127.90,23171637248
128.19,23171637248
128.48,23171637248
128.78,23181877248
129.07,23181877248
129.35,23181877248
129.64,23181877248
129.92,23182286848
130.21,23182286848
130.51,23182286848
130.80,23182286848
131.09,23182286848
131.38,23182286848
131.67,23182286848
131.96,23182286848
132.24,23182286848
132.54,23182286848
132.83,23182286848
133.11,23182286848
133.41,23182286848
133.70,23182286848
133.99,23182286848
134.27,23182286848
134.56,23182286848
134.86,23182286848
135.15,23182286848
135.44,23182286848
135.72,23182286848
136.01,23182286848
136.29,23182286848
136.58,23182286848
136.87,23182286848
137.15,23182286848
137.45,23182286848
137.73,23182286848
138.01,23170506752
138.31,23170506752
138.60,23172964352
138.88,23180337152
139.17,23180337152
139.45,23180337152
139.74,23180746752
140.02,23180746752
140.31,23180746752
140.59,23180746752
140.89,23180746752
141.18,23180746752
141.47,23176536064
141.76,23176945664
142.04,23176945664
142.33,23176945664
142.61,23176945664
142.89,23176945664
143.18,23176945664
143.46,23176945664
143.76,23176945664
144.04,23176945664
144.33,23176945664
144.62,23176945664
144.91,23176945664
145.21,23176945664
145.50,23176945664
145.79,23176945664
146.08,23171702784
146.37,23171702784
146.65,23181942784
146.94,23177695232
147.23,23177695232
147.52,23177695232
147.81,23177695232
148.11,23177695232
148.40,23177695232
148.69,23177695232
148.98,23172665344
149.27,23172665344
149.57,23172665344
149.86,23181676544
150.15,23181676544
150.44,23181676544
150.72,23181676544
151.01,23181676544
151.30,23181676544
151.59,23181676544
151.88,23182086144
152.16,23182086144
152.44,23182086144
152.73,23182495744
153.01,23172620288
153.30,23172620288
153.58,23172620288
153.87,23181221888
154.16,23181221888
154.45,23181221888
154.73,23182041088
155.01,23182041088
155.28,23182041088
155.57,23182041088
155.86,23177146368
156.15,23177146368
156.44,23177146368
